,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,3,Aston Villa,13,0,0,1,0,M Clattenburg,0,0,4,13,A,7,2015-08-08,Bournemouth,E0,3,2,6,11,D,3,Bournemouth_Aston Villa_2015
1,1,Swansea,15,2,0,2,2,M Oliver,1,1,3,16,D,18,2015-08-08,Chelsea,E0,10,3,4,11,H,8,Chelsea_Swansea_2015
2,1,Watford,7,2,0,2,0,M Jones,0,1,2,13,D,11,2015-08-08,Everton,E0,5,5,8,10,A,2,Everton_Watford_2015
3,2,Sunderland,13,4,0,2,3,L Mason,0,0,4,17,H,10,2015-08-08,Leicester,E0,5,8,6,19,H,3,Leicester_Sunderland_2015
4,2,Tottenham,12,1,0,0,1,J Moss,0,0,3,12,H,9,2015-08-08,Man United,E0,4,1,1,9,H,2,Man United_Tottenham_2015
5,1,Crystal Palace,14,1,0,3,0,S Hooper,0,1,0,20,A,11,2015-08-08,Norwich,E0,7,6,1,17,A,4,Norwich_Crystal Palace_2015
6,1,West Ham,12,0,0,2,0,M Atkinson,0,1,3,9,A,8,2015-08-09,Arsenal,E0,4,6,5,22,A,4,Arsenal_West Ham_2015
7,2,Southampton,9,2,0,2,1,C Pawson,0,1,4,12,D,15,2015-08-09,Newcastle,E0,5,4,6,9,D,6,Newcastle_Southampton_2015
8,2,Liverpool,9,0,0,1,0,A Taylor,0,0,4,16,A,8,2015-08-09,Stoke,E0,3,1,3,7,D,5,Stoke_Liverpool_2015
9,4,Man City,12,0,0,3,0,M Dean,0,2,1,9,A,19,2015-08-10,West Brom,E0,7,2,6,9,A,6,West Brom_Man City_2015
10,2,Man United,14,0,0,1,0,M Dean,0,1,2,10,A,9,2015-08-14,Aston Villa,E0,2,1,3,5,A,5,Aston Villa_Man United_2015
11,4,Everton,11,0,0,3,0,M Oliver,0,2,2,10,A,10,2015-08-15,Southampton,E0,4,4,9,17,A,9,Southampton_Everton_2015
12,1,Norwich,7,1,0,3,0,K Friend,0,2,2,7,A,19,2015-08-15,Sunderland,E0,6,2,6,6,A,6,Sunderland_Norwich_2015
13,2,Newcastle,11,2,1,0,1,M Jones,0,0,1,8,H,4,2015-08-15,Swansea,E0,2,6,4,19,H,4,Swansea_Newcastle_2015
14,2,Stoke,15,2,0,2,2,R Madley,0,0,2,11,D,16,2015-08-15,Tottenham,E0,7,7,4,13,H,3,Tottenham_Stoke_2015
15,1,West Brom,13,0,0,0,0,P Tierney,0,0,2,10,D,6,2015-08-15,Watford,E0,0,5,2,16,D,4,Watford_West Brom_2015
16,1,Leicester,11,1,0,2,0,A Taylor,1,2,3,12,A,11,2015-08-15,West Ham,E0,6,3,8,10,A,4,West Ham_Leicester_2015
17,1,Arsenal,14,1,0,2,1,L Mason,0,1,1,12,A,20,2015-08-16,Crystal Palace,E0,7,4,6,11,D,6,Crystal Palace_Arsenal_2015
18,4,Chelsea,19,3,0,0,1,M Atkinson,0,0,2,13,H,10,2015-08-16,Man City,E0,3,8,5,18,H,1,Man City_Chelsea_2015
19,1,Bournemouth,11,1,0,0,1,C Pawson,0,0,4,18,H,13,2015-08-17,Liverpool,E0,2,2,6,18,H,8,Liverpool_Bournemouth_2015
20,3,Aston Villa,12,2,0,1,0,K Stroud,0,0,3,15,H,11,2015-08-22,Crystal Palace,E0,2,6,6,16,D,4,Crystal Palace_Aston Villa_2015
21,1,Tottenham,7,1,0,1,0,M Atkinson,0,0,4,14,D,19,2015-08-22,Leicester,E0,6,2,2,13,D,7,Leicester_Tottenham_2015
22,2,Newcastle,15,0,0,0,0,C Pawson,0,0,2,11,D,7,2015-08-22,Man United,E0,0,8,11,20,D,5,Man United_Newcastle_2015
23,4,Stoke,16,1,0,1,1,M Dean,0,1,1,5,D,6,2015-08-22,Norwich,E0,1,7,9,21,D,0,Norwich_Stoke_2015
24,4,Swansea,16,1,0,1,0,N Swarbrick,0,1,2,9,D,20,2015-08-22,Sunderland,E0,9,2,3,10,A,4,Sunderland_Swansea_2015
25,0,Bournemouth,8,3,0,4,0,J Moss,1,2,0,11,A,15,2015-08-22,West Ham,E0,7,4,5,10,A,4,West Ham_Bournemouth_2015
26,0,Man City,5,0,0,2,0,A Taylor,0,0,3,7,A,16,2015-08-23,Everton,E0,9,1,8,10,D,7,Everton_Man City_2015
27,0,Southampton,10,0,0,0,0,A Marriner,0,0,2,11,D,14,2015-08-23,Watford,E0,5,0,5,13,D,2,Watford_Southampton_2015
28,2,Chelsea,9,2,1,3,1,M Clattenburg,0,3,1,12,A,15,2015-08-23,West Brom,E0,5,6,8,15,A,7,West Brom_Chelsea_2015
29,1,Liverpool,2,0,0,0,0,M Oliver,0,0,4,13,D,15,2015-08-24,Arsenal,E0,8,5,7,19,D,8,Arsenal_Liverpool_2015
30,2,Sunderland,10,2,0,2,2,R Madley,0,1,1,14,D,7,2015-08-29,Aston Villa,E0,3,6,5,21,H,4,Aston Villa_Sunderland_2015
31,2,Leicester,9,1,0,1,1,N Swarbrick,0,0,4,19,D,4,2015-08-29,Bournemouth,E0,2,2,4,5,H,4,Bournemouth_Leicester_2015
32,1,Crystal Palace,9,1,0,2,0,C Pawson,0,0,1,15,A,13,2015-08-29,Chelsea,E0,6,9,7,26,D,7,Chelsea_Crystal Palace_2015
33,3,West Ham,17,0,1,3,0,K Friend,1,2,1,11,A,12,2015-08-29,Liverpool,E0,5,1,5,13,A,7,Liverpool_West Ham_2015
34,1,Watford,9,2,0,0,0,M Clattenburg,0,0,2,12,H,7,2015-08-29,Man City,E0,0,5,9,18,D,3,Man City_Watford_2015
35,6,Arsenal,15,0,0,1,0,A Marriner,1,0,1,8,A,22,2015-08-29,Newcastle,E0,9,0,0,1,D,9,Newcastle_Arsenal_2015
36,1,West Brom,4,0,0,1,0,M Oliver,2,1,4,9,A,15,2015-08-29,Stoke,E0,5,5,6,13,A,5,Stoke_West Brom_2015
37,4,Everton,20,0,0,0,0,M Jones,0,0,1,9,D,8,2015-08-29,Tottenham,E0,3,6,6,20,D,2,Tottenham_Everton_2015
38,0,Norwich,4,3,1,0,1,J Moss,0,0,0,12,H,6,2015-08-30,Southampton,E0,1,8,6,23,H,4,Southampton_Norwich_2015
39,2,Man United,6,2,0,1,0,M Atkinson,0,0,2,15,H,11,2015-08-30,Swansea,E0,4,4,0,9,D,1,Swansea_Man United_2015
40,1,Stoke,6,2,0,0,1,J Moss,0,0,1,13,H,9,2015-09-12,Arsenal,E0,4,12,13,29,H,1,Arsenal_Stoke_2015
41,2,Man City,13,0,0,1,0,M Jones,0,0,3,13,A,21,2015-09-12,Crystal Palace,E0,7,2,4,10,D,4,Crystal Palace_Man City_2015
42,2,Chelsea,12,3,0,1,2,A Marriner,0,1,2,12,H,15,2015-09-12,Everton,E0,2,9,7,14,H,14,Everton_Chelsea_2015
43,1,Liverpool,6,3,0,1,0,M Oliver,0,0,2,11,H,8,2015-09-12,Man United,E0,4,3,4,9,D,4,Man United_Liverpool_2015
44,2,Bournemouth,10,3,0,1,1,M Atkinson,0,0,3,11,H,7,2015-09-12,Norwich,E0,2,4,4,12,H,4,Norwich_Bournemouth_2015
45,1,Swansea,11,1,0,0,0,R Madley,1,0,1,14,H,8,2015-09-12,Watford,E0,3,6,1,17,D,3,Watford_Swansea_2015
46,1,Southampton,5,0,0,0,0,S Attwell,0,0,0,5,D,14,2015-09-12,West Brom,E0,4,1,4,8,D,5,West Brom_Southampton_2015
47,2,Aston Villa,8,3,0,2,0,M Dean,0,1,1,13,H,11,2015-09-13,Leicester,E0,4,6,4,21,A,5,Leicester_Aston Villa_2015
48,2,Tottenham,11,0,0,1,0,C Pawson,0,0,1,12,A,15,2015-09-13,Sunderland,E0,4,2,6,12,D,8,Sunderland_Tottenham_2015
49,0,Newcastle,8,2,0,0,1,A Taylor,0,0,2,11,H,14,2015-09-14,West Ham,E0,4,3,6,17,H,7,West Ham_Newcastle_2015
50,2,West Brom,10,0,0,1,0,M Atkinson,0,1,3,11,A,11,2015-09-19,Aston Villa,E0,6,3,2,13,A,7,Aston Villa_West Brom_2015
51,2,Sunderland,14,2,1,0,2,K Friend,0,0,4,15,H,9,2015-09-19,Bournemouth,E0,2,5,7,15,H,3,Bournemouth_Sunderland_2015
52,3,Arsenal,12,2,2,0,0,M Dean,0,0,1,11,H,9,2015-09-19,Chelsea,E0,2,7,5,22,D,5,Chelsea_Arsenal_2015
53,1,West Ham,10,1,0,2,1,R Madley,0,2,2,7,A,6,2015-09-19,Man City,E0,3,8,16,27,A,3,Man City_West Ham_2015
54,1,Watford,8,1,0,2,0,R East,0,2,2,12,A,13,2015-09-19,Newcastle,E0,4,5,5,15,A,5,Newcastle_Watford_2015
55,1,Leicester,7,2,0,2,2,A Marriner,0,0,4,12,D,12,2015-09-19,Stoke,E0,5,4,3,11,H,4,Stoke_Leicester_2015
56,2,Everton,12,0,1,0,0,S Attwell,0,0,2,11,D,17,2015-09-19,Swansea,E0,2,3,2,12,D,4,Swansea_Everton_2015
57,1,Norwich,4,1,0,1,0,A Taylor,0,0,2,13,D,7,2015-09-20,Liverpool,E0,2,7,6,23,D,2,Liverpool_Norwich_2015
58,2,Man United,6,2,0,3,1,M Clattenburg,0,1,0,13,A,10,2015-09-20,Southampton,E0,3,8,5,15,D,5,Southampton_Man United_2015
59,1,Crystal Palace,9,1,0,0,0,M Oliver,0,0,2,11,H,12,2015-09-20,Tottenham,E0,4,6,6,22,D,5,Tottenham_Crystal Palace_2015
60,1,Arsenal,9,2,0,5,1,C Pawson,0,2,1,12,A,26,2015-09-26,Leicester,E0,12,7,6,16,A,5,Leicester_Arsenal_2015
61,0,Aston Villa,8,3,0,2,1,J Moss,0,0,0,13,H,10,2015-09-26,Liverpool,E0,4,12,11,21,H,1,Liverpool_Aston Villa_2015
62,0,Sunderland,12,3,0,0,1,M Jones,0,0,3,17,H,9,2015-09-26,Man United,E0,4,7,5,12,H,2,Man United_Sunderland_2015
63,1,Chelsea,12,2,0,2,1,M Atkinson,0,0,2,15,D,16,2015-09-26,Newcastle,E0,4,5,4,11,H,6,Newcastle_Chelsea_2015
64,3,Swansea,18,3,0,1,1,R East,0,0,1,14,H,11,2015-09-26,Southampton,E0,4,7,4,18,H,3,Southampton_Swansea_2015
