,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,12:30:00,2,Arsenal,12,0,0,3,0,C Kavanagh,0,1,2,12,A,13,2020-09-12,Fulham,E0,6,2,2,5,A,3,Fulham_Arsenal_2020
1,15:00:00,2,Southampton,14,0,1,0,1,J Moss,0,0,1,11,H,9,2020-09-12,Crystal Palace,E0,5,3,7,5,H,3,Crystal Palace_Southampton_2020
2,17:30:00,1,Leeds,9,0,4,3,3,M Oliver,0,2,0,6,H,6,2020-09-12,Liverpool,E0,3,6,9,22,H,0,Liverpool_Leeds_2020
3,20:00:00,2,Newcastle,13,0,0,2,0,S Attwell,0,0,2,7,A,15,2020-09-12,West Ham,E0,2,3,8,15,D,7,West Ham_Newcastle_2020
4,14:00:00,1,Leicester,12,0,0,3,0,A Taylor,0,0,1,9,A,13,2020-09-13,West Brom,E0,7,1,2,7,D,5,West Brom_Leicester_2020
5,16:30:00,1,Everton,15,0,0,1,0,M Atkinson,0,0,0,7,A,15,2020-09-13,Tottenham,E0,4,5,5,9,D,3,Tottenham_Everton_2020
6,20:15:00,1,Chelsea,8,0,1,3,0,C Pawson,0,1,0,13,A,10,2020-09-14,Brighton,E0,5,3,4,13,A,3,Brighton_Chelsea_2020
7,18:00:00,2,Wolves,13,0,0,2,0,M Dean,0,2,1,7,A,11,2020-09-14,Sheffield United,E0,4,2,12,9,A,5,Sheffield United_Wolves_2020
8,12:30:00,1,West Brom,9,1,5,2,2,M Dean,0,1,0,11,H,6,2020-09-19,Everton,E0,4,7,11,17,H,1,Everton_West Brom_2020
9,15:00:00,1,Fulham,13,0,4,3,2,A Taylor,0,1,2,18,H,14,2020-09-19,Leeds,E0,6,7,5,10,H,3,Leeds_Fulham_2020
