year,team,home_away_total,type_rating,points,game_id,date
2015,Arsenal,total,dynamic_ft_total,0,Arsenal_West Ham_2015,2015-08-09
2015,Arsenal,total,dynamic_ft_total,3,Crystal Palace_Arsenal_2015,2015-08-16
2015,Arsenal,total,dynamic_ft_total,1,Arsenal_Liverpool_2015,2015-08-24
2015,Arsenal,total,dynamic_ft_total,3,Newcastle_Arsenal_2015,2015-08-29
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Stoke_2015,2015-09-12
2015,Arsenal,total,dynamic_ft_total,0,Chelsea_Arsenal_2015,2015-09-19
2015,Arsenal,total,dynamic_ft_total,3,Leicester_Arsenal_2015,2015-09-26
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Man United_2015,2015-10-04
2015,Arsenal,total,dynamic_ft_total,3,Watford_Arsenal_2015,2015-10-17
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Everton_2015,2015-10-24
2015,Arsenal,total,dynamic_ft_total,3,Swansea_Arsenal_2015,2015-10-31
2015,Arsenal,total,dynamic_ft_total,1,Arsenal_Tottenham_2015,2015-11-08
2015,Arsenal,total,dynamic_ft_total,0,West Brom_Arsenal_2015,2015-11-21
2015,Arsenal,total,dynamic_ft_total,1,Norwich_Arsenal_2015,2015-11-29
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Sunderland_2015,2015-12-05
2015,Arsenal,total,dynamic_ft_total,3,Aston Villa_Arsenal_2015,2015-12-13
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Man City_2015,2015-12-21
2015,Arsenal,total,dynamic_ft_total,0,Southampton_Arsenal_2015,2015-12-26
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Bournemouth_2015,2015-12-28
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Newcastle_2015,2016-01-02
2015,Arsenal,total,dynamic_ft_total,1,Liverpool_Arsenal_2015,2016-01-13
2015,Arsenal,total,dynamic_ft_total,1,Stoke_Arsenal_2015,2016-01-17
2015,Arsenal,total,dynamic_ft_total,0,Arsenal_Chelsea_2015,2016-01-24
2015,Arsenal,total,dynamic_ft_total,1,Arsenal_Southampton_2015,2016-02-02
2015,Arsenal,total,dynamic_ft_total,3,Bournemouth_Arsenal_2015,2016-02-07
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Leicester_2015,2016-02-14
2015,Arsenal,total,dynamic_ft_total,0,Man United_Arsenal_2015,2016-02-28
2015,Arsenal,total,dynamic_ft_total,0,Arsenal_Swansea_2015,2016-03-02
2015,Arsenal,total,dynamic_ft_total,1,Tottenham_Arsenal_2015,2016-03-05
2015,Arsenal,total,dynamic_ft_total,3,Everton_Arsenal_2015,2016-03-19
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Watford_2015,2016-04-02
2015,Arsenal,total,dynamic_ft_total,1,West Ham_Arsenal_2015,2016-04-09
2015,Arsenal,total,dynamic_ft_total,1,Arsenal_Crystal Palace_2015,2016-04-17
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_West Brom_2015,2016-04-21
2015,Arsenal,total,dynamic_ft_total,1,Sunderland_Arsenal_2015,2016-04-24
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Norwich_2015,2016-04-30
2015,Arsenal,total,dynamic_ft_total,1,Man City_Arsenal_2015,2016-05-08
2015,Arsenal,total,dynamic_ft_total,3,Arsenal_Aston Villa_2015,2016-05-15
2015,Arsenal,home,dynamic_ft_home,0,Arsenal_West Ham_2015,2015-08-09
2015,Arsenal,home,dynamic_ft_home,1,Arsenal_Liverpool_2015,2015-08-24
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Stoke_2015,2015-09-12
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Man United_2015,2015-10-04
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Everton_2015,2015-10-24
2015,Arsenal,home,dynamic_ft_home,1,Arsenal_Tottenham_2015,2015-11-08
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Sunderland_2015,2015-12-05
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Man City_2015,2015-12-21
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Bournemouth_2015,2015-12-28
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Newcastle_2015,2016-01-02
2015,Arsenal,home,dynamic_ft_home,0,Arsenal_Chelsea_2015,2016-01-24
2015,Arsenal,home,dynamic_ft_home,1,Arsenal_Southampton_2015,2016-02-02
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Leicester_2015,2016-02-14
2015,Arsenal,home,dynamic_ft_home,0,Arsenal_Swansea_2015,2016-03-02
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Watford_2015,2016-04-02
2015,Arsenal,home,dynamic_ft_home,1,Arsenal_Crystal Palace_2015,2016-04-17
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_West Brom_2015,2016-04-21
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Norwich_2015,2016-04-30
2015,Arsenal,home,dynamic_ft_home,3,Arsenal_Aston Villa_2015,2016-05-15
2015,Arsenal,away,dynamic_ft_away,3,Crystal Palace_Arsenal_2015,2015-08-16
2015,Arsenal,away,dynamic_ft_away,3,Newcastle_Arsenal_2015,2015-08-29
2015,Arsenal,away,dynamic_ft_away,0,Chelsea_Arsenal_2015,2015-09-19
2015,Arsenal,away,dynamic_ft_away,3,Leicester_Arsenal_2015,2015-09-26
2015,Arsenal,away,dynamic_ft_away,3,Watford_Arsenal_2015,2015-10-17
2015,Arsenal,away,dynamic_ft_away,3,Swansea_Arsenal_2015,2015-10-31
2015,Arsenal,away,dynamic_ft_away,0,West Brom_Arsenal_2015,2015-11-21
2015,Arsenal,away,dynamic_ft_away,1,Norwich_Arsenal_2015,2015-11-29
2015,Arsenal,away,dynamic_ft_away,3,Aston Villa_Arsenal_2015,2015-12-13
2015,Arsenal,away,dynamic_ft_away,0,Southampton_Arsenal_2015,2015-12-26
2015,Arsenal,away,dynamic_ft_away,1,Liverpool_Arsenal_2015,2016-01-13
2015,Arsenal,away,dynamic_ft_away,1,Stoke_Arsenal_2015,2016-01-17
2015,Arsenal,away,dynamic_ft_away,3,Bournemouth_Arsenal_2015,2016-02-07
2015,Arsenal,away,dynamic_ft_away,0,Man United_Arsenal_2015,2016-02-28
2015,Arsenal,away,dynamic_ft_away,1,Tottenham_Arsenal_2015,2016-03-05
2015,Arsenal,away,dynamic_ft_away,3,Everton_Arsenal_2015,2016-03-19
2015,Arsenal,away,dynamic_ft_away,1,West Ham_Arsenal_2015,2016-04-09
2015,Arsenal,away,dynamic_ft_away,1,Sunderland_Arsenal_2015,2016-04-24
2015,Arsenal,away,dynamic_ft_away,1,Man City_Arsenal_2015,2016-05-08
2015,Arsenal,total,dynamic_ft_total_g>15,1,Arsenal_West Ham_2015,2015-08-09
2015,Arsenal,total,dynamic_ft_total_g>15,1,Crystal Palace_Arsenal_2015,2015-08-16
2015,Arsenal,total,dynamic_ft_total_g>15,0,Arsenal_Liverpool_2015,2015-08-24
2015,Arsenal,total,dynamic_ft_total_g>15,0,Newcastle_Arsenal_2015,2015-08-29
2015,Arsenal,total,dynamic_ft_total_g>15,1,Arsenal_Stoke_2015,2015-09-12
2015,Arsenal,total,dynamic_ft_total_g>15,1,Chelsea_Arsenal_2015,2015-09-19
2015,Arsenal,total,dynamic_ft_total_g>15,1,Leicester_Arsenal_2015,2015-09-26
2015,Arsenal,total,dynamic_ft_total_g>15,1,Arsenal_Man United_2015,2015-10-04
2015,Arsenal,total,dynamic_ft_total_g>15,1,Watford_Arsenal_2015,2015-10-17
2015,Arsenal,total,dynamic_ft_total_g>15,1,Arsenal_Everton_2015,2015-10-24
2015,Arsenal,total,dynamic_ft_total_g>15,1,Swansea_Arsenal_2015,2015-10-31
2015,Arsenal,total,dynamic_ft_total_g>15,1,Arsenal_Tottenham_2015,2015-11-08
2015,Arsenal,total,dynamic_ft_total_g>15,1,West Brom_Arsenal_2015,2015-11-21
2015,Arsenal,total,dynamic_ft_total_g>15,1,Norwich_Arsenal_2015,2015-11-29
