year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2007,Aston Villa,home,ft_home,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,373.2
2007,Aston Villa,home,ft_home_g<15,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,315.3
2007,Aston Villa,home,ft_home_g<25,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,694.2
2007,Aston Villa,home,ft_home_g<35,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,862.8
2007,Aston Villa,home,ft_home_g>15,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,683.7
2007,Aston Villa,home,ft_home_g>25,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,304.8
2007,Aston Villa,home,ft_home_g>35,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,136.2
2007,Aston Villa,total,ft_total,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,296.9
2007,Aston Villa,total,ft_total_g<15,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,241.5
2007,Aston Villa,total,ft_total_g<25,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,570.6
2007,Aston Villa,total,ft_total_g<35,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,746.8
2007,Aston Villa,total,ft_total_g>15,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,757.5
2007,Aston Villa,total,ft_total_g>25,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,428.4
2007,Aston Villa,total,ft_total_g>35,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,252.2
2007,Aston Villa,home,ht_home,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,315.3
2007,Aston Villa,home,ht_home_g<15,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,705.0
2007,Aston Villa,home,ht_home_g<25,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,926.0
2007,Aston Villa,home,ht_home_g<35,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,984.1
2007,Aston Villa,home,ht_home_g>15,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,294.0
2007,Aston Villa,home,ht_home_g>25,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,94.2
2007,Aston Villa,home,ht_home_g>35,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,52.0
2007,Aston Villa,total,ht_total,0,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,252.2
2007,Aston Villa,total,ht_total_g<15,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,628.4
2007,Aston Villa,total,ht_total_g<25,1,Aston Villa_Liverpool_2007,2007-08-11,1,1,1,1,899.6
