year,team,home_away_total,type_rating,points,game_id,date,round_as_home,round_as_away,round_as_total,round_by_week_total,rating_initial,sum_points,rating_dynamic
2020,Arsenal,total,ft_total,3,Fulham_Arsenal_2020,2020-09-12,1,1,1,1,473.3,3,549
2020,Arsenal,total,ft_total,3,Arsenal_West Ham_2020,2020-09-19,1,1,2,2,473.3,6,626
2020,Arsenal,total,ft_total,0,Liverpool_Arsenal_2020,2020-09-28,1,2,3,3,473.3,6,612
2020,Arsenal,total,ft_total,3,Arsenal_Sheffield United_2020,2020-10-04,2,2,4,4,473.3,9,688
2020,Arsenal,total,ft_total,0,Man City_Arsenal_2020,2020-10-17,2,3,5,6,473.3,9,674
2020,Arsenal,total,ft_total,0,Arsenal_Leicester_2020,2020-10-25,3,3,6,7,473.3,9,659
2020,Arsenal,total,ft_total,3,Man United_Arsenal_2020,2020-11-01,3,4,7,8,473.3,12,736
2020,Arsenal,total,ft_total,0,Arsenal_Aston Villa_2020,2020-11-08,4,4,8,9,473.3,12,722
2020,Arsenal,total,ft_total,1,Leeds_Arsenal_2020,2020-11-22,4,5,9,11,473.3,13,738
2020,Arsenal,total,ft_total,0,Arsenal_Wolves_2020,2020-11-29,5,5,10,12,473.3,13,723
2020,Arsenal,total,ft_total,0,Tottenham_Arsenal_2020,2020-12-06,5,6,11,13,473.3,13,709
2020,Arsenal,total,ft_total,0,Arsenal_Burnley_2020,2020-12-13,6,6,12,14,473.3,13,695
2020,Arsenal,total,ft_total,1,Arsenal_Southampton_2020,2020-12-16,7,6,13,15,473.3,14,711
2020,Arsenal,total,ft_total,0,Everton_Arsenal_2020,2020-12-19,7,7,14,15,473.3,14,696
2020,Arsenal,total,ft_total,3,Arsenal_Chelsea_2020,2020-12-26,8,7,15,16,473.3,17,773
2020,Arsenal,total,ft_total,3,Brighton_Arsenal_2020,2020-12-29,8,8,16,17,473.3,20,849
2020,Arsenal,total,ft_total,3,West Brom_Arsenal_2020,2021-01-02,8,9,17,17,473.3,23,926
2020,Arsenal,total,ft_total,1,Arsenal_Crystal Palace_2020,2021-01-14,9,9,18,19,473.3,24,942
2020,Arsenal,total,ft_total,3,Arsenal_Newcastle_2020,2021-01-18,10,9,19,19,473.3,27,1018
2020,Arsenal,total,ft_total,3,Southampton_Arsenal_2020,2021-01-26,10,10,20,21,473.3,30,1095
2020,Arsenal,total,ft_total,1,Arsenal_Man United_2020,2021-01-30,11,10,21,21,473.3,31,1111
2020,Arsenal,total,ft_total,0,Wolves_Arsenal_2020,2021-02-02,11,11,22,22,473.3,31,1097
2020,Arsenal,total,ft_total,0,Aston Villa_Arsenal_2020,2021-02-06,11,12,23,22,473.3,31,1082
2020,Arsenal,total,ft_total,3,Arsenal_Leeds_2020,2021-02-14,12,12,24,23,473.3,34,1159
2020,Arsenal,total,ft_total,0,Arsenal_Man City_2020,2021-02-21,13,12,25,24,473.3,34,1145
2020,Arsenal,total,ft_total,3,Leicester_Arsenal_2020,2021-02-28,13,13,26,25,473.3,37,1221
2020,Arsenal,total,ft_total,1,Burnley_Arsenal_2020,2021-03-06,13,14,27,26,473.3,38,1237
2020,Arsenal,total,ft_total,3,Arsenal_Tottenham_2020,2021-03-14,14,14,28,27,473.3,41,1314
2020,Arsenal,total,ft_total,1,West Ham_Arsenal_2020,2021-03-21,14,15,29,28,473.3,42,1330
2020,Arsenal,total,ft_total,0,Arsenal_Liverpool_2020,2021-04-03,15,15,30,30,473.3,42,1315
2020,Arsenal,total,ft_total,3,Sheffield United_Arsenal_2020,2021-04-11,15,16,31,31,473.3,45,1392
2020,Arsenal,total,ft_total,1,Arsenal_Fulham_2020,2021-04-18,16,16,32,32,473.3,46,1408
2020,Arsenal,total,ft_total,0,Arsenal_Everton_2020,2021-04-23,17,16,33,33,473.3,46,1393
2020,Arsenal,home,ft_home,3,Arsenal_West Ham_2020,2020-09-19,1,1,2,2,662.6,3,800
2020,Arsenal,home,ft_home,3,Arsenal_Sheffield United_2020,2020-10-04,2,2,4,4,662.6,6,937
2020,Arsenal,home,ft_home,0,Arsenal_Leicester_2020,2020-10-25,3,3,6,7,662.6,6,898
2020,Arsenal,home,ft_home,0,Arsenal_Aston Villa_2020,2020-11-08,4,4,8,9,662.6,6,859
2020,Arsenal,home,ft_home,0,Arsenal_Wolves_2020,2020-11-29,5,5,10,12,662.6,6,820
2020,Arsenal,home,ft_home,0,Arsenal_Burnley_2020,2020-12-13,6,6,12,14,662.6,6,781
2020,Arsenal,home,ft_home,1,Arsenal_Southampton_2020,2020-12-16,7,6,13,15,662.6,7,801
2020,Arsenal,home,ft_home,3,Arsenal_Chelsea_2020,2020-12-26,8,7,15,16,662.6,10,939
2020,Arsenal,home,ft_home,1,Arsenal_Crystal Palace_2020,2021-01-14,9,9,18,19,662.6,11,958
2020,Arsenal,home,ft_home,3,Arsenal_Newcastle_2020,2021-01-18,10,9,19,19,662.6,14,1096
2020,Arsenal,home,ft_home,1,Arsenal_Man United_2020,2021-01-30,11,10,21,21,662.6,15,1116
2020,Arsenal,home,ft_home,3,Arsenal_Leeds_2020,2021-02-14,12,12,24,23,662.6,18,1253
2020,Arsenal,home,ft_home,0,Arsenal_Man City_2020,2021-02-21,13,12,25,24,662.6,18,1214
2020,Arsenal,home,ft_home,3,Arsenal_Tottenham_2020,2021-03-14,14,14,28,27,662.6,21,1352
2020,Arsenal,home,ft_home,0,Arsenal_Liverpool_2020,2021-04-03,15,15,30,30,662.6,21,1313
2020,Arsenal,home,ft_home,1,Arsenal_Fulham_2020,2021-04-18,16,16,32,32,662.6,22,1333
2020,Arsenal,home,ft_home,0,Arsenal_Everton_2020,2021-04-23,17,16,33,33,662.6,22,1294
2020,Arsenal,away,ft_away,3,Fulham_Arsenal_2020,2020-09-12,1,1,1,1,283.7,3,453
2020,Arsenal,away,ft_away,0,Liverpool_Arsenal_2020,2020-09-28,1,2,3,3,283.7,3,435
2020,Arsenal,away,ft_away,0,Man City_Arsenal_2020,2020-10-17,2,3,5,6,283.7,3,418
2020,Arsenal,away,ft_away,3,Man United_Arsenal_2020,2020-11-01,3,4,7,8,283.7,6,587
2020,Arsenal,away,ft_away,1,Leeds_Arsenal_2020,2020-11-22,4,5,9,11,283.7,7,632
2020,Arsenal,away,ft_away,0,Tottenham_Arsenal_2020,2020-12-06,5,6,11,13,283.7,7,614
2020,Arsenal,away,ft_away,0,Everton_Arsenal_2020,2020-12-19,7,7,14,15,283.7,7,597
2020,Arsenal,away,ft_away,3,Brighton_Arsenal_2020,2020-12-29,8,8,16,17,283.7,10,766
2020,Arsenal,away,ft_away,3,West Brom_Arsenal_2020,2021-01-02,8,9,17,17,283.7,13,936
2020,Arsenal,away,ft_away,3,Southampton_Arsenal_2020,2021-01-26,10,10,20,21,283.7,16,1106
2020,Arsenal,away,ft_away,0,Wolves_Arsenal_2020,2021-02-02,11,11,22,22,283.7,16,1088
2020,Arsenal,away,ft_away,0,Aston Villa_Arsenal_2020,2021-02-06,11,12,23,22,283.7,16,1070
2020,Arsenal,away,ft_away,3,Leicester_Arsenal_2020,2021-02-28,13,13,26,25,283.7,19,1240
2020,Arsenal,away,ft_away,1,Burnley_Arsenal_2020,2021-03-06,13,14,27,26,283.7,20,1285
2020,Arsenal,away,ft_away,1,West Ham_Arsenal_2020,2021-03-21,14,15,29,28,283.7,21,1330
2020,Arsenal,away,ft_away,3,Sheffield United_Arsenal_2020,2021-04-11,15,16,31,31,283.7,24,1500
2020,Arsenal,total,ft_total_g>15,1,Fulham_Arsenal_2020,2020-09-12,1,1,1,1,844.0,1,848
2020,Arsenal,total,ft_total_g>15,1,Arsenal_West Ham_2020,2020-09-19,1,1,2,2,844.0,2,853
2020,Arsenal,total,ft_total_g>15,1,Liverpool_Arsenal_2020,2020-09-28,1,2,3,3,844.0,3,858
2020,Arsenal,total,ft_total_g>15,1,Arsenal_Sheffield United_2020,2020-10-04,2,2,4,4,844.0,4,862
2020,Arsenal,total,ft_total_g>15,0,Man City_Arsenal_2020,2020-10-17,2,3,5,6,844.0,4,837
2020,Arsenal,total,ft_total_g>15,0,Arsenal_Leicester_2020,2020-10-25,3,3,6,7,844.0,4,811
2020,Arsenal,total,ft_total_g>15,0,Man United_Arsenal_2020,2020-11-01,3,4,7,8,844.0,4,786
2020,Arsenal,total,ft_total_g>15,1,Arsenal_Aston Villa_2020,2020-11-08,4,4,8,9,844.0,5,790
2020,Arsenal,total,ft_total_g>15,0,Leeds_Arsenal_2020,2020-11-22,4,5,9,11,844.0,5,765
2020,Arsenal,total,ft_total_g>15,1,Arsenal_Wolves_2020,2020-11-29,5,5,10,12,844.0,6,770
2020,Arsenal,total,ft_total_g>15,1,Tottenham_Arsenal_2020,2020-12-06,5,6,11,13,844.0,7,774
2020,Arsenal,total,ft_total_g>15,0,Arsenal_Burnley_2020,2020-12-13,6,6,12,14,844.0,7,749
