,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,GBH,SOH,WHA,GBAHA,SOA,WHH,GBA,B365H,SBD,LBAHH,WHD,LBAH,B365AH,LBD,SBH,B365D,GBD,IWH,B365>2.5,SOD,GBAHH,HomeTeam,AwayTeam,idGame
0,1.3330000000000002,-1.25,7.5,7.0,8.0,1.75,1.95,1.925,8.0,1.95,1.975,4.0,2.1,1.44,1.4,8.0,1.9,7.5,1.28,7.0,1.4,3.75,1.9,4.5,-1.25,-1.25,4.0,1.4,3.8,4.0,1.35,1.7,3.75,1.9,Arsenal,Everton,Arsenal_Everton_2003
1,2.2,-0.25,2.8,2.5,2.75,1.85,1.85,1.8,2.8,2.1,2.1,3.0,1.85,2.35,2.25,2.8,1.75,2.75,2.2,2.8,2.375,3.2,1.75,3.2,0.0,-0.25,3.2,2.25,3.25,3.25,2.5,1.95,3.25,2.05,Birmingham,Tottenham,Birmingham_Tottenham_2003
2,1.615,-0.75,5.5,4.2,5.5,1.85,1.85,1.95,4.5,1.85,1.95,3.2,1.9,1.68,1.57,5.0,1.85,5.5,1.57,5.0,1.615,3.4,2.0,3.5,-0.75,-0.75,3.5,1.57,3.4,3.4,1.7,1.9,3.4,1.95,Blackburn,Wolves,Blackburn_Wolves_2003
3,2.375,0.0,2.87,3.0,2.8,1.95,1.75,1.8,2.6,2.0,2.1,3.1,1.7,2.4,2.2,2.62,2.0,2.8,2.3,2.7,2.3,3.2,1.85,3.2,0.0,-0.25,3.2,2.2,3.25,3.25,2.1,2.1,3.25,1.8,Fulham,Middlesbrough,Fulham_Middlesbrough_2003
4,2.5,0.0,2.6,2.8,2.6,1.95,1.75,2.05,2.5,2.0,1.85,3.1,1.8,2.5,2.38,2.62,1.95,2.63,2.3,2.6,2.5,3.2,1.85,3.2,0.0,0.0,3.2,2.4,3.2,3.25,2.2,2.0,3.2,1.85,Leicester,Southampton,Leicester_Southampton_2003
5,1.25,-1.75,9.0,8.0,10.0,1.65,2.1,1.85,10.0,1.9,2.05,4.2,2.2,1.3,1.25,9.5,1.85,8.5,1.22,9.0,1.286,5.0,1.95,5.0,-1.75,-1.75,4.5,1.25,4.5,4.8,1.3,1.66,5.0,1.95,Man United,Bolton,Man United_Bolton_2003
6,2.375,-0.25,2.8,2.6,2.75,1.9,1.8,1.8,2.6,1.75,2.1,3.0,1.9,2.4,2.38,2.62,1.75,2.8,2.3,2.7,2.375,3.2,2.1,3.2,-0.25,-0.25,3.2,2.25,3.25,3.25,2.4,1.9,3.3,2.05,Portsmouth,Aston Villa,Portsmouth_Aston Villa_2003
7,2.25,-0.25,2.75,3.0,2.75,1.9,1.8,2.1,2.75,1.8,1.8,3.1,1.95,2.38,2.25,2.5,1.75,2.75,2.37,2.75,2.25,3.2,2.05,3.3,-0.25,0.0,3.2,2.3,3.4,3.25,2.1,1.85,3.25,2.05,Charlton,Man City,Charlton_Man City_2003
8,2.8,0.25,2.37,2.3,2.375,1.8,1.9,2.075,2.2,2.05,1.825,3.0,2.0,2.85,2.9,2.1,2.0,2.25,3.0,2.3,2.75,3.2,1.8,3.2,0.25,0.25,3.2,2.62,3.25,3.25,2.7,1.8,3.4,1.8,Leeds,Newcastle,Leeds_Newcastle_2003
9,2.25,-0.25,2.87,2.7,2.875,1.9,1.8,1.8,2.75,1.8,2.1,3.0,1.9,2.25,2.25,2.8,1.85,3.0,2.3,3.25,2.25,3.2,2.05,3.0,-0.25,-0.25,3.2,2.2,3.25,3.25,2.3,1.9,3.3,2.05,Liverpool,Chelsea,Liverpool_Chelsea_2003
10,2.5,0.0,2.6,2.6,2.5,1.85,1.85,1.95,2.4,1.9,1.95,3.0,1.8,2.5,2.5,2.5,1.9,2.5,2.5,2.6,2.5,3.2,1.95,3.1,0.0,0.0,3.25,2.4,3.3,3.25,2.4,2.0,3.2,1.9,Bolton,Blackburn,Bolton_Blackburn_2003
11,1.25,-1.5,9.0,9.0,10.0,1.6,2.15,2.125,10.0,2.1,1.775,4.5,2.05,1.26,1.22,9.5,2.05,10.0,1.22,10.0,1.25,5.0,1.75,5.0,-1.5,-1.5,4.5,1.25,5.0,5.0,1.25,1.75,5.0,1.75,Chelsea,Leicester,Chelsea_Leicester_2003
12,1.7269999999999999,-0.5,4.33,3.8,4.0,1.9,1.79,2.05,4.0,2.05,1.85,3.1,1.7,1.85,1.67,4.0,2.0,4.5,1.72,4.0,1.8,3.25,1.8,3.4,-0.5,-0.5,3.4,1.72,3.4,3.3,1.8,2.1,3.4,1.8,Everton,Fulham,Everton_Fulham_2003
