,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,BWD,GBH,WHA,GBAHA,WHH,BWH,B365H,GBA,SBD,LBAHH,WHD,LBAH,B365AH,LBD,BWA,B365D,SBH,GBD,IWH,B365>2.5,GBAHH,HomeTeam,AwayTeam,idGame
0,1.73,-0.25,3.75,3.6,4.33,1.91,1.79,1.9,4.33,1.82,2.0,3.1,1.75,3.25,2.0,4.0,2.05,1.8,1.9,1.9,3.5,3.25,2.02,3.1,-0.5,-0.5,3.2,4.0,3.1,1.91,3.25,1.85,2.05,1.7,Aston Villa,Southampton,Aston Villa_Southampton_2004
1,1.67,-0.5,4.33,3.8,5.0,1.85,1.85,2.05,4.5,2.04,1.85,3.1,1.8,3.25,1.77,4.0,1.95,1.9,1.8,1.8,4.75,3.4,1.8,2.87,-0.5,-0.5,3.25,4.5,3.1,1.73,3.3,1.8,2.0,1.77,Blackburn,West Brom,Blackburn_West Brom_2004
2,2.2,-0.25,2.88,2.9,3.1,1.86,1.85,1.9,3.0,1.8,2.0,3.0,1.8,3.2,2.25,2.9,1.85,2.15,2.1,2.25,3.1,3.2,2.04,3.2,-0.25,-0.25,3.0,3.3,3.2,2.25,3.2,2.2,2.0,2.0,Bolton,Charlton,Bolton_Charlton_2004
3,2.1,-0.25,3.4,3.2,3.4,1.85,1.85,2.05,3.0,2.06,1.85,3.1,1.9,3.2,2.1,3.2,2.0,2.05,2.1,2.1,3.25,3.25,1.78,3.1,-0.25,-0.25,3.2,3.3,3.25,2.0,3.25,2.0,1.9,1.85,Man City,Fulham,Man City_Fulham_2004
4,2.25,,2.8,2.6,3.0,1.9,1.79,2.1,2.75,1.9,1.8,3.1,1.8,3.2,2.35,2.7,,2.37,2.4,2.3,2.95,3.25,1.94,3.0,-0.25,0.0,3.2,2.7,3.25,2.3,3.15,2.3,2.0,,Middlesbrough,Newcastle,Middlesbrough_Newcastle_2004
5,1.91,-0.25,3.2,3.5,3.4,1.9,1.79,2.075,3.5,2.04,1.825,3.1,1.85,3.2,2.15,3.3,1.95,2.0,2.1,2.1,3.2,3.25,1.8,3.1,-0.25,-0.25,3.2,3.3,3.25,2.1,3.2,1.9,1.95,1.9,Norwich,Crystal Palace,Norwich_Crystal Palace_2004
6,2.38,0.0,2.8,2.7,2.87,1.95,1.75,2.1,2.6,1.76,1.8,3.0,1.8,3.2,2.45,2.62,2.0,2.3,2.25,2.4,2.8,3.2,2.08,3.2,-0.25,0.0,3.2,3.0,3.2,2.3,3.2,2.3,2.0,1.85,Portsmouth,Birmingham,Portsmouth_Birmingham_2004
7,2.75,0.25,2.2,2.3,2.25,1.85,1.85,1.925,2.25,1.8,1.975,3.0,1.9,3.2,2.75,2.3,1.9,2.75,3.0,3.1,2.4,3.2,2.04,3.1,0.25,0.25,3.2,2.25,3.2,3.0,3.2,2.7,1.9,1.95,Tottenham,Liverpool,Tottenham_Liverpool_2004
8,2.1,0.0,3.2,3.2,3.4,1.9,1.79,2.05,3.0,1.84,1.85,3.1,1.85,3.1,2.1,3.2,2.2,2.0,2.15,2.1,3.35,3.25,2.0,3.2,-0.5,-0.25,3.2,3.2,3.25,2.1,3.25,2.0,1.95,1.6,Chelsea,Man United,Chelsea_Man United_2004
9,5.0,0.75,1.67,1.75,1.61,1.75,1.95,1.85,1.62,1.88,2.05,3.2,1.9,3.4,4.75,1.61,1.9,5.5,5.0,6.0,1.77,3.3,1.96,3.1,0.75,0.75,3.25,1.7,3.4,5.0,3.3,4.0,1.9,1.95,Everton,Arsenal,Everton_Arsenal_2004
