,LBH,SBA,IWA,B365A,SJH,BbMx>2.5,BbAHh,BbMxAHH,SJA,BbMxH,BbMxAHA,LBA,BbMxD,Bb1X2,IWD,BbAvH,BWD,GBH,SJD,BbMx<2.5,VCD,BbAvAHA,BbAH,BbAvD,WHA,WHH,BWH,B365H,GBA,SBD,BbAv>2.5,WHD,BbMxA,LBD,BWA,B365D,SBH,VCH,GBD,VCA,IWH,BbAv<2.5,BbOU,BbAvAHH,BbAvA,HomeTeam,AwayTeam,idGame
0,1.29,11.0,8.5,13.0,1.29,1.83,-1.5,2.09,10.0,1.33,1.9,10.0,5.5,47,4.4,1.27,5.0,1.27,4.5,2.12,4.5,1.85,28,4.82,8.0,1.28,1.25,1.28,11.0,4.75,1.75,4.5,13.25,4.0,10.0,4.5,1.28,1.3,5.0,11.0,1.3,2.01,39,1.98,10.72,Arsenal,Aston Villa,Arsenal_Aston Villa_2006
1,2.5,2.5,2.6,2.6,2.5,2.3,0.0,2.1,2.6,2.9,1.92,2.5,3.32,47,3.1,2.66,3.1,2.7,3.2,1.75,3.25,1.83,27,3.15,2.4,2.6,2.6,2.62,2.55,3.2,2.17,3.1,2.7,3.2,2.55,3.2,2.7,2.65,3.25,2.5,2.5,1.63,39,1.96,2.53,Bolton,Tottenham,Bolton_Tottenham_2006
2,1.62,6.0,4.3,5.5,1.57,2.2,-0.75,2.0,5.5,1.73,1.96,5.0,3.7,46,3.4,1.63,3.4,1.65,3.5,1.76,3.5,1.93,26,3.46,5.5,1.57,1.65,1.66,5.5,3.4,2.07,3.3,6.0,3.25,5.0,3.4,1.62,1.6,3.5,5.5,1.7,1.69,39,1.94,5.35,Everton,Watford,Everton_Watford_2006
3,1.67,5.25,4.3,4.75,1.62,2.25,-0.75,2.18,5.0,1.87,1.93,5.0,3.55,44,3.4,1.71,3.35,1.7,3.5,1.75,3.5,1.81,26,3.39,4.33,1.72,1.7,1.72,5.0,3.4,2.12,3.2,5.25,3.2,4.7,3.5,1.67,1.65,3.5,5.0,1.7,1.66,39,2.06,4.72,Newcastle,Wigan,Newcastle_Wigan_2006
4,2.25,2.88,2.6,3.1,2.25,2.26,0.0,1.86,2.88,2.51,2.2,2.75,3.33,46,3.1,2.37,3.1,2.4,3.25,1.69,3.25,2.06,27,3.2,2.87,2.2,2.45,2.3,2.9,3.2,2.15,3.1,3.2,3.2,2.7,3.1,2.38,2.4,3.2,2.75,2.5,1.64,39,1.75,2.83,Portsmouth,Blackburn,Portsmouth_Blackburn_2006
5,2.25,2.7,2.6,2.8,2.38,2.25,0.0,1.8,2.75,2.55,2.33,2.75,3.3,45,3.1,2.37,3.1,2.5,3.2,1.72,3.25,2.08,28,3.19,2.8,2.25,2.55,2.5,2.75,3.2,2.14,3.1,3.2,3.2,2.6,3.1,2.5,2.4,3.2,2.75,2.5,1.65,39,1.7,2.82,Reading,Middlesbrough,Reading_Middlesbrough_2006
6,5.5,1.57,1.6,1.53,5.5,2.21,1.0,1.97,1.57,8.15,2.1,1.53,4.0,44,3.6,6.5,3.5,6.5,3.5,1.77,3.75,1.98,26,3.63,1.53,5.5,5.9,6.0,1.55,3.4,2.06,3.5,1.71,3.5,1.55,3.8,6.5,5.5,3.6,1.55,4.8,1.69,38,1.88,1.54,Sheffield United,Liverpool,Sheffield United_Liverpool_2006
7,1.91,3.6,3.3,3.75,2.0,2.25,-0.25,1.8,3.4,2.1,2.18,3.5,3.4,46,3.2,2.0,3.2,2.05,3.25,1.78,3.1,2.11,29,3.23,3.6,1.9,2.1,2.0,3.6,3.2,2.1,3.1,4.0,3.2,3.2,3.2,2.05,2.0,3.2,3.75,2.0,1.68,39,1.77,3.56,West Ham,Charlton,West Ham_Charlton_2006
8,1.2,15.0,9.5,13.0,1.22,1.84,-1.5,1.92,12.0,1.25,2.05,11.0,6.25,46,4.8,1.21,5.5,1.22,5.0,2.1,5.5,1.97,25,5.49,11.0,1.2,1.2,1.22,12.0,5.5,1.76,5.0,18.0,5.0,12.0,5.5,1.2,1.22,6.0,12.0,1.25,1.97,37,1.85,12.6,Chelsea,Man City,Chelsea_Man City_2006
9,1.3,12.0,8.5,13.0,1.25,1.83,-1.5,2.14,10.0,1.3,1.9,10.0,5.5,46,4.4,1.26,4.85,1.27,5.0,2.15,5.0,1.84,26,4.98,9.5,1.22,1.27,1.22,11.0,5.0,1.73,5.0,13.95,4.0,9.5,5.5,1.25,1.28,5.0,9.0,1.3,2.0,38,1.99,11.07,Man United,Fulham,Man United_Fulham_2006
10,1.4,7.25,5.8,7.0,1.5,2.05,-1.0,1.85,6.5,1.51,2.1,7.0,4.1,46,3.4,1.44,4.0,1.45,3.6,1.93,3.8,2.02,22,3.82,6.0,1.44,1.4,1.5,8.0,4.0,1.95,3.75,8.6,3.75,7.4,3.75,1.44,1.45,3.75,7.5,1.55,1.79,34,1.82,7.22,Tottenham,Sheffield United,Tottenham_Sheffield United_2006
11,2.6,2.6,2.5,2.4,2.6,2.1,0.0,2.05,2.5,2.88,1.93,2.37,3.3,45,3.2,2.66,3.1,2.7,3.2,1.85,3.25,1.8,22,3.21,2.5,2.5,2.55,2.87,2.5,3.2,1.99,3.1,2.7,3.2,2.6,3.2,2.6,2.75,3.25,2.4,2.5,1.75,34,1.97,2.46,Watford,West Ham,Watford_West Ham_2006
