,LBH,SBA,IWA,B365A,SJH,BbMx>2.5,BbAHh,BbMxAHH,SJA,BbMxH,BbMxAHA,LBA,BSD,BbMxD,Bb1X2,IWD,BbAvH,BWD,GBH,SJD,BbMx<2.5,VCD,BbAvAHA,BbAH,BbAvD,WHA,BSH,WHH,BSA,BWH,B365H,GBA,SBD,BbAv>2.5,WHD,BbMxA,LBD,BWA,B365D,SBH,VCH,GBD,VCA,IWH,BbAv<2.5,BbOU,BbAvAHH,BbAvA,HomeTeam,AwayTeam,idGame
0,1.67,5.0,4.9,5.5,1.67,2.04,0.0,1.28,5.5,1.72,4.4,4.5,3.5,3.77,37,3.5,1.66,3.4,1.67,3.6,1.91,3.4,3.99,21,3.51,5.5,1.62,1.7,5.5,1.65,1.67,5.25,3.4,1.92,3.4,6.05,3.3,5.0,3.6,1.65,1.7,3.5,5.0,1.7,1.81,32,1.22,5.33,Aston Villa,Wigan,Aston Villa_Wigan_2009
1,3.0,2.1,2.2,2.1,3.3,2.15,0.0,2.58,2.2,3.78,1.6,2.1,3.2,3.35,38,3.2,3.37,3.15,3.4,3.25,1.78,3.2,1.54,24,3.24,2.15,3.3,3.5,2.2,3.4,3.6,2.1,3.25,2.04,3.2,2.25,3.2,2.0,3.25,3.15,3.25,3.25,2.2,3.2,1.71,33,2.38,2.12,Blackburn,Man City,Blackburn_Man City_2009
2,2.1,2.9,3.2,3.25,2.3,2.25,0.0,1.68,3.1,2.37,2.33,3.0,3.2,3.31,38,3.2,2.24,3.15,2.25,3.25,1.7,3.2,2.23,23,3.2,3.2,2.2,2.3,3.3,2.15,2.25,3.1,3.2,2.12,3.2,3.4,3.2,3.15,3.25,2.25,2.25,3.25,3.1,2.2,1.66,33,1.61,3.15,Bolton,Sunderland,Bolton_Sunderland_2009
3,1.17,15.0,14.0,21.0,1.18,1.67,0.0,1.03,17.0,1.2,17.05,12.0,5.5,7.71,38,5.5,1.17,6.0,1.2,6.5,2.44,6.0,12.96,22,6.26,21.0,1.2,1.17,19.0,1.17,1.17,15.0,5.75,1.58,6.5,23.14,5.5,13.0,6.5,1.17,1.17,6.0,17.0,1.2,2.26,34,1.02,16.39,Chelsea,Hull,Chelsea_Hull_2009
4,2.88,2.2,2.3,2.3,3.25,2.2,0.0,2.27,2.25,3.34,1.73,2.25,3.2,3.34,38,3.1,3.07,3.15,3.0,3.25,1.77,3.3,1.63,24,3.21,2.3,3.25,3.2,2.2,2.95,3.2,2.3,3.2,2.06,3.2,2.42,3.0,2.25,3.25,3.0,2.9,3.25,2.3,3.1,1.7,34,2.2,2.28,Everton,Arsenal,Everton_Arsenal_2009
5,2.38,2.7,2.7,2.75,2.63,2.28,0.0,1.98,2.7,2.81,2.05,2.6,3.2,3.25,38,3.2,2.53,3.15,2.6,3.2,1.7,3.2,1.95,23,3.18,2.6,2.5,2.75,2.75,2.3,2.63,2.6,3.2,2.12,3.2,2.9,3.2,2.85,3.2,2.4,2.62,3.25,2.62,2.5,1.65,33,1.83,2.73,Portsmouth,Fulham,Portsmouth_Fulham_2009
6,1.91,3.75,3.9,4.33,1.91,2.25,0.0,1.45,4.33,2.0,3.05,3.5,3.3,3.47,38,3.3,1.91,3.2,1.9,3.25,1.71,3.25,2.85,22,3.29,4.0,1.91,2.0,4.0,1.85,1.91,4.0,3.25,2.1,3.2,4.36,3.2,4.0,3.3,1.9,1.9,3.3,4.0,1.9,1.67,33,1.39,4.02,Stoke,Burnley,Stoke_Burnley_2009
7,2.38,2.6,2.55,2.7,2.6,2.16,0.0,1.95,2.75,2.78,2.0,2.6,3.25,3.3,38,3.3,2.57,3.15,2.5,3.2,1.8,3.25,1.92,22,3.19,2.7,2.5,2.62,2.7,2.55,2.63,2.75,3.2,2.03,3.2,2.87,3.2,2.55,3.3,2.5,2.5,3.2,2.62,2.55,1.72,33,1.85,2.68,Wolves,West Ham,Wolves_West Ham_2009
8,1.17,13.0,12.0,17.0,1.2,1.69,0.0,1.04,17.0,1.23,15.0,12.0,5.5,6.62,38,5.7,1.19,5.5,1.2,6.0,2.35,6.0,11.42,20,5.91,19.0,1.2,1.2,19.0,1.2,1.2,15.0,5.5,1.62,5.5,21.0,5.5,12.0,6.0,1.18,1.17,6.0,17.0,1.2,2.18,33,1.02,14.99,Man United,Birmingham,Man United_Birmingham_2009
9,3.0,2.2,2.3,2.3,3.0,2.07,0.0,2.38,2.2,3.31,1.73,2.1,3.2,3.4,36,3.1,3.13,3.15,3.1,3.25,1.85,3.25,1.61,21,3.22,2.3,3.2,3.2,2.2,3.25,3.2,2.25,3.2,1.95,3.2,2.39,3.2,2.1,3.25,3.0,3.0,3.2,2.25,3.1,1.79,31,2.24,2.23,Tottenham,Liverpool,Tottenham_Liverpool_2009
