,LBH,IWA,BbMx>2.5,B365A,SJH,BbAHh,BbMxAHH,SJA,BbMxH,BbMxAHA,LBA,BSD,BbMxD,Bb1X2,IWD,BbAvH,BWD,GBH,SJD,PSA,BbMx<2.5,VCD,BbAvAHA,BbAH,BbAvD,WHA,BSH,WHH,BSA,BWH,B365H,GBA,BbAv>2.5,WHD,PSD,BbMxA,LBD,BWA,B365D,VCH,VCA,GBD,IWH,BbAv<2.5,BbOU,BbAvAHH,BbAvA,PSH,HomeTeam,AwayTeam,idGame
0,1.4,7.3,1.83,8.5,1.36,-1.25,2.02,9.5,1.44,1.96,8.0,4.33,4.89,39,4.5,1.4,4.6,1.35,4.5,8.78,2.15,4.75,1.91,23,4.47,8.0,1.4,1.44,8.5,1.35,1.4,9.0,1.76,4.0,4.76,9.5,4.5,9.0,4.5,1.44,8.5,4.6,1.35,2.05,33,1.96,8.37,1.44,Arsenal,Sunderland,Arsenal_Sunderland_2012
1,1.8,4.0,1.95,4.5,1.8,-0.5,1.83,4.5,1.85,2.14,4.5,3.5,3.82,39,3.4,1.8,3.5,1.8,3.6,4.8,2.01,3.75,2.09,21,3.59,4.5,1.83,1.85,4.33,1.8,1.8,4.4,1.89,3.3,3.81,4.8,3.5,4.4,3.6,1.83,4.75,3.5,1.8,1.92,35,1.8,4.44,1.82,Fulham,Norwich,Fulham_Norwich_2012
2,2.6,2.7,2.0,2.75,2.5,0.0,1.93,2.8,2.7,2.03,2.7,3.4,3.47,39,3.2,2.55,3.3,2.6,3.4,2.82,2.01,3.4,1.97,23,3.32,2.8,2.5,2.7,2.7,2.6,2.5,2.75,1.88,3.0,3.47,2.85,3.3,2.75,3.4,2.62,2.75,3.3,2.4,1.92,35,1.88,2.73,2.65,Newcastle,Tottenham,Newcastle_Tottenham_2012
3,2.0,3.1,2.18,3.8,2.1,-0.25,1.8,3.6,2.1,2.21,3.75,3.4,3.55,39,3.3,2.01,3.4,2.0,3.3,4.01,1.81,3.5,2.13,22,3.37,3.8,2.0,2.0,3.6,2.0,2.0,3.6,2.09,3.3,3.53,4.2,3.4,3.6,3.4,2.0,4.0,3.4,2.1,1.73,33,1.75,3.76,2.05,QPR,Swansea,QPR_Swansea_2012
4,2.4,2.7,2.28,3.1,2.4,-0.25,2.07,3.0,2.45,1.91,2.88,3.3,3.4,39,3.2,2.36,3.2,2.4,3.2,3.26,1.76,3.3,1.86,24,3.27,2.9,2.3,2.4,3.1,2.4,2.38,3.1,2.18,3.3,3.37,3.26,3.3,3.1,3.25,2.4,3.25,3.2,2.4,1.67,33,2.01,3.03,2.4,Reading,Stoke,Reading_Stoke_2012
5,3.75,2.0,2.18,1.91,4.0,0.5,2.0,1.91,4.38,1.97,1.95,3.4,3.61,39,3.3,4.01,3.5,4.1,3.4,1.94,1.81,3.6,1.92,22,3.44,2.0,4.0,3.8,1.91,4.1,4.2,1.85,2.08,3.3,3.59,2.0,3.5,1.85,3.5,4.33,1.95,3.5,3.3,1.74,33,1.96,1.93,4.39,West Brom,Liverpool,West Brom_Liverpool_2012
6,2.25,3.0,2.1,3.4,2.25,-0.25,1.95,3.3,2.3,2.04,3.1,3.3,3.46,39,3.3,2.23,3.3,2.25,3.3,3.43,1.85,3.4,1.97,25,3.32,3.2,2.3,2.3,3.1,2.25,2.2,3.3,2.03,3.2,3.49,3.51,3.3,3.3,3.3,2.25,3.4,3.3,2.15,1.77,33,1.9,3.23,2.26,West Ham,Aston Villa,West Ham_Aston Villa_2012
7,1.17,13.0,1.56,17.0,1.17,-1.75,1.9,19.0,1.21,2.08,15.0,6.5,7.55,39,5.8,1.18,6.25,1.18,7.0,19.75,2.68,7.0,2.02,24,6.78,15.0,1.17,1.2,17.0,1.18,1.17,16.0,1.5,6.0,7.5,19.38,7.0,16.0,7.0,1.2,19.0,6.25,1.17,2.51,26,1.85,15.6,1.2,Man City,Southampton,Man City_Southampton_2012
8,6.5,1.5,1.93,1.62,6.5,1.0,1.9,1.53,6.75,2.16,1.53,4.0,4.0,39,3.9,6.09,3.9,6.0,4.0,1.65,2.05,3.8,2.09,24,3.84,1.67,6.0,5.5,1.53,6.0,6.0,1.55,1.88,3.6,4.02,1.67,3.8,1.55,3.75,6.5,1.65,3.9,5.5,1.93,35,1.8,1.58,6.05,Wigan,Chelsea,Wigan_Chelsea_2012
9,4.0,1.85,2.08,1.83,4.0,0.5,2.03,1.91,4.45,1.91,1.85,3.4,3.71,36,3.4,4.18,3.5,4.6,3.5,1.92,1.9,3.7,1.88,20,3.47,1.91,4.0,4.33,1.91,4.6,4.33,1.83,1.97,3.3,3.77,1.91,3.6,1.83,3.6,4.3,1.87,3.5,3.8,1.83,32,1.99,1.88,4.27,Everton,Man United,Everton_Man United_2012
10,1.25,10.0,1.65,13.0,1.27,-1.5,1.88,12.0,1.29,2.1,11.0,5.5,6.2,38,5.0,1.25,5.25,1.25,5.5,13.8,2.45,6.0,2.03,22,5.56,10.0,1.25,1.29,13.0,1.25,1.25,12.5,1.58,5.5,6.15,14.0,6.0,12.5,5.5,1.25,13.0,5.25,1.25,2.31,23,1.85,11.84,1.27,Chelsea,Reading,Chelsea_Reading_2012
11,2.75,2.6,2.34,2.4,2.88,0.0,2.33,2.5,3.25,1.85,2.5,3.3,3.4,38,3.2,2.93,3.3,2.95,3.25,2.47,1.73,3.3,1.7,21,3.29,2.5,2.75,2.88,2.5,2.95,2.9,2.45,2.19,3.2,3.36,2.6,3.3,2.45,3.4,3.1,2.45,3.3,2.5,1.66,31,2.2,2.42,3.14,Aston Villa,Everton,Aston Villa_Everton_2012
12,1.5,5.5,1.72,6.5,1.5,-1.0,1.92,6.5,1.53,2.08,6.5,4.0,4.55,38,3.8,1.5,4.33,1.5,4.33,7.27,2.36,4.4,2.02,25,4.16,6.5,1.5,1.5,6.5,1.5,1.5,6.5,1.65,4.2,4.5,7.0,4.0,6.5,4.33,1.5,7.0,4.33,1.53,2.19,29,1.85,6.55,1.51,Chelsea,Newcastle,Chelsea_Newcastle_2012
