,LBH,IWA,BbMx>2.5,B365A,SJH,BbAHh,BbMxAHH,SJA,BbMxH,BbMxAHA,LBA,BbMxD,Bb1X2,IWD,BbAvH,BWD,SJD,PSA,BbMx<2.5,VCD,BbAvAHA,BbAH,BbAvD,WHA,WHH,BWH,B365H,BbAv>2.5,WHD,PSD,BbMxA,LBD,BWA,B365D,VCH,VCA,IWH,BbAv<2.5,BbOU,BbAvAHH,BbAvA,PSH,HomeTeam,AwayTeam,idGame
0,1.4,7.5,1.62,8.0,1.4,,,7.5,1.44,,7.5,5.2,33,4.6,1.4,5.0,4.5,8.3,2.56,4.8,,,4.68,8.5,1.36,1.36,1.44,1.56,4.8,5.2,9.7,4.5,7.75,4.75,1.44,7.5,1.37,2.37,22,,7.87,1.41,Arsenal,Aston Villa,Arsenal_Aston Villa_2013
1,1.44,7.3,1.86,9.5,1.36,,,9.5,1.44,,7.5,4.95,32,4.4,1.38,4.33,4.5,9.35,2.12,5.0,,,4.54,9.0,1.36,1.4,1.4,1.79,4.6,4.88,10.0,4.2,8.25,5.0,1.4,9.5,1.4,2.02,30,,8.88,1.41,Liverpool,Stoke,Liverpool_Stoke_2013
2,3.0,2.3,2.08,2.4,3.0,,,2.3,3.35,,2.3,3.41,33,3.3,3.12,3.25,3.4,2.35,1.91,3.4,,,3.27,2.3,3.1,3.1,3.2,1.98,3.3,3.41,2.4,3.3,2.3,3.4,3.12,2.4,2.9,1.82,31,,2.31,3.32,Norwich,Everton,Norwich_Everton_2013
3,2.2,3.2,2.14,3.4,2.25,,,3.3,2.3,,3.3,3.45,33,3.2,2.22,3.2,3.3,3.58,1.84,3.4,,,3.3,3.3,2.2,2.25,2.3,2.04,3.3,3.37,3.58,3.25,3.25,3.4,2.3,3.3,2.2,1.77,31,,3.29,2.25,Sunderland,Fulham,Sunderland_Fulham_2013
4,4.0,1.8,1.93,2.0,4.0,,,1.9,4.33,,1.9,3.6,33,3.5,3.84,3.5,3.6,2.03,2.06,3.6,,,3.4,1.91,4.0,4.1,4.2,1.83,3.4,3.52,2.1,3.5,1.87,3.5,3.8,2.05,4.2,1.98,31,,1.99,4.1,Swansea,Man United,Swansea_Man United_2013
5,2.2,3.1,2.02,3.2,2.25,,,3.2,2.43,,3.25,3.45,33,3.3,2.31,3.25,3.4,3.21,2.02,3.4,,,3.33,3.2,2.25,2.3,2.4,1.87,3.3,3.38,3.3,3.3,3.1,3.4,2.4,3.12,2.2,1.93,31,,3.07,2.42,West Brom,Southampton,West Brom_Southampton_2013
6,1.9,3.8,2.0,4.0,1.91,,,4.0,2.0,,4.0,3.65,33,3.45,1.94,3.4,3.5,4.21,2.0,3.6,,,3.47,3.8,1.95,1.91,2.0,1.89,3.5,3.57,4.4,3.4,4.0,3.6,2.0,4.0,1.9,1.9,31,,3.94,1.99,West Ham,Cardiff,West Ham_Cardiff_2013
7,1.2,13.0,1.59,21.0,1.2,,,15.0,1.22,,15.0,7.7,32,5.8,1.19,6.25,6.5,19.5,2.63,6.5,,,6.68,15.0,1.2,1.19,1.2,1.53,6.0,7.4,21.0,6.5,15.0,7.0,1.22,15.0,1.2,2.45,22,,15.53,1.2,Chelsea,Hull,Chelsea_Hull_2013
8,4.5,1.8,1.89,1.83,4.8,,,1.73,5.2,,1.8,3.95,33,3.5,4.66,3.7,3.8,1.8,2.12,3.75,,,3.61,1.75,4.75,4.75,4.75,1.81,3.6,3.69,1.85,3.5,1.72,3.75,4.5,1.85,4.2,1.99,31,,1.77,5.16,Crystal Palace,Tottenham,Crystal Palace_Tottenham_2013
9,1.28,9.0,1.68,11.0,1.3,,,10.0,1.33,,10.0,5.86,30,5.0,1.3,5.25,5.25,11.66,2.44,5.5,,,5.27,10.0,1.29,1.3,1.33,1.6,5.5,5.86,12.0,5.5,9.75,5.5,1.33,10.5,1.3,2.3,27,,10.35,1.31,Man City,Newcastle,Man City_Newcastle_2013
10,1.29,9.0,1.62,10.0,1.3,-1.5,1.88,10.0,1.33,2.14,9.5,6.4,34,5.0,1.29,5.25,5.25,11.9,2.56,5.75,2.03,21.0,5.42,9.5,1.3,1.28,1.29,1.55,5.5,5.89,14.0,5.5,10.0,5.5,1.29,12.0,1.3,2.38,22,1.84,10.17,1.3,Chelsea,Aston Villa,Chelsea_Aston Villa_2013
11,4.0,2.0,1.83,1.95,4.0,0.5,2.01,1.91,4.2,1.96,1.91,3.83,34,3.3,3.93,3.6,3.5,1.93,2.22,3.8,1.92,18.0,3.55,1.95,3.75,3.8,4.0,1.73,3.6,3.83,2.0,3.5,1.91,3.75,3.9,1.95,3.6,2.1,32,1.96,1.91,4.18,Aston Villa,Liverpool,Aston Villa_Liverpool_2013
12,1.57,5.6,1.89,6.5,1.57,-1.0,2.05,6.0,1.6,2.0,6.0,4.35,34,3.9,1.55,4.1,4.0,7.01,2.1,4.2,1.94,21.0,3.94,6.0,1.55,1.53,1.57,1.79,4.0,4.33,7.1,3.75,6.0,4.33,1.6,6.0,1.55,2.02,32,1.92,6.27,1.55,Everton,West Brom,Everton_West Brom_2013
13,3.5,2.1,1.88,2.1,3.5,0.5,1.82,2.1,3.8,2.15,2.1,3.58,34,3.3,3.51,3.5,3.4,2.13,2.12,3.5,2.09,18.0,3.38,2.1,3.4,3.6,3.8,1.8,3.5,3.58,2.15,3.4,2.0,3.5,3.5,2.15,3.3,2.0,32,1.79,2.1,3.7,Fulham,Arsenal,Fulham_Arsenal_2013
14,2.4,2.75,2.3,3.1,2.4,0.0,1.71,3.0,2.5,2.38,2.9,3.4,34,3.3,2.39,3.25,3.3,3.15,1.79,3.25,2.21,18.0,3.25,3.1,2.4,2.4,2.45,2.17,3.1,3.4,3.33,3.3,2.95,3.4,2.5,3.1,2.4,1.69,32,1.68,3.01,2.44,Hull,Norwich,Hull_Norwich_2013
15,2.2,3.3,2.05,3.4,2.2,-0.5,2.31,3.3,2.32,1.74,3.3,3.4,34,3.3,2.22,3.2,3.4,3.41,1.91,3.4,1.7,18.0,3.29,3.3,2.2,2.25,2.3,1.98,3.3,3.4,3.55,3.3,3.25,3.4,2.3,3.3,2.1,1.82,31,2.21,3.29,2.31,Newcastle,West Ham,Newcastle_West Ham_2013
16,1.72,4.0,2.04,5.5,1.73,-1.0,2.25,5.0,1.85,1.77,4.5,4.1,34,3.45,1.69,3.8,3.6,5.57,1.93,3.6,1.71,20.0,3.66,5.5,1.67,1.65,1.73,1.96,3.6,4.01,5.63,3.75,5.0,3.8,1.75,5.0,1.85,1.84,32,2.19,5.16,1.68,Southampton,Sunderland,Southampton_Sunderland_2013
17,1.83,4.2,2.32,5.0,1.8,-0.5,1.87,4.8,1.91,2.09,4.5,3.65,34,3.5,1.83,3.4,3.5,5.16,1.73,3.5,2.04,18.0,3.42,4.6,1.85,1.8,1.83,2.19,3.3,3.65,5.1,3.4,4.6,3.6,1.85,4.8,1.8,1.67,32,1.84,4.54,1.81,Stoke,Crystal Palace,Stoke_Crystal Palace_2013
18,6.5,1.45,1.72,1.44,7.0,1.0,2.24,1.44,8.5,1.78,1.45,4.9,34,4.0,7.32,4.2,4.5,1.46,2.44,4.75,1.73,21.0,4.39,1.4,7.5,8.25,8.5,1.66,4.5,4.75,1.47,4.5,1.42,4.75,7.5,1.45,7.0,2.21,30,2.16,1.44,7.99,Cardiff,Man City,Cardiff_Man City_2013
19,1.57,6.1,1.88,6.5,1.57,-1.0,2.22,5.8,1.66,1.86,5.5,4.0,34,4.0,1.6,3.75,4.0,6.45,2.15,4.0,1.78,20.0,3.78,5.0,1.65,1.57,1.62,1.79,4.0,4.04,6.58,4.0,6.25,4.0,1.65,5.75,1.5,2.02,32,2.09,5.95,1.62,Tottenham,Swansea,Tottenham_Swansea_2013
20,2.37,3.2,1.85,3.1,2.25,-0.25,2.13,3.13,2.5,1.83,3.1,3.51,32,3.2,2.38,3.4,3.5,3.02,2.18,3.5,1.8,16.0,3.33,2.8,2.4,2.3,2.45,1.78,3.5,3.51,3.2,3.2,3.0,3.4,2.5,2.9,2.2,2.03,30,2.09,2.94,2.48,Man United,Chelsea,Man United_Chelsea_2013
21,3.1,2.2,2.11,2.38,3.25,0.25,1.92,2.25,3.33,2.03,2.25,3.45,35,3.3,3.13,3.25,3.3,2.37,1.87,3.4,1.98,17.0,3.31,2.25,3.2,3.1,3.25,2.01,3.3,3.35,2.41,3.4,2.3,3.4,3.25,2.38,3.1,1.79,33,1.89,2.29,3.33,Cardiff,Everton,Cardiff_Everton_2013
22,2.5,2.85,2.26,3.0,2.5,0.0,1.87,2.88,2.6,2.17,2.7,3.35,35,3.2,2.49,3.25,3.25,3.09,1.76,3.25,2.08,18.0,3.22,2.9,2.45,2.55,2.6,2.15,3.25,3.31,3.1,3.3,2.75,3.3,2.6,3.0,2.4,1.69,33,1.78,2.89,2.54,Crystal Palace,Sunderland,Crystal Palace_Sunderland_2013
23,1.16,13.0,1.53,19.0,1.17,-2.0,1.9,19.0,1.2,2.12,15.0,8.52,35,5.8,1.16,7.25,7.0,18.58,2.8,8.0,2.06,20.0,7.53,17.0,1.17,1.16,1.17,1.46,7.0,8.04,20.56,7.5,15.5,8.5,1.18,19.0,1.2,2.61,23,1.82,15.78,1.19,Man City,Hull,Man City_Hull_2013
24,2.1,3.3,2.05,3.75,2.1,-0.5,2.17,3.5,2.18,1.81,3.4,3.5,35,3.3,2.11,3.3,3.4,3.73,1.92,3.5,1.77,18.0,3.36,3.5,2.05,2.05,2.15,1.95,3.5,3.49,3.75,3.4,3.6,3.4,2.15,3.6,2.1,1.85,33,2.11,3.49,2.15,Newcastle,Fulham,Newcastle_Fulham_2013
25,2.7,2.6,2.06,2.55,2.8,0.0,2.16,2.5,3.06,1.83,2.55,3.4,35,3.2,2.84,3.25,3.3,2.53,1.9,3.4,1.78,18.0,3.27,2.5,2.8,2.85,3.0,1.98,3.3,3.35,2.62,3.3,2.45,3.3,2.9,2.6,2.6,1.82,33,2.06,2.5,3.06,Norwich,Southampton,Norwich_Southampton_2013
26,2.0,3.8,2.15,4.33,2.0,-0.5,2.02,4.0,2.02,1.95,3.8,3.54,35,3.45,1.98,3.5,3.3,4.03,1.85,3.5,1.89,18.0,3.37,4.0,1.95,1.91,2.0,2.06,3.4,3.51,4.35,3.3,3.9,3.4,1.95,4.33,1.9,1.76,33,1.98,3.92,2.05,West Ham,Stoke,West Ham_Stoke_2013
27,2.1,3.5,1.76,3.6,2.05,-0.5,2.15,3.5,2.17,1.83,3.2,3.7,34,3.4,2.08,3.5,3.6,3.52,2.26,3.7,1.8,18.0,3.46,3.5,2.1,2.0,2.1,1.7,3.3,3.7,3.7,3.6,3.6,3.7,2.1,3.5,2.0,2.14,32,2.09,3.47,2.15,Arsenal,Tottenham,Arsenal_Tottenham_2013
28,2.62,2.6,1.94,2.88,2.63,0.0,1.86,2.63,2.64,2.12,2.62,3.4,34,3.2,2.52,3.3,3.4,2.98,2.02,3.4,2.05,18.0,3.28,2.8,2.6,2.6,2.63,1.85,3.2,3.36,2.98,3.25,2.65,3.4,2.62,2.88,2.6,1.95,32,1.81,2.81,2.59,Liverpool,Man United,Liverpool_Man United_2013
29,2.4,2.9,1.91,2.8,2.5,0.0,1.94,2.8,2.7,2.1,2.8,3.47,34,3.3,2.55,3.4,3.4,2.8,2.08,3.4,1.98,18.0,3.34,2.75,2.5,2.55,2.7,1.82,3.4,3.47,2.9,3.4,2.65,3.4,2.7,2.75,2.3,1.98,32,1.87,2.73,2.67,West Brom,Swansea,West Brom_Swansea_2013
30,2.1,3.1,1.97,3.8,2.05,-0.25,1.83,3.6,2.2,2.12,3.5,3.45,36,3.3,2.11,3.3,3.4,3.79,2.0,3.4,2.07,18.0,3.33,3.5,2.2,2.1,2.15,1.89,3.1,3.49,3.87,3.25,3.5,3.4,2.15,3.6,2.2,1.9,34,1.81,3.54,2.13,Aston Villa,Newcastle,Aston Villa_Newcastle_2013
31,3.5,2.0,2.12,2.35,3.4,0.5,1.69,2.2,3.6,2.39,2.05,3.41,36,3.3,3.22,3.4,3.3,2.39,1.87,3.4,2.29,18.0,3.28,2.4,3.4,3.4,3.4,2.02,3.1,3.38,2.38,3.4,2.2,3.3,3.3,2.3,3.6,1.79,34,1.66,2.27,3.27,Everton,Chelsea,Everton_Chelsea_2013
32,2.1,3.3,2.01,3.6,2.1,-0.25,1.86,3.6,2.2,2.12,3.5,3.5,36,3.3,2.11,3.4,3.3,3.69,1.96,3.5,2.06,18.0,3.33,3.5,2.2,2.15,2.15,1.94,3.1,3.54,3.77,3.3,3.6,3.5,2.15,3.7,2.1,1.86,34,1.82,3.53,2.14,Fulham,West Brom,Fulham_West Brom_2013
33,2.3,2.75,2.35,3.25,2.4,-0.25,2.08,3.0,2.5,1.88,3.2,3.35,36,3.3,2.38,3.2,3.2,3.27,1.72,3.3,1.83,18.0,3.19,3.0,2.5,2.4,2.45,2.24,3.0,3.25,3.3,3.2,3.0,3.25,2.4,3.25,2.4,1.64,32,2.04,3.1,2.46,Hull,Cardiff,Hull_Cardiff_2013
34,1.2,13.0,1.56,16.0,1.18,-2.0,2.17,15.0,1.25,1.83,13.0,7.6,36,5.8,1.21,6.5,7.0,15.55,2.76,7.0,1.77,21.0,6.61,15.0,1.25,1.19,1.22,1.48,6.0,6.9,18.0,6.5,14.0,7.0,1.22,15.0,1.2,2.58,26,2.1,13.66,1.23,Man United,Crystal Palace,Man United_Crystal Palace_2013
35,5.5,1.6,2.0,1.65,5.5,1.0,1.82,1.62,6.3,2.21,1.66,4.0,36,3.7,5.69,3.9,3.8,1.65,1.96,4.0,2.12,21.0,3.73,1.7,6.0,5.25,6.0,1.92,3.2,4.02,1.7,3.5,1.62,4.0,6.0,1.65,5.4,1.88,34,1.76,1.63,6.09,Stoke,Man City,Stoke_Man City_2013
36,5.0,1.7,2.0,1.67,5.0,0.5,2.36,1.67,6.1,1.69,1.7,3.95,36,3.6,5.43,3.8,3.75,1.69,1.98,3.9,1.66,18.0,3.69,1.7,6.0,5.75,6.0,1.92,3.2,3.9,1.7,3.75,1.6,3.9,5.75,1.67,4.7,1.88,34,2.29,1.66,5.79,Sunderland,Arsenal,Sunderland_Arsenal_2013
