,LBH,BbAHh,IWA,B365A,BbMx>2.5,BbMxAHH,BbMxH,BbMxAHA,LBA,BbMxD,Bb1X2,IWD,BbAvH,BWD,PSA,BbMx<2.5,VCD,BbAvAHA,BbAH,BbAvD,WHA,WHH,BWH,B365H,BbAv>2.5,WHD,PSD,BbMxA,LBD,BWA,B365D,VCH,VCA,IWH,BbAv<2.5,BbOU,BbAvAHH,BbAvA,PSH,HomeTeam,AwayTeam,idGame
0,2.45,-0.25,2.65,3.25,2.4,2.13,2.55,1.86,3.1,3.35,55,3.3,2.43,3.1,3.19,1.68,3.2,1.81,32,3.21,2.9,2.5,2.45,2.4,2.3,3.2,3.32,3.3,3.25,2.95,3.3,2.5,3.25,2.5,1.61,40,2.06,3.1,2.47,Burnley,Swansea,Burnley_Swansea_2016
1,2.0,-0.5,3.3,4.5,2.68,2.07,2.1,1.9,4.33,3.4,56,3.3,2.01,3.2,4.32,1.6,3.3,1.85,33,3.23,4.0,2.05,2.0,2.0,2.5,3.1,3.29,4.5,3.25,3.9,3.3,2.0,4.4,2.1,1.52,38,2.0,4.16,2.06,Crystal Palace,West Brom,Crystal Palace_West Brom_2016
2,3.1,0.25,2.5,2.4,2.12,1.91,3.3,2.09,2.4,3.45,55,3.3,3.12,3.2,2.37,1.87,3.4,2.0,32,3.32,2.4,3.1,2.95,3.2,2.05,3.1,3.43,2.5,3.4,2.4,3.4,3.25,2.38,2.65,1.77,41,1.85,2.36,3.25,Everton,Tottenham,Everton_Tottenham_2016
3,4.5,0.25,2.1,1.91,2.3,2.35,4.5,2.03,1.91,3.6,55,3.3,4.17,3.4,1.95,1.74,3.5,1.67,31,3.43,1.95,4.2,4.33,4.5,2.19,3.25,3.55,2.33,3.5,1.9,3.6,4.4,1.95,3.3,1.67,40,2.26,1.95,4.43,Hull,Leicester,Hull_Leicester_2016
4,1.25,-1.5,10.3,15.0,1.56,1.81,1.3,2.2,13.0,6.8,56,5.5,1.25,6.0,13.15,2.67,6.5,2.14,34,6.11,13.0,1.25,1.22,1.25,1.53,5.5,6.48,15.0,6.5,11.5,6.5,1.25,15.0,1.25,2.48,39,1.73,12.55,1.27,Man City,Sunderland,Man City_Sunderland_2016
5,2.3,-0.25,2.9,3.4,2.61,1.99,2.4,1.97,3.4,3.3,56,3.3,2.31,3.1,3.53,1.57,3.2,1.92,32,3.16,3.1,2.4,2.25,2.38,2.46,3.1,3.24,3.65,3.2,3.25,3.2,2.38,3.4,2.3,1.53,38,1.93,3.38,2.33,Middlesbrough,Stoke,Middlesbrough_Stoke_2016
6,1.8,-0.75,4.2,5.0,2.13,2.16,1.88,1.89,5.0,3.8,56,3.5,1.82,3.4,4.64,1.83,3.6,1.8,33,3.56,4.5,1.83,1.8,1.8,2.06,3.4,3.68,5.0,3.6,4.5,3.75,1.83,5.0,1.8,1.75,42,2.07,4.62,1.88,Southampton,Watford,Southampton_Watford_2016
7,2.38,-0.5,2.9,3.1,1.98,2.41,2.5,1.81,3.1,3.55,55,3.3,2.36,3.3,3.1,2.09,3.5,1.64,31,3.42,3.0,2.5,2.35,2.4,1.81,3.1,3.53,3.2,3.4,2.9,3.5,2.4,3.1,2.3,1.99,42,2.31,3.04,2.41,Arsenal,Liverpool,Arsenal_Liverpool_2016
8,4.8,0.75,1.75,1.85,2.11,1.8,5.0,2.17,1.8,3.75,55,3.5,4.5,3.5,1.88,1.87,3.6,2.11,33,3.51,1.85,4.5,4.6,4.75,2.05,3.4,3.62,1.95,3.6,1.75,3.6,4.75,1.87,4.5,1.76,42,1.76,1.86,4.7,Bournemouth,Man United,Bournemouth_Man United_2016
9,1.62,-1.0,5.1,6.0,1.97,2.2,1.71,1.8,6.0,4.25,52,3.6,1.64,3.75,5.48,2.09,4.1,1.76,33,3.97,5.5,1.67,1.6,1.65,1.8,3.6,4.16,6.0,4.0,5.5,4.0,1.65,5.75,1.65,2.01,40,2.1,5.46,1.68,Chelsea,West Ham,Chelsea_West Ham_2016
