,IWA,B365A,MaxD,AvgAHH,B365AHA,AvgA,P<2.5,MaxAHH,Max<2.5,P>2.5,PAHH,IWD,B365AHH,B365<2.5,BWD,PSA,MaxA,VCD,Avg>2.5,WHA,PSH,WHH,PAHA,BWH,B365H,AvgAHA,AHh,Max>2.5,Avg<2.5,WHD,PSD,VCH,BWA,B365D,VCA,IWH,MaxH,AvgD,B365>2.5,MaxAHA,AvgH,HomeTeam,AwayTeam,idGame
0,18.0,19.0,10.0,1.94,1.94,19.83,3.11,1.97,3.11,1.4,1.97,8.0,1.96,3.0,8.25,18.05,23.0,9.5,1.41,21.0,1.15,1.12,1.95,1.14,1.14,1.94,-2.25,1.45,2.92,8.5,9.59,1.14,18.5,10.0,23.0,1.15,1.16,8.75,1.4,2.0,1.14,Liverpool,Norwich,Liverpool_Norwich_2019
1,1.25,1.22,6.75,1.99,1.9,1.25,2.77,2.02,2.77,1.49,2.02,6.1,2.0,2.75,5.75,1.26,1.29,6.5,1.48,1.24,11.68,13.0,1.9,11.5,12.0,1.89,1.75,1.51,2.65,6.0,6.53,12.0,1.26,6.5,1.25,11.0,13.0,6.28,1.44,1.92,11.84,West Ham,Man City,West Ham_Man City_2019
2,3.8,3.6,3.65,2.0,1.89,3.83,1.96,2.04,1.99,1.96,2.04,3.55,2.01,1.9,3.6,3.9,4.0,3.6,1.9,3.8,2.04,2.0,1.88,1.95,1.95,1.88,-0.5,2.0,1.93,3.5,3.57,2.0,3.9,3.6,4.0,1.97,2.06,3.53,1.9,1.91,2.01,Bournemouth,Sheffield United,Bournemouth_Sheffield United_2019
3,2.75,2.75,3.33,1.91,1.98,2.78,1.77,1.94,1.78,2.17,1.93,3.2,1.92,1.72,3.2,2.81,2.85,3.3,2.12,2.75,2.71,2.7,2.0,2.65,2.62,1.98,0.0,2.2,1.73,3.2,3.31,2.7,2.75,3.2,2.8,2.65,2.8,3.22,2.1,2.0,2.68,Burnley,Southampton,Burnley_Southampton_2019
4,2.4,2.37,3.4,1.84,2.05,2.4,1.74,1.88,1.74,2.23,1.88,3.2,1.85,1.66,3.2,2.39,2.52,3.3,2.18,2.35,3.21,3.1,2.05,3.2,3.0,2.04,0.25,2.25,1.7,3.3,3.37,3.2,2.35,3.25,2.45,3.1,3.21,3.27,2.2,2.09,3.13,Crystal Palace,Everton,Crystal Palace_Everton_2019
5,4.25,4.0,3.5,1.94,1.95,4.26,1.76,1.98,1.76,2.19,1.98,3.4,1.95,1.72,3.4,4.37,4.6,3.5,2.16,4.2,1.98,1.95,1.95,1.9,1.9,1.94,-0.5,2.24,1.71,3.4,3.44,1.95,4.33,3.4,4.33,1.93,2.0,3.41,2.1,1.98,1.94,Watford,Brighton,Watford_Brighton_2019
6,9.6,10.0,5.95,1.93,1.93,10.51,2.4,2.0,2.4,1.64,1.99,5.5,1.97,2.2,5.5,10.96,12.0,5.5,1.65,10.0,1.3,1.29,1.93,1.3,1.3,1.94,-1.5,1.7,2.26,5.5,5.84,1.3,10.0,5.25,12.0,1.3,1.33,5.53,1.66,2.0,1.3,Tottenham,Aston Villa,Tottenham_Aston Villa_2019
7,3.45,3.4,3.38,1.91,2.0,3.48,1.74,1.95,1.74,2.23,1.9,3.25,1.9,1.66,3.3,3.66,3.66,3.3,2.17,3.5,2.21,2.2,2.04,2.25,2.2,1.98,-0.25,2.25,1.7,3.25,3.34,2.25,3.3,3.2,3.6,2.2,2.29,3.28,2.2,2.04,2.22,Leicester,Wolves,Leicester_Wolves_2019
8,1.77,1.72,4.0,1.85,2.05,1.79,2.1,1.88,2.14,1.83,1.86,3.85,1.85,2.0,3.75,1.81,1.83,3.9,1.77,1.78,4.58,4.5,2.07,4.5,4.5,2.03,0.75,1.83,2.07,3.75,3.93,4.6,1.78,3.75,1.8,4.4,4.7,3.82,1.8,2.08,4.49,Newcastle,Arsenal,Newcastle_Arsenal_2019
9,3.4,3.5,3.43,1.89,2.0,3.49,1.87,1.92,1.87,2.05,1.9,3.35,1.9,1.8,3.3,3.63,3.63,3.3,2.01,3.5,2.21,2.15,2.04,2.15,2.1,2.0,-0.25,2.1,1.83,3.3,3.37,2.25,3.5,3.3,3.5,2.15,2.28,3.32,2.0,2.04,2.19,Man United,Chelsea,Man United_Chelsea_2019
10,9.5,10.0,5.75,1.98,1.91,9.48,2.47,2.06,2.47,1.61,2.05,5.6,2.02,2.37,5.5,9.35,11.0,5.5,1.6,10.0,1.34,1.32,1.88,1.3,1.3,1.9,-1.5,1.65,2.34,5.25,5.68,1.33,10.0,5.5,10.5,1.3,1.36,5.49,1.57,1.95,1.33,Arsenal,Burnley,Arsenal_Burnley_2019
11,3.05,3.1,3.64,2.01,1.91,3.08,2.11,2.03,2.11,1.81,2.02,3.45,2.02,2.0,3.5,3.17,3.2,3.5,1.81,3.1,2.32,2.25,1.91,2.25,2.3,1.88,-0.25,1.86,2.03,3.5,3.56,2.38,3.1,3.4,3.2,2.3,2.42,3.49,1.8,1.92,2.33,Aston Villa,Bournemouth,Aston Villa_Bournemouth_2019
12,2.85,2.87,3.42,2.16,1.72,2.9,1.93,2.21,1.94,1.99,2.21,3.3,2.07,1.9,3.3,2.92,3.0,3.4,1.95,2.88,2.58,2.5,1.75,2.5,2.55,1.75,-0.25,2.0,1.87,3.3,3.38,2.55,2.9,3.25,3.0,2.5,2.65,3.33,1.9,1.8,2.52,Brighton,West Ham,Brighton_West Ham_2019
13,4.65,4.75,4.05,1.94,1.96,4.86,2.06,2.0,2.2,1.86,2.0,3.9,1.97,2.1,4.0,4.87,5.2,4.0,1.79,4.8,1.76,1.73,1.93,1.67,1.72,1.95,-0.75,1.86,2.05,3.8,3.95,1.73,5.0,3.8,5.2,1.7,1.8,3.9,1.72,1.97,1.73,Everton,Watford,Everton_Watford_2019
14,3.35,3.3,3.5,1.92,2.0,3.38,1.93,1.95,1.93,1.98,1.94,3.35,1.93,1.9,3.3,3.44,3.5,3.4,1.95,3.4,2.25,2.15,1.99,2.25,2.25,1.97,-0.25,2.05,1.88,3.4,3.42,2.25,3.3,3.3,3.5,2.2,2.3,3.38,1.9,2.01,2.23,Norwich,Newcastle,Norwich_Newcastle_2019
