,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,8,2,Bolton,Aston Villa,E0,3,6,2,7,16,2,M Riley,13,2,D,2,0,D,14,2,0,13/08/2005,0,Aston Villa_Bolton_2005
1,6,2,Man United,Everton,E0,10,5,5,8,14,1,G Poll,12,0,A,0,0,A,15,1,0,13/08/2005,3,Everton_Man United_2005
2,6,0,Birmingham,Fulham,E0,15,4,7,6,13,0,R Styles,7,0,D,0,0,D,12,2,0,13/08/2005,1,Fulham_Birmingham_2005
3,6,0,West Brom,Man City,E0,15,3,8,3,11,0,C Foy,13,0,D,0,0,D,13,3,0,13/08/2005,2,Man City_West Brom_2005
4,0,0,Liverpool,Middlesbrough,E0,4,7,2,5,11,0,M Halsey,16,0,D,0,0,D,17,3,1,13/08/2005,2,Middlesbrough_Liverpool_2005
5,2,2,Tottenham,Portsmouth,E0,11,6,7,7,23,1,B Knight,11,0,A,0,0,A,13,2,0,13/08/2005,0,Portsmouth_Tottenham_2005
6,5,3,Charlton,Sunderland,E0,12,4,8,5,17,1,H Webb,14,1,A,1,1,D,15,0,0,13/08/2005,2,Sunderland_Charlton_2005
7,6,1,Blackburn,West Ham,E0,13,5,5,2,14,1,A Wiley,11,3,H,0,1,A,11,1,0,13/08/2005,0,West Ham_Blackburn_2005
8,3,0,Newcastle,Arsenal,E0,15,1,12,8,17,0,S Bennett,2,2,H,0,1,D,15,1,0,14/08/2005,0,Arsenal_Newcastle_2005
9,6,1,Chelsea,Wigan,E0,12,9,5,2,7,0,M Clattenburg,20,0,A,0,0,D,14,0,0,14/08/2005,1,Wigan_Chelsea_2005
10,4,2,Man City,Birmingham,E0,9,6,2,9,12,1,M Clattenburg,9,1,A,1,0,D,7,1,0,20/08/2005,3,Birmingham_Man City_2005
11,1,1,Fulham,Blackburn,E0,16,4,9,8,14,0,H Webb,8,2,H,1,0,H,26,2,0,20/08/2005,2,Blackburn_Fulham_2005
12,4,0,Wigan,Charlton,E0,21,0,10,4,11,0,R Styles,4,1,H,1,0,H,10,1,0,20/08/2005,0,Charlton_Wigan_2005
13,5,0,Sunderland,Liverpool,E0,15,0,6,5,20,0,B Knight,2,1,H,1,1,H,8,3,0,20/08/2005,2,Liverpool_Sunderland_2005
14,7,0,Aston Villa,Man United,E0,18,3,12,11,21,0,P Dowd,3,1,H,0,0,D,13,1,0,20/08/2005,2,Man United_Aston Villa_2005
15,2,0,West Ham,Newcastle,E0,14,1,6,10,11,0,D Gallagher,6,0,D,0,1,D,9,1,0,20/08/2005,1,Newcastle_West Ham_2005
16,6,0,Middlesbrough,Tottenham,E0,18,3,8,5,10,0,M Atkinson,12,2,H,0,0,D,16,1,0,20/08/2005,3,Tottenham_Middlesbrough_2005
17,3,1,Portsmouth,West Brom,E0,6,2,2,3,19,0,M Riley,10,2,H,1,0,H,21,3,0,20/08/2005,4,West Brom_Portsmouth_2005
18,3,1,Everton,Bolton,E0,16,1,6,8,13,0,A Wiley,3,0,A,0,0,D,10,1,0,21/08/2005,0,Bolton_Everton_2005
19,7,0,Arsenal,Chelsea,E0,9,3,6,3,21,0,G Poll,9,1,H,0,0,D,17,3,0,21/08/2005,2,Chelsea_Arsenal_2005
20,2,3,Middlesbrough,Birmingham,E0,14,3,8,2,15,2,P Dowd,8,0,A,0,0,A,14,1,0,23/08/2005,0,Birmingham_Middlesbrough_2005
21,4,1,Aston Villa,Portsmouth,E0,20,3,11,13,10,1,G Poll,7,1,D,1,1,D,12,1,0,23/08/2005,3,Portsmouth_Aston Villa_2005
22,3,2,Man City,Sunderland,E0,15,7,10,5,10,2,P Walton,12,1,A,1,0,A,10,2,0,23/08/2005,1,Sunderland_Man City_2005
