,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.1,2.0,3.0,-0.25,2.3,2.87,2.88,-0.25,2.87,3.0,2.2,2.9,3.0,2.3,1.72,1.8,2.2,2.3,3.0,2.05,2.0,3.2,1.75,2.35,3.0,2.05,1.85,2.0,-0.25,1.71,3.1,3.0,3.1,2.05,Albacete,Osasuna,Albacete_Osasuna_2003
1,3.1,2.9,2.6,0.25,2.6,2.4,2.4,0.25,2.4,2.5,2.375,2.4,3.2,2.6,1.9,2.1,2.6,2.6,3.2,1.75,1.8,2.2,2.05,2.75,3.2,1.8,2.1,1.71,0.25,2.0,3.0,3.2,3.15,1.77,Ath Bilbao,Barcelona,Ath Bilbao_Barcelona_2003
2,3.1,2.8,2.375,0.0,2.6,2.5,2.5,0.0,2.62,2.5,2.6,2.6,3.2,2.6,1.9,1.95,2.37,2.6,3.0,1.9,1.8,2.3,1.95,2.55,3.0,1.85,2.05,1.75,0.0,1.95,2.9,3.2,3.1,1.85,Espanol,Sociedad,Espanol_Sociedad_2003
3,3.0,2.3,2.75,-0.25,2.37,2.7,2.7,-0.25,3.0,2.875,2.25,3.0,3.2,2.3,1.8,1.75,2.2,2.38,3.1,2.1,1.9,2.8,1.8,2.3,3.1,2.1,1.8,2.0,-0.25,1.71,2.9,3.2,3.1,2.0,Malaga,Villarreal,Malaga_Villarreal_2003
4,3.75,1.45,7.0,-1.5,1.3,8.0,8.0,-1.5,8.0,7.5,1.4,8.0,4.333,1.364,2.2,1.9,1.36,1.3,4.5,1.95,1.61,5.4,1.9,1.35,4.5,1.975,1.925,1.5,-1.5,2.35,3.8,3.75,4.35,1.9,Real Madrid,Betis,Real Madrid_Betis_2003
5,3.75,1.5,6.5,-1.25,1.4,7.5,7.5,-1.25,7.0,8.5,1.444,7.0,3.75,1.4,1.8,1.9,1.4,1.4,3.75,1.95,1.9,5.0,1.95,1.45,3.75,2.025,1.875,1.95,-1.25,1.75,3.7,3.6,3.8,1.85,Valencia,Valladolid,Valencia_Valladolid_2003
6,3.3,1.45,6.5,-1.25,1.44,7.0,7.0,-1.25,7.5,8.0,1.444,7.0,3.6,1.444,1.83,2.0,1.44,1.44,3.6,1.85,1.83,5.4,2.0,1.45,3.6,1.875,2.025,1.79,-1.25,1.9,3.8,3.6,3.8,1.8,Celta,Murcia,Celta_Murcia_2003
7,3.2,2.3,2.6,-0.25,2.4,2.6,2.6,-0.25,2.62,2.75,2.375,2.75,3.2,2.375,1.83,1.75,2.3,2.4,3.2,2.1,1.83,2.8,1.77,2.38,3.2,2.1,1.8,1.95,-0.25,1.75,2.9,3.2,3.15,2.05,Santander,Mallorca,Santander_Mallorca_2003
8,3.1,2.1,2.75,-0.25,2.25,2.87,2.88,-0.25,2.8,3.0,2.25,3.05,3.2,2.2,1.8,1.9,2.25,2.25,3.1,1.95,1.9,3.2,1.85,2.25,3.1,1.9,2.0,2.05,-0.25,1.65,2.9,3.2,3.1,1.95,Sevilla,Ath Madrid,Sevilla_Ath Madrid_2003
9,3.1,2.8,2.2,0.25,2.87,2.2,2.2,0.25,2.37,2.2,2.8,2.25,3.2,3.0,1.9,1.95,2.62,2.88,3.2,1.9,1.8,2.3,1.9,2.9,3.2,1.95,1.95,1.85,0.25,1.85,2.9,3.2,3.25,1.9,Zaragoza,La Coruna,Zaragoza_La Coruna_2003
