,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.2,1.75,4.33,-0.5,1.8,4.2,3.35,-0.5,4.33,4.33,1.73,4.3,3.25,1.72,1.75,2.02,1.72,3.6,1.82,1.9,2.05,4.2,1.85,1.85,3.25,1.8,2.1,1.85,-0.5,1.85,3.1,3.2,3.25,1.85,Ath Madrid,Malaga,Ath Madrid_Malaga_2004
1,3.1,2.9,2.38,0.25,3.0,2.2,3.25,0.25,2.37,2.4,2.6,2.25,3.2,2.87,1.75,2.08,2.62,2.0,1.76,3.4,2.05,2.2,2.1,3.0,3.2,1.8,2.1,1.9,0.25,1.79,3.0,3.2,3.3,1.77,Espanol,La Coruna,Espanol_La Coruna_2004
2,3.1,2.4,2.5,0.0,2.62,2.5,3.15,0.0,2.5,2.5,2.5,2.6,3.2,2.5,1.7,1.82,2.5,2.6,2.02,2.5,2.1,2.7,1.9,2.6,3.1,2.0,1.9,1.95,0.0,1.75,2.9,3.2,3.2,1.95,Numancia,Betis,Numancia_Betis_2004
3,3.25,3.8,1.73,0.75,4.33,1.73,3.4,0.75,1.72,1.72,4.33,1.77,3.4,5.0,2.05,1.94,4.2,1.7,1.9,4.5,1.75,1.8,1.9,4.75,3.4,1.95,1.95,1.71,0.75,2.0,3.1,3.2,3.3,1.95,Mallorca,Real Madrid,Mallorca_Real Madrid_2004
4,3.1,2.4,2.75,-0.25,2.4,2.75,3.2,-0.25,2.75,2.7,2.25,2.95,3.2,2.3,1.75,1.74,2.3,2.9,2.1,2.25,2.05,2.7,2.05,2.3,3.1,2.125,1.775,2.0,0.0,1.71,2.9,3.2,3.25,1.8,Osasuna,Ath Bilbao,Osasuna_Ath Bilbao_2004
5,3.25,3.8,1.67,0.75,4.33,1.73,3.4,0.75,1.8,1.72,4.5,1.75,3.4,5.0,1.95,1.92,3.8,1.7,1.92,4.5,1.85,1.8,1.9,4.75,3.4,2.0,1.9,1.75,0.75,1.95,3.1,3.25,3.4,1.95,Santander,Barcelona,Santander_Barcelona_2004
6,3.4,1.75,5.0,-0.75,1.67,4.75,3.4,-0.75,4.8,4.5,1.62,5.0,3.4,1.66,1.7,2.08,1.6,4.5,1.76,1.7,2.1,4.0,2.05,1.72,3.4,1.8,2.1,1.9,-0.75,1.79,3.2,3.25,3.4,1.8,Sevilla,Albacete,Sevilla_Albacete_2004
7,3.1,1.7,4.5,-0.75,1.67,4.75,3.4,-0.75,5.5,4.33,1.67,5.0,3.25,1.72,1.8,1.72,1.61,4.5,2.12,1.7,2.0,4.4,1.77,1.73,3.4,2.15,1.75,1.9,-0.75,1.79,3.1,3.25,3.3,2.1,Sociedad,Levante,Sociedad_Levante_2004
8,3.2,1.75,5.0,,1.73,4.33,3.25,,4.33,4.33,1.62,4.5,3.25,1.72,1.7,,1.72,4.0,,1.85,2.1,4.2,1.85,1.8,3.4,,,1.9,-0.75,1.79,3.1,3.25,3.35,2.0,Zaragoza,Getafe,Zaragoza_Getafe_2004
9,,1.55,5.5,-0.75,1.53,6.0,3.75,-0.75,,5.0,1.53,6.0,3.4,1.61,1.9,1.94,,7.0,1.9,1.45,1.9,4.8,2.0,1.63,3.6,1.925,1.975,1.9,-0.75,1.79,3.5,3.5,3.3,1.85,Valencia,Villarreal,Valencia_Villarreal_2004
10,3.1,2.5,2.375,0.0,2.8,2.37,3.15,0.0,2.5,2.3,2.6,2.43,3.2,2.7,1.75,1.74,2.5,2.4,2.1,2.7,2.05,2.5,1.55,2.8,3.1,2.1,1.8,2.0,-0.25,1.71,3.0,3.2,3.2,2.3,Ath Bilbao,Valencia,Ath Bilbao_Valencia_2004
11,3.6,1.4,8.0,-1.25,1.44,7.0,4.0,-1.0,7.5,7.5,1.364,7.25,4.0,1.444,2.05,2.12,1.4,7.25,1.72,1.4,1.75,6.5,2.0,1.45,3.75,2.1,1.8,1.65,-1.0,2.05,3.7,3.75,4.0,1.75,Barcelona,Sevilla,Barcelona_Sevilla_2004
12,5.0,1.2,11.0,0.0,1.2,12.0,5.5,-2.0,11.0,13.0,1.2,13.0,6.0,1.2,2.4,1.94,1.2,11.5,1.9,1.2,1.53,10.0,1.95,1.2,5.5,2.15,1.75,1.4,-2.0,2.65,5.0,5.0,5.9,1.8,Real Madrid,Numancia,Real Madrid_Numancia_2004
13,3.1,2.5,2.5,0.0,2.62,2.5,3.15,0.0,2.5,2.5,2.5,2.53,3.2,2.75,1.7,1.8,2.5,2.7,2.04,2.4,2.1,2.5,1.55,2.65,3.1,2.075,1.825,2.0,-0.25,1.71,3.0,3.2,3.3,2.3,Albacete,Ath Madrid,Albacete_Ath Madrid_2004
14,3.2,1.9,3.75,-0.25,1.9,3.75,3.25,-0.25,3.5,3.25,1.833,3.7,3.25,2.0,1.75,2.0,1.9,3.7,1.84,1.9,2.05,3.6,2.05,2.0,3.25,1.8,2.1,2.0,-0.25,1.71,3.0,3.2,3.25,1.8,Betis,Espanol,Betis_Espanol_2004
15,3.1,2.4,2.75,-0.25,2.5,2.6,3.2,-0.25,2.62,2.625,2.4,2.95,3.2,2.375,1.75,1.78,2.37,3.0,2.06,2.2,2.05,2.7,1.7,2.35,3.2,2.125,1.775,1.95,-0.25,1.75,2.9,2.875,3.2,2.05,Getafe,Mallorca,Getafe_Mallorca_2004
16,3.4,1.45,6.0,-1.0,1.5,6.5,3.6,-1.0,6.0,6.5,1.5,6.5,3.75,1.444,1.8,1.94,1.5,6.25,1.9,1.5,2.0,5.8,1.6,1.53,3.6,2.0,1.9,1.85,-1.25,1.85,3.6,3.4,3.7,2.2,La Coruna,Osasuna,La Coruna_Osasuna_2004
17,3.1,2.0,3.2,-0.25,2.2,3.1,3.2,-0.25,3.1,3.1,2.0,3.4,3.2,2.1,1.75,2.0,2.1,3.2,1.84,2.1,2.05,3.3,2.45,2.1,3.1,1.85,2.05,2.0,0.0,1.71,3.0,3.2,3.25,1.5,Levante,Santander,Levante_Santander_2004
18,3.1,2.0,2.8,-0.25,2.1,3.2,3.3,-0.25,3.1,3.0,2.2,3.35,3.25,2.1,1.8,1.92,2.1,3.0,1.92,2.15,2.0,3.3,2.2,2.2,3.2,1.875,2.025,1.85,0.0,1.85,3.0,3.2,3.1,1.6,Malaga,Zaragoza,Malaga_Zaragoza_2004
19,3.3,1.85,3.75,-0.75,1.75,4.5,3.25,-0.75,3.6,4.333,1.8,4.5,3.25,1.727,1.85,1.94,1.83,4.2,1.9,1.8,1.95,3.6,1.67,1.8,3.3,2.025,1.875,1.95,-1.0,1.75,3.1,3.25,3.35,2.1,Villarreal,Sociedad,Villarreal_Sociedad_2004
20,3.3,3.5,1.8,0.5,3.8,1.83,3.35,0.5,1.8,2.0,3.75,1.95,3.2,3.75,1.95,2.04,3.75,1.8,1.8,4.0,1.85,1.9,1.67,3.8,3.4,1.825,2.075,1.71,0.25,2.0,3.1,3.25,3.3,2.1,Espanol,Real Madrid,Espanol_Real Madrid_2004
21,3.2,1.85,3.75,-0.5,2.0,3.6,3.25,-0.5,3.5,3.25,1.83,3.7,3.25,2.0,1.7,1.88,1.9,3.4,1.96,2.0,2.1,3.6,2.15,2.0,3.1,2.025,1.875,2.05,-0.25,1.65,3.1,3.2,3.25,1.65,Osasuna,Betis,Osasuna_Betis_2004
22,3.6,1.5,6.5,-1.0,1.5,6.5,3.8,-1.0,6.5,6.5,1.44,6.75,3.75,1.44,1.95,1.82,1.44,6.7,2.02,1.45,1.85,5.0,1.55,1.5,3.6,2.0,1.9,1.85,-1.25,1.85,3.7,3.6,3.75,2.3,Valencia,Sociedad,Valencia_Sociedad_2004
23,3.0,2.2,3.0,-0.25,2.4,2.75,3.15,-0.25,2.8,2.7,2.1,2.8,3.2,2.3,1.75,1.76,2.3,2.7,2.08,2.4,2.05,2.9,2.15,2.4,3.1,2.075,1.825,1.75,0.0,1.95,3.0,3.2,3.25,1.65,Ath Bilbao,La Coruna,Ath Bilbao_La Coruna_2004
24,3.1,2.9,2.1,0.25,3.0,2.2,3.2,0.5,2.25,2.25,3.0,2.2,3.25,2.75,1.9,2.1,2.8,2.3,1.74,2.8,1.9,2.2,1.8,3.1,3.2,2.05,1.85,1.75,0.25,1.95,3.0,3.2,3.25,2.05,Ath Madrid,Barcelona,Ath Madrid_Barcelona_2004
25,3.1,1.85,3.75,-0.5,1.91,3.75,3.3,-0.5,3.6,3.5,1.83,3.65,3.25,1.9,1.8,1.8,1.9,4.1,2.04,1.8,2.0,3.6,2.15,2.0,3.25,2.05,1.85,1.9,-0.25,1.8,3.1,3.2,3.25,1.65,Mallorca,Malaga,Mallorca_Malaga_2004
26,3.1,2.0,3.75,-0.5,2.0,3.4,3.25,-0.5,3.5,3.5,1.8,3.7,3.25,1.9,1.66,1.86,1.95,3.75,1.98,1.9,2.15,3.3,2.15,2.0,3.25,2.05,1.85,1.95,-0.25,1.75,3.0,3.25,3.25,1.65,Numancia,Getafe,Numancia_Getafe_2004
27,3.1,2.5,2.5,0.0,2.5,2.62,3.15,0.0,2.62,2.7,2.5,2.7,3.2,2.3,1.7,2.0,2.37,2.65,1.84,2.45,2.1,2.5,1.67,2.5,3.1,1.825,2.075,1.85,-0.25,1.85,3.0,3.2,3.25,2.1,Santander,Villarreal,Santander_Villarreal_2004
28,3.3,1.75,5.0,-0.75,1.67,4.8,3.4,-0.75,5.0,4.33,1.62,4.8,3.25,1.72,1.75,1.9,1.61,4.55,1.94,1.7,2.05,4.0,1.65,1.75,3.4,1.95,1.95,1.95,-1.0,1.75,3.2,3.25,3.35,2.15,Sevilla,Levante,Sevilla_Levante_2004
29,3.3,1.85,5.0,-0.75,1.73,4.5,3.3,-0.75,4.33,4.33,1.57,4.75,3.25,1.72,1.75,2.0,1.7,4.1,1.84,1.8,2.05,3.6,1.65,1.77,3.25,1.9,2.0,1.95,-1.0,1.75,3.1,3.5,3.3,2.15,Zaragoza,Albacete,Zaragoza_Albacete_2004
30,3.75,1.4,7.0,-1.0,1.44,6.0,4.0,-1.25,7.0,6.5,1.36,7.0,3.75,1.44,2.0,1.72,1.4,7.0,2.12,1.4,1.8,6.0,1.85,1.42,4.2,1.9,2.0,1.65,-1.0,2.05,3.9,4.0,4.25,1.85,Real Madrid,Osasuna,Real Madrid_Osasuna_2004
31,3.1,2.1,2.75,-0.25,2.38,2.8,3.1,-0.25,2.62,2.8,2.25,2.9,3.2,2.25,1.85,1.84,2.37,2.75,2.0,2.4,1.95,3.1,2.05,2.35,3.1,1.975,1.925,1.85,0.0,1.85,3.0,3.2,3.2,1.7,Albacete,Mallorca,Albacete_Mallorca_2004
32,3.2,2.2,2.75,-0.25,2.3,2.9,3.2,-0.25,2.75,2.7,2.25,3.0,3.2,2.3,1.75,1.78,2.25,3.0,2.06,2.2,2.05,3.0,2.05,2.3,3.1,2.1,1.8,1.85,0.0,1.85,2.9,3.2,3.2,1.7,Betis,Ath Bilbao,Betis_Ath Bilbao_2004
33,3.1,2.8,2.25,0.0,2.75,2.38,3.25,0.0,2.4,2.37,2.75,2.4,3.2,2.62,1.75,1.72,2.6,2.35,2.12,2.65,2.05,2.3,1.55,2.85,3.2,2.125,1.775,1.95,-0.25,1.75,2.9,3.2,3.2,2.3,Getafe,Espanol,Getafe_Espanol_2004
34,3.1,2.2,2.75,0.0,2.4,2.8,3.1,0.0,2.6,2.6,2.38,2.85,3.2,2.4,1.75,2.0,2.4,2.65,1.84,2.5,2.05,2.9,1.7,2.4,3.1,1.875,2.025,1.9,-0.25,1.8,3.0,3.0,3.2,2.05,La Coruna,Valencia,La Coruna_Valencia_2004
35,3.1,2.8,2.38,0.25,2.75,2.38,3.15,0.25,2.4,2.37,2.6,2.4,3.2,2.62,1.8,2.06,2.6,2.35,1.78,2.8,2.0,2.3,2.1,2.75,3.2,1.775,2.125,1.9,0.25,1.8,2.9,3.2,3.25,1.77,Levante,Ath Madrid,Levante_Ath Madrid_2004
36,3.1,1.85,4.33,-0.5,1.83,4.33,3.2,-0.5,4.0,4.0,1.73,4.5,3.2,1.8,1.75,2.04,1.8,4.0,1.8,1.85,2.05,3.8,2.3,1.8,3.1,1.875,2.025,1.8,-0.25,1.9,3.0,3.2,3.3,1.55,Malaga,Numancia,Malaga_Numancia_2004
37,3.3,1.75,4.33,-0.5,1.8,4.33,3.4,-0.5,3.75,4.0,1.73,4.5,3.2,1.8,1.85,1.98,1.8,4.5,1.86,1.7,1.95,4.2,1.7,1.8,3.2,1.925,1.975,1.85,-0.75,1.85,3.1,3.2,3.3,2.05,Sociedad,Santander,Sociedad_Santander_2004
38,3.2,2.0,3.0,-0.25,2.1,3.25,3.3,-0.25,3.0,2.87,2.1,3.4,3.2,2.2,1.8,1.96,2.1,3.5,1.88,1.95,2.0,3.3,2.2,2.1,3.2,1.925,1.975,1.95,0.0,1.75,3.0,3.2,3.25,1.6,Villarreal,Sevilla,Villarreal_Sevilla_2004
39,3.75,1.3,8.0,-1.5,1.33,8.5,4.5,-1.5,8.0,8.5,1.33,9.0,4.0,1.33,2.05,1.9,1.36,9.0,1.94,1.3,1.75,8.0,2.0,1.33,4.33,2.0,1.9,1.65,-1.25,2.05,4.2,4.0,4.5,1.73,Barcelona,Zaragoza,Barcelona_Zaragoza_2004
40,3.2,2.7,2.25,0.25,3.0,2.2,3.2,0.25,2.25,2.3,2.75,2.25,3.25,3.0,1.9,1.92,2.75,2.1,1.92,3.2,1.9,2.3,1.95,3.1,3.2,1.95,1.95,1.75,0.25,1.95,3.0,3.2,3.2,1.9,Ath Bilbao,Real Madrid,Ath Bilbao_Real Madrid_2004
41,3.1,1.85,4.5,-0.5,1.8,4.33,3.35,-0.75,4.0,4.0,1.67,4.15,3.25,1.8,1.8,1.78,1.8,4.3,2.06,1.75,2.0,3.6,2.2,1.87,3.2,1.9,2.0,1.85,-0.25,1.85,3.1,3.25,3.25,1.6,Ath Madrid,Villarreal,Ath Madrid_Villarreal_2004
42,3.3,1.65,5.0,-0.75,1.62,5.5,3.55,-0.75,4.5,4.5,1.62,5.25,3.4,1.66,2.0,1.86,1.66,5.7,1.98,1.55,1.8,4.4,1.65,1.67,3.4,2.05,1.85,1.85,-1.0,1.85,3.3,3.25,3.4,2.15,La Coruna,Betis,La Coruna_Betis_2004
43,3.1,1.9,4.33,-0.5,1.91,3.8,3.3,-0.5,4.0,3.5,1.73,4.2,3.25,1.9,1.8,1.8,1.8,4.1,2.04,1.8,2.0,3.5,2.3,1.85,3.2,2.075,1.825,1.85,-0.25,1.85,3.1,3.2,3.25,1.55,Espanol,Malaga,Espanol_Malaga_2004
44,3.2,4.0,1.57,0.75,4.33,1.73,3.3,0.75,1.72,1.72,5.0,1.73,3.25,4.33,2.0,1.76,4.33,1.8,2.08,4.1,1.8,1.75,2.0,4.75,3.4,2.1,1.8,1.75,0.75,1.95,3.2,3.5,3.4,1.85,Mallorca,Barcelona,Mallorca_Barcelona_2004
45,3.2,2.1,3.5,-0.25,2.1,3.25,3.25,-0.25,3.5,3.25,1.91,3.55,3.25,2.0,1.7,1.96,1.9,3.75,1.88,1.9,2.1,3.1,2.3,2.1,3.2,1.95,1.95,1.95,0.0,1.75,3.0,3.2,3.1,1.55,Numancia,Albacete,Numancia_Albacete_2004
46,3.3,1.65,5.5,-0.75,1.62,5.5,3.5,-0.75,5.0,4.5,1.53,5.8,3.4,1.66,1.75,2.02,1.61,5.2,1.82,1.6,2.05,4.4,1.65,1.65,3.4,1.85,2.05,1.85,-1.0,1.85,3.3,3.5,3.3,2.15,Osasuna,Getafe,Osasuna_Getafe_2004
47,3.1,1.85,4.33,-0.75,1.8,4.2,3.25,-0.75,4.0,4.0,1.73,4.3,3.25,1.8,1.75,1.88,1.8,3.95,1.96,1.85,2.05,3.6,2.45,1.83,3.25,2.05,1.85,1.95,-0.25,1.75,3.1,3.2,3.3,1.5,Sevilla,Sociedad,Sevilla_Sociedad_2004
48,3.75,1.3,9.0,-1.25,1.3,9.0,4.7,-1.25,8.0,8.5,1.3,8.5,4.5,1.28,2.05,2.0,1.36,8.25,1.84,1.3,1.75,8.0,1.75,1.35,4.5,1.9,2.0,1.71,-1.5,2.0,4.2,4.0,4.5,1.9,Valencia,Santander,Valencia_Santander_2004
