,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,6.7,3.65,1.73,3.3,1.6,5.0,1.57,5.75,6.0,1.65,3.5,5.77,5.0,6.0,3.6,1.61,3.5,1.55,5.25,3.6,1.58,28,1.57,-1.0,1.88,1.61,2.05,5.25,2.03,40,1.6,5.2,2.2,3.25,1.84,1.53,1.65,20,3.5,2.04,5.5,3.4,3.25,3.48,1.8,Valencia,Betis,Valencia_Betis_2006
1,3.85,3.25,1.67,3.1,2.0,3.2,1.95,3.75,3.5,2.1,3.2,3.63,3.6,3.75,3.2,2.1,3.2,1.9,3.7,3.2,1.99,26,2.0,-0.5,1.86,1.9,2.08,3.6,2.08,41,1.95,3.6,2.25,3.2,1.82,2.0,2.0,20,3.1,2.03,3.4,3.0,3.0,3.18,1.72,Ath Bilbao,Sociedad,Ath Bilbao_Sociedad_2006
2,5.3,3.5,1.7,3.1,1.75,4.5,1.75,4.2,5.0,1.81,3.4,4.58,4.0,5.0,3.4,1.66,3.4,1.65,4.3,3.4,1.73,26,1.72,-0.5,2.16,1.8,1.79,4.55,2.07,41,1.7,4.2,2.2,3.25,2.12,1.67,1.8,19,3.4,1.77,4.5,3.3,3.25,3.33,1.77,Espanol,Gimnastic,Espanol_Gimnastic_2006
3,3.8,3.3,1.71,3.1,2.0,3.2,2.0,3.6,3.75,2.1,3.25,3.57,3.2,3.75,3.25,2.0,3.2,1.9,3.7,3.2,1.99,26,2.0,-0.5,1.82,2.05,2.19,3.55,2.02,40,1.95,3.0,2.2,3.2,1.8,1.91,2.0,20,3.1,2.07,3.5,3.2,3.2,3.2,1.8,La Coruna,Zaragoza,La Coruna_Zaragoza_2006
4,4.65,3.35,1.69,3.2,1.85,3.75,1.83,4.0,4.33,1.9,3.35,4.1,3.75,4.33,3.2,1.83,3.3,1.75,4.0,3.3,1.84,26,1.83,-0.5,2.02,1.83,1.91,3.8,2.07,41,1.85,3.8,2.25,3.2,1.97,1.8,1.9,18,3.3,1.88,4.35,3.2,3.2,3.26,1.79,Osasuna,Getafe,Osasuna_Getafe_2006
5,7.1,3.9,2.0,3.4,1.55,6.0,1.5,6.0,7.5,1.6,3.85,6.18,6.0,6.0,4.0,1.5,3.7,1.45,6.0,3.8,1.52,26,1.53,-1.0,1.94,1.5,2.0,5.75,1.74,38,1.5,5.5,1.8,3.6,1.87,1.4,1.55,19,3.75,1.97,6.5,3.5,3.4,3.66,2.15,Real Madrid,Villarreal,Real Madrid_Villarreal_2006
6,3.2,3.25,1.63,3.1,2.2,2.8,2.25,2.9,2.88,2.32,3.2,3.0,2.8,3.0,3.2,2.2,3.2,2.25,3.2,3.25,2.26,26,2.3,-0.25,1.88,2.25,2.08,3.0,2.14,40,2.2,3.1,2.3,3.1,1.85,2.25,2.2,20,3.2,2.01,2.8,3.0,3.2,3.16,1.68,Recreativo,Mallorca,Recreativo_Mallorca_2006
7,2.35,3.25,1.65,3.1,2.9,2.25,3.0,2.25,2.25,3.25,3.2,2.27,2.25,2.25,3.2,2.75,3.2,2.75,2.25,3.2,2.97,26,3.1,0.25,1.98,2.8,1.94,2.2,2.11,39,3.0,2.3,2.2,3.1,1.95,2.88,3.1,19,3.1,1.92,2.25,3.0,3.2,3.15,1.7,Santander,Ath Madrid,Santander_Ath Madrid_2006
8,1.76,3.6,1.95,3.2,4.2,1.53,5.0,1.6,1.67,5.8,3.6,1.66,1.7,1.67,3.5,5.5,3.5,5.0,1.65,3.4,5.07,34,5.5,0.75,2.04,4.5,1.95,1.6,1.8,38,5.0,1.75,1.95,3.25,1.97,4.75,5.5,21,3.6,1.9,1.6,3.3,3.5,3.44,2.1,Celta,Barcelona,Celta_Barcelona_2006
9,8.0,4.2,1.76,3.6,1.55,6.5,1.4,8.0,7.0,1.55,3.75,7.1,6.5,7.5,3.75,1.44,3.7,1.5,7.0,4.0,1.46,35,1.44,-1.0,2.13,1.44,1.92,7.0,1.99,46,1.45,5.5,2.15,3.6,2.01,1.44,1.5,24,3.8,1.83,5.5,3.5,6.3,3.72,1.87,Sevilla,Levante,Sevilla_Levante_2006
10,3.23,3.35,1.64,3.0,2.4,2.75,2.38,2.8,3.0,2.55,3.2,2.86,2.7,2.87,3.2,2.25,3.2,2.35,2.85,3.2,2.36,28,2.4,0.0,2.23,2.37,1.8,2.8,2.11,43,2.3,3.0,2.27,3.0,2.06,2.2,2.4,18,3.1,1.74,2.7,2.8,3.2,3.14,1.72,Ath Madrid,Valencia,Ath Madrid_Valencia_2006
11,12.0,5.8,2.08,4.5,1.33,9.0,1.25,11.0,13.0,1.33,4.65,10.14,8.0,10.0,4.5,1.28,5.0,1.25,11.0,5.0,1.27,31,1.28,-1.5,2.05,1.28,1.9,8.5,1.66,43,1.3,8.0,1.75,5.0,2.0,1.25,1.25,19,4.75,1.86,8.5,4.2,4.33,4.88,2.15,Barcelona,Osasuna,Barcelona_Osasuna_2006
12,3.85,3.3,1.64,3.0,2.0,3.5,2.0,3.5,3.5,2.07,3.3,3.51,3.2,3.6,3.2,1.9,3.25,2.0,3.6,3.3,2.0,26,2.0,-0.5,1.81,2.1,2.15,3.5,2.09,42,1.95,3.4,2.25,3.2,1.78,2.0,2.0,18,3.2,2.11,3.25,3.1,3.2,3.21,1.7,Betis,Ath Bilbao,Betis_Ath Bilbao_2006
13,4.6,3.4,1.66,3.0,1.8,4.33,1.83,4.0,4.0,1.91,3.4,4.15,4.0,4.33,3.25,1.72,3.3,1.85,4.25,3.3,1.83,26,1.83,-0.5,2.0,1.83,1.95,4.3,2.07,42,1.75,4.2,2.2,3.2,1.97,1.83,1.83,17,3.25,1.91,3.75,3.1,3.2,3.24,1.75,Getafe,Santander,Getafe_Santander_2006
