,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,5.09,3.5,1.85,,1.7,5.0,1.65,4.75,3.75,1.91,3.45,4.56,,4.75,3.25,3.4,1.61,3.5,1.65,5.0,3.5,1.75,33,1.72,-0.5,2.05,,1.92,4.2,1.88,4.33,43,1.75,4.3,2.0,3.25,1.98,1.91,1.93,23,3.5,1.87,5.0,1.73,3.4,3.25,3.34,1.95,Real Madrid,Ath Madrid,Real Madrid_Ath Madrid_2007
1,9.55,4.2,1.85,,1.4,7.0,1.4,7.5,8.5,1.48,4.0,7.82,,9.0,3.75,3.8,1.4,3.75,1.45,8.0,4.0,1.42,33,1.4,-1.0,2.08,,1.9,7.25,1.87,7.5,44,1.4,7.5,2.0,3.4,1.99,1.4,1.45,23,4.0,1.86,7.5,1.4,3.7,3.75,3.86,1.95,Sevilla,Getafe,Sevilla_Getafe_2007
2,3.85,3.35,1.61,,2.1,3.2,2.0,3.5,3.2,2.15,3.2,3.45,,3.6,3.2,3.2,2.1,3.1,2.0,3.4,3.2,2.06,32,2.05,-0.25,2.12,,1.85,3.8,2.16,3.4,44,1.9,3.4,2.3,3.2,2.05,2.1,2.1,23,3.2,1.81,3.4,2.0,2.9,3.0,3.18,1.7,Ath Bilbao,Osasuna,Ath Bilbao_Osasuna_2007
3,4.7,3.45,1.72,,1.7,4.33,1.8,4.5,4.33,2.07,3.3,4.33,,4.5,3.2,3.4,1.72,3.1,1.84,4.25,3.25,1.82,33,1.83,-0.5,1.92,,2.11,4.8,2.01,4.2,43,1.7,4.5,2.15,3.1,1.87,1.8,1.9,23,3.2,2.0,4.0,1.73,3.3,3.2,3.24,1.82,Espanol,Valladolid,Espanol_Valladolid_2007
4,5.75,3.65,1.68,,1.6,5.0,1.6,5.0,4.75,1.81,3.65,5.14,,5.0,3.2,3.4,1.61,3.4,1.65,5.0,3.4,1.66,32,1.72,-0.5,2.14,,1.83,5.5,2.06,4.5,44,1.55,5.0,2.23,3.25,2.08,1.73,1.7,22,3.6,1.77,5.0,1.67,3.5,3.25,3.42,1.75,La Coruna,Almeria,La Coruna_Almeria_2007
5,4.8,3.45,1.63,,1.85,3.75,1.91,3.75,4.5,1.94,3.2,4.16,,4.33,3.2,3.25,1.83,3.2,1.8,4.25,3.1,1.85,32,1.9,-0.5,2.01,,1.95,4.3,2.12,4.0,44,1.8,4.0,2.28,3.2,1.95,1.8,1.85,22,3.25,1.92,4.0,1.8,3.1,3.2,3.23,1.75,Mallorca,Levante,Mallorca_Levante_2007
6,2.27,3.3,1.61,,3.1,2.2,3.2,2.1,2.0,3.55,3.2,2.15,,2.15,3.2,3.2,3.0,3.2,3.2,2.1,3.2,3.24,30,3.4,0.25,1.94,,2.03,2.0,2.16,2.1,42,3.45,2.2,2.35,3.1,1.89,3.5,3.4,22,3.2,1.97,2.1,3.1,3.0,3.0,3.17,1.7,Murcia,Zaragoza,Murcia_Zaragoza_2007
7,3.5,3.3,1.58,,2.2,2.8,2.15,3.1,3.2,2.3,3.2,3.15,,3.25,3.0,3.1,2.25,3.1,2.25,3.2,3.2,2.2,32,2.2,-0.25,1.97,,2.01,3.0,2.21,3.0,44,2.2,3.1,2.35,3.1,1.92,2.2,2.2,23,3.2,1.95,2.9,2.2,3.0,3.1,3.15,1.7,Recreativo,Betis,Recreativo_Betis_2007
8,1.55,4.26,1.86,,6.0,1.5,6.5,1.44,1.5,7.95,3.85,1.48,,1.44,3.6,3.6,6.0,3.6,7.5,1.5,4.0,6.77,32,7.5,1.0,1.85,,2.17,1.45,1.86,1.5,43,6.5,1.5,2.0,3.4,1.78,6.5,7.0,23,4.0,2.05,1.45,6.0,3.6,3.5,3.75,1.95,Santander,Barcelona,Santander_Barcelona_2007
9,5.15,3.6,1.69,,1.75,4.33,1.67,4.75,5.0,1.8,3.4,4.74,,5.0,3.25,3.1,1.72,3.3,1.7,4.75,3.4,1.73,32,1.72,-0.75,1.85,,2.15,5.0,2.05,4.33,44,1.65,4.3,2.2,3.3,1.78,1.7,1.75,22,3.4,2.09,4.5,1.8,3.2,3.2,3.32,1.75,Valencia,Villarreal,Valencia_Villarreal_2007
10,3.4,3.3,1.63,,2.1,2.75,2.1,3.2,3.0,2.48,3.25,3.15,,3.25,3.1,3.2,2.25,3.2,2.0,3.4,3.2,2.2,36,2.2,-0.25,1.88,,2.11,3.4,2.13,2.88,45,2.0,3.2,2.27,3.2,1.84,2.25,2.1,24,3.2,2.03,3.3,2.2,3.1,3.2,3.17,1.75,Levante,Murcia,Levante_Murcia_2007
11,5.45,3.65,1.68,,1.75,4.0,1.73,4.33,4.75,1.8,3.3,4.74,,5.0,3.25,3.25,1.8,3.3,1.7,4.75,3.6,1.73,38,1.66,-0.75,1.91,,2.05,4.75,2.07,4.33,46,1.7,4.3,2.22,3.25,1.86,1.73,1.75,24,3.4,2.01,4.5,1.73,3.2,3.2,3.34,1.77,Zaragoza,Santander,Zaragoza_Santander_2007
12,2.35,3.3,1.67,,3.2,2.1,3.0,2.2,2.25,3.4,3.2,2.18,,2.25,3.2,3.2,3.0,3.2,3.0,2.1,3.1,3.16,34,3.2,0.25,2.09,,1.9,2.0,2.07,2.25,44,3.45,2.1,2.25,3.1,2.03,2.88,3.4,24,3.2,1.84,2.2,2.8,3.1,3.2,3.19,1.7,Almeria,Valencia,Almeria_Valencia_2007
13,5.55,3.5,1.75,,1.65,5.0,1.73,4.5,5.0,1.85,3.5,4.85,,5.0,3.3,3.4,1.66,3.3,1.6,4.75,3.4,1.71,34,1.72,-0.5,2.1,,1.9,4.75,2.0,5.0,44,1.65,4.7,2.14,3.3,2.01,1.67,1.75,23,3.4,1.81,5.0,1.62,3.4,3.2,3.35,1.83,Ath Madrid,Mallorca,Ath Madrid_Mallorca_2007
14,16.0,6.75,2.11,,1.22,10.0,1.2,11.0,13.0,1.26,6.0,12.11,,15.0,5.5,5.0,1.22,5.75,1.22,11.0,6.5,1.21,38,1.16,-1.75,2.02,,1.95,10.0,1.65,11.0,46,1.2,11.0,1.72,5.0,1.96,1.18,1.22,22,5.75,1.91,10.0,1.22,4.8,5.0,5.6,2.35,Barcelona,Ath Bilbao,Barcelona_Ath Bilbao_2007
15,3.9,3.35,1.63,,2.1,3.2,2.1,3.3,3.2,2.15,3.2,3.37,,3.6,3.2,3.25,2.0,3.25,2.0,3.25,3.25,2.07,37,2.05,-0.25,2.19,,1.82,3.0,2.15,3.25,46,2.2,3.3,2.3,3.2,2.1,2.1,2.15,24,3.1,1.79,3.3,2.0,3.0,3.2,3.21,1.7,Betis,Espanol,Betis_Espanol_2007
16,3.9,3.37,1.65,,2.0,3.5,2.1,3.2,2.88,2.25,3.25,3.4,,3.4,3.2,3.25,1.9,3.2,2.1,3.4,3.25,2.07,37,2.1,-0.25,2.09,,1.89,3.4,2.1,3.25,46,2.0,3.4,2.27,3.1,2.02,2.25,2.1,24,3.2,1.86,3.2,2.0,3.1,3.2,3.21,1.72,Getafe,Recreativo,Getafe_Recreativo_2007
17,3.85,3.3,1.64,,2.2,3.2,2.2,3.0,3.75,2.25,3.2,3.33,,3.5,3.2,3.25,2.0,3.2,2.1,3.3,3.2,2.11,33,2.1,-0.25,2.15,,1.84,3.1,2.13,3.5,43,2.15,3.0,2.3,3.1,2.08,1.91,2.15,24,3.2,1.8,3.1,1.91,3.1,3.2,3.19,1.7,Valladolid,La Coruna,Valladolid_La Coruna_2007
18,2.52,3.35,1.78,,3.1,2.25,2.75,2.38,2.38,3.1,3.2,2.34,,2.37,3.2,3.25,2.75,3.25,2.8,2.35,3.25,2.85,38,2.87,0.0,1.77,,2.19,2.3,1.94,2.25,46,2.8,2.2,2.09,3.1,1.7,2.75,2.9,25,3.2,2.1,2.3,2.75,3.0,3.2,3.19,1.95,Villarreal,Real Madrid,Villarreal_Real Madrid_2007
19,3.0,3.3,1.67,,2.3,2.88,2.4,2.7,2.62,2.52,3.15,2.8,,2.9,3.1,3.2,2.25,3.2,2.25,2.8,3.25,2.4,35,2.4,0.0,2.14,,1.81,2.8,2.09,2.75,45,2.35,2.9,2.2,3.25,2.05,2.5,2.4,21,3.2,1.75,2.8,2.3,3.0,3.0,3.15,1.71,Ath Bilbao,Zaragoza,Ath Bilbao_Zaragoza_2007
20,17.13,7.0,2.23,,1.2,12.0,1.15,12.0,12.0,1.22,6.5,12.8,,15.0,5.5,5.5,1.14,6.0,1.18,13.0,6.75,1.18,31,1.18,-1.75,1.83,,2.2,13.0,1.59,11.0,45,1.15,11.0,1.66,5.5,1.76,1.2,1.2,21,6.5,2.13,11.0,1.2,5.2,6.0,6.01,2.35,Real Madrid,Almeria,Real Madrid_Almeria_2007
21,7.9,4.4,1.71,,1.45,6.5,1.4,7.25,7.5,1.55,4.0,6.88,,6.75,3.6,3.6,1.5,4.0,1.45,7.0,4.0,1.47,32,1.5,-1.0,1.88,,2.09,6.15,2.03,6.0,43,1.45,7.0,2.2,3.5,1.84,1.44,1.45,21,4.0,2.03,7.5,1.5,3.6,3.3,3.79,1.8,Valencia,Valladolid,Valencia_Valladolid_2007
22,3.85,3.3,1.67,,2.1,3.0,2.0,3.5,3.5,2.15,3.2,3.47,,3.5,3.2,3.2,2.1,3.2,2.0,3.5,3.3,2.05,30,2.1,-0.5,1.8,,2.18,3.45,2.09,3.1,46,2.0,3.3,2.25,3.2,1.77,2.0,2.05,20,3.2,2.12,3.3,2.1,3.0,3.2,3.19,1.71,Espanol,Getafe,Espanol_Getafe_2007
23,3.25,3.27,1.65,,2.2,2.88,2.3,2.9,3.25,2.5,3.2,3.03,,3.25,3.25,3.2,2.25,3.2,2.3,3.2,3.1,2.26,31,2.3,0.0,2.28,,1.81,3.1,2.11,3.1,46,2.15,3.0,2.25,3.1,2.17,2.05,2.2,20,3.1,1.68,2.8,2.1,3.1,3.0,3.14,1.73,La Coruna,Betis,La Coruna_Betis_2007
24,3.2,3.3,1.68,,2.4,2.75,2.4,2.75,3.0,2.5,3.15,2.82,,3.0,3.2,3.0,2.25,3.2,2.25,2.8,3.25,2.38,31,2.37,0.0,2.24,,1.8,2.65,2.08,2.62,46,2.45,2.7,2.2,3.25,2.11,2.2,2.4,21,3.1,1.72,2.8,2.5,3.1,3.2,3.17,1.75,Mallorca,Villarreal,Mallorca_Villarreal_2007
