,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.45,3.44,1.78,3.3,2.4,2.88,3.0,2.4,3.4,3.15,3.2,3.2,3.25,3.3,2.38,3.38,2.3,3.4,3.25,3.25,3.43,2.28,34,2.25,-0.25,1.98,2.25,1.99,3.25,2.02,3.0,38,2.25,2.7,2.12,3.3,2.31,1.91,2.4,2.25,21,1.96,3.4,2.3,3.2,3.2,3.26,1.83,Celta,Malaga,Celta_Malaga_2012
1,4.25,3.57,1.68,3.25,2.1,3.3,3.75,2.1,3.3,3.78,3.8,3.8,3.25,3.25,2.1,3.56,2.0,3.3,4.1,3.3,4.17,2.0,32,2.0,-0.5,1.95,2.05,2.01,4.1,2.17,3.6,38,2.0,3.2,2.3,3.5,2.0,1.9,2.1,2.0,20,1.98,4.1,2.05,3.2,3.25,3.36,1.72,Mallorca,Espanol,Mallorca_Espanol_2012
2,6.0,4.08,1.84,3.75,1.7,4.5,5.5,1.7,3.75,5.33,4.8,5.5,3.6,3.6,1.7,3.94,1.67,3.75,5.5,3.75,6.15,1.65,34,1.62,-0.75,2.12,1.7,1.9,5.5,1.96,5.0,38,1.6,4.4,2.04,3.8,1.65,2.05,1.67,1.6,23,1.82,6.0,1.7,3.5,3.6,3.72,1.92,Sevilla,Getafe,Sevilla_Getafe_2012
3,4.5,3.83,1.92,3.5,1.8,4.2,4.5,1.91,3.5,4.18,4.0,4.2,3.5,3.5,1.85,3.77,1.87,3.5,4.1,3.5,4.41,1.85,34,1.83,-0.75,1.81,1.91,2.18,4.1,1.88,4.2,38,1.85,4.0,2.0,3.7,1.89,1.76,1.83,1.85,18,2.12,4.33,1.83,3.4,3.5,3.54,2.0,Ath Bilbao,Betis,Ath Bilbao_Betis_2012
4,34.0,13.0,3.36,11.0,1.12,17.0,29.0,1.12,10.0,24.64,29.0,26.0,9.0,9.0,1.11,12.0,1.1,10.0,23.0,9.0,31.0,1.09,23,1.1,-2.75,1.99,1.07,1.98,23.0,1.3,21.0,35,1.08,14.0,1.33,12.0,1.1,1.93,1.1,1.08,23,1.93,31.0,1.1,7.0,8.0,9.77,3.65,Barcelona,Sociedad,Barcelona_Sociedad_2012
5,2.5,3.51,1.84,3.3,2.6,2.4,2.4,3.4,3.4,2.27,2.3,2.2,3.3,3.3,2.75,3.44,3.4,3.4,2.3,3.4,2.26,3.13,33,3.2,0.25,1.98,3.1,2.0,2.3,1.97,2.3,37,3.1,2.5,2.06,3.4,3.48,1.93,3.0,3.1,21,1.93,2.25,3.0,3.2,3.25,3.31,1.9,Levante,Ath Madrid,Levante_Ath Madrid_2012
6,13.0,6.7,2.79,5.5,1.25,9.5,12.0,1.29,5.75,10.92,10.0,10.0,5.8,5.5,1.25,6.52,1.25,5.75,9.75,6.0,12.44,1.25,23,1.25,-1.75,2.01,1.25,1.97,9.75,1.4,11.0,38,1.26,10.0,1.46,6.5,1.27,1.93,1.25,1.26,23,1.93,12.0,1.25,5.0,5.5,5.93,3.0,Real Madrid,Valencia,Real Madrid_Valencia_2012
7,4.12,3.55,1.71,3.25,2.2,3.3,3.5,2.2,3.4,3.65,3.6,3.75,3.3,3.3,2.1,3.49,2.05,3.4,3.8,3.4,4.11,2.03,30,2.0,-0.25,2.25,2.1,1.8,3.8,2.12,3.6,33,1.95,3.0,2.26,3.4,2.04,2.13,2.1,1.95,21,1.75,4.0,2.0,3.2,3.25,3.33,1.75,La Coruna,Osasuna,La Coruna_Osasuna_2012
8,3.6,3.54,1.87,3.3,2.1,3.2,3.6,2.26,3.3,3.3,3.4,3.3,3.3,3.25,2.15,3.42,2.3,3.3,3.3,3.3,3.39,2.19,30,2.2,-0.25,1.99,2.15,1.96,3.3,1.93,3.2,33,2.15,3.2,2.04,3.4,2.31,1.94,2.1,2.15,19,1.92,3.4,2.2,3.2,3.25,3.28,1.99,Vallecano,Granada,Vallecano_Granada_2012
9,3.6,3.52,1.82,3.3,2.0,3.4,3.6,2.2,3.3,3.41,3.3,3.4,3.3,3.25,2.0,3.5,2.2,3.3,3.6,3.3,3.5,2.14,30,2.15,0.0,2.58,2.2,1.59,3.6,1.99,3.2,33,2.05,3.4,2.1,3.5,2.23,2.47,2.1,2.05,19,1.55,3.5,2.2,3.2,3.4,3.29,1.88,Zaragoza,Valladolid,Zaragoza_Valladolid_2012
