,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,5.5,3.74,1.87,3.75,1.7,5.0,5.5,1.83,3.6,4.8,4.5,4.75,3.6,3.74,1.66,1.8,3.6,5.12,1.75,30,1.73,,,1.75,,4.75,1.94,33,1.72,4.7,2.02,3.75,1.79,,1.67,,,4.8,3.6,3.6,3.54,1.96,Sociedad,Getafe,Sociedad_Getafe_2013
1,6.9,4.33,2.11,4.0,1.55,6.0,6.0,1.6,4.0,6.1,6.0,6.0,4.0,4.33,1.57,1.57,4.0,6.78,1.54,29,1.53,,,1.55,,5.5,1.72,32,1.57,5.6,1.79,4.3,1.56,,1.57,,,6.25,3.9,3.75,3.95,2.25,Valencia,Malaga,Valencia_Malaga_2013
2,2.88,3.4,1.79,3.3,2.4,2.6,2.75,2.7,3.3,2.73,2.8,2.8,3.25,3.35,2.6,2.7,3.3,2.86,2.56,30,2.5,,,2.5,,2.65,2.01,33,2.6,2.75,2.15,3.3,2.69,,2.63,,,2.75,3.3,3.3,3.26,1.85,Valladolid,Ath Bilbao,Valladolid_Ath Bilbao_2013
3,33.0,15.0,3.96,11.0,1.1,23.0,29.0,1.1,10.5,24.0,23.0,26.0,9.5,14.0,1.08,1.09,10.0,30.0,1.08,18,1.08,,,1.08,,23.0,1.23,33,1.08,20.0,1.27,13.0,1.09,,1.09,,,31.0,8.0,10.0,10.55,4.5,Barcelona,Levante,Barcelona_Levante_2013
4,4.0,3.45,1.65,3.25,2.0,3.5,3.8,2.15,3.3,3.66,3.5,3.75,3.4,3.37,2.0,2.15,3.3,3.95,2.06,30,2.0,,,2.15,,3.8,2.23,33,2.0,3.6,2.34,3.3,2.13,,2.0,,,3.75,3.3,3.3,3.29,1.7,Osasuna,Granada,Osasuna_Granada_2013
5,21.0,9.0,3.48,7.5,1.17,15.0,17.0,1.18,7.75,16.22,15.0,17.0,7.0,9.0,1.15,1.17,7.0,19.3,1.15,18,1.17,,,1.17,,13.5,1.28,33,1.16,14.0,1.33,8.5,1.16,,1.17,,,17.0,6.5,6.5,7.45,3.75,Real Madrid,Betis,Real Madrid_Betis_2013
6,2.7,3.4,1.82,3.3,2.6,2.5,2.63,2.9,3.4,2.55,2.5,2.5,3.4,3.39,2.75,2.8,3.3,2.64,2.73,30,2.8,,,2.8,,2.5,1.98,33,2.7,2.6,2.09,3.3,2.89,,2.63,,,2.62,3.2,3.3,3.27,1.94,Sevilla,Ath Madrid,Sevilla_Ath Madrid_2013
7,2.95,3.34,1.66,3.2,2.5,2.87,2.88,2.7,3.25,2.77,2.9,2.75,3.25,3.32,2.37,2.7,3.2,2.87,2.55,28,2.6,,,2.5,,2.75,2.19,33,2.55,2.65,2.28,3.25,2.7,,2.5,,,2.8,3.3,3.2,3.22,1.75,Almeria,Villarreal,Almeria_Villarreal_2013
8,3.69,3.4,1.65,3.25,2.2,3.25,3.4,2.3,3.4,3.33,3.5,3.4,3.3,3.33,2.2,2.25,3.2,3.69,2.19,27,2.2,,,2.15,,3.3,2.22,30,2.15,3.1,2.32,3.25,2.23,,2.2,,,3.6,3.3,3.3,3.24,1.73,Celta,Espanol,Celta_Espanol_2013
9,3.5,3.42,1.76,3.3,2.1,3.3,3.3,2.31,3.3,3.21,3.2,3.25,3.25,3.42,2.2,2.3,3.25,3.39,2.22,28,2.25,,,2.25,,3.25,2.04,31,2.2,3.3,2.13,3.4,2.31,,2.25,,,3.3,3.3,3.3,3.26,1.84,Vallecano,Elche,Vallecano_Elche_2013
10,5.55,4.0,1.9,3.6,1.7,5.5,5.5,1.8,3.7,5.09,5.5,5.5,4.0,4.14,1.66,1.67,3.75,5.82,1.7,31,1.62,-1.0,1.69,1.67,2.47,5.75,1.9,34,1.62,4.7,1.96,3.9,1.65,1.61,1.62,21.0,2.38,5.75,3.6,3.6,3.65,2.0,Ath Bilbao,Osasuna,Ath Bilbao_Osasuna_2013
11,4.7,3.61,1.74,3.5,1.85,4.2,4.33,1.92,3.4,4.29,4.4,4.2,3.6,3.63,1.85,1.91,3.5,4.54,1.86,31,1.85,-0.75,1.79,1.83,2.19,4.6,2.08,34,1.8,4.0,2.19,3.6,1.91,1.75,1.83,18.0,2.15,4.4,3.45,3.5,3.49,1.84,Getafe,Almeria,Getafe_Almeria_2013
12,2.25,3.5,1.84,3.3,3.0,2.25,2.25,3.5,3.3,2.21,2.25,2.2,3.5,3.47,3.2,3.4,3.4,2.27,3.21,31,3.2,0.25,1.95,3.2,2.03,2.15,1.96,34,3.4,2.25,2.05,3.4,3.32,1.9,3.13,18.0,1.97,2.25,3.3,3.3,3.35,1.96,Elche,Sociedad,Elche_Sociedad_2013
13,2.45,3.43,1.83,3.3,2.9,2.3,2.38,3.22,3.3,2.33,2.25,2.38,3.4,3.43,3.1,3.1,3.25,2.41,3.06,30,3.0,0.0,1.74,3.2,2.27,2.25,1.98,33,3.1,2.3,2.08,3.4,3.18,1.69,3.0,18.0,2.19,2.4,3.3,3.3,3.27,1.94,Espanol,Valencia,Espanol_Valencia_2013
14,4.6,3.7,1.76,3.5,1.85,4.0,4.5,1.91,3.4,4.23,4.33,4.0,3.5,3.7,1.9,1.87,3.6,4.6,1.86,31,1.85,-0.5,2.07,1.85,1.91,4.33,2.05,34,1.85,4.0,2.12,3.6,1.88,2.01,1.83,18.0,1.86,4.5,3.45,3.4,3.47,1.88,Villarreal,Valladolid,Villarreal_Valladolid_2013
15,11.96,5.75,2.28,5.0,1.35,9.0,11.0,1.35,4.75,9.84,9.0,10.0,5.25,5.6,1.33,1.33,5.25,11.58,1.31,22,1.29,-1.5,2.02,1.33,1.97,9.25,1.6,33,1.34,7.6,1.68,5.5,1.32,1.96,1.3,22.0,1.89,10.0,4.8,5.0,5.17,2.4,Ath Madrid,Vallecano,Ath Madrid_Vallecano_2013
16,5.0,3.75,1.87,3.6,1.7,5.0,5.0,1.87,3.7,4.51,4.75,4.5,3.6,3.64,1.7,1.87,3.5,4.78,1.79,31,1.8,-0.5,2.09,1.75,1.86,4.75,1.94,34,1.72,4.5,2.03,3.7,1.86,2.05,1.73,18.0,1.82,4.5,3.7,3.6,3.57,1.94,Betis,Celta,Betis_Celta_2013
