,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.3,3.6,1.92,3.4,2.9,2.25,3.5,3.4,2.2,2.2,2.15,3.57,3.4,3.4,3.4,2.25,3.26,37,3.4,0.25,1.94,3.2,2.02,2.25,1.86,39,3.3,2.3,1.95,3.5,3.39,1.9,24,1.95,2.25,3.3,3.3,3.42,2.02,Malaga,Sevilla,Malaga_Sevilla_2015
1,19.0,6.78,1.96,5.5,1.25,15.0,1.25,6.0,15.65,15.0,15.0,6.78,1.22,1.22,6.5,16.86,1.21,40,1.2,-1.75,1.95,1.22,2.02,12.0,1.82,41,1.22,10.3,1.9,6.5,1.23,1.89,26,1.95,19.0,5.5,6.5,6.09,2.04,Ath Madrid,Las Palmas,Ath Madrid_Las Palmas_2015
2,4.68,3.75,1.56,3.3,2.0,4.5,2.0,3.25,4.31,4.33,4.33,3.47,1.91,1.91,3.4,4.68,1.9,36,1.91,-0.5,2.01,1.91,1.95,4.0,2.37,41,1.95,3.6,2.53,3.5,1.93,1.94,27,1.9,4.6,3.3,3.4,3.37,1.6,Espanol,Getafe,Espanol_Getafe_2015
3,3.1,3.4,1.56,3.0,2.6,2.8,2.75,3.1,2.93,2.9,3.0,3.23,2.62,2.55,3.2,3.08,2.52,37,2.5,0.0,2.15,2.62,1.82,2.8,2.37,41,2.55,2.6,2.48,3.3,2.59,2.07,26,1.78,3.0,3.2,3.2,3.14,1.63,La Coruna,Sociedad,La Coruna_Sociedad_2015
4,2.15,3.77,2.04,3.3,3.6,2.0,4.0,3.4,2.02,2.1,2.05,3.77,3.6,3.7,3.5,2.06,3.57,39,3.6,0.5,2.08,3.6,1.9,2.05,1.75,41,3.5,2.0,1.83,3.75,3.72,2.01,27,1.83,2.05,3.3,3.6,3.55,2.15,Vallecano,Valencia,Vallecano_Valencia_2015
5,1.57,4.8,2.27,3.8,5.2,1.53,7.4,4.2,1.49,1.53,1.5,4.53,6.5,6.5,4.33,1.52,6.6,33,6.5,1.0,1.87,7.0,2.12,1.5,1.6,41,6.0,1.57,1.66,4.6,7.06,1.81,27,2.03,1.53,4.0,4.33,4.33,2.38,Ath Bilbao,Barcelona,Ath Bilbao_Barcelona_2015
6,2.7,3.35,1.7,3.1,2.6,2.5,3.0,3.25,2.55,2.62,2.6,3.34,2.9,3.0,3.25,2.63,2.81,35,2.8,0.0,1.87,2.8,2.09,2.6,2.12,37,2.65,2.6,2.25,3.25,2.93,1.82,26,2.02,2.5,3.2,3.3,3.22,1.78,Betis,Villarreal,Betis_Villarreal_2015
7,2.3,3.5,1.59,3.1,2.9,2.15,3.84,3.2,2.13,2.25,2.15,3.4,3.6,3.75,3.3,2.15,3.58,37,3.6,0.25,1.86,3.4,2.11,2.2,2.31,41,3.25,2.3,2.43,3.4,3.84,1.81,26,2.03,2.15,3.3,3.3,3.26,1.66,Levante,Celta,Levante_Celta_2015
8,1.26,7.0,2.53,5.0,12.5,1.22,15.0,6.5,1.23,1.25,1.22,6.6,13.0,13.0,6.5,1.26,12.72,34,13.0,1.75,2.0,15.0,1.96,1.22,1.5,41,10.0,1.2,1.54,6.5,12.98,1.93,26,1.91,1.25,6.0,6.5,6.11,2.68,Sp Gijon,Real Madrid,Sp Gijon_Real Madrid_2015
9,5.15,3.5,1.45,3.1,2.0,4.5,2.0,3.1,4.64,4.5,4.5,3.34,1.95,1.9,3.3,5.15,1.88,33,1.91,-0.5,2.04,1.95,1.92,4.33,2.68,39,1.95,3.6,2.88,3.3,1.9,1.96,25,1.88,5.0,3.3,3.3,3.23,1.5,Granada,Eibar,Granada_Eibar_2015
10,7.5,4.1,1.71,3.8,1.6,7.0,1.63,3.75,6.5,7.0,6.5,4.09,1.53,1.6,3.8,6.69,1.56,33,1.57,-1.0,1.86,1.53,2.12,6.0,2.11,36,1.62,5.4,2.2,4.1,1.6,1.82,24,2.04,6.5,3.7,4.0,3.84,1.81,Villarreal,Espanol,Villarreal_Espanol_2015
11,51.0,10.0,3.0,7.5,1.15,19.0,1.15,7.75,24.11,19.0,26.0,10.0,1.12,1.12,10.0,24.1,1.11,35,1.1,-2.5,1.92,1.14,2.05,16.5,1.37,36,1.13,15.0,1.4,10.0,1.14,1.85,25,1.99,31.0,7.0,8.5,8.96,3.25,Barcelona,Malaga,Barcelona_Malaga_2015
12,6.5,4.5,2.15,4.0,1.65,5.5,1.65,3.75,5.91,6.0,6.0,4.41,1.57,1.57,4.33,6.29,1.54,33,1.53,-1.0,1.96,1.55,1.99,6.25,1.68,37,1.55,4.9,1.74,4.5,1.57,1.91,25,1.92,6.0,3.7,4.2,4.14,2.25,Celta,Vallecano,Celta_Vallecano_2015
