,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,3.1,2.55,1.86,2.31,2.97,3.2,1.7,2.9,3.22,3.0,2.46,2.5,0.0,3.25,3.01,1.63,1.61,2.5,2.17,3.16,2.1,2.55,3.0,2.11,2.45,2.3,2.95,3.27,3.2,2.6,2.41,3.13,1.81,2.53,1.81,2.09,1.61,2.66,2.9,2.9,1.78,Eibar,Celta,Eibar_Celta_2020
1,3.0,2.85,2.0,2.61,2.75,3.1,1.56,2.75,3.02,2.75,2.77,2.8,0.0,3.1,2.82,1.51,1.53,2.75,1.99,3.0,1.92,2.8,2.65,1.92,2.85,2.5,2.75,3.22,3.1,2.92,2.74,2.89,1.99,2.82,1.97,1.93,1.49,2.92,2.7,2.7,1.95,Granada,Ath Bilbao,Granada_Ath Bilbao_2020
2,2.9,2.8,1.99,2.7,2.82,3.0,1.53,2.75,3.04,2.88,2.91,2.8,0.0,3.0,2.86,1.48,1.44,2.8,2.0,2.95,1.94,2.8,2.8,1.95,2.75,2.75,2.8,3.08,2.9,2.87,2.84,2.97,1.95,2.8,1.94,1.96,1.46,2.93,2.8,2.7,1.92,Cadiz,Osasuna,Cadiz_Osasuna_2020
3,3.2,2.85,2.06,2.18,2.59,3.0,1.77,2.6,3.32,2.62,2.28,2.8,0.0,3.2,2.64,1.72,1.66,2.8,1.94,3.21,1.85,2.8,2.65,1.87,2.95,2.2,2.6,3.35,3.25,2.88,2.23,2.76,2.04,2.83,2.04,1.86,1.68,2.99,2.55,2.95,2.01,Alaves,Betis,Alaves_Betis_2020
4,3.2,2.9,2.13,2.25,2.55,3.2,1.73,2.6,3.3,2.55,2.39,2.8,0.0,3.2,2.57,1.66,1.61,2.8,1.89,3.2,1.82,2.9,2.6,1.82,2.8,2.3,2.55,3.38,3.2,2.98,2.34,2.65,2.11,2.88,2.07,1.83,1.65,3.04,2.55,2.95,2.05,Valladolid,Sociedad,Valladolid_Sociedad_2020
5,4.0,1.6,2.07,1.84,5.92,4.0,2.07,6.0,4.21,6.5,1.92,1.55,-1.0,4.0,6.36,2.05,1.9,1.57,1.92,4.1,1.87,1.55,6.0,1.87,1.57,1.9,6.0,4.3,4.1,1.57,1.85,6.5,2.04,1.57,2.02,1.88,1.97,1.6,5.75,3.75,1.99,Villarreal,Huesca,Villarreal_Huesca_2020
6,3.5,2.15,1.85,1.81,3.53,3.6,2.1,3.5,3.48,3.6,1.9,2.05,-0.25,3.5,3.66,2.05,2.0,2.1,2.14,3.46,2.06,2.05,3.5,2.08,2.05,1.8,3.5,3.7,3.5,2.14,1.85,3.72,1.84,2.1,1.83,2.07,2.0,2.16,3.5,3.15,1.81,Valencia,Levante,Valencia_Levante_2020
7,3.9,1.63,2.13,1.87,5.72,4.1,2.02,6.0,4.12,6.0,1.97,1.57,-1.0,4.0,5.93,1.98,1.9,1.57,1.87,4.05,1.81,1.6,5.5,1.83,1.6,1.9,5.75,4.2,4.1,1.61,1.92,6.5,2.09,1.6,2.02,1.77,1.94,1.65,5.75,3.8,2.05,Villarreal,Eibar,Villarreal_Eibar_2020
8,3.1,2.0,2.02,2.72,4.36,3.25,1.52,4.33,3.24,4.4,2.91,1.95,-0.5,3.25,4.4,1.47,1.44,1.95,1.94,3.18,1.88,2.0,4.5,1.9,1.91,2.75,4.5,3.32,3.2,2.02,2.85,4.6,2.02,1.99,2.01,1.92,1.45,2.06,4.4,2.95,1.98,Getafe,Osasuna,Getafe_Osasuna_2020
9,3.4,2.25,2.02,2.02,3.17,3.5,1.88,3.1,3.58,3.2,2.12,2.25,-0.25,3.6,3.22,1.82,1.8,2.2,1.99,3.5,1.93,2.25,3.1,1.95,2.25,2.0,3.15,3.7,3.4,2.25,2.08,3.35,1.97,2.24,1.97,1.96,1.8,2.34,3.2,3.25,1.95,Celta,Valencia,Celta_Valencia_2020
10,3.0,2.2,1.9,2.67,3.92,3.0,1.53,4.0,2.99,3.9,2.88,2.1,-0.25,3.1,4.07,1.49,1.5,2.1,2.12,3.01,2.04,2.15,4.0,2.06,2.15,2.62,3.9,3.2,3.1,2.21,2.78,4.1,1.85,2.17,1.83,2.07,1.47,2.25,3.8,2.8,1.83,Huesca,Cadiz,Huesca_Cadiz_2020
