,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,1,SP1,Malaga,H,0,2004-08-28,H,Ath Madrid,2,0,Ath Madrid_Malaga_2004
1,1,SP1,La Coruna,D,0,2004-08-28,H,Espanol,1,1,Espanol_La Coruna_2004
2,1,SP1,Betis,D,1,2004-08-28,D,Numancia,1,1,Numancia_Betis_2004
3,0,SP1,Real Madrid,A,0,2004-08-29,D,Mallorca,0,1,Mallorca_Real Madrid_2004
4,1,SP1,Ath Bilbao,D,1,2004-08-29,D,Osasuna,1,1,Osasuna_Ath Bilbao_2004
5,0,SP1,Barcelona,A,0,2004-08-29,D,Santander,0,2,Santander_Barcelona_2004
6,0,SP1,Albacete,H,0,2004-08-29,D,Sevilla,1,0,Sevilla_Albacete_2004
7,0,SP1,Levante,D,1,2004-08-29,A,Sociedad,1,1,Sociedad_Levante_2004
8,1,SP1,Getafe,H,1,2004-08-29,D,Zaragoza,3,1,Zaragoza_Getafe_2004
9,2,SP1,Villarreal,H,0,2004-08-30,H,Valencia,2,1,Valencia_Villarreal_2004
10,2,SP1,Valencia,D,0,2004-09-11,H,Ath Bilbao,2,2,Ath Bilbao_Valencia_2004
11,1,SP1,Sevilla,H,0,2004-09-11,H,Barcelona,2,0,Barcelona_Sevilla_2004
12,1,SP1,Numancia,H,0,2004-09-11,H,Real Madrid,1,0,Real Madrid_Numancia_2004
13,0,SP1,Ath Madrid,A,0,2004-09-12,D,Albacete,0,2,Albacete_Ath Madrid_2004
14,0,SP1,Espanol,A,2,2004-09-12,A,Betis,1,4,Betis_Espanol_2004
15,0,SP1,Mallorca,A,1,2004-09-12,A,Getafe,1,2,Getafe_Mallorca_2004
16,1,SP1,Osasuna,A,0,2004-09-12,H,La Coruna,1,3,La Coruna_Osasuna_2004
17,0,SP1,Santander,H,1,2004-09-12,A,Levante,3,1,Levante_Santander_2004
18,0,SP1,Zaragoza,D,0,2004-09-12,D,Malaga,0,0,Malaga_Zaragoza_2004
19,0,SP1,Sociedad,D,0,2004-09-12,D,Villarreal,0,0,Villarreal_Sociedad_2004
20,1,SP1,Real Madrid,H,0,2004-09-18,H,Espanol,1,0,Espanol_Real Madrid_2004
21,0,SP1,Betis,H,1,2004-09-18,A,Osasuna,3,2,Osasuna_Betis_2004
22,1,SP1,Sociedad,H,0,2004-09-18,H,Valencia,3,1,Valencia_Sociedad_2004
23,0,SP1,La Coruna,A,0,2004-09-19,D,Ath Bilbao,1,2,Ath Bilbao_La Coruna_2004
24,0,SP1,Barcelona,D,1,2004-09-19,A,Ath Madrid,1,1,Ath Madrid_Barcelona_2004
25,0,SP1,Malaga,A,1,2004-09-19,A,Mallorca,1,2,Mallorca_Malaga_2004
26,1,SP1,Getafe,H,0,2004-09-19,H,Numancia,1,0,Numancia_Getafe_2004
27,0,SP1,Villarreal,D,0,2004-09-19,D,Santander,1,1,Santander_Villarreal_2004
28,1,SP1,Levante,H,0,2004-09-19,H,Sevilla,3,0,Sevilla_Levante_2004
29,1,SP1,Albacete,H,2,2004-09-19,A,Zaragoza,4,3,Zaragoza_Albacete_2004
30,0,SP1,Osasuna,H,0,2004-09-21,D,Real Madrid,1,0,Real Madrid_Osasuna_2004
31,0,SP1,Mallorca,D,0,2004-09-22,D,Albacete,0,0,Albacete_Mallorca_2004
32,1,SP1,Ath Bilbao,H,1,2004-09-22,D,Betis,2,1,Betis_Ath Bilbao_2004
33,1,SP1,Espanol,H,0,2004-09-22,H,Getafe,1,0,Getafe_Espanol_2004
34,0,SP1,Valencia,A,4,2004-09-22,A,La Coruna,1,5,La Coruna_Valencia_2004
35,1,SP1,Ath Madrid,H,0,2004-09-22,H,Levante,1,0,Levante_Ath Madrid_2004
36,3,SP1,Numancia,H,0,2004-09-22,H,Malaga,4,1,Malaga_Numancia_2004
37,0,SP1,Santander,A,1,2004-09-22,A,Sociedad,0,1,Sociedad_Santander_2004
38,0,SP1,Sevilla,D,0,2004-09-22,D,Villarreal,0,0,Villarreal_Sevilla_2004
39,1,SP1,Zaragoza,H,1,2004-09-23,D,Barcelona,4,1,Barcelona_Zaragoza_2004
40,2,SP1,Real Madrid,H,0,2004-09-25,H,Ath Bilbao,2,1,Ath Bilbao_Real Madrid_2004
41,1,SP1,Villarreal,H,0,2004-09-25,H,Ath Madrid,1,0,Ath Madrid_Villarreal_2004
42,0,SP1,Betis,D,0,2004-09-25,D,La Coruna,1,1,La Coruna_Betis_2004
