,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Getafe,13,2,0,0,1,0,0,1,6,H,15,2013-08-17,Sociedad,SP1,2,6,6,16,H,5,Sociedad_Getafe_2013
1,3,Malaga,15,1,0,0,0,0,0,5,23,H,11,2013-08-17,Valencia,SP1,2,1,9,9,D,6,Valencia_Malaga_2013
2,1,Ath Bilbao,10,1,0,2,1,0,1,0,8,A,13,2013-08-17,Valladolid,SP1,3,2,5,8,D,5,Valladolid_Ath Bilbao_2013
3,1,Levante,15,7,0,0,6,0,0,3,16,H,4,2013-08-18,Barcelona,SP1,1,13,9,22,H,3,Barcelona_Levante_2013
4,1,Granada,15,1,0,2,0,0,2,4,17,A,13,2013-08-18,Osasuna,SP1,4,5,7,14,A,6,Osasuna_Granada_2013
5,1,Betis,11,2,0,1,1,0,1,2,20,H,11,2013-08-18,Real Madrid,SP1,4,9,5,20,D,7,Real Madrid_Betis_2013
6,4,Ath Madrid,12,1,0,3,1,0,1,4,13,A,16,2013-08-18,Sevilla,SP1,6,5,1,14,D,9,Sevilla_Ath Madrid_2013
7,2,Villarreal,17,2,0,3,1,0,0,0,14,A,14,2013-08-19,Almeria,SP1,4,2,6,15,H,10,Almeria_Villarreal_2013
8,4,Espanol,23,2,0,2,1,0,0,4,12,D,6,2013-08-19,Celta,SP1,5,10,7,15,H,2,Celta_Espanol_2013
9,2,Elche,16,3,0,0,2,0,0,2,11,H,8,2013-08-19,Vallecano,SP1,1,5,3,11,H,4,Vallecano_Elche_2013
10,2,Osasuna,15,2,0,0,1,0,0,2,20,H,18,2013-08-23,Ath Bilbao,SP1,5,2,5,8,H,10,Ath Bilbao_Osasuna_2013
11,2,Almeria,15,2,0,2,1,0,2,1,17,D,16,2013-08-23,Getafe,SP1,7,5,2,14,A,7,Getafe_Almeria_2013
12,4,Sociedad,9,1,0,1,1,0,0,3,12,D,11,2013-08-24,Elche,SP1,4,2,4,12,H,2,Elche_Sociedad_2013
13,3,Valencia,17,3,0,1,1,0,1,3,12,H,8,2013-08-24,Espanol,SP1,2,3,6,13,D,3,Espanol_Valencia_2013
14,4,Valladolid,11,2,0,1,1,0,1,2,25,H,6,2013-08-24,Villarreal,SP1,2,6,8,17,D,3,Villarreal_Valladolid_2013
15,0,Vallecano,11,5,0,0,3,0,0,1,9,H,7,2013-08-25,Ath Madrid,SP1,1,5,8,14,H,3,Ath Madrid_Vallecano_2013
16,1,Celta,9,1,1,2,0,0,0,3,18,A,13,2013-08-25,Betis,SP1,4,6,12,20,D,8,Betis_Celta_2013
17,3,Sevilla,17,0,0,0,0,0,0,5,18,D,18,2013-08-25,Levante,SP1,3,3,5,8,D,7,Levante_Sevilla_2013
18,3,Barcelona,14,0,0,1,0,0,1,2,12,A,15,2013-08-25,Malaga,SP1,11,3,2,9,A,11,Malaga_Barcelona_2013
19,4,Real Madrid,14,0,0,1,0,0,1,2,10,A,21,2013-08-26,Granada,SP1,8,3,5,8,A,8,Granada_Real Madrid_2013
20,3,Elche,18,2,0,2,2,1,1,5,18,D,15,2013-08-30,Almeria,SP1,9,5,4,9,H,5,Almeria_Elche_2013
21,4,Levante,14,1,0,2,0,1,1,3,17,A,6,2013-08-30,Vallecano,SP1,2,8,8,23,A,1,Vallecano_Levante_2013
22,1,Granada,9,1,0,1,1,0,0,2,6,D,3,2013-08-31,Celta,SP1,1,4,6,17,H,5,Celta_Granada_2013
23,3,Villarreal,15,0,0,3,0,0,2,2,14,A,9,2013-08-31,Osasuna,SP1,4,3,7,9,A,8,Osasuna_Villarreal_2013
24,2,Getafe,19,1,0,0,0,0,0,2,8,H,16,2013-08-31,Valladolid,SP1,0,6,10,21,D,5,Valladolid_Getafe_2013
25,2,Betis,19,0,0,0,0,0,0,4,14,D,8,2013-09-01,Espanol,SP1,3,3,7,10,D,7,Espanol_Betis_2013
26,1,Ath Bilbao,15,3,0,1,2,0,0,2,13,H,12,2013-09-01,Real Madrid,SP1,2,7,9,20,H,6,Real Madrid_Ath Bilbao_2013
27,3,Malaga,17,2,1,2,1,0,1,3,13,D,15,2013-09-01,Sevilla,SP1,6,7,10,15,D,1,Sevilla_Malaga_2013
28,2,Ath Madrid,19,1,0,2,0,0,1,4,21,A,16,2013-09-01,Sociedad,SP1,9,4,5,10,A,5,Sociedad_Ath Madrid_2013
29,2,Barcelona,20,2,0,3,2,0,3,3,11,A,20,2013-09-01,Valencia,SP1,9,10,5,16,A,7,Valencia_Barcelona_2013
30,2,Almeria,15,4,0,2,2,0,1,4,17,H,7,2013-09-14,Ath Madrid,SP1,2,8,8,20,H,1,Ath Madrid_Almeria_2013
31,2,Sevilla,12,3,0,2,1,0,0,5,17,H,7,2013-09-14,Barcelona,SP1,2,10,6,19,H,9,Barcelona_Sevilla_2013
32,3,Sociedad,16,0,0,0,0,0,0,1,12,D,13,2013-09-14,Levante,SP1,3,5,5,13,D,1,Levante_Sociedad_2013
33,2,Real Madrid,14,2,0,2,1,0,1,3,13,D,20,2013-09-14,Villarreal,SP1,6,9,10,19,D,3,Villarreal_Real Madrid_2013
34,0,Valencia,15,3,0,1,3,0,0,1,3,H,5,2013-09-15,Betis,SP1,2,9,7,21,H,13,Betis_Valencia_2013
35,2,Osasuna,15,2,0,1,1,0,1,4,17,H,11,2013-09-15,Getafe,SP1,6,5,7,14,D,4,Getafe_Osasuna_2013
36,3,Espanol,17,0,0,1,0,1,0,3,16,A,7,2013-09-15,Granada,SP1,3,1,4,9,D,4,Granada_Espanol_2013
37,1,Vallecano,13,5,0,0,2,0,0,2,16,H,12,2013-09-15,Malaga,SP1,2,9,6,17,H,5,Malaga_Vallecano_2013
38,2,Celta,7,3,0,2,1,0,1,3,18,H,8,2013-09-16,Ath Bilbao,SP1,3,6,4,16,D,2,Ath Bilbao_Celta_2013
39,4,Valladolid,18,0,0,0,0,0,0,1,9,D,8,2013-09-16,Elche,SP1,4,5,10,10,D,4,Elche_Valladolid_2013
40,2,Elche,17,2,0,1,1,0,0,1,7,H,13,2013-09-20,Osasuna,SP1,4,3,5,8,H,8,Osasuna_Elche_2013
41,4,Levante,16,2,0,2,1,1,0,7,18,D,16,2013-09-21,Almeria,SP1,7,8,1,13,H,7,Almeria_Levante_2013
42,3,Malaga,10,0,0,0,0,0,0,3,14,D,11,2013-09-21,Sociedad,SP1,4,2,5,10,D,4,Sociedad_Malaga_2013
43,2,Ath Madrid,15,0,0,2,0,0,0,2,13,A,15,2013-09-21,Valladolid,SP1,6,2,2,12,D,6,Valladolid_Ath Madrid_2013
44,2,Barcelona,21,0,0,4,0,0,1,1,16,A,14,2013-09-21,Vallecano,SP1,8,9,6,14,A,14,Vallecano_Barcelona_2013
45,4,Granada,13,0,0,0,0,0,0,1,11,D,4,2013-09-22,Betis,SP1,1,6,5,19,D,3,Betis_Granada_2013
46,5,Villarreal,14,0,0,0,0,0,0,1,13,D,12,2013-09-22,Celta,SP1,4,1,2,5,D,6,Celta_Villarreal_2013
47,1,Getafe,13,4,1,1,2,0,1,3,15,H,7,2013-09-22,Real Madrid,SP1,4,11,9,29,H,5,Real Madrid_Getafe_2013
48,2,Sevilla,15,3,0,1,1,0,0,1,12,H,9,2013-09-22,Valencia,SP1,3,6,8,26,H,8,Valencia_Sevilla_2013
49,2,Ath Bilbao,17,3,0,2,1,0,1,2,11,H,9,2013-09-23,Espanol,SP1,3,6,3,11,D,6,Espanol_Ath Bilbao_2013
50,3,Osasuna,11,2,0,1,2,0,1,1,14,H,7,2013-09-24,Ath Madrid,SP1,1,4,11,13,H,2,Ath Madrid_Osasuna_2013
51,0,Sociedad,6,4,0,1,3,0,0,1,12,H,9,2013-09-24,Barcelona,SP1,5,9,6,23,H,1,Barcelona_Sociedad_2013
52,2,Valladolid,13,1,1,1,1,0,1,4,13,D,4,2013-09-24,Levante,SP1,2,4,7,24,D,0,Levante_Valladolid_2013
53,2,Almeria,12,2,0,0,0,0,0,1,13,H,7,2013-09-24,Malaga,SP1,2,7,9,16,D,5,Malaga_Almeria_2013
54,8,Real Madrid,23,1,0,2,0,1,0,2,9,A,12,2013-09-25,Elche,SP1,5,3,4,11,D,5,Elche_Real Madrid_2013
55,4,Valencia,19,0,0,1,0,0,0,2,15,A,14,2013-09-25,Granada,SP1,3,4,5,13,D,5,Granada_Valencia_2013
56,3,Vallecano,14,4,2,1,1,0,0,4,18,H,10,2013-09-25,Sevilla,SP1,4,7,4,16,H,2,Sevilla_Vallecano_2013
57,1,Betis,8,2,0,1,0,0,0,5,13,H,10,2013-09-26,Ath Bilbao,SP1,5,8,8,20,D,4,Ath Bilbao_Betis_2013
58,2,Celta,14,2,0,0,1,0,0,1,8,H,9,2013-09-26,Getafe,SP1,2,3,11,14,H,5,Getafe_Celta_2013
59,1,Espanol,15,2,0,1,1,0,0,3,22,H,12,2013-09-26,Villarreal,SP1,3,5,3,8,H,5,Villarreal_Espanol_2013
60,3,Malaga,6,2,0,2,0,0,1,0,7,D,11,2013-09-27,Valladolid,SP1,4,3,11,13,A,4,Valladolid_Malaga_2013
61,1,Barcelona,20,0,0,2,0,0,1,2,15,A,15,2013-09-28,Almeria,SP1,4,1,2,5,A,3,Almeria_Barcelona_2013
62,4,Ath Madrid,21,0,0,1,0,0,1,4,18,A,13,2013-09-28,Real Madrid,SP1,4,5,2,20,A,7,Real Madrid_Ath Madrid_2013
63,0,Sevilla,11,1,1,1,0,0,1,4,10,D,10,2013-09-28,Sociedad,SP1,3,5,8,17,A,5,Sociedad_Sevilla_2013
64,3,Vallecano,14,1,0,0,1,0,0,5,21,H,13,2013-09-28,Valencia,SP1,3,4,3,5,H,5,Valencia_Vallecano_2013
65,6,Villarreal,15,1,0,0,1,0,0,3,13,H,7,2013-09-29,Betis,SP1,2,5,5,11,H,6,Betis_Villarreal_2013
66,1,Elche,17,0,0,1,0,0,0,3,16,A,14,2013-09-29,Celta,SP1,4,1,7,7,D,4,Celta_Elche_2013
67,1,Getafe,8,0,0,2,0,0,0,3,14,A,7,2013-09-29,Espanol,SP1,3,3,14,14,D,4,Espanol_Getafe_2013
68,5,Levante,17,0,0,1,0,1,0,2,15,A,15,2013-09-29,Osasuna,SP1,5,5,9,20,D,6,Osasuna_Levante_2013
69,2,Ath Bilbao,17,2,0,0,0,0,0,1,10,H,11,2013-09-30,Granada,SP1,4,5,5,13,D,2,Granada_Ath Bilbao_2013
70,1,Osasuna,7,0,0,1,0,0,1,5,14,A,13,2013-10-04,Malaga,SP1,6,3,6,15,A,6,Malaga_Osasuna_2013
71,0,Granada,9,3,0,0,1,0,0,1,13,H,8,2013-10-04,Villarreal,SP1,1,4,6,16,H,4,Villarreal_Granada_2013
72,0,Valladolid,7,4,0,1,1,0,1,3,15,H,7,2013-10-05,Barcelona,SP1,1,8,7,21,D,4,Barcelona_Valladolid_2013
73,1,Espanol,13,2,1,1,1,0,0,1,19,H,13,2013-10-05,Elche,SP1,3,6,4,12,H,5,Elche_Espanol_2013
74,1,Real Madrid,18,2,0,3,0,0,0,3,13,A,27,2013-10-05,Levante,SP1,10,5,3,13,D,8,Levante_Real Madrid_2013
75,2,Sociedad,9,1,0,0,0,0,0,2,8,H,18,2013-10-05,Vallecano,SP1,6,1,7,11,D,6,Vallecano_Sociedad_2013
76,2,Valencia,8,1,0,1,0,0,1,2,6,D,12,2013-10-06,Ath Bilbao,SP1,5,8,9,17,A,2,Ath Bilbao_Valencia_2013
77,1,Celta,12,2,0,1,1,0,0,3,16,H,3,2013-10-06,Ath Madrid,SP1,2,12,13,23,H,0,Ath Madrid_Celta_2013
78,3,Betis,19,3,0,1,3,0,0,3,14,H,15,2013-10-06,Getafe,SP1,4,5,5,11,H,10,Getafe_Betis_2013
79,4,Almeria,14,2,0,1,1,0,1,5,9,H,11,2013-10-06,Sevilla,SP1,4,6,12,22,D,3,Sevilla_Almeria_2013
80,5,Ath Madrid,16,1,0,0,0,0,0,4,22,H,6,2013-10-19,Espanol,SP1,0,3,3,9,D,3,Espanol_Ath Madrid_2013
81,3,Barcelona,13,0,0,0,0,0,0,2,8,D,12,2013-10-19,Osasuna,SP1,3,1,2,4,D,5,Osasuna_Barcelona_2013
82,1,Malaga,5,2,0,0,0,0,0,5,12,H,3,2013-10-19,Real Madrid,SP1,1,15,10,22,D,1,Real Madrid_Malaga_2013
83,3,Sociedad,13,1,0,2,0,0,1,1,10,A,8,2013-10-19,Valencia,SP1,3,4,8,16,A,2,Valencia_Sociedad_2013
84,2,Vallecano,21,0,1,1,0,0,0,3,13,A,16,2013-10-20,Almeria,SP1,10,2,7,6,D,6,Almeria_Vallecano_2013
85,4,Elche,22,1,1,2,1,0,2,2,8,A,7,2013-10-20,Betis,SP1,4,7,6,15,A,7,Betis_Elche_2013
86,3,Getafe,21,0,0,2,0,1,0,2,12,A,15,2013-10-20,Granada,SP1,7,5,9,12,D,3,Granada_Getafe_2013
87,2,Sevilla,14,2,0,2,0,0,2,3,17,D,16,2013-10-20,Valladolid,SP1,6,5,6,11,A,5,Valladolid_Sevilla_2013
88,5,Villarreal,14,2,1,0,2,0,0,2,13,H,6,2013-10-21,Ath Bilbao,SP1,2,3,8,19,H,4,Ath Bilbao_Villarreal_2013
89,2,Levante,11,0,0,1,0,0,0,1,14,A,6,2013-10-21,Celta,SP1,3,4,2,15,D,0,Celta_Levante_2013
90,2,Valladolid,7,0,0,3,0,0,2,2,27,A,9,2013-10-25,Vallecano,SP1,6,4,8,17,A,1,Vallecano_Valladolid_2013
91,2,Real Madrid,19,2,0,1,1,0,0,5,16,H,10,2013-10-26,Barcelona,SP1,6,5,4,12,H,3,Barcelona_Real Madrid_2013
92,2,Granada,12,0,0,1,0,0,1,3,8,A,14,2013-10-26,Elche,SP1,3,1,5,8,A,4,Elche_Granada_2013
93,2,Espanol,14,3,0,0,2,0,0,5,23,H,20,2013-10-26,Levante,SP1,6,3,3,6,H,11,Levante_Espanol_2013
94,2,Celta,14,0,0,5,0,0,2,0,11,A,16,2013-10-26,Malaga,SP1,9,1,5,7,A,6,Malaga_Celta_2013
95,0,Betis,14,5,0,0,1,0,0,2,7,H,9,2013-10-27,Ath Madrid,SP1,1,12,6,16,H,5,Ath Madrid_Betis_2013
