,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,15:00:00,4,Celta,17,0,0,0,0,1,0,4,13,D,6,2020-09-12,Eibar,SP1,3,1,3,8,D,3,Eibar_Celta_2020
1,17:30:00,3,Ath Bilbao,8,0,2,0,0,0,0,4,10,H,9,2020-09-12,Granada,SP1,2,2,1,4,D,2,Granada_Ath Bilbao_2020
2,20:00:00,2,Osasuna,14,0,0,2,0,0,1,2,21,A,6,2020-09-12,Cadiz,SP1,4,3,6,12,A,2,Cadiz_Osasuna_2020
3,13:00:00,3,Betis,19,0,0,1,0,0,0,3,17,A,11,2020-09-13,Alaves,SP1,4,2,6,7,D,4,Alaves_Betis_2020
4,15:00:00,4,Sociedad,15,0,1,1,1,0,0,1,17,D,8,2020-09-13,Valladolid,SP1,2,3,5,8,H,3,Valladolid_Sociedad_2020
5,17:30:00,1,Huesca,10,0,1,1,0,0,1,1,22,D,10,2020-09-13,Villarreal,SP1,3,4,6,15,A,6,Villarreal_Huesca_2020
6,20:00:00,1,Levante,9,0,4,2,2,0,2,3,14,H,19,2020-09-13,Valencia,SP1,8,8,3,14,D,4,Valencia_Levante_2020
7,15:00:00,1,Eibar,5,0,2,1,0,0,0,1,12,H,12,2020-09-19,Villarreal,SP1,4,8,4,14,D,3,Villarreal_Eibar_2020
8,17:30:00,4,Osasuna,19,0,1,0,0,0,0,2,13,H,10,2020-09-19,Getafe,SP1,3,1,4,7,D,1,Getafe_Osasuna_2020
9,20:00:00,3,Valencia,12,0,2,1,1,0,0,1,13,H,9,2020-09-19,Celta,SP1,3,6,6,23,H,6,Celta_Valencia_2020
10,15:00:00,3,Cadiz,18,0,0,2,0,0,1,3,23,A,6,2020-09-20,Huesca,SP1,4,0,2,4,A,1,Huesca_Cadiz_2020
11,17:30:00,3,Valladolid,18,0,2,0,2,0,0,0,10,H,9,2020-09-20,Betis,SP1,2,6,5,16,H,3,Betis_Valladolid_2020
12,17:30:00,0,Alaves,9,0,2,1,1,0,1,3,12,H,5,2020-09-20,Granada,SP1,3,3,4,10,D,4,Granada_Alaves_2020
13,20:00:00,2,Real Madrid,17,0,0,0,0,0,0,2,12,D,16,2020-09-20,Sociedad,SP1,4,1,1,6,D,11,Sociedad_Real Madrid_2020
14,12:00:00,2,Getafe,13,0,0,0,0,0,0,2,13,D,11,2020-09-26,Alaves,SP1,4,0,1,9,D,5,Alaves_Getafe_2020
15,15:00:00,0,Huesca,14,0,1,1,1,0,0,1,20,D,17,2020-09-26,Valencia,SP1,4,2,4,5,H,4,Valencia_Huesca_2020
16,17:30:00,3,Sociedad,11,0,0,3,0,0,0,1,12,A,27,2020-09-26,Elche,SP1,7,2,2,5,D,11,Elche_Sociedad_2020
17,20:00:00,5,Real Madrid,9,0,2,3,2,1,1,2,10,A,11,2020-09-26,Betis,SP1,4,5,8,15,H,3,Betis_Real Madrid_2020
18,11:00:00,2,Levante,15,0,1,3,1,0,1,0,16,A,11,2020-09-27,Osasuna,SP1,5,4,3,9,D,7,Osasuna_Levante_2020
19,13:00:00,1,Ath Bilbao,15,0,1,2,0,0,1,0,12,A,9,2020-09-27,Eibar,SP1,5,1,5,7,A,4,Eibar_Ath Bilbao_2020
20,15:00:00,3,Granada,16,0,6,1,1,0,0,1,14,H,11,2020-09-27,Ath Madrid,SP1,6,10,1,17,H,1,Ath Madrid_Granada_2020
21,17:30:00,4,Sevilla,9,0,1,3,0,0,0,2,14,A,14,2020-09-27,Cadiz,SP1,5,5,6,12,D,5,Cadiz_Sevilla_2020
22,17:30:00,3,Celta,26,0,1,1,0,0,1,4,18,D,5,2020-09-27,Valladolid,SP1,1,4,4,10,A,1,Valladolid_Celta_2020
23,20:00:00,0,Villarreal,9,0,4,0,4,0,0,1,10,H,5,2020-09-27,Barcelona,SP1,1,9,8,17,H,4,Barcelona_Villarreal_2020
24,18:00:00,1,Valencia,16,0,0,1,0,0,0,5,15,A,9,2020-09-29,Sociedad,SP1,5,3,9,11,D,3,Sociedad_Valencia_2020
25,20:30:00,4,Betis,15,1,3,0,3,0,0,4,17,H,10,2020-09-29,Getafe,SP1,2,4,1,8,H,4,Getafe_Betis_2020
26,18:00:00,1,Ath Madrid,13,0,0,0,0,0,0,0,10,D,16,2020-09-30,Huesca,SP1,2,3,5,9,D,7,Huesca_Ath Madrid_2020
27,18:00:00,0,Alaves,11,0,3,1,2,0,1,2,13,H,8,2020-09-30,Villarreal,SP1,3,6,2,10,H,0,Villarreal_Alaves_2020
28,20:30:00,2,Elche,9,0,0,1,0,0,1,2,14,A,5,2020-09-30,Eibar,SP1,2,4,3,12,A,2,Eibar_Elche_2020
29,20:30:00,2,Valladolid,11,0,1,0,0,0,0,1,7,H,11,2020-09-30,Real Madrid,SP1,5,5,4,15,D,7,Real Madrid_Valladolid_2020
30,18:00:00,3,Cadiz,15,2,0,1,0,0,0,5,16,A,3,2020-10-01,Ath Bilbao,SP1,1,4,5,13,D,2,Ath Bilbao_Cadiz_2020
31,18:00:00,5,Levante,14,0,1,0,0,0,0,2,17,H,3,2020-10-01,Sevilla,SP1,1,2,2,16,D,4,Sevilla_Levante_2020
32,20:30:00,5,Barcelona,22,1,0,3,0,0,1,5,10,A,6,2020-10-01,Celta,SP1,3,3,3,10,A,7,Celta_Barcelona_2020
33,12:00:00,2,Eibar,11,1,1,2,1,0,1,3,21,A,11,2020-10-03,Valladolid,SP1,5,3,3,9,D,4,Valladolid_Eibar_2020
34,15:00:00,1,Villarreal,11,0,0,0,0,0,0,2,7,D,6,2020-10-03,Ath Madrid,SP1,2,1,9,14,D,1,Ath Madrid_Villarreal_2020
35,17:30:00,0,Huesca,8,0,0,0,0,0,0,2,26,D,18,2020-10-03,Elche,SP1,4,0,0,2,D,5,Elche_Huesca_2020
36,17:30:00,3,Getafe,21,0,3,0,1,0,0,3,13,H,5,2020-10-03,Sociedad,SP1,1,6,5,11,H,4,Sociedad_Getafe_2020
37,20:00:00,2,Betis,11,0,0,2,0,0,1,2,14,A,17,2020-10-03,Valencia,SP1,8,2,4,5,A,7,Valencia_Betis_2020
38,11:00:00,3,Celta,19,0,2,0,1,0,0,3,10,H,9,2020-10-04,Osasuna,SP1,3,5,6,14,H,5,Osasuna_Celta_2020
39,13:00:00,2,Ath Bilbao,20,0,1,0,0,1,0,3,17,H,8,2020-10-04,Alaves,SP1,0,3,0,8,D,6,Alaves_Ath Bilbao_2020
40,15:00:00,2,Real Madrid,14,0,0,2,0,0,1,1,8,A,13,2020-10-04,Levante,SP1,3,4,4,11,A,6,Levante_Real Madrid_2020
41,17:30:00,2,Granada,16,0,1,1,0,0,1,2,16,D,13,2020-10-04,Cadiz,SP1,5,4,2,14,A,5,Cadiz_Granada_2020
42,20:00:00,1,Sevilla,11,0,1,1,1,0,1,1,18,D,13,2020-10-04,Barcelona,SP1,1,5,6,12,D,5,Barcelona_Sevilla_2020
43,12:00:00,4,Sevilla,16,1,1,0,0,0,0,4,11,H,8,2020-10-17,Granada,SP1,3,3,5,13,D,1,Granada_Sevilla_2020
44,15:00:00,3,Ath Madrid,16,0,0,2,0,0,1,4,18,A,9,2020-10-17,Celta,SP1,4,5,8,15,A,4,Celta_Ath Madrid_2020
45,17:30:00,2,Cadiz,7,0,0,1,0,0,1,0,5,A,14,2020-10-17,Real Madrid,SP1,5,2,4,14,A,11,Real Madrid_Cadiz_2020
46,20:00:00,4,Barcelona,20,0,1,0,0,0,0,3,10,H,7,2020-10-17,Getafe,SP1,1,4,7,9,D,2,Getafe_Barcelona_2020
47,11:00:00,2,Osasuna,14,1,0,0,0,0,0,3,14,D,8,2020-10-18,Eibar,SP1,2,6,6,10,D,7,Eibar_Osasuna_2020
48,13:00:00,3,Levante,11,0,2,0,0,0,0,1,10,H,6,2020-10-18,Ath Bilbao,SP1,1,5,9,14,D,3,Ath Bilbao_Levante_2020
49,15:00:00,4,Valencia,13,0,2,1,1,1,1,1,8,H,11,2020-10-18,Villarreal,SP1,3,6,3,16,D,7,Villarreal_Valencia_2020
50,17:30:00,2,Elche,11,0,0,2,0,0,1,5,11,A,7,2020-10-18,Alaves,SP1,3,2,2,13,A,6,Alaves_Elche_2020
51,17:30:00,1,Valladolid,14,0,2,2,0,0,1,2,24,D,5,2020-10-18,Huesca,SP1,3,7,3,12,A,1,Huesca_Valladolid_2020
52,20:00:00,2,Sociedad,11,0,0,3,0,0,1,1,18,A,8,2020-10-18,Betis,SP1,5,1,6,7,A,2,Betis_Sociedad_2020
53,20:00:00,3,Valencia,15,0,2,1,2,0,0,2,8,H,14,2020-10-23,Elche,SP1,4,2,0,3,H,7,Elche_Valencia_2020
54,15:00:00,3,Real Madrid,11,0,1,3,1,0,1,2,13,A,15,2020-10-24,Barcelona,SP1,9,4,7,10,D,7,Barcelona_Real Madrid_2020
55,17:30:00,3,Ath Bilbao,18,0,1,0,0,0,0,2,10,H,13,2020-10-24,Osasuna,SP1,5,2,2,7,D,5,Osasuna_Ath Bilbao_2020
56,17:30:00,0,Eibar,11,0,0,1,0,0,1,3,12,A,3,2020-10-24,Sevilla,SP1,1,3,13,21,A,3,Sevilla_Eibar_2020
57,20:00:00,2,Betis,19,1,2,0,0,0,0,0,12,H,12,2020-10-24,Ath Madrid,SP1,3,6,8,13,D,5,Ath Madrid_Betis_2020
58,13:00:00,1,Alaves,9,0,0,2,0,1,0,0,7,A,14,2020-10-25,Valladolid,SP1,4,1,2,5,D,4,Valladolid_Alaves_2020
59,15:00:00,2,Villarreal,15,0,0,0,0,0,0,2,7,D,7,2020-10-25,Cadiz,SP1,2,0,0,5,D,5,Cadiz_Villarreal_2020
60,17:30:00,4,Granada,19,0,0,1,0,0,1,2,23,A,5,2020-10-25,Getafe,SP1,2,1,6,10,A,1,Getafe_Granada_2020
61,20:00:00,2,Huesca,12,0,4,1,1,0,0,1,11,H,6,2020-10-25,Sociedad,SP1,4,6,4,13,H,5,Sociedad_Huesca_2020
62,20:00:00,2,Celta,11,0,1,1,0,0,0,2,19,D,10,2020-10-26,Levante,SP1,3,3,3,10,D,2,Levante_Celta_2020
63,20:00:00,1,Cadiz,10,0,0,2,0,0,2,1,10,A,6,2020-10-30,Eibar,SP1,4,3,7,9,A,2,Eibar_Cadiz_2020
64,13:00:00,0,Huesca,16,0,4,1,2,0,0,2,9,H,9,2020-10-31,Real Madrid,SP1,2,6,6,13,H,3,Real Madrid_Huesca_2020
65,15:15:00,5,Sevilla,17,0,2,1,0,0,1,5,19,H,7,2020-10-31,Ath Bilbao,SP1,3,5,6,16,A,1,Ath Bilbao_Sevilla_2020
66,17:30:00,1,Ath Madrid,12,0,1,3,0,0,1,2,10,A,11,2020-10-31,Osasuna,SP1,6,3,3,8,A,2,Osasuna_Ath Madrid_2020
67,20:00:00,4,Barcelona,16,0,1,1,1,1,0,3,4,D,25,2020-10-31,Alaves,SP1,9,3,2,4,H,14,Alaves_Barcelona_2020
68,13:00:00,2,Elche,13,0,3,1,2,0,0,1,12,H,4,2020-11-01,Betis,SP1,2,10,1,17,H,1,Betis_Elche_2020
69,15:00:00,2,Sociedad,19,0,1,4,0,1,2,5,16,A,9,2020-11-01,Celta,SP1,7,2,2,9,A,3,Celta_Sociedad_2020
70,17:30:00,2,Levante,7,0,1,1,1,1,1,3,14,D,19,2020-11-01,Granada,SP1,4,2,2,5,D,8,Granada_Levante_2020
71,20:00:00,8,Getafe,18,1,2,2,1,1,0,5,25,D,16,2020-11-01,Valencia,SP1,5,5,0,11,H,3,Valencia_Getafe_2020
72,20:00:00,1,Valladolid,13,0,2,0,2,0,0,3,13,H,11,2020-11-02,Villarreal,SP1,1,5,6,11,H,4,Villarreal_Valladolid_2020
73,20:00:00,3,Celta,18,0,1,1,1,0,1,4,12,D,14,2020-11-06,Elche,SP1,6,1,3,8,D,3,Elche_Celta_2020
74,13:00:00,2,Eibar,16,0,1,1,0,0,1,0,30,D,8,2020-11-07,Huesca,SP1,3,6,4,14,A,3,Huesca_Eibar_2020
