year,team,type_rating,value_rating
2007,Las Palmas,static_ft_total_g>35,109.8
2008,Las Palmas,static_ft_total_g>35,110.0
2009,Las Palmas,static_ft_total_g>35,139.1
2010,Las Palmas,static_ft_total_g>35,141.7
2011,Las Palmas,static_ft_total_g>35,149.4
2012,Las Palmas,static_ft_total_g>35,154.5
2013,Las Palmas,static_ft_total_g>35,154.4
2014,Las Palmas,static_ft_total_g>35,157.0
2015,Las Palmas,static_ft_total_g>35,146.6
2016,Las Palmas,static_ft_total_g>35,212.4
2017,Las Palmas,static_ft_total_g>35,325.6
2018,Las Palmas,static_ft_total_g>35,312.4
2019,Las Palmas,static_ft_total_g>35,249.3
2020,Las Palmas,static_ft_total_g>35,175.8
2007,Eibar,static_ft_total_g>35,109.8
2008,Eibar,static_ft_total_g>35,110.0
2009,Eibar,static_ft_total_g>35,139.1
2010,Eibar,static_ft_total_g>35,141.7
2011,Eibar,static_ft_total_g>35,149.4
2012,Eibar,static_ft_total_g>35,154.5
2013,Eibar,static_ft_total_g>35,154.4
2014,Eibar,static_ft_total_g>35,157.0
2015,Eibar,static_ft_total_g>35,167.8
2016,Eibar,static_ft_total_g>35,239.1
2017,Eibar,static_ft_total_g>35,302.3
2018,Eibar,static_ft_total_g>35,302.4
2019,Eibar,static_ft_total_g>35,281.1
2020,Eibar,static_ft_total_g>35,254.6
2007,Mallorca,static_ft_total_g>35,252.4
2008,Mallorca,static_ft_total_g>35,299.6
2009,Mallorca,static_ft_total_g>35,315.2
2010,Mallorca,static_ft_total_g>35,315.2
2011,Mallorca,static_ft_total_g>35,273.1
2012,Mallorca,static_ft_total_g>35,257.5
2013,Mallorca,static_ft_total_g>35,286.6
2014,Mallorca,static_ft_total_g>35,239.0
2015,Mallorca,static_ft_total_g>35,194.2
2016,Mallorca,static_ft_total_g>35,146.9
2017,Mallorca,static_ft_total_g>35,147.0
2018,Mallorca,static_ft_total_g>35,141.7
2019,Mallorca,static_ft_total_g>35,139.0
2020,Mallorca,static_ft_total_g>35,199.5
2007,Vallecano,static_ft_total_g>35,109.8
2008,Vallecano,static_ft_total_g>35,110.0
2009,Vallecano,static_ft_total_g>35,139.1
2010,Vallecano,static_ft_total_g>35,141.7
2011,Vallecano,static_ft_total_g>35,149.4
2012,Vallecano,static_ft_total_g>35,249.3
2013,Vallecano,static_ft_total_g>35,299.5
2014,Vallecano,static_ft_total_g>35,386.3
2015,Vallecano,static_ft_total_g>35,386.5
2016,Vallecano,static_ft_total_g>35,378.6
2017,Vallecano,static_ft_total_g>35,299.7
2018,Vallecano,static_ft_total_g>35,215.4
2019,Vallecano,static_ft_total_g>35,260.1
2020,Vallecano,static_ft_total_g>35,197.0
2007,Sevilla,static_ft_total_g>35,268.1
2008,Sevilla,static_ft_total_g>35,312.8
2009,Sevilla,static_ft_total_g>35,315.4
2010,Sevilla,static_ft_total_g>35,320.5
2011,Sevilla,static_ft_total_g>35,378.3
2012,Sevilla,static_ft_total_g>35,296.6
2013,Sevilla,static_ft_total_g>35,288.8
2014,Sevilla,static_ft_total_g>35,354.6
2015,Sevilla,static_ft_total_g>35,352.2
2016,Sevilla,static_ft_total_g>35,320.5
2017,Sevilla,static_ft_total_g>35,323.3
2018,Sevilla,static_ft_total_g>35,310.0
2019,Sevilla,static_ft_total_g>35,291.7
2020,Sevilla,static_ft_total_g>35,249.7
2007,Osasuna,static_ft_total_g>35,233.7
2008,Osasuna,static_ft_total_g>35,199.5
2009,Osasuna,static_ft_total_g>35,191.6
2010,Osasuna,static_ft_total_g>35,178.3
2011,Osasuna,static_ft_total_g>35,217.8
2012,Osasuna,static_ft_total_g>35,244.3
2013,Osasuna,static_ft_total_g>35,236.4
2014,Osasuna,static_ft_total_g>35,218.1
2015,Osasuna,static_ft_total_g>35,175.9
2016,Osasuna,static_ft_total_g>35,139.1
2017,Osasuna,static_ft_total_g>35,244.5
2018,Osasuna,static_ft_total_g>35,212.8
2019,Osasuna,static_ft_total_g>35,186.4
2020,Osasuna,static_ft_total_g>35,223.2
2007,Villarreal,static_ft_total_g>35,222.9
2008,Villarreal,static_ft_total_g>35,228.1
2009,Villarreal,static_ft_total_g>35,249.3
2010,Villarreal,static_ft_total_g>35,283.5
2011,Villarreal,static_ft_total_g>35,312.7
2012,Villarreal,static_ft_total_g>35,288.9
2013,Villarreal,static_ft_total_g>35,233.5
2014,Villarreal,static_ft_total_g>35,222.9
2015,Villarreal,static_ft_total_g>35,209.8
2016,Villarreal,static_ft_total_g>35,188.7
2017,Villarreal,static_ft_total_g>35,217.9
2018,Villarreal,static_ft_total_g>35,257.3
2019,Villarreal,static_ft_total_g>35,278.4
2020,Villarreal,static_ft_total_g>35,302.0
2007,Tenerife,static_ft_total_g>35,109.8
2008,Tenerife,static_ft_total_g>35,110.0
2009,Tenerife,static_ft_total_g>35,139.1
2010,Tenerife,static_ft_total_g>35,246.9
2011,Tenerife,static_ft_total_g>35,228.3
2012,Tenerife,static_ft_total_g>35,207.1
2013,Tenerife,static_ft_total_g>35,180.7
2014,Tenerife,static_ft_total_g>35,157.0
2015,Tenerife,static_ft_total_g>35,146.6
2016,Tenerife,static_ft_total_g>35,128.4
2017,Tenerife,static_ft_total_g>35,147.0
2018,Tenerife,static_ft_total_g>35,141.7
2019,Tenerife,static_ft_total_g>35,139.0
2020,Tenerife,static_ft_total_g>35,125.9
2007,Barcelona,static_ft_total_g>35,328.5
2008,Barcelona,static_ft_total_g>35,362.6
2009,Barcelona,static_ft_total_g>35,426.0
2010,Barcelona,static_ft_total_g>35,431.4
2011,Barcelona,static_ft_total_g>35,391.7
2012,Barcelona,static_ft_total_g>35,470.7
2013,Barcelona,static_ft_total_g>35,539.0
2014,Barcelona,static_ft_total_g>35,552.2
2015,Barcelona,static_ft_total_g>35,544.5
2016,Barcelona,static_ft_total_g>35,518.3
2017,Barcelona,static_ft_total_g>35,513.0
2018,Barcelona,static_ft_total_g>35,455.0
2019,Barcelona,static_ft_total_g>35,423.2
2020,Barcelona,static_ft_total_g>35,433.6
2007,Zaragoza,static_ft_total_g>35,325.6
2008,Zaragoza,static_ft_total_g>35,322.9
2009,Zaragoza,static_ft_total_g>35,262.6
2010,Zaragoza,static_ft_total_g>35,275.7
2011,Zaragoza,static_ft_total_g>35,257.2
2012,Zaragoza,static_ft_total_g>35,246.6
2013,Zaragoza,static_ft_total_g>35,254.7
2014,Zaragoza,static_ft_total_g>35,212.5
2015,Zaragoza,static_ft_total_g>35,175.7
2016,Zaragoza,static_ft_total_g>35,139.0
2017,Zaragoza,static_ft_total_g>35,147.0
2018,Zaragoza,static_ft_total_g>35,141.7
2019,Zaragoza,static_ft_total_g>35,139.0
2020,Zaragoza,static_ft_total_g>35,125.9
2007,Granada,static_ft_total_g>35,109.8
2008,Granada,static_ft_total_g>35,110.0
2009,Granada,static_ft_total_g>35,139.1
2010,Granada,static_ft_total_g>35,141.7
2011,Granada,static_ft_total_g>35,149.4
2012,Granada,static_ft_total_g>35,175.7
2013,Granada,static_ft_total_g>35,170.3
2014,Granada,static_ft_total_g>35,188.8
2015,Granada,static_ft_total_g>35,199.4
2016,Granada,static_ft_total_g>35,246.7
2017,Granada,static_ft_total_g>35,304.7
2018,Granada,static_ft_total_g>35,246.8
2019,Granada,static_ft_total_g>35,196.8
2020,Granada,static_ft_total_g>35,175.9
2007,Hercules,static_ft_total_g>35,109.8
2008,Hercules,static_ft_total_g>35,110.0
2009,Hercules,static_ft_total_g>35,139.1
2010,Hercules,static_ft_total_g>35,141.7
2011,Hercules,static_ft_total_g>35,191.8
2012,Hercules,static_ft_total_g>35,186.3
2013,Hercules,static_ft_total_g>35,175.6
2014,Hercules,static_ft_total_g>35,167.6
2015,Hercules,static_ft_total_g>35,146.6
2016,Hercules,static_ft_total_g>35,128.4
2017,Hercules,static_ft_total_g>35,147.0
2018,Hercules,static_ft_total_g>35,141.7
2019,Hercules,static_ft_total_g>35,139.0
2020,Hercules,static_ft_total_g>35,125.9
