year,team,type_rating,value_rating
2003,Alaves,static_ft_total,0
2003,Alaves,static_ft_home,0
2003,Alaves,static_ft_away,0
2003,Alaves,static_ft_total_g>15,0
2003,Alaves,static_ft_total_g>25,0
2003,Alaves,static_ft_total_g>35,0
2003,Alaves,static_ft_total_g>15,0
2003,Alaves,static_ft_total_g>25,0
2003,Alaves,static_ft_total_g>35,0
2003,Alaves,static_ft_home_g>15,0
2003,Alaves,static_ft_home_g>25,0
2003,Alaves,static_ft_home_g>35,0
2003,Alaves,static_ft_away_g>15,0
2003,Alaves,static_ft_away_g>25,0
2003,Alaves,static_ft_away_g>35,0
2003,Alaves,static_ft_total_g<15,0
2003,Alaves,static_ft_total_g<25,0
2003,Alaves,static_ft_total_g<35,0
2003,Alaves,static_ft_total_g<15,0
2003,Alaves,static_ft_total_g<25,0
2003,Alaves,static_ft_total_g<35,0
2003,Alaves,static_ft_home_g<15,0
2003,Alaves,static_ft_home_g<25,0
2003,Alaves,static_ft_home_g<35,0
2003,Alaves,static_ft_away_g<15,0
2003,Alaves,static_ft_away_g<25,0
2003,Alaves,static_ft_away_g<35,0
2003,Alaves,static_ht_total,0
2003,Alaves,static_ht_home,0
2003,Alaves,static_ht_away,0
2003,Alaves,static_ht_total_g>15,0
2003,Alaves,static_ht_total_g>25,0
2003,Alaves,static_ht_total_g>35,0
2003,Alaves,static_ht_total_g>15,0
2003,Alaves,static_ht_total_g>25,0
2003,Alaves,static_ht_total_g>35,0
2003,Alaves,static_ht_home_g>15,0
2003,Alaves,static_ht_home_g>25,0
2003,Alaves,static_ht_home_g>35,0
2003,Alaves,static_ht_away_g>15,0
2003,Alaves,static_ht_away_g>25,0
2003,Alaves,static_ht_away_g>35,0
2003,Alaves,static_ht_total_g<15,0
2003,Alaves,static_ht_total_g<25,0
2003,Alaves,static_ht_total_g<35,0
2003,Alaves,static_ht_total_g<15,0
2003,Alaves,static_ht_total_g<25,0
2003,Alaves,static_ht_total_g<35,0
2003,Alaves,static_ht_home_g<15,0
2003,Alaves,static_ht_home_g<25,0
2003,Alaves,static_ht_home_g<35,0
2003,Alaves,static_ht_away_g<15,0
2003,Alaves,static_ht_away_g<25,0
2003,Alaves,static_ht_away_g<35,0
2003,Albacete,static_ft_total,342
2003,Albacete,static_ft_home,473
2003,Albacete,static_ft_away,210
2003,Albacete,static_ft_total_g>15,736
