Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2008-08-30,Espanol_Valladolid_2008,Espanol,1,1,1,1
2008-08-30,Valencia_Mallorca_2008,Mallorca,1,1,1,1
2008-08-30,Espanol_Valladolid_2008,Valladolid,1,1,1,1
2008-08-30,Valencia_Mallorca_2008,Valencia,1,1,1,1
2008-08-31,Osasuna_Villarreal_2008,Villarreal,1,1,1,1
2008-08-31,Sp Gijon_Getafe_2008,Sp Gijon,1,1,1,1
2008-08-31,La Coruna_Real Madrid_2008,La Coruna,1,1,1,1
2008-08-31,Ath Bilbao_Almeria_2008,Almeria,1,1,1,1
2008-08-31,Sp Gijon_Getafe_2008,Getafe,1,1,1,1
2008-08-31,Santander_Sevilla_2008,Santander,1,1,1,1
2008-08-31,Numancia_Barcelona_2008,Barcelona,1,1,1,1
2008-08-31,Numancia_Barcelona_2008,Numancia,1,1,1,1
2008-08-31,La Coruna_Real Madrid_2008,Real Madrid,1,1,1,1
2008-08-31,Ath Bilbao_Almeria_2008,Ath Bilbao,1,1,1,1
2008-08-31,Betis_Recreativo_2008,Betis,1,1,1,1
2008-08-31,Santander_Sevilla_2008,Sevilla,1,1,1,1
2008-08-31,Ath Madrid_Malaga_2008,Malaga,1,1,1,1
2008-08-31,Betis_Recreativo_2008,Recreativo,1,1,1,1
2008-08-31,Ath Madrid_Malaga_2008,Ath Madrid,1,1,1,1
2008-08-31,Osasuna_Villarreal_2008,Osasuna,1,1,1,1
2008-09-13,Valladolid_Ath Madrid_2008,Valladolid,1,1,2,3
2008-09-13,Barcelona_Santander_2008,Barcelona,1,1,2,3
2008-09-13,Barcelona_Santander_2008,Santander,1,1,2,3
2008-09-13,Valladolid_Ath Madrid_2008,Ath Madrid,1,1,2,3
2008-09-14,Mallorca_Osasuna_2008,Mallorca,1,1,2,3
2008-09-14,Real Madrid_Numancia_2008,Real Madrid,1,1,2,3
2008-09-14,Villarreal_La Coruna_2008,Villarreal,1,1,2,3
2008-09-14,Real Madrid_Numancia_2008,Numancia,1,1,2,3
2008-09-14,Mallorca_Osasuna_2008,Osasuna,1,1,2,3
2008-09-14,Almeria_Valencia_2008,Almeria,1,1,2,3
2008-09-14,Malaga_Ath Bilbao_2008,Ath Bilbao,1,1,2,3
2008-09-14,Malaga_Ath Bilbao_2008,Malaga,1,1,2,3
2008-09-14,Sevilla_Sp Gijon_2008,Sp Gijon,1,1,2,3
2008-09-14,Recreativo_Espanol_2008,Recreativo,1,1,2,3
2008-09-14,Getafe_Betis_2008,Betis,1,1,2,3
2008-09-14,Almeria_Valencia_2008,Valencia,1,1,2,3
2008-09-14,Villarreal_La Coruna_2008,La Coruna,1,1,2,3
2008-09-14,Sevilla_Sp Gijon_2008,Sevilla,1,1,2,3
2008-09-14,Getafe_Betis_2008,Getafe,1,1,2,3
2008-09-14,Recreativo_Espanol_2008,Espanol,1,1,2,3
2008-09-20,Ath Madrid_Recreativo_2008,Ath Madrid,2,1,3,4
2008-09-20,Espanol_Getafe_2008,Espanol,2,1,3,4
2008-09-20,Ath Madrid_Recreativo_2008,Recreativo,1,2,3,4
2008-09-20,Espanol_Getafe_2008,Getafe,1,2,3,4
2008-09-21,Numancia_Villarreal_2008,Numancia,2,1,3,4
2008-09-21,Almeria_Malaga_2008,Malaga,1,2,3,4
2008-09-21,La Coruna_Mallorca_2008,La Coruna,2,1,3,4
2008-09-21,Ath Bilbao_Valladolid_2008,Valladolid,1,2,3,4
2008-09-21,Betis_Sevilla_2008,Betis,2,1,3,4
2008-09-21,Valencia_Osasuna_2008,Osasuna,1,2,3,4
2008-09-21,Ath Bilbao_Valladolid_2008,Ath Bilbao,2,1,3,4
2008-09-21,Numancia_Villarreal_2008,Villarreal,1,2,3,4
2008-09-21,Almeria_Malaga_2008,Almeria,2,1,3,4
2008-09-21,Santander_Real Madrid_2008,Real Madrid,1,2,3,4
2008-09-21,Sp Gijon_Barcelona_2008,Sp Gijon,2,1,3,4
2008-09-21,Santander_Real Madrid_2008,Santander,2,1,3,4
2008-09-21,Sp Gijon_Barcelona_2008,Barcelona,1,2,3,4
2008-09-21,Betis_Sevilla_2008,Sevilla,1,2,3,4
2008-09-21,La Coruna_Mallorca_2008,Mallorca,1,2,3,4
2008-09-21,Valencia_Osasuna_2008,Valencia,2,1,3,4
2008-09-24,Getafe_Ath Madrid_2008,Getafe,2,2,4,5
2008-09-24,Villarreal_Santander_2008,Villarreal,2,2,4,5
2008-09-24,Barcelona_Betis_2008,Barcelona,2,2,4,5
2008-09-24,Getafe_Ath Madrid_2008,Ath Madrid,2,2,4,5
2008-09-24,Real Madrid_Sp Gijon_2008,Real Madrid,2,2,4,5
2008-09-24,Real Madrid_Sp Gijon_2008,Sp Gijon,2,2,4,5
2008-09-24,Villarreal_Santander_2008,Santander,2,2,4,5
2008-09-24,Osasuna_La Coruna_2008,La Coruna,2,2,4,5
2008-09-24,Sevilla_Espanol_2008,Sevilla,2,2,4,5
2008-09-24,Barcelona_Betis_2008,Betis,2,2,4,5
2008-09-24,Sevilla_Espanol_2008,Espanol,2,2,4,5
2008-09-24,Osasuna_La Coruna_2008,Osasuna,2,2,4,5
2008-09-25,Malaga_Valencia_2008,Valencia,2,2,4,5
2008-09-25,Mallorca_Numancia_2008,Numancia,2,2,4,5
2008-09-25,Valladolid_Almeria_2008,Valladolid,2,2,4,5
2008-09-25,Valladolid_Almeria_2008,Almeria,2,2,4,5
2008-09-25,Recreativo_Ath Bilbao_2008,Ath Bilbao,2,2,4,5
2008-09-25,Malaga_Valencia_2008,Malaga,2,2,4,5
2008-09-25,Mallorca_Numancia_2008,Mallorca,2,2,4,5
2008-09-25,Recreativo_Ath Bilbao_2008,Recreativo,2,2,4,5
2008-09-27,Sp Gijon_Villarreal_2008,Villarreal,2,3,5,5
2008-09-27,Espanol_Barcelona_2008,Barcelona,2,3,5,5
2008-09-27,Sp Gijon_Villarreal_2008,Sp Gijon,3,2,5,5
2008-09-27,Betis_Real Madrid_2008,Betis,3,2,5,5
2008-09-27,Betis_Real Madrid_2008,Real Madrid,2,3,5,5
2008-09-27,Espanol_Barcelona_2008,Espanol,3,2,5,5
2008-09-28,Almeria_Recreativo_2008,Almeria,3,2,5,5
2008-09-28,Almeria_Recreativo_2008,Recreativo,2,3,5,5
2008-09-28,Numancia_Osasuna_2008,Osasuna,2,3,5,5
2008-09-28,Malaga_Valladolid_2008,Malaga,3,2,5,5
2008-09-28,Ath Madrid_Sevilla_2008,Ath Madrid,3,2,5,5
2008-09-28,Valencia_La Coruna_2008,Valencia,3,2,5,5
2008-09-28,Valencia_La Coruna_2008,La Coruna,2,3,5,5
2008-09-28,Santander_Mallorca_2008,Santander,3,2,5,5
2008-09-28,Santander_Mallorca_2008,Mallorca,2,3,5,5
2008-09-28,Malaga_Valladolid_2008,Valladolid,2,3,5,5
2008-09-28,Ath Bilbao_Getafe_2008,Getafe,2,3,5,5
