year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2009,La Coruna,away,ft_away,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,299.2
2009,La Coruna,away,ft_away_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,394.5
2009,La Coruna,away,ft_away_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,567.9
2009,La Coruna,away,ft_away_g<35,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,709.8
2009,La Coruna,away,ft_away_g>15,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,604.5
2009,La Coruna,away,ft_away_g>25,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,431.1
2009,La Coruna,away,ft_away_g>35,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,289.2
2009,La Coruna,total,ft_total,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,389.0
2009,La Coruna,total,ft_total_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,352.3
2009,La Coruna,total,ft_total_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,352.3
2009,La Coruna,total,ft_total_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,599.2
2009,La Coruna,total,ft_total_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,599.2
2009,La Coruna,total,ft_total_g<35,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,770.5
2009,La Coruna,total,ft_total_g<35,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,770.5
2009,La Coruna,total,ft_total_g>15,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,646.7
2009,La Coruna,total,ft_total_g>15,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,646.7
2009,La Coruna,total,ft_total_g>25,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,399.8
2009,La Coruna,total,ft_total_g>25,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,399.8
2009,La Coruna,total,ft_total_g>35,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,228.5
2009,La Coruna,total,ft_total_g>35,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,228.5
2009,La Coruna,away,ht_away,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,141.4
2009,La Coruna,away,ht_away_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,736.4
2009,La Coruna,away,ht_away_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,904.6
2009,La Coruna,away,ht_away_g<35,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,962.9
2009,La Coruna,away,ht_away_g>15,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,262.6
2009,La Coruna,away,ht_away_g>25,1,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,94.4
2009,La Coruna,away,ht_away_g>35,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,67.9
2009,La Coruna,total,ht_total,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,228.4
2009,La Coruna,total,ht_total_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,746.9
2009,La Coruna,total,ht_total_g<15,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,746.9
2009,La Coruna,total,ht_total_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,915.4
2009,La Coruna,total,ht_total_g<25,0,Real Madrid_La Coruna_2009,2009-08-29,1,1,1,1,915.4
