,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.0,2.7,2.25,,3.0,2.25,,2.2,2.25,2.875,2.27,3.0,2.875,3.0,,,2.4,1.95,2.95,3.0,,,2.05,0.25,1.6,2.9,3.0,3.1,1.85,Lille,Lyon,Lille_Lyon_2003
1,3.1,1.7,5.0,-0.75,1.72,4.75,,5.0,4.5,1.615,4.9,3.1,1.727,1.66,,,4.4,1.8,1.7,3.1,2.05,1.85,2.15,-0.75,1.55,3.1,3.25,3.1,2.0,Auxerre,Nice,Auxerre_Nice_2003
2,3.1,2.7,2.5,0.0,2.6,2.5,,2.4,2.625,2.5,2.65,2.875,2.5,2.6,,,2.4,1.9,2.55,3.0,1.925,1.975,2.05,0.0,1.6,2.9,3.2,3.0,1.9,Guingamp,Marseille,Guingamp_Marseille_2003
3,3.3,1.6,5.5,-0.75,1.61,5.25,,4.5,5.5,1.571,4.85,3.25,1.571,1.66,,,4.8,1.95,1.67,3.25,1.9,2.0,1.9,-0.75,1.7,3.3,3.25,3.35,1.85,Lens,Le Mans,Lens_Le Mans_2003
4,3.25,1.8,3.4,-0.5,1.95,3.6,,3.8,3.4,2.0,3.8,3.0,2.0,1.8,,,3.8,1.9,1.93,3.1,2.0,1.9,2.05,-0.5,1.6,3.1,3.0,3.1,1.9,Metz,Ajaccio,Metz_Ajaccio_2003
5,3.0,1.9,3.2,-0.5,1.9,3.75,,4.0,3.75,2.0,3.75,3.0,1.909,1.83,,,3.5,1.9,1.93,3.1,1.925,1.975,2.05,-0.5,1.6,3.1,3.2,3.1,1.9,Monaco,Bordeaux,Monaco_Bordeaux_2003
6,3.2,2.0,3.2,-0.5,1.95,3.6,,3.75,3.75,2.0,3.7,3.0,1.909,1.83,,,3.4,1.85,1.95,3.1,2.05,1.85,2.05,-0.5,1.6,2.9,3.2,3.15,1.95,Montpellier,Rennes,Montpellier_Rennes_2003
7,3.25,1.45,6.5,-0.75,1.53,6.0,,6.0,5.5,1.5,5.5,3.4,1.533,1.53,,,5.8,1.9,1.6,3.4,1.8,2.1,1.9,-1.0,1.7,3.6,3.25,3.33,1.9,Paris SG,Bastia,Paris SG_Bastia_2003
8,3.0,1.85,3.2,-0.5,1.9,3.75,,3.4,3.75,2.0,3.75,3.0,1.909,2.0,,,3.6,1.9,1.91,3.1,1.975,1.925,2.15,-0.5,1.55,3.1,3.2,3.15,1.9,Sochaux,Nantes,Sochaux_Nantes_2003
9,3.0,1.85,3.2,-0.25,1.95,3.75,,3.75,3.2,2.1,3.5,3.0,2.1,1.9,,,3.6,2.05,2.0,3.0,1.8,2.1,2.15,-0.25,1.55,3.1,3.0,3.1,1.75,Toulouse,Strasbourg,Toulouse_Strasbourg_2003
10,,1.7,4.0,-0.5,1.75,4.5,,,4.0,1.8,4.3,3.1,1.8,,,,4.4,2.05,1.8,3.1,1.875,2.025,2.05,-0.5,1.6,3.1,3.2,3.1,1.75,Marseille,Auxerre,Marseille_Auxerre_2003
11,3.3,1.7,4.333,-0.75,1.72,4.75,,4.5,5.0,1.727,5.0,3.1,1.667,1.66,,,4.4,1.85,1.7,3.1,1.975,1.925,2.05,-0.75,1.6,3.1,3.2,3.2,1.95,Bastia,Metz,Bastia_Metz_2003
12,3.25,1.45,5.0,-0.75,1.57,5.5,,6.0,5.5,1.667,5.75,3.25,1.571,1.53,,,5.8,1.7,1.6,3.4,1.8,2.1,1.95,-1.0,1.65,3.6,3.2,3.3,2.12,Bordeaux,Montpellier,Bordeaux_Montpellier_2003
13,3.0,1.9,3.0,-0.5,2.0,3.6,,4.0,3.75,2.1,3.6,3.0,1.909,1.83,,,3.6,2.12,1.95,3.0,2.075,1.825,2.15,-0.25,1.55,3.0,3.2,3.15,1.7,Le Mans,Ajaccio,Le Mans_Ajaccio_2003
14,2.9,2.4,2.625,0.0,2.6,2.5,,2.62,2.625,2.5,2.55,2.875,2.5,2.5,,,2.7,1.9,2.6,3.0,1.85,2.05,2.15,0.0,1.55,2.9,2.875,3.1,1.9,Lille,Paris SG,Lille_Paris SG_2003
15,3.0,1.9,3.2,-0.5,2.0,3.6,,4.0,3.75,2.1,3.65,3.0,1.909,1.83,,,3.6,1.85,1.97,3.0,2.0,1.9,1.85,-0.5,1.75,3.0,3.0,3.0,1.95,Lyon,Monaco,Lyon_Monaco_2003
16,3.0,2.0,3.4,-0.25,2.0,3.6,,3.75,3.75,2.0,3.65,3.0,1.909,1.9,,,3.4,2.0,2.0,3.0,1.75,2.15,2.15,-0.25,1.55,2.9,3.0,3.0,1.8,Nantes,Lens,Nantes_Lens_2003
17,3.0,1.9,3.2,-0.5,2.0,3.6,,3.75,3.4,2.1,3.6,3.0,2.0,1.9,,,3.6,2.0,2.0,3.0,2.1,1.8,2.2,-0.25,1.5,3.0,3.0,3.1,1.8,Nice,Sochaux,Nice_Sochaux_2003
18,3.0,1.8,4.0,,1.9,3.75,,3.75,3.75,1.8,3.75,3.0,1.909,1.9,,,4.0,1.9,1.91,3.1,,,1.9,-0.5,1.7,3.0,3.2,3.2,1.9,Rennes,Toulouse,Rennes_Toulouse_2003
19,3.2,2.0,3.0,,2.1,3.3,,3.2,3.2,2.1,3.4,3.0,2.1,2.0,,,3.4,2.0,2.1,3.0,,,1.95,-0.25,1.65,2.9,3.2,3.0,1.8,Strasbourg,Guingamp,Strasbourg_Guingamp_2003
20,2.8,2.4,2.875,-0.25,2.25,3.0,,3.0,2.875,2.25,3.0,3.0,2.3,2.3,,,2.7,1.8,2.25,3.0,2.1,1.8,2.35,-0.25,1.45,2.9,3.0,3.05,2.0,Ajaccio,Nantes,Ajaccio_Nantes_2003
21,3.1,1.65,4.5,-0.75,1.66,5.0,,5.0,5.0,1.667,4.8,3.0,1.727,1.66,,,4.6,1.7,1.7,3.2,2.1,1.8,2.15,-1.0,1.55,3.2,3.25,3.2,2.15,Auxerre,Strasbourg,Auxerre_Strasbourg_2003
22,3.0,2.3,2.875,0.0,2.37,2.75,,2.7,2.75,2.25,2.95,3.0,2.375,2.37,,,2.8,2.0,2.3,3.0,1.825,2.075,2.05,0.0,1.6,2.9,3.0,3.0,1.8,Guingamp,Bordeaux,Guingamp_Bordeaux_2003
23,2.9,2.6,2.6,0.0,2.4,2.87,,2.75,2.625,2.5,2.75,3.0,2.5,2.4,,,2.7,1.9,2.5,2.87,1.875,2.025,2.35,0.0,1.45,2.7,3.0,2.95,1.9,Le Mans,Nice,Le Mans_Nice_2003
24,2.8,2.8,2.5,0.0,2.6,2.5,,2.6,2.625,2.6,2.5,3.0,2.5,2.6,,,2.3,1.85,2.7,3.0,2.0,1.9,2.15,0.0,1.55,2.9,3.0,3.0,1.95,Metz,Paris SG,Metz_Paris SG_2003
25,3.3,1.45,6.0,-1.0,1.53,6.0,,6.5,6.5,1.5,5.75,3.4,1.5,1.5,,,5.8,1.8,1.55,3.4,2.05,1.85,1.9,-1.0,1.7,3.6,3.4,3.5,2.0,Monaco,Bastia,Monaco_Bastia_2003
26,2.9,2.8,2.375,0.25,2.87,2.3,,2.37,2.375,2.75,2.4,3.0,2.75,2.8,,,2.4,1.8,2.85,3.0,1.85,2.05,1.95,0.0,1.65,2.8,3.0,3.0,2.0,Montpellier,Lyon,Montpellier_Lyon_2003
27,3.1,1.75,4.0,-0.75,1.75,4.33,,4.5,5.0,1.8,4.6,3.0,1.727,1.72,,,4.2,1.75,1.75,3.2,2.0,1.9,2.05,-0.75,1.6,3.1,3.2,3.2,2.05,Sochaux,Rennes,Sochaux_Rennes_2003
28,3.0,2.3,2.875,0.0,2.3,2.87,,3.0,2.875,2.25,3.05,3.0,2.3,2.2,,,2.9,1.8,2.25,3.0,1.8,2.1,2.25,-0.25,1.5,2.8,3.0,3.0,2.0,Toulouse,Lille,Toulouse_Lille_2003
29,2.9,2.4,2.6,0.0,2.5,2.6,,2.62,2.625,2.5,2.6,3.0,2.5,2.5,,,2.7,1.9,2.65,3.0,1.875,2.025,2.25,0.0,1.5,2.9,3.0,3.0,1.9,Lens,Marseille,Lens_Marseille_2003
30,3.0,1.85,3.2,-0.5,2.0,3.5,,3.4,3.75,2.0,3.75,3.0,1.909,2.0,,,3.8,1.88,1.9,3.0,2.025,1.875,1.95,-0.5,1.66,3.0,3.2,3.1,1.9,Bastia,Montpellier,Bastia_Montpellier_2003
