,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.1,3.2,2.0,,3.25,2.1,3.0,,2.2,2.1,3.2,2.0,3.0,3.25,,2.87,2.2,,3.0,2.1,2.0,3.5,3.0,,,2.1,0.5,1.6,2.9,3.2,3.1,1.64,Nice,Lyon,Nice_Lyon_2004
1,3.2,2.2,3.0,,2.1,3.25,3.0,,3.2,3.25,2.1,3.25,3.0,2.1,,2.0,3.45,,2.05,3.0,1.56,2.12,3.0,,,2.2,-0.5,1.55,2.9,3.2,3.0,2.12,Bastia,Strasbourg,Bastia_Strasbourg_2004
2,3.0,1.8,3.4,,1.91,3.75,3.1,,3.75,3.6,2.0,3.75,3.2,1.9,,1.9,3.75,,1.9,3.8,1.67,1.95,3.1,,,2.1,-0.5,1.6,3.1,3.0,3.0,1.95,Caen,Istres,Caen_Istres_2004
3,3.0,2.4,2.5,,2.38,2.8,3.2,,2.7,2.75,2.4,2.65,3.0,2.37,,2.37,2.6,,2.4,2.7,1.42,2.45,3.0,,,2.2,-0.5,1.55,2.9,3.25,3.05,2.45,Lille,Auxerre,Lille_Auxerre_2004
4,3.3,1.75,4.333,,1.75,4.33,3.5,,4.5,4.33,1.727,4.5,3.25,1.72,,1.66,5.0,,1.6,4.0,1.9,1.7,3.2,,,2.0,-0.5,1.65,3.2,3.2,3.3,1.7,Marseille,Bordeaux,Marseille_Bordeaux_2004
5,3.0,2.3,2.5,,2.62,2.5,3.15,,2.7,2.62,2.4,2.65,3.0,2.5,,2.37,2.4,,2.65,2.7,1.43,2.45,3.0,,,2.2,-0.5,1.55,3.0,3.25,3.1,2.45,Metz,Nantes,Metz_Nantes_2004
6,3.0,2.7,2.25,,2.75,2.4,3.1,,2.25,2.37,2.75,2.35,3.0,2.75,,2.87,2.2,,3.0,2.4,2.35,2.85,3.0,,,2.1,0.5,1.6,2.9,3.2,3.0,1.46,Rennes,Paris SG,Rennes_Paris SG_2004
7,3.5,1.6,5.5,,1.57,5.5,3.55,,5.0,5.5,1.533,5.5,3.4,1.57,,1.57,5.5,,1.55,4.6,2.06,1.6,3.4,,,1.95,-0.5,1.71,3.4,3.4,3.3,1.6,Sochaux,Ajaccio,Sochaux_Ajaccio_2004
8,3.0,3.0,2.1,,3.1,2.2,3.2,,2.25,2.1,3.2,2.15,3.0,3.25,,2.87,1.95,,3.5,2.2,2.15,3.1,3.0,,,2.0,0.5,1.65,2.9,3.0,3.1,1.55,St Etienne,Monaco,St Etienne_Monaco_2004
9,3.0,2.4,2.625,,2.38,2.8,3.05,,2.8,2.75,2.4,2.75,3.0,2.37,,2.3,2.7,,2.4,2.7,1.43,2.4,3.0,,,2.2,-0.5,1.55,2.9,3.2,3.0,2.4,Toulouse,Lens,Toulouse_Lens_2004
