,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,9.0,3.85,1.62,3.3,1.6,5.5,1.53,6.0,7.0,1.6,3.8,6.34,6.5,6.5,3.5,1.53,3.5,1.5,6.5,3.4,1.51,31,1.5,-1.0,1.9,1.5,2.02,7.0,2.11,53,1.45,5.0,2.25,3.4,1.86,1.5,1.5,12,3.4,1.98,7.0,3.2,3.4,3.45,1.75,Paris SG,Metz,Paris SG_Metz_2005
1,5.0,3.25,1.54,3.0,1.9,3.75,1.83,4.2,4.0,1.95,3.0,4.21,4.0,4.33,2.88,1.91,3.0,1.85,4.1,3.0,1.84,35,1.8,-0.5,2.05,1.83,1.9,4.25,2.24,54,1.9,3.8,2.4,3.0,2.0,2.0,1.9,13,3.1,1.85,4.35,2.9,3.0,3.02,1.66,Lille,Rennes,Lille_Rennes_2005
2,5.75,3.4,1.55,3.1,1.75,,1.67,5.0,4.75,1.8,3.3,4.83,5.0,4.5,3.2,,3.2,1.75,4.5,3.2,1.71,35,1.72,-0.75,1.9,1.66,2.05,5.25,2.23,54,1.65,4.4,2.55,3.0,1.84,1.73,1.75,12,3.25,2.02,5.0,3.0,,3.15,1.62,Marseille,Bordeaux,Marseille_Bordeaux_2005
3,2.25,3.2,1.55,2.87,3.3,2.0,3.6,2.0,1.91,4.75,3.2,1.97,1.9,1.9,3.1,3.4,3.1,3.75,1.9,3.1,3.77,35,3.75,0.5,2.05,4.0,1.95,1.9,2.22,53,3.8,2.1,2.45,3.25,1.96,4.0,3.9,14,3.0,1.87,2.0,2.8,3.0,2.99,1.7,Nancy,Monaco,Nancy_Monaco_2005
4,3.8,3.15,1.52,2.9,2.3,3.0,2.2,3.1,3.2,2.42,3.1,3.12,2.9,3.0,3.0,2.2,3.0,2.2,3.05,3.0,2.23,35,2.25,-0.25,1.85,2.3,2.15,3.35,2.3,54,2.1,3.0,2.55,3.0,1.79,2.2,2.25,14,3.0,2.07,3.2,2.7,3.0,2.91,1.65,Nantes,Lens,Nantes_Lens_2005
5,5.75,3.5,1.56,2.87,1.8,4.33,1.75,4.33,4.5,1.85,3.0,4.78,4.33,5.0,3.1,1.8,3.0,1.75,4.6,3.2,1.74,35,1.66,-0.5,2.2,1.83,1.8,5.5,2.2,53,1.7,4.2,2.5,3.0,2.14,1.8,1.8,12,3.2,1.71,5.0,2.9,3.0,3.07,1.7,Nice,Troyes,Nice_Troyes_2005
6,3.95,3.1,1.56,2.9,2.0,3.2,1.91,4.0,3.5,2.25,3.0,3.5,3.2,3.5,3.0,2.1,3.1,2.0,3.5,3.0,2.05,35,2.0,-0.25,2.01,2.15,1.92,3.55,2.19,54,2.05,3.4,2.38,3.0,1.98,2.1,2.0,14,3.0,1.88,3.75,2.9,3.0,2.96,1.65,Sochaux,Toulouse,Sochaux_Toulouse_2005
7,6.15,3.5,1.58,3.1,1.7,5.0,1.75,4.33,5.0,1.75,3.15,5.22,5.0,5.0,3.25,1.73,3.2,1.65,4.5,3.2,1.65,34,1.66,-0.75,2.13,1.66,1.81,4.5,2.17,53,1.8,4.6,2.5,3.1,2.09,1.67,1.75,11,3.2,1.78,5.5,3.0,2.88,3.18,1.67,St Etienne,Ajaccio,St Etienne_Ajaccio_2005
8,3.5,3.1,1.61,2.87,2.0,3.0,2.3,3.1,3.2,2.3,3.0,3.17,3.0,3.2,3.0,2.25,2.9,2.25,3.2,2.87,2.21,35,2.2,-0.25,2.02,2.25,1.95,3.15,2.11,53,2.25,3.4,2.34,3.0,1.97,2.2,2.25,14,2.88,1.89,3.2,2.9,2.88,2.91,1.72,Strasbourg,Auxerre,Strasbourg_Auxerre_2005
9,1.85,3.25,1.59,3.0,3.8,1.8,4.33,1.8,1.8,6.25,3.2,1.78,1.8,1.8,3.1,4.5,3.1,4.5,1.8,3.0,4.54,30,4.33,0.5,1.8,4.2,2.19,1.7,2.13,50,5.0,1.85,2.35,3.0,1.77,4.5,4.4,8,3.1,2.09,1.8,3.0,2.88,3.04,1.75,Le Mans,Lyon,Le Mans_Lyon_2005
