,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.85,3.4,1.51,3.2,1.8,4.0,1.9,3.8,4.2,1.93,3.1,4.33,4.5,4.2,3.25,3.25,1.8,3.2,1.85,4.25,3.3,1.85,19,1.91,-0.5,2.03,1.8,1.9,4.6,2.44,4.2,28,1.85,4.3,2.6,3.12,1.94,1.83,1.85,13,3.2,1.83,4.2,1.83,3.2,3.2,3.24,1.55,Auxerre,Lorient,Auxerre_Lorient_2010
1,4.08,3.25,1.54,3.1,2.1,3.5,2.05,3.6,3.75,2.11,3.1,3.75,3.75,3.8,3.1,3.1,2.0,3.0,1.95,3.75,3.1,2.03,18,2.1,0.0,2.85,2.0,1.5,3.7,2.35,3.6,28,2.05,3.3,2.58,3.0,2.67,2.0,2.05,11,3.0,1.42,3.8,2.05,3.1,3.0,3.11,1.6,Lens,Nancy,Lens_Nancy_2010
2,9.94,4.37,1.72,4.0,1.45,7.0,1.4,7.5,8.0,1.45,4.1,8.08,8.0,8.0,4.0,4.0,1.4,4.0,1.36,8.0,4.0,1.41,26,1.44,-1.25,1.84,1.4,2.09,8.25,2.06,8.0,28,1.4,7.0,2.16,4.2,1.79,1.4,1.4,12,4.0,2.01,8.0,1.4,3.7,3.75,4.1,1.8,Lyon,Monaco,Lyon_Monaco_2010
3,14.0,6.0,2.0,6.0,1.25,11.0,1.2,11.0,12.0,1.31,5.8,11.0,11.0,12.0,6.0,5.5,1.2,6.0,1.22,12.0,5.5,1.24,23,1.25,-1.75,1.76,1.2,2.21,9.0,1.75,11.0,28,1.25,10.0,1.84,5.5,1.74,1.2,1.2,9,5.75,2.18,11.0,1.22,5.0,5.0,5.43,2.12,Marseille,Caen,Marseille_Caen_2010
4,3.98,3.21,1.59,3.1,2.1,3.4,2.0,3.6,3.75,2.17,3.2,3.67,3.4,3.75,3.1,3.1,2.0,3.1,2.0,3.75,3.1,2.07,20,2.1,0.0,2.75,2.1,1.5,3.6,2.24,3.6,28,2.05,3.3,2.32,3.0,2.58,2.0,2.0,11,3.1,1.44,3.75,2.05,3.1,3.0,3.1,1.67,Nice,Valenciennes,Nice_Valenciennes_2010
5,6.25,3.56,1.61,3.5,1.65,5.0,1.6,5.5,5.0,1.75,3.45,5.26,6.0,5.25,3.5,3.4,1.62,3.3,1.67,5.25,3.4,1.68,19,1.73,-0.75,1.97,1.57,1.96,5.35,2.2,5.0,27,1.65,4.8,2.33,3.2,1.9,1.67,1.67,12,3.4,1.89,5.5,1.67,3.4,3.3,3.42,1.66,Paris SG,St Etienne,Paris SG_St Etienne_2010
6,3.1,3.18,1.64,3.0,2.5,2.75,2.4,2.75,3.0,2.59,3.2,2.93,2.75,3.1,3.0,3.1,2.38,3.1,2.38,3.0,3.1,2.44,20,2.4,0.0,2.16,2.5,1.8,2.9,2.16,2.75,28,2.35,2.7,2.25,3.0,2.07,2.4,2.3,16,3.1,1.71,2.88,2.5,3.0,3.0,3.06,1.71,Rennes,Lille,Rennes_Lille_2010
7,5.6,3.46,1.53,3.4,1.7,5.0,1.6,5.5,5.5,1.82,3.35,4.96,5.0,5.0,3.25,3.4,1.62,3.4,1.73,5.25,3.25,1.73,19,1.8,-0.75,1.88,1.67,2.06,5.15,2.38,5.0,28,1.7,4.5,2.54,3.25,1.81,1.67,1.65,12,3.4,1.98,4.75,1.67,3.4,3.3,3.34,1.55,Sochaux,Arles,Sochaux_Arles_2010
8,6.0,3.61,1.52,3.5,1.6,5.5,1.6,5.5,6.0,1.71,3.4,5.55,6.0,6.0,3.25,3.5,1.57,3.5,1.62,6.0,3.5,1.64,19,1.62,-0.75,2.0,1.55,1.93,5.55,2.41,5.5,28,1.65,5.0,2.54,3.4,1.93,1.57,1.57,12,3.4,1.86,5.5,1.62,3.6,3.3,3.47,1.6,Toulouse,Brest,Toulouse_Brest_2010
9,2.5,3.17,1.55,3.0,2.7,2.4,2.88,2.38,2.4,3.31,3.1,2.42,2.5,2.4,3.0,3.1,2.75,3.0,3.0,2.4,3.0,2.98,19,3.2,0.0,1.75,2.75,2.25,2.4,2.32,2.5,27,2.9,2.5,2.5,3.0,1.69,3.0,3.0,18,3.0,2.14,2.3,2.75,3.0,2.9,3.04,1.6,Montpellier,Bordeaux,Montpellier_Bordeaux_2010
10,2.76,3.15,1.5,3.0,2.65,2.38,2.85,2.4,2.5,3.15,3.0,2.49,2.5,2.5,3.0,3.1,2.8,3.0,2.75,2.4,3.0,2.91,25,3.0,0.0,1.89,3.0,2.1,2.5,2.45,2.3,35,2.85,2.5,2.59,3.0,1.78,2.88,3.0,24,3.0,2.0,2.5,3.0,3.1,2.88,3.02,1.55,Arles,Lens,Arles_Lens_2010
11,6.5,3.81,1.61,3.6,1.65,5.5,1.53,6.0,5.5,1.69,3.7,5.85,6.5,6.25,3.5,3.5,1.53,3.5,1.62,5.75,3.6,1.61,26,1.6,0.0,5.0,1.57,1.27,6.0,2.2,5.5,36,1.55,4.8,2.3,3.4,4.27,1.62,1.6,14,3.6,1.19,5.5,1.6,3.4,3.5,3.53,1.7,Bordeaux,Toulouse,Bordeaux_Toulouse_2010
12,2.65,3.12,1.5,3.0,2.6,2.38,2.85,2.4,2.5,3.22,3.1,2.47,2.6,2.5,3.0,3.1,2.8,3.0,3.0,2.45,2.9,2.92,24,3.1,0.0,1.8,2.9,2.22,2.3,2.45,2.38,35,3.1,2.6,2.63,2.88,1.73,2.88,2.9,23,3.0,2.06,2.38,2.88,3.0,2.88,3.02,1.55,Brest,Auxerre,Brest_Auxerre_2010
13,2.01,3.5,1.59,3.2,3.9,1.8,4.2,1.8,1.91,4.65,3.3,1.89,1.91,1.91,3.25,3.25,4.0,3.2,4.2,1.85,3.25,4.21,26,4.33,0.0,1.4,4.33,3.3,1.85,2.24,1.83,36,4.25,1.85,2.38,3.1,1.35,4.0,4.25,15,3.25,2.93,1.85,4.2,3.3,3.2,3.23,1.65,Caen,Lyon,Caen_Lyon_2010
14,4.36,3.38,1.66,3.3,2.1,3.5,2.0,3.5,3.75,2.1,3.2,3.86,3.8,3.75,3.2,3.1,1.91,3.2,1.91,3.6,3.2,1.97,25,2.05,0.0,2.88,2.0,1.5,3.6,2.11,3.75,34,2.05,3.3,2.23,3.1,2.7,2.0,2.0,15,3.15,1.41,4.0,2.0,3.1,3.2,3.2,1.72,Lille,Paris SG,Lille_Paris SG_2010
15,4.55,3.4,1.58,3.25,1.9,3.75,1.9,3.8,4.0,2.0,3.3,4.11,4.2,4.2,3.2,3.2,1.83,3.2,1.83,4.0,3.2,1.91,25,1.95,-0.5,2.01,1.91,1.95,4.1,2.25,4.0,35,1.88,3.8,2.35,3.12,1.96,1.91,1.9,14,3.2,1.9,4.2,1.91,3.2,3.2,3.23,1.66,Lorient,Nice,Lorient_Nice_2010
16,3.09,3.1,1.58,2.9,2.4,2.75,2.5,2.75,2.88,2.69,3.1,2.81,2.88,2.88,3.0,3.0,2.4,3.0,2.5,2.8,3.0,2.57,25,2.6,0.0,2.13,2.7,1.86,2.8,2.26,2.8,35,2.5,2.8,2.38,3.0,1.99,2.5,2.55,25,3.0,1.8,2.75,2.5,3.1,2.9,3.02,1.66,Nancy,Rennes,Nancy_Rennes_2010
17,4.54,3.36,1.55,3.1,2.0,3.75,1.95,3.75,3.75,2.05,3.1,4.01,4.5,4.2,3.2,3.2,1.91,3.1,1.91,4.0,3.1,1.95,25,2.0,0.0,3.05,1.91,1.45,4.1,2.33,3.6,36,1.95,3.4,2.5,3.0,2.79,2.0,1.95,14,3.1,1.39,4.0,2.0,3.2,3.0,3.17,1.58,St Etienne,Sochaux,St Etienne_Sochaux_2010
18,2.23,3.3,1.64,3.3,3.7,1.83,4.0,1.85,2.0,4.1,3.2,2.01,2.05,2.05,3.2,3.25,3.75,3.2,3.75,1.95,3.25,3.77,27,3.75,0.0,1.48,3.6,2.95,1.95,2.16,1.91,35,3.8,1.9,2.3,3.0,1.41,3.75,3.75,14,3.2,2.68,2.0,3.8,3.3,3.2,3.18,1.7,Valenciennes,Marseille,Valenciennes_Marseille_2010
19,3.74,3.2,1.51,3.0,2.1,3.5,2.1,3.3,3.1,2.31,3.1,3.38,3.25,3.3,3.2,3.1,2.0,3.1,2.2,3.4,3.1,2.19,25,2.25,0.0,2.58,2.2,1.61,3.3,2.42,3.2,37,2.2,3.3,2.64,2.88,2.41,2.2,2.1,19,3.1,1.52,3.3,2.2,3.1,3.0,3.07,1.57,Monaco,Montpellier,Monaco_Montpellier_2010
20,4.0,3.2,1.51,2.9,2.1,4.0,2.0,3.6,4.0,2.27,3.1,3.54,3.8,3.6,3.0,3.2,1.8,3.1,2.2,3.4,3.0,2.13,23,2.2,0.0,2.68,2.2,1.55,3.4,2.44,3.25,35,2.15,3.3,2.59,2.88,2.48,2.0,2.15,17,3.1,1.48,3.6,2.15,3.1,3.2,3.09,1.55,Auxerre,Valenciennes,Auxerre_Valenciennes_2010
21,3.52,3.21,1.51,3.1,2.35,2.88,2.2,3.2,3.2,2.35,3.1,3.24,3.3,3.4,3.0,3.0,2.25,3.1,2.25,3.25,3.0,2.26,24,2.3,0.0,2.39,2.3,1.7,3.2,2.45,3.1,35,2.25,2.9,2.62,3.0,2.24,2.3,2.2,18,3.0,1.59,3.4,2.3,3.05,3.0,3.07,1.55,Lens,Monaco,Lens_Monaco_2010
22,10.0,4.78,1.83,4.2,1.35,8.0,1.33,8.5,8.5,1.43,4.25,8.63,9.0,7.5,4.33,4.33,1.29,4.33,1.4,9.0,4.5,1.37,32,1.4,0.0,7.25,1.4,1.11,8.75,1.92,9.0,35,1.37,7.3,2.0,4.33,6.43,1.36,1.35,13,4.33,1.09,8.0,1.33,4.5,4.5,4.36,1.92,Lyon,Brest,Lyon_Brest_2010
23,6.5,3.78,1.82,3.5,1.65,6.0,1.6,5.0,5.5,1.67,3.75,5.85,6.0,6.5,3.5,3.5,1.5,3.5,1.62,6.0,3.4,1.6,31,1.62,0.0,4.7,1.62,1.23,5.9,1.94,6.0,34,1.55,4.6,2.01,3.5,4.19,1.62,1.57,13,3.6,1.19,6.0,1.57,3.5,3.5,3.56,1.92,Marseille,Lorient,Marseille_Lorient_2010
24,3.44,3.2,1.54,3.1,2.2,3.0,2.25,3.1,3.1,2.42,3.1,3.16,3.1,3.2,3.1,3.1,2.2,3.0,2.3,3.2,3.0,2.31,24,2.38,0.0,2.3,2.4,1.7,3.1,2.35,3.1,35,2.3,3.2,2.5,3.0,2.23,2.3,2.25,21,3.0,1.61,3.12,2.25,3.0,3.0,3.06,1.6,Nice,Nancy,Nice_Nancy_2010
25,5.78,3.68,1.63,3.3,1.65,5.0,1.65,5.0,5.0,1.73,3.4,5.21,5.5,5.25,3.25,3.4,1.62,3.25,1.73,5.0,3.3,1.69,24,1.75,0.0,4.0,1.73,1.27,5.0,2.18,5.0,34,1.7,4.6,2.25,3.2,3.76,1.73,1.73,14,3.4,1.23,5.5,1.67,3.5,3.3,3.42,1.74,Rennes,St Etienne,Rennes_St Etienne_2010
