,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.45,5.4,2.02,4.5,7.5,1.36,1.33,13.0,4.33,1.35,1.36,1.36,4.5,4.97,9.0,10.5,4.5,1.37,9.68,39,9.5,1.5,2.07,9.0,1.97,1.4,1.79,42,8.0,1.4,1.87,4.8,10.88,2.01,9.5,22,1.85,1.36,4.3,4.5,4.72,2.12,Reims,Paris SG,Reims_Paris SG_2014
1,2.12,3.45,1.66,3.3,3.45,2.1,2.0,4.25,3.2,2.04,2.1,2.05,3.2,3.34,3.5,4.1,3.1,2.11,3.73,37,3.9,0.5,2.12,3.5,1.86,2.15,2.16,46,3.8,2.1,2.26,3.3,3.98,2.05,3.75,19,1.81,2.05,3.15,3.3,3.25,1.73,Bastia,Marseille,Bastia_Marseille_2014
2,3.3,3.4,1.62,3.1,2.3,3.2,3.0,2.5,3.2,3.05,3.1,3.0,3.2,3.28,2.3,2.45,3.2,3.22,2.37,36,2.38,-0.25,1.85,2.4,2.12,3.1,2.24,46,2.5,3.1,2.45,3.2,2.44,1.79,2.3,18,2.08,3.2,3.1,3.1,3.15,1.7,Evian Thonon Gaillard,Caen,Evian Thonon Gaillard_Caen_2014
3,2.5,3.3,1.52,3.1,2.9,2.2,2.3,3.4,3.1,2.35,2.4,2.3,3.13,3.12,3.3,3.4,3.1,2.41,3.19,33,3.3,0.25,2.11,3.1,1.89,2.5,2.45,45,3.2,2.4,2.62,3.1,3.45,2.03,3.13,20,1.83,2.4,3.15,3.2,3.09,1.6,Guingamp,St Etienne,Guingamp_St Etienne_2014
4,8.0,4.2,1.65,3.75,1.45,7.5,6.25,1.56,4.1,6.94,7.0,6.5,3.8,4.13,1.44,1.55,4.1,7.65,1.51,41,1.5,-1.0,2.05,1.53,2.01,6.25,2.2,46,1.57,7.0,2.33,4.0,1.53,1.91,1.5,22,1.94,7.5,4.0,4.2,3.9,1.75,Lille,Metz,Lille_Metz_2014
5,3.3,3.22,1.56,3.0,2.3,3.2,3.0,2.56,2.95,3.12,3.0,3.2,3.13,3.08,2.3,2.5,3.1,3.29,2.39,35,2.3,-0.25,1.84,2.5,2.16,3.0,2.37,46,2.5,3.1,2.54,3.1,2.53,1.79,2.3,18,2.08,3.25,3.1,3.1,3.08,1.62,Montpellier,Bordeaux,Montpellier_Bordeaux_2014
6,4.4,3.4,1.58,3.1,2.0,4.0,3.75,2.05,3.2,3.88,4.0,3.9,3.2,3.28,2.0,2.05,3.25,4.36,2.01,33,2.0,-0.5,1.9,2.05,2.06,3.75,2.32,46,2.05,3.75,2.45,3.3,2.04,1.84,2.0,20,2.02,4.2,3.2,3.25,3.25,1.67,Nantes,Lens,Nantes_Lens_2014
7,3.0,3.2,1.53,2.9,2.5,3.0,,2.85,2.9,2.79,2.8,2.75,,3.09,2.5,2.75,3.1,2.85,2.67,33,2.63,0.0,2.02,2.8,1.96,2.9,2.44,45,2.85,2.8,2.62,3.1,2.85,1.95,,21,1.89,2.9,3.1,3.0,3.03,1.64,Nice,Toulouse,Nice_Toulouse_2014
8,4.95,3.55,1.7,3.3,1.8,4.75,4.33,1.91,3.25,4.49,4.5,4.75,3.3,3.52,1.8,1.9,3.4,4.95,1.84,43,1.8,-0.5,2.07,1.83,1.9,4.5,2.13,46,1.85,4.35,2.22,3.4,1.85,1.99,1.83,20,1.86,4.75,3.4,3.4,3.38,1.81,Lyon,Rennes,Lyon_Rennes_2014
9,10.0,4.8,1.91,4.0,1.4,7.5,8.0,1.45,4.33,8.41,10.0,8.5,4.33,4.7,1.4,1.4,4.33,9.4,1.4,44,1.4,-1.25,1.97,1.4,2.01,8.0,1.87,45,1.4,7.5,1.94,4.6,1.42,1.9,1.4,20,1.96,10.0,4.3,4.5,4.35,1.99,Monaco,Lorient,Monaco_Lorient_2014
