,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,11.2,6.0,2.29,5.0,1.35,10.0,1.35,5.75,9.82,10.0,10.0,5.72,1.28,1.3,5.5,11.12,1.32,36,1.3,-1.5,2.0,1.3,2.01,9.75,1.63,41,1.3,7.9,1.66,5.5,1.32,1.91,19,1.95,11.0,4.7,5.0,5.24,2.41,Monaco,Toulouse,Monaco_Toulouse_2017
1,9.0,5.19,2.43,4.5,1.4,7.5,1.44,5.0,7.95,8.0,8.5,5.19,1.36,1.36,5.0,8.99,1.38,33,1.36,-1.25,2.07,1.4,1.86,8.5,1.54,41,1.36,7.5,1.6,5.0,1.4,2.04,17,1.84,9.0,4.3,4.6,4.81,2.54,Lyon,Strasbourg,Lyon_Strasbourg_2017
2,2.78,3.25,1.7,3.1,2.65,2.5,2.96,3.2,2.63,2.7,2.63,3.2,2.75,2.88,3.2,2.71,2.8,38,2.8,0.0,1.88,2.7,2.07,2.65,2.14,41,2.8,2.65,2.2,3.2,2.95,1.85,18,2.01,2.63,3.1,3.1,3.14,1.75,Metz,Guingamp,Metz_Guingamp_2017
3,4.74,3.6,1.74,3.2,1.85,4.2,1.95,3.6,4.26,4.5,4.2,3.54,1.85,1.9,3.5,4.74,1.88,38,1.91,-0.5,2.04,1.91,1.94,4.5,2.07,41,1.83,4.1,2.16,3.5,1.88,1.97,17,1.89,4.4,3.4,3.3,3.44,1.8,Montpellier,Caen,Montpellier_Caen_2017
4,34.25,10.97,3.11,9.0,1.17,29.0,1.17,9.25,22.92,26.0,25.0,10.7,1.11,1.12,9.0,26.0,1.11,30,1.11,-2.5,1.95,1.1,2.01,21.0,1.35,41,1.12,14.0,1.4,9.5,1.13,1.9,18,1.96,19.0,6.5,9.0,9.21,3.3,Paris SG,Amiens,Paris SG_Amiens_2017
5,3.75,3.25,1.6,3.2,2.3,3.3,2.33,3.2,3.41,3.2,3.5,3.17,2.2,2.25,3.2,3.69,2.25,35,2.2,-0.25,2.01,2.3,1.97,3.4,2.31,41,2.25,3.1,2.5,3.2,2.28,1.96,20,1.91,3.5,3.1,3.0,3.14,1.67,St Etienne,Nice,St Etienne_Nice_2017
6,2.91,3.2,1.6,3.0,2.5,2.75,2.84,3.2,2.81,2.8,2.9,3.16,2.6,2.7,3.1,2.9,2.66,35,2.6,0.0,2.04,2.7,1.93,2.75,2.3,41,2.7,2.8,2.38,3.1,2.8,1.99,18,1.87,2.88,3.1,3.0,3.08,1.66,Troyes,Rennes,Troyes_Rennes_2017
7,3.2,3.1,1.54,3.0,2.5,2.9,2.71,3.1,2.99,2.9,3.1,3.06,2.5,2.6,3.1,3.14,2.54,33,2.5,0.0,2.16,2.62,1.82,2.95,2.42,39,2.55,2.8,2.56,3.1,2.63,2.09,15,1.78,3.0,3.1,2.9,3.02,1.57,Angers,Bordeaux,Angers_Bordeaux_2017
8,4.2,3.3,1.57,3.0,2.3,3.75,2.3,3.25,3.79,3.8,4.1,3.29,2.0,2.1,3.2,4.2,2.1,34,2.0,-0.25,2.17,2.15,1.87,4.0,2.36,40,2.05,3.1,2.45,3.25,2.09,2.1,18,1.78,4.0,3.1,3.1,3.16,1.63,Lille,Nantes,Lille_Nantes_2017
9,8.88,5.19,2.2,4.5,1.45,8.0,1.45,4.75,7.94,8.0,8.0,5.19,1.36,1.4,4.75,8.88,1.39,35,1.4,-1.25,2.06,1.4,1.91,8.0,1.65,40,1.4,7.0,1.71,4.8,1.4,2.0,17,1.86,7.5,4.0,4.6,4.69,2.35,Marseille,Dijon,Marseille_Dijon_2017
10,8.0,4.5,1.97,4.0,1.6,6.5,1.6,4.1,6.47,6.5,7.0,4.5,1.53,1.53,4.0,6.95,1.52,40,1.53,-1.0,2.1,1.53,1.95,6.75,1.84,40,1.53,5.6,1.91,4.2,1.53,1.97,20,1.89,7.0,3.6,4.0,4.17,2.08,Nice,Troyes,Nice_Troyes_2017
11,2.1,3.68,2.04,3.5,3.45,2.0,3.8,3.5,2.02,2.0,2.0,3.68,3.5,3.75,3.5,2.09,3.64,36,3.6,0.5,2.07,3.6,1.88,2.0,1.78,40,3.75,2.1,1.84,3.6,3.69,2.02,18,1.84,2.05,3.15,3.6,3.49,2.11,Rennes,Lyon,Rennes_Lyon_2017
12,2.75,3.14,1.53,3.0,2.7,2.6,3.04,2.95,2.62,2.7,2.63,3.12,2.87,3.0,3.1,2.66,2.89,36,2.9,0.0,1.86,2.8,2.09,2.75,2.46,39,2.9,2.7,2.59,3.1,3.04,1.82,17,2.02,2.63,3.0,3.0,3.02,1.57,Amiens,Angers,Amiens_Angers_2017
13,8.5,4.6,2.13,4.0,1.5,7.0,1.5,4.4,7.21,7.0,8.5,4.6,1.44,1.45,4.2,8.15,1.45,39,1.44,-1.25,1.88,1.5,2.07,7.5,1.7,40,1.45,6.3,1.75,4.4,1.46,1.84,17,2.02,8.0,3.9,4.33,4.36,2.21,Bordeaux,Metz,Bordeaux_Metz_2017
14,2.66,3.2,1.54,3.0,2.8,2.55,3.1,3.2,2.58,2.62,2.5,3.08,2.9,3.0,3.1,2.66,2.92,36,3.0,0.0,1.88,2.9,2.11,2.6,2.42,39,2.85,2.5,2.57,3.1,3.08,1.82,17,2.04,2.63,3.1,3.0,3.05,1.61,Caen,St Etienne,Caen_St Etienne_2017
15,2.25,3.44,1.79,3.3,3.45,2.2,3.7,3.4,2.17,2.2,2.15,3.43,3.3,3.5,3.4,2.25,3.37,39,3.5,0.25,1.94,3.3,2.02,2.1,2.02,39,3.6,2.1,2.11,3.4,3.46,1.89,17,1.96,2.15,3.15,3.3,3.33,1.86,Nantes,Marseille,Nantes_Marseille_2017
16,3.74,3.25,1.65,3.1,2.1,3.3,2.38,3.25,3.42,3.3,3.5,3.13,2.25,2.25,3.2,3.74,2.25,38,2.2,-0.25,1.98,2.3,1.96,3.5,2.22,39,2.2,3.45,2.29,3.2,2.28,1.94,17,1.91,3.5,3.15,3.1,3.12,1.7,Toulouse,Montpellier,Toulouse_Montpellier_2017
17,1.6,4.5,2.3,4.0,5.6,1.53,7.1,4.33,1.53,1.53,1.5,4.4,5.75,6.25,4.2,1.55,6.04,36,7.0,1.0,1.93,6.5,2.01,1.5,1.6,39,6.5,1.6,1.65,4.33,6.62,1.89,18,1.97,1.53,3.6,4.2,4.22,2.43,Dijon,Monaco,Dijon_Monaco_2017
18,1.3,6.5,2.43,5.5,10.3,1.28,15.0,5.75,1.26,1.25,1.22,6.0,11.0,13.0,6.0,1.28,11.53,36,15.0,1.75,2.08,12.0,1.9,1.26,1.54,39,12.0,1.25,1.6,6.0,12.75,2.01,17,1.85,1.25,5.5,5.5,5.7,2.51,Guingamp,Paris SG,Guingamp_Paris SG_2017
19,2.2,3.44,1.74,3.3,3.3,2.15,3.8,3.25,2.12,2.1,2.1,3.44,3.6,3.7,3.3,2.17,3.52,39,3.75,0.25,1.87,3.5,2.08,2.15,2.08,39,3.6,2.2,2.2,3.3,3.65,1.83,17,2.03,2.15,3.1,3.2,3.3,1.8,Strasbourg,Lille,Strasbourg_Lille_2017
20,1.35,5.93,2.7,5.0,7.9,1.3,10.3,5.25,1.32,1.33,1.3,5.93,9.5,9.5,5.0,1.33,9.06,28,10.0,1.5,1.95,9.0,2.01,1.33,1.45,36,9.5,1.35,1.49,5.5,10.3,1.89,17,1.97,1.33,4.7,5.2,5.4,2.84,Metz,Monaco,Metz_Monaco_2017
21,5.75,4.33,2.37,3.6,1.6,5.0,1.67,4.0,5.15,5.5,5.5,4.25,1.61,1.6,4.33,5.27,1.62,31,1.57,-1.0,1.87,1.67,2.1,5.75,1.57,36,1.6,5.6,1.62,4.33,1.67,1.82,17,2.04,5.4,3.6,4.0,4.03,2.48,Lyon,Bordeaux,Lyon_Bordeaux_2017
22,4.85,3.75,1.94,3.5,1.7,4.25,1.88,3.5,4.35,4.33,4.5,3.74,1.8,1.85,3.5,4.51,1.83,35,1.85,-0.5,2.07,1.85,1.87,4.33,1.86,36,1.87,4.85,1.95,3.6,1.86,2.03,15,1.84,4.5,3.5,3.6,3.54,2.02,Montpellier,Strasbourg,Montpellier_Strasbourg_2017
23,4.55,3.45,1.81,3.25,1.9,3.8,2.08,3.3,3.97,4.2,4.0,3.22,2.0,2.05,3.3,4.3,2.0,35,2.0,-0.5,1.95,1.95,2.08,4.25,2.0,36,1.95,3.9,2.07,3.4,2.07,1.85,17,2.02,3.9,3.35,3.4,3.27,1.88,Nice,Guingamp,Nice_Guingamp_2017
24,6.41,4.15,1.86,3.6,1.6,5.75,1.65,3.8,5.74,6.0,6.0,4.04,1.61,1.62,3.9,6.41,1.61,35,1.6,-1.0,1.8,1.62,2.17,6.0,1.94,36,1.62,5.6,2.04,3.9,1.61,1.77,16,2.11,6.0,3.6,3.75,3.81,1.94,Rennes,Dijon,Rennes_Dijon_2017
25,7.75,4.1,1.7,3.6,1.5,7.0,1.57,3.9,6.76,7.0,7.0,4.01,1.53,1.55,4.0,7.16,1.54,34,1.53,-1.0,1.91,1.57,2.03,7.75,2.13,36,1.5,6.3,2.21,4.0,1.57,1.88,17,1.97,7.0,3.9,3.75,3.82,1.78,St Etienne,Amiens,St Etienne_Amiens_2017
