,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,8.79,4.87,2.11,4.4,1.45,1.48,4.5,7.64,8.0,8.0,4.62,1.4,4.5,7.79,1.43,37,1.4,-1.25,1.91,1.4,2.05,8.75,1.72,40,1.4,7.0,1.77,4.8,1.47,1.87,18,1.98,8.5,4.0,4.53,2.19,Marseille,Toulouse,Marseille_Toulouse_2018
1,3.49,3.38,1.66,3.3,2.2,2.35,3.1,3.31,3.2,3.3,3.38,2.3,3.2,3.4,2.28,35,2.3,-0.25,1.94,2.25,1.99,3.4,2.2,40,2.3,3.2,2.3,3.2,2.3,1.9,20,1.95,3.4,3.2,3.21,1.73,Angers,Nimes,Angers_Nimes_2018
2,3.1,3.39,1.64,3.25,2.4,2.63,3.1,2.95,2.88,3.1,3.35,2.55,3.1,2.97,2.49,35,2.5,0.0,2.15,2.45,1.82,2.95,2.22,40,2.55,2.9,2.35,3.2,2.56,2.09,20,1.77,3.0,3.15,3.2,1.73,Lille,Rennes,Lille_Rennes_2018
3,5.75,3.82,1.71,3.5,1.75,1.78,3.6,5.22,5.0,5.5,3.79,1.67,3.5,5.34,1.71,37,1.72,-1.0,1.67,1.67,2.45,5.5,2.12,40,1.7,4.65,2.23,3.7,1.74,1.61,20,2.32,5.75,3.4,3.62,1.77,Montpellier,Dijon,Montpellier_Dijon_2018
4,2.41,3.44,1.74,3.3,3.1,3.35,3.25,2.34,2.3,2.3,3.4,3.2,3.25,2.35,3.15,37,3.2,0.25,2.06,3.1,1.9,2.4,2.07,40,3.1,2.3,2.14,3.3,3.27,2.01,20,1.85,2.38,3.1,3.27,1.81,Nantes,Monaco,Nantes_Monaco_2018
5,4.6,3.64,1.79,3.6,1.85,1.97,3.5,4.29,4.0,4.5,3.52,1.87,3.5,4.41,1.87,38,1.85,-0.75,1.77,1.85,2.25,4.5,2.02,40,1.83,4.1,2.11,3.5,1.94,1.72,19,2.15,4.5,3.4,3.49,1.84,Nice,Reims,Nice_Reims_2018
6,4.81,3.76,1.78,3.6,1.8,1.9,3.4,4.51,4.4,4.75,3.65,1.83,3.5,4.81,1.82,38,1.8,-0.75,1.82,1.8,2.13,4.6,2.03,40,1.85,4.35,2.1,3.6,1.84,1.79,19,2.07,4.6,3.4,3.54,1.85,St Etienne,Guingamp,St Etienne_Guingamp_2018
7,5.2,3.8,1.74,3.5,1.75,1.85,3.8,4.84,4.6,5.0,3.65,1.75,3.6,5.11,1.76,36,1.7,-0.75,1.88,1.8,2.06,5.0,2.07,39,1.7,4.65,2.17,3.6,1.8,1.84,20,2.01,5.0,3.4,3.54,1.8,Bordeaux,Strasbourg,Bordeaux_Strasbourg_2018
8,15.0,7.01,2.56,6.5,1.25,1.26,6.75,12.68,13.0,13.0,6.79,1.22,7.0,14.34,1.22,35,1.2,-2.0,1.77,1.2,2.21,12.0,1.5,40,1.22,10.0,1.55,6.5,1.24,1.73,21,2.13,15.0,5.5,6.35,2.64,Lyon,Amiens,Lyon_Amiens_2018
9,41.0,13.0,3.69,10.0,1.12,1.12,9.75,24.34,29.0,23.0,10.47,1.07,12.0,23.99,1.09,33,1.08,-2.75,1.93,1.07,2.04,23.0,1.26,39,1.11,16.0,1.3,11.5,1.12,1.86,20,1.99,41.0,8.5,10.42,3.95,Paris SG,Caen,Paris SG_Caen_2018
