,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,3.5,2.9,2.17,1.9,2.43,3.3,1.99,2.37,3.57,2.4,1.97,2.9,0.0,3.3,2.43,1.99,1.9,3.0,1.82,3.4,1.77,2.8,2.4,1.78,2.85,1.9,2.45,3.6,3.4,2.95,1.91,2.52,2.16,2.89,2.07,1.72,1.9,3.0,2.5,3.35,2.1,Monaco,Lyon,Monaco_Lyon_2019
1,3.6,1.65,1.89,2.07,5.67,3.6,1.84,6.0,3.82,5.8,2.14,1.65,-0.75,3.5,6.06,1.84,1.8,1.66,2.08,3.71,2.02,1.63,5.75,2.05,1.62,2.0,5.6,3.85,3.8,1.65,2.06,6.4,1.87,1.65,1.87,2.03,1.76,1.71,6.0,3.75,1.86,Marseille,Reims,Marseille_Reims_2019
2,3.1,2.35,2.05,2.42,3.24,3.1,1.6,3.2,3.29,3.2,2.52,2.4,-0.25,3.1,3.35,1.6,1.53,2.37,1.91,3.14,1.87,2.35,3.1,1.91,2.35,2.5,3.3,3.29,3.13,2.34,2.47,3.37,2.01,2.35,2.02,1.88,1.56,2.47,3.3,3.1,2.0,Angers,Bordeaux,Angers_Bordeaux_2019
3,3.3,2.4,2.1,2.14,3.09,3.1,1.76,3.1,3.33,3.1,2.2,2.38,-0.25,3.2,3.17,1.76,1.72,2.37,1.88,3.23,1.83,2.3,3.0,1.85,2.4,2.1,3.1,3.42,3.25,2.42,2.17,3.22,2.07,2.38,2.05,1.85,1.71,2.46,3.2,3.2,2.04,Brest,Toulouse,Brest_Toulouse_2019
4,3.3,3.55,2.11,2.05,2.11,3.25,1.83,2.05,3.46,2.1,2.16,3.7,0.25,3.2,2.13,1.82,1.8,4.0,1.86,3.34,1.82,3.6,2.05,1.83,3.6,2.0,2.1,3.46,3.4,3.69,2.08,2.2,2.09,3.57,2.07,1.83,1.77,4.0,2.1,3.35,2.05,Dijon,St Etienne,Dijon_St Etienne_2019
5,3.2,2.3,2.01,2.28,3.3,3.1,1.67,3.5,3.28,3.25,2.35,2.3,-0.25,3.1,3.4,1.66,1.61,2.25,1.94,3.18,1.9,2.25,3.2,1.93,2.3,2.3,3.35,3.35,3.2,2.32,2.34,3.5,1.99,2.3,1.97,1.93,1.62,2.37,3.4,3.15,1.97,Montpellier,Rennes,Montpellier_Rennes_2019
6,3.0,2.2,1.88,2.56,3.87,3.0,1.54,3.8,3.01,3.9,2.71,2.15,-0.25,3.0,4.11,1.51,1.53,2.2,2.07,2.98,2.02,2.15,3.8,2.07,2.1,2.5,3.95,3.1,3.1,2.2,2.71,4.15,1.85,2.18,1.86,2.04,1.5,2.24,3.9,2.9,1.84,Nice,Amiens,Nice_Amiens_2019
7,3.2,1.95,2.01,2.35,4.43,3.25,1.63,4.2,3.14,4.5,2.46,1.95,-0.5,3.3,4.84,1.6,1.57,1.95,1.97,3.19,1.9,1.91,4.5,1.91,1.85,2.37,4.35,3.33,3.3,1.99,2.46,4.85,2.01,1.95,1.98,1.92,1.58,2.0,4.5,3.25,1.96,Lille,Nantes,Lille_Nantes_2019
8,3.2,2.05,2.09,2.29,3.9,3.25,1.66,4.0,3.3,4.0,2.37,2.05,-0.5,3.2,4.11,1.65,1.61,2.05,1.85,3.23,1.82,2.0,3.6,1.85,2.05,2.3,3.95,3.37,3.3,2.07,2.35,4.15,2.07,2.05,2.07,1.83,1.61,2.1,4.0,3.25,2.05,Strasbourg,Metz,Strasbourg_Metz_2019
9,10.0,1.11,1.97,1.31,23.32,9.0,3.6,23.0,10.78,26.0,1.34,1.1,-2.5,10.0,28.65,3.43,3.5,1.1,1.99,9.77,1.94,1.08,21.0,1.98,1.1,1.3,22.0,11.25,10.0,1.1,1.33,31.0,1.93,1.1,1.95,1.95,3.4,1.13,31.0,9.3,1.92,Paris SG,Nimes,Paris SG_Nimes_2019
