,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0,F1,Lyon,A,0,2004-08-06,D,Nice,0,1,Nice_Lyon_2004
1,1,F1,Strasbourg,H,0,2004-08-07,H,Bastia,2,1,Bastia_Strasbourg_2004
2,1,F1,Istres,D,1,2004-08-07,D,Caen,1,1,Caen_Istres_2004
3,1,F1,Auxerre,H,0,2004-08-07,H,Lille,2,0,Lille_Auxerre_2004
4,0,F1,Bordeaux,H,0,2004-08-07,D,Marseille,1,0,Marseille_Bordeaux_2004
5,0,F1,Nantes,H,0,2004-08-07,D,Metz,1,0,Metz_Nantes_2004
6,2,F1,Paris SG,H,1,2004-08-07,H,Rennes,2,1,Rennes_Paris SG_2004
7,1,F1,Ajaccio,H,0,2004-08-07,H,Sochaux,1,0,Sochaux_Ajaccio_2004
8,0,F1,Monaco,A,1,2004-08-07,A,St Etienne,0,1,St Etienne_Monaco_2004
9,0,F1,Lens,D,0,2004-08-07,D,Toulouse,0,0,Toulouse_Lens_2004
10,0,F1,Metz,A,1,2004-08-14,A,Ajaccio,1,2,Ajaccio_Metz_2004
11,0,F1,Rennes,H,0,2004-08-14,D,Auxerre,3,1,Auxerre_Rennes_2004
12,2,F1,Nice,H,0,2004-08-14,H,Bordeaux,5,1,Bordeaux_Nice_2004
13,2,F1,St Etienne,H,0,2004-08-14,H,Lens,3,0,Lens_St Etienne_2004
14,0,F1,Sochaux,D,1,2004-08-14,A,Lyon,1,1,Lyon_Sochaux_2004
15,2,F1,Istres,H,0,2004-08-14,H,Monaco,2,1,Monaco_Istres_2004
16,0,F1,Bastia,D,0,2004-08-14,D,Nantes,1,1,Nantes_Bastia_2004
17,1,F1,Caen,D,1,2004-08-14,D,Paris SG,2,2,Paris SG_Caen_2004
18,0,F1,Toulouse,A,3,2004-08-14,A,Strasbourg,1,4,Strasbourg_Toulouse_2004
19,1,F1,Lille,H,0,2004-08-15,H,Marseille,3,0,Marseille_Lille_2004
20,0,F1,Ajaccio,H,0,2004-08-21,D,Bastia,1,0,Bastia_Ajaccio_2004
21,1,F1,Monaco,H,0,2004-08-21,H,Caen,1,0,Caen_Monaco_2004
22,0,F1,Lens,A,1,2004-08-21,A,Istres,0,2,Istres_Lens_2004
23,0,F1,Bordeaux,D,0,2004-08-21,D,Lille,0,0,Lille_Bordeaux_2004
24,0,F1,Marseille,D,0,2004-08-21,D,Nice,1,1,Nice_Marseille_2004
25,1,F1,Nantes,H,0,2004-08-21,H,Rennes,1,0,Rennes_Nantes_2004
26,1,F1,Auxerre,A,1,2004-08-21,D,Sochaux,1,2,Sochaux_Auxerre_2004
27,1,F1,Strasbourg,D,0,2004-08-21,H,St Etienne,1,1,St Etienne_Strasbourg_2004
28,0,F1,Paris SG,H,0,2004-08-21,D,Toulouse,2,1,Toulouse_Paris SG_2004
29,1,F1,Lyon,D,0,2004-08-22,H,Metz,1,1,Metz_Lyon_2004
30,1,F1,Bastia,D,0,2004-08-27,H,Nice,1,1,Nice_Bastia_2004
31,1,F1,Rennes,D,1,2004-08-28,D,Ajaccio,1,1,Ajaccio_Rennes_2004
32,0,F1,Caen,H,0,2004-08-28,D,Auxerre,1,0,Auxerre_Caen_2004
33,1,F1,Sochaux,H,0,2004-08-28,H,Bordeaux,2,0,Bordeaux_Sochaux_2004
34,1,F1,Monaco,D,1,2004-08-28,D,Lens,1,1,Lens_Monaco_2004
35,1,F1,Lille,H,0,2004-08-28,H,Lyon,1,0,Lyon_Lille_2004
36,1,F1,Metz,A,1,2004-08-28,D,Marseille,1,3,Marseille_Metz_2004
37,1,F1,Toulouse,D,2,2004-08-28,A,Nantes,2,2,Nantes_Toulouse_2004
38,1,F1,Istres,D,0,2004-08-28,H,Strasbourg,1,1,Strasbourg_Istres_2004
39,0,F1,St Etienne,D,0,2004-08-29,D,Paris SG,2,2,Paris SG_St Etienne_2004
40,1,F1,Auxerre,H,0,2004-09-11,H,Bastia,1,0,Bastia_Auxerre_2004
41,0,F1,Lens,H,0,2004-09-11,D,Caen,1,0,Caen_Lens_2004
42,1,F1,Paris SG,D,0,2004-09-11,H,Istres,1,1,Istres_Paris SG_2004
43,0,F1,Nice,H,0,2004-09-11,D,Lille,1,0,Lille_Nice_2004
44,0,F1,Bordeaux,D,0,2004-09-11,D,Metz,0,0,Metz_Bordeaux_2004
45,1,F1,Strasbourg,H,1,2004-09-11,D,Monaco,3,1,Monaco_Strasbourg_2004
46,0,F1,Lyon,A,0,2004-09-11,D,Rennes,1,2,Rennes_Lyon_2004
47,0,F1,Nantes,D,0,2004-09-11,D,St Etienne,0,0,St Etienne_Nantes_2004
48,1,F1,Ajaccio,H,1,2004-09-11,D,Toulouse,3,1,Toulouse_Ajaccio_2004
49,1,F1,Marseille,H,0,2004-09-12,H,Sochaux,2,0,Sochaux_Marseille_2004
50,0,F1,St Etienne,D,1,2004-09-18,A,Ajaccio,1,1,Ajaccio_St Etienne_2004
51,0,F1,Rennes,D,0,2004-09-18,D,Bordeaux,0,0,Bordeaux_Rennes_2004
52,0,F1,Bastia,D,0,2004-09-18,D,Lyon,0,0,Lyon_Bastia_2004
53,1,F1,Toulouse,H,0,2004-09-18,H,Marseille,1,0,Marseille_Toulouse_2004
54,0,F1,Istres,H,0,2004-09-18,D,Nantes,1,0,Nantes_Istres_2004
55,1,F1,Lens,D,1,2004-09-18,D,Strasbourg,2,2,Strasbourg_Lens_2004
56,3,F1,Metz,H,0,2004-09-19,H,Auxerre,4,0,Auxerre_Metz_2004
57,1,F1,Caen,H,0,2004-09-19,H,Lille,2,0,Lille_Caen_2004
58,1,F1,Sochaux,H,1,2004-09-19,D,Nice,2,1,Nice_Sochaux_2004
59,0,F1,Monaco,A,0,2004-09-19,D,Paris SG,0,1,Paris SG_Monaco_2004
60,0,F1,Lyon,A,0,2004-09-21,D,Toulouse,0,2,Toulouse_Lyon_2004
61,1,F1,Bordeaux,A,3,2004-09-22,A,Bastia,1,4,Bastia_Bordeaux_2004
62,0,F1,Strasbourg,D,0,2004-09-22,D,Caen,0,0,Caen_Strasbourg_2004
63,0,F1,Ajaccio,A,1,2004-09-22,A,Istres,0,1,Istres_Ajaccio_2004
64,0,F1,Paris SG,D,1,2004-09-22,A,Lens,2,2,Lens_Paris SG_2004
65,0,F1,Nice,D,0,2004-09-22,D,Metz,1,1,Metz_Nice_2004
66,0,F1,Nantes,H,1,2004-09-22,A,Monaco,2,1,Monaco_Nantes_2004
67,0,F1,Marseille,H,0,2004-09-22,D,Rennes,1,0,Rennes_Marseille_2004
68,0,F1,Lille,A,0,2004-09-22,D,Sochaux,0,2,Sochaux_Lille_2004
69,3,F1,Auxerre,H,0,2004-09-22,H,St Etienne,3,1,St Etienne_Auxerre_2004
70,1,F1,Caen,D,1,2004-09-25,D,Ajaccio,2,2,Ajaccio_Caen_2004
71,0,F1,Istres,D,0,2004-09-25,D,Auxerre,0,0,Auxerre_Istres_2004
72,0,F1,Toulouse,D,0,2004-09-25,D,Bordeaux,1,1,Bordeaux_Toulouse_2004
