,HTHG,HR,Div,HY,AwayTeam,FTR,AS,AST,HST,FTHG,HS,HTAG,AY,Date,HomeTeam,HTR,AR,FTAG,idGame
0,2,0,F1,2,Metz,H,11.0,7.0,9.0,4,16.0,0,3,2005-07-29,Paris SG,H,0,1,Paris SG_Metz_2005
1,1,0,F1,2,Rennes,H,8.0,5.0,5.0,1,14.0,0,3,2005-07-30,Lille,H,0,0,Lille_Rennes_2005
2,0,1,F1,2,Bordeaux,A,9.0,4.0,3.0,0,7.0,1,4,2005-07-30,Marseille,A,0,2,Marseille_Bordeaux_2005
3,0,2,F1,2,Monaco,A,5.0,3.0,6.0,0,10.0,0,2,2005-07-30,Nancy,D,0,1,Nancy_Monaco_2005
4,2,0,F1,1,Lens,H,10.0,3.0,3.0,2,10.0,0,3,2005-07-30,Nantes,H,0,0,Nantes_Lens_2005
5,1,0,F1,2,Troyes,D,5.0,5.0,6.0,1,13.0,0,2,2005-07-30,Nice,H,1,1,Nice_Troyes_2005
6,0,0,F1,2,Toulouse,A,7.0,4.0,7.0,0,14.0,1,3,2005-07-30,Sochaux,A,0,1,Sochaux_Toulouse_2005
7,0,0,F1,1,Ajaccio,D,5.0,3.0,6.0,0,10.0,0,2,2005-07-30,St Etienne,D,0,0,St Etienne_Ajaccio_2005
8,0,1,F1,1,Auxerre,D,5.0,0.0,3.0,0,15.0,0,0,2005-07-30,Strasbourg,D,1,0,Strasbourg_Auxerre_2005
9,0,0,F1,1,Lyon,A,6.0,3.0,4.0,1,11.0,1,2,2005-07-31,Le Mans,A,0,2,Le Mans_Lyon_2005
10,2,0,F1,1,Lille,D,10.0,6.0,6.0,3,17.0,2,3,2005-08-06,Ajaccio,D,0,3,Ajaccio_Lille_2005
11,1,0,F1,2,Nancy,H,9.0,4.0,6.0,1,7.0,0,2,2005-08-06,Bordeaux,H,0,0,Bordeaux_Nancy_2005
12,1,0,F1,2,Marseille,H,3.0,2.0,7.0,2,15.0,0,3,2005-08-06,Lens,H,0,0,Lens_Marseille_2005
13,0,0,F1,1,Le Mans,D,14.0,8.0,6.0,0,9.0,0,2,2005-08-06,Metz,D,0,0,Metz_Le Mans_2005
14,0,1,F1,2,Auxerre,A,11.0,5.0,3.0,0,10.0,1,2,2005-08-06,Monaco,A,0,2,Monaco_Auxerre_2005
15,0,0,F1,3,Paris SG,A,6.0,3.0,7.0,0,11.0,0,2,2005-08-06,Sochaux,D,0,1,Sochaux_Paris SG_2005
16,0,0,F1,1,Nice,A,7.0,4.0,2.0,0,8.0,2,2,2005-08-06,Toulouse,A,0,2,Toulouse_Nice_2005
17,0,0,F1,1,St Etienne,D,13.0,3.0,4.0,0,8.0,0,2,2005-08-06,Troyes,D,0,0,Troyes_St Etienne_2005
18,1,0,F1,2,Strasbourg,H,6.0,3.0,3.0,1,6.0,0,1,2005-08-07,Lyon,H,0,0,Lyon_Strasbourg_2005
19,0,1,F1,1,Nantes,A,11.0,8.0,6.0,0,10.0,1,1,2005-08-07,Rennes,A,0,3,Rennes_Nantes_2005
20,1,0,F1,0,Bordeaux,H,7.0,3.0,7.0,1,12.0,0,0,2005-08-13,Auxerre,H,0,0,Auxerre_Bordeaux_2005
21,2,0,F1,2,Rennes,H,8.0,1.0,9.0,4,17.0,0,3,2005-08-13,Le Mans,H,1,0,Le Mans_Rennes_2005
22,0,0,F1,2,Troyes,A,8.0,5.0,6.0,1,12.0,2,3,2005-08-13,Lille,A,0,2,Lille_Troyes_2005
23,0,0,F1,1,Lens,A,10.0,6.0,4.0,1,8.0,2,1,2005-08-13,Nancy,A,0,2,Nancy_Lens_2005
24,0,0,F1,0,Ajaccio,A,13.0,4.0,3.0,0,10.0,0,1,2005-08-13,Nantes,D,0,2,Nantes_Ajaccio_2005
25,1,1,F1,3,Sochaux,A,7.0,6.0,1.0,1,8.0,0,3,2005-08-13,Nice,H,2,2,Nice_Sochaux_2005
26,1,0,F1,3,Toulouse,H,6.0,1.0,9.0,2,16.0,0,2,2005-08-13,Paris SG,H,1,0,Paris SG_Toulouse_2005
27,2,0,F1,0,Metz,H,8.0,4.0,4.0,2,10.0,0,2,2005-08-13,St Etienne,H,0,0,St Etienne_Metz_2005
28,1,0,F1,2,Lyon,D,7.0,3.0,3.0,1,11.0,1,1,2005-08-14,Marseille,D,0,1,Marseille_Lyon_2005
