,HY,AwayTeam,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Lyon,1,0,3,1,0,1,2,A,13,2006-08-04,Nantes,F1,6,4,7,10,D,2,Nantes_Lyon_2006
1,5,Valenciennes,1,0,1,0,1,1,4,D,13,2006-08-05,Auxerre,F1,5,6,4,14,A,3,Auxerre_Valenciennes_2006
2,1,Toulouse,2,0,0,0,0,0,1,H,3,2006-08-05,Bordeaux,F1,1,7,6,14,D,4,Bordeaux_Toulouse_2006
3,1,Nice,1,0,0,1,0,0,3,H,8,2006-08-05,Le Mans,F1,3,4,10,12,H,2,Le Mans_Nice_2006
4,5,Troyes,1,0,0,1,0,0,3,H,5,2006-08-05,Lens,F1,1,3,4,11,H,1,Lens_Troyes_2006
5,4,Monaco,1,1,0,0,0,0,3,H,5,2006-08-05,Nancy,F1,1,3,3,11,D,1,Nancy_Monaco_2006
6,0,Lorient,2,0,3,2,0,1,1,A,8,2006-08-05,Paris SG,F1,5,8,6,11,H,3,Paris SG_Lorient_2006
7,2,Lille,1,0,2,0,0,2,3,A,20,2006-08-05,Rennes,F1,9,4,4,9,A,3,Rennes_Lille_2006
8,0,Sochaux,1,0,2,1,0,1,1,A,8,2006-08-05,St Etienne,F1,6,3,3,4,D,4,St Etienne_Sochaux_2006
9,1,Marseille,0,0,0,0,0,0,2,D,10,2006-08-06,Sedan,F1,3,5,1,10,D,5,Sedan_Marseille_2006
10,2,Lens,4,1,0,2,0,0,4,H,3,2006-08-13,Lille,F1,1,7,4,11,H,1,Lille_Lens_2006
11,1,Bordeaux,0,0,1,0,2,1,5,A,14,2006-08-12,Lorient,F1,6,2,10,12,A,5,Lorient_Bordeaux_2006
12,1,Toulouse,1,0,1,0,0,0,5,D,10,2006-08-12,Lyon,F1,5,6,3,16,D,3,Lyon_Toulouse_2006
13,2,Rennes,2,0,0,1,0,0,3,H,13,2006-08-13,Marseille,F1,4,3,4,11,H,4,Marseille_Rennes_2006
14,3,St Etienne,1,0,2,0,1,1,2,A,13,2006-08-12,Monaco,F1,6,5,3,11,A,2,Monaco_St Etienne_2006
15,1,Sedan,3,1,1,0,0,1,2,H,10,2006-08-12,Nancy,F1,4,7,8,15,A,1,Nancy_Sedan_2006
16,2,Nantes,1,0,1,0,0,0,1,D,3,2006-08-12,Nice,F1,1,3,4,8,D,2,Nice_Nantes_2006
17,0,Auxerre,1,0,1,0,0,1,1,D,9,2006-08-12,Sochaux,F1,7,4,10,10,A,3,Sochaux_Auxerre_2006
18,3,Le Mans,2,0,2,0,0,2,2,D,10,2006-08-12,Troyes,F1,7,2,6,9,A,1,Troyes_Le Mans_2006
19,2,Paris SG,0,0,0,0,0,0,1,D,8,2006-08-12,Valenciennes,F1,3,4,4,10,D,3,Valenciennes_Paris SG_2006
20,2,Marseille,0,0,3,0,1,1,2,A,5,2006-08-19,Auxerre,F1,2,2,4,6,A,3,Auxerre_Marseille_2006
21,0,Valenciennes,3,0,2,1,0,2,1,H,5,2006-08-19,Le Mans,F1,2,7,3,15,A,2,Le Mans_Valenciennes_2006
22,2,Lorient,1,0,1,1,0,0,3,D,11,2006-08-19,Lens,F1,4,4,1,11,H,4,Lens_Lorient_2006
23,1,Troyes,1,0,1,1,0,0,3,D,8,2006-08-19,Nantes,F1,3,2,2,6,H,4,Nantes_Troyes_2006
24,2,Lille,1,1,0,0,0,0,2,H,14,2006-08-19,Paris SG,F1,6,9,8,19,D,5,Paris SG_Lille_2006
25,2,Monaco,1,0,1,0,0,1,5,D,6,2006-08-19,Rennes,F1,2,5,11,12,A,1,Rennes_Monaco_2006
26,1,Sochaux,1,0,1,0,0,1,2,D,5,2006-08-19,Sedan,F1,3,3,2,7,A,3,Sedan_Sochaux_2006
27,3,Nancy,1,1,0,0,0,0,2,H,6,2006-08-19,St Etienne,F1,4,1,3,9,D,5,St Etienne_Nancy_2006
