,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Nantes,19,2,0,1,1,0,0,0,18,H,15,2008-08-09,Auxerre,F1,4,5,5,10,H,8,Auxerre_Nantes_2008
1,3,Caen,10,2,0,1,0,0,1,4,22,H,8,2008-08-09,Bordeaux,F1,1,11,15,24,A,1,Bordeaux_Caen_2008
2,1,Nice,24,1,0,0,0,0,0,2,21,H,15,2008-08-09,Le Havre,F1,3,4,4,14,D,8,Le Havre_Nice_2008
3,2,Lorient,22,0,0,1,0,0,0,2,16,A,12,2008-08-09,Le Mans,F1,1,2,6,10,D,3,Le Mans_Lorient_2008
4,1,Paris SG,10,1,0,0,0,0,0,2,15,H,7,2008-08-09,Monaco,F1,3,4,9,10,D,6,Monaco_Paris SG_2008
5,3,Lille,16,0,1,0,0,0,0,2,16,D,11,2008-08-09,Nancy,F1,4,0,2,8,D,6,Nancy_Lille_2008
6,2,Marseille,20,4,0,4,1,0,3,1,11,D,19,2008-08-09,Rennes,F1,10,10,3,14,A,5,Rennes_Marseille_2008
7,3,Grenoble,16,1,0,2,0,0,0,2,13,A,7,2008-08-09,Sochaux,F1,2,4,12,18,D,3,Sochaux_Grenoble_2008
8,3,St Etienne,19,1,0,0,1,0,0,1,14,H,26,2008-08-09,Valenciennes,F1,7,4,2,11,H,10,Valenciennes_St Etienne_2008
9,1,Toulouse,9,3,0,0,1,0,0,1,13,H,8,2008-08-10,Lyon,F1,2,5,4,10,H,3,Lyon_Toulouse_2008
10,2,Valenciennes,19,3,0,1,3,0,1,2,17,H,19,2008-08-16,Caen,F1,5,4,2,20,H,6,Caen_Valenciennes_2008
11,3,Le Mans,19,1,0,3,0,0,2,3,21,A,6,2008-08-16,Lille,F1,4,1,4,11,A,3,Lille_Le Mans_2008
12,3,Monaco,28,1,0,1,0,0,1,4,23,D,10,2008-08-16,Nantes,F1,3,4,3,13,A,2,Nantes_Monaco_2008
13,1,Nancy,23,2,0,1,1,0,1,3,26,H,9,2008-08-16,Nice,F1,3,3,4,5,D,6,Nice_Nancy_2008
14,3,Bordeaux,20,1,0,0,0,0,0,2,12,H,16,2008-08-16,Paris SG,F1,6,2,5,6,D,4,Paris SG_Bordeaux_2008
15,2,Sochaux,20,2,0,1,2,0,0,3,14,H,18,2008-08-16,St Etienne,F1,5,5,5,18,H,4,St Etienne_Sochaux_2008
16,3,Le Havre,16,2,0,1,0,0,1,2,19,H,10,2008-08-16,Toulouse,F1,1,8,7,16,A,2,Toulouse_Le Havre_2008
17,1,Rennes,14,1,0,0,1,0,0,3,20,H,18,2008-08-17,Grenoble,F1,5,3,1,8,H,16,Grenoble_Rennes_2008
18,2,Lyon,15,0,0,0,0,0,0,3,23,D,13,2008-08-17,Lorient,F1,2,0,3,7,D,6,Lorient_Lyon_2008
19,1,Auxerre,10,4,0,0,1,0,0,1,13,H,7,2008-08-17,Marseille,F1,2,5,13,18,H,1,Marseille_Auxerre_2008
20,0,Marseille,16,0,1,1,0,0,0,2,26,A,16,2008-08-23,Le Havre,F1,6,3,0,11,D,4,Le Havre_Marseille_2008
21,1,St Etienne,17,1,0,0,1,0,0,2,11,H,12,2008-08-23,Le Mans,F1,2,3,5,5,H,1,Le Mans_St Etienne_2008
22,2,Grenoble,16,2,0,0,2,0,0,1,14,H,9,2008-08-23,Lyon,F1,3,8,9,16,H,4,Lyon_Grenoble_2008
23,2,Caen,22,1,0,1,0,0,0,3,25,D,15,2008-08-23,Monaco,F1,3,4,2,12,D,6,Monaco_Caen_2008
24,0,Toulouse,10,0,0,0,0,1,0,2,23,D,7,2008-08-23,Nancy,F1,1,5,7,12,D,2,Nancy_Toulouse_2008
25,1,Paris SG,16,1,0,1,0,0,0,3,11,D,15,2008-08-23,Sochaux,F1,4,5,6,17,D,8,Sochaux_Paris SG_2008
26,2,Lorient,18,3,0,1,2,0,0,1,17,H,15,2008-08-23,Valenciennes,F1,5,7,3,15,H,5,Valenciennes_Lorient_2008
27,0,Nice,9,0,0,1,0,0,1,2,25,A,12,2008-08-24,Auxerre,F1,3,3,4,12,A,5,Auxerre_Nice_2008
28,0,Nantes,13,2,0,0,1,0,0,3,13,H,7,2008-08-24,Bordeaux,F1,1,10,7,22,H,2,Bordeaux_Nantes_2008
