,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:45:00,2,Lyon,10,0,0,3,0,1,2,2,17,A,13,2019-08-09,Monaco,F1,3,1,2,7,A,5,Monaco_Lyon_2019
1,16:30:00,1,Reims,18,0,0,2,0,0,0,0,8,A,8,2019-08-10,Marseille,F1,5,2,5,10,D,3,Marseille_Reims_2019
2,19:00:00,2,Bordeaux,11,0,3,1,3,0,1,1,15,H,8,2019-08-10,Angers,F1,3,4,4,14,H,3,Angers_Bordeaux_2019
3,19:00:00,0,Toulouse,11,0,1,1,1,0,0,0,14,D,13,2019-08-10,Brest,F1,3,5,4,16,H,7,Brest_Toulouse_2019
4,19:00:00,0,St Etienne,17,0,1,2,1,0,2,2,10,A,12,2019-08-10,Dijon,F1,4,7,12,15,A,5,Dijon_St Etienne_2019
5,19:00:00,3,Rennes,20,1,0,1,0,0,1,3,19,A,9,2019-08-10,Montpellier,F1,3,5,7,24,A,1,Montpellier_Rennes_2019
6,19:00:00,3,Amiens,10,1,2,1,1,0,0,4,8,H,8,2019-08-10,Nice,F1,2,6,7,17,H,3,Nice_Amiens_2019
7,14:00:00,2,Nantes,13,0,2,1,1,0,0,4,17,H,13,2019-08-11,Lille,F1,3,3,5,13,H,11,Lille_Nantes_2019
8,16:00:00,0,Metz,6,0,1,1,1,0,0,1,12,D,7,2019-08-11,Strasbourg,F1,3,2,3,13,H,4,Strasbourg_Metz_2019
9,20:00:00,2,Nimes,17,0,3,0,1,0,0,0,8,H,5,2019-08-11,Paris SG,F1,1,5,2,12,H,6,Paris SG_Nimes_2019
10,19:45:00,1,Angers,7,0,6,0,3,0,0,2,14,H,10,2019-08-16,Lyon,F1,3,9,2,11,H,5,Lyon_Angers_2019
11,16:30:00,0,Marseille,16,0,0,0,0,0,0,3,18,D,9,2019-08-17,Nantes,F1,2,6,7,13,D,3,Nantes_Marseille_2019
12,19:00:00,1,Lille,13,1,1,0,0,0,0,1,7,H,10,2019-08-17,Amiens,F1,1,3,3,8,D,10,Amiens_Lille_2019
13,19:00:00,2,Montpellier,15,0,1,1,0,0,1,1,21,D,10,2019-08-17,Bordeaux,F1,4,4,3,13,A,5,Bordeaux_Montpellier_2019
14,19:00:00,1,Monaco,16,1,3,0,1,0,0,2,7,H,12,2019-08-17,Metz,F1,6,10,6,18,H,4,Metz_Monaco_2019
15,19:00:00,5,Nice,21,1,1,2,1,2,2,5,12,A,6,2019-08-17,Nimes,F1,3,5,2,18,A,1,Nimes_Nice_2019
16,19:00:00,2,Dijon,11,0,1,0,0,0,0,0,5,H,18,2019-08-17,Toulouse,F1,5,7,7,18,D,5,Toulouse_Dijon_2019
17,14:00:00,1,Brest,16,0,1,1,0,0,1,2,8,D,9,2019-08-18,St Etienne,F1,4,5,4,19,A,2,St Etienne_Brest_2019
18,16:00:00,2,Strasbourg,18,0,0,0,0,0,0,0,19,D,4,2019-08-18,Reims,F1,1,1,2,11,D,4,Reims_Strasbourg_2019
19,20:00:00,1,Paris SG,15,0,2,1,1,0,1,5,19,H,9,2019-08-18,Rennes,F1,2,4,4,11,D,7,Rennes_Paris SG_2019
20,19:00:00,1,Nantes,9,0,1,2,0,1,0,1,13,A,25,2019-08-24,Amiens,F1,6,1,2,3,D,5,Amiens_Nantes_2019
21,19:00:00,1,Metz,15,0,3,0,2,0,0,2,8,H,4,2019-08-24,Angers,F1,2,5,2,15,H,1,Angers_Metz_2019
22,19:00:00,1,Reims,18,0,1,0,0,0,0,1,14,H,10,2019-08-24,Brest,F1,2,4,6,8,D,5,Brest_Reims_2019
23,19:00:00,0,Bordeaux,12,0,0,2,0,0,1,2,18,A,10,2019-08-24,Dijon,F1,3,1,3,10,A,7,Dijon_Bordeaux_2019
24,14:00:00,2,Nimes,14,0,2,2,2,1,0,1,17,D,14,2019-08-25,Monaco,F1,4,6,6,16,H,7,Monaco_Nimes_2019
25,16:00:00,4,Rennes,13,0,0,2,0,1,1,2,13,A,7,2019-08-25,Strasbourg,F1,4,3,6,19,A,0,Strasbourg_Rennes_2019
26,20:00:00,0,Toulouse,8,0,4,0,0,0,0,1,13,H,3,2019-08-25,Paris SG,F1,0,11,12,21,D,1,Paris SG_Toulouse_2019
27,18:00:00,2,Lyon,14,1,1,0,1,0,0,4,11,H,14,2019-08-27,Montpellier,F1,4,5,8,19,H,2,Montpellier_Lyon_2019
28,18:00:00,0,St Etienne,9,0,3,0,1,0,0,0,12,H,9,2019-08-28,Lille,F1,4,7,3,16,H,3,Lille_St Etienne_2019
29,20:00:00,1,Marseille,7,0,1,2,0,0,1,1,13,A,12,2019-08-28,Nice,F1,5,3,4,12,A,3,Nice_Marseille_2019
30,19:45:00,1,Paris SG,11,0,0,2,0,0,2,0,13,A,10,2019-08-30,Metz,F1,4,2,4,7,A,7,Metz_Paris SG_2019
31,16:30:00,4,Bordeaux,12,0,1,1,1,1,0,3,14,D,18,2019-08-31,Lyon,F1,6,3,4,10,H,5,Lyon_Bordeaux_2019
32,19:00:00,0,Dijon,11,0,2,0,0,0,0,2,17,H,5,2019-08-31,Angers,F1,2,3,5,12,D,3,Angers_Dijon_2019
33,19:00:00,2,Montpellier,14,0,1,0,0,0,0,2,12,H,8,2019-08-31,Nantes,F1,1,7,6,14,D,2,Nantes_Montpellier_2019
34,19:00:00,3,Brest,11,0,3,0,2,0,0,4,17,H,7,2019-08-31,Nimes,F1,3,8,8,21,H,2,Nimes_Brest_2019
