year,team,type_rating,value_rating
2016,Ajaccio,static_ft_total_g>35,105
2016,Ajaccio,static_ft_total_g>35,105
2016,Ajaccio GFCO,static_ft_total_g>35,105
2016,Ajaccio GFCO,static_ft_total_g>35,105
2016,Amiens,static_ft_total_g>35,105
2016,Amiens,static_ft_total_g>35,105
2016,Angers,static_ft_total_g>35,131
2016,Angers,static_ft_total_g>35,131
2016,Arles,static_ft_total_g>35,105
2016,Arles,static_ft_total_g>35,105
2016,Auxerre,static_ft_total_g>35,105
2016,Auxerre,static_ft_total_g>35,105
2016,Bastia,static_ft_total_g>35,131
2016,Bastia,static_ft_total_g>35,131
2016,Bordeaux,static_ft_total_g>35,263
2016,Bordeaux,static_ft_total_g>35,263
2016,Boulogne,static_ft_total_g>35,105
2016,Boulogne,static_ft_total_g>35,105
2016,Brest,static_ft_total_g>35,105
2016,Brest,static_ft_total_g>35,105
2016,Caen,static_ft_total_g>35,289
2016,Caen,static_ft_total_g>35,289
2016,Dijon,static_ft_total_g>35,315
2016,Dijon,static_ft_total_g>35,315
2016,Evian Thonon Gaillard,static_ft_total_g>35,105
2016,Evian Thonon Gaillard,static_ft_total_g>35,105
2016,Grenoble,static_ft_total_g>35,105
2016,Grenoble,static_ft_total_g>35,105
2016,Guingamp,static_ft_total_g>35,263
2016,Guingamp,static_ft_total_g>35,263
2016,Istres,static_ft_total_g>35,105
2016,Istres,static_ft_total_g>35,105
2016,Le Havre,static_ft_total_g>35,105
2016,Le Havre,static_ft_total_g>35,105
2016,Le Mans,static_ft_total_g>35,105
2016,Le Mans,static_ft_total_g>35,105
2016,Lens,static_ft_total_g>35,105
2016,Lens,static_ft_total_g>35,105
2016,Lille,static_ft_total_g>35,157
2016,Lille,static_ft_total_g>35,157
2016,Lorient,static_ft_total_g>35,368
2016,Lorient,static_ft_total_g>35,368
2016,Lyon,static_ft_total_g>35,421
2016,Lyon,static_ft_total_g>35,421
2016,Marseille,static_ft_total_g>35,315
2016,Marseille,static_ft_total_g>35,315
2016,Metz,static_ft_total_g>35,315
2016,Metz,static_ft_total_g>35,315
2016,Monaco,static_ft_total_g>35,500
2016,Monaco,static_ft_total_g>35,500
2016,Montpellier,static_ft_total_g>35,315
2016,Montpellier,static_ft_total_g>35,315
2016,Nancy,static_ft_total_g>35,157
2016,Nancy,static_ft_total_g>35,157
2016,Nantes,static_ft_total_g>35,236
2016,Nantes,static_ft_total_g>35,236
2016,Nice,static_ft_total_g>35,289
2016,Nice,static_ft_total_g>35,289
2016,Nimes,static_ft_total_g>35,105
2016,Nimes,static_ft_total_g>35,105
2016,Paris SG,static_ft_total_g>35,315
2016,Paris SG,static_ft_total_g>35,315
2016,Reims,static_ft_total_g>35,105
2016,Reims,static_ft_total_g>35,105
2016,Rennes,static_ft_total_g>35,105
2016,Rennes,static_ft_total_g>35,105
2016,Sedan,static_ft_total_g>35,105
2016,Sedan,static_ft_total_g>35,105
2016,Sochaux,static_ft_total_g>35,105
2016,Sochaux,static_ft_total_g>35,105
2016,St Etienne,static_ft_total_g>35,236
2016,St Etienne,static_ft_total_g>35,236
2016,Strasbourg,static_ft_total_g>35,105
2016,Strasbourg,static_ft_total_g>35,105
2016,Toulouse,static_ft_total_g>35,184
2016,Toulouse,static_ft_total_g>35,184
2016,Troyes,static_ft_total_g>35,105
2016,Troyes,static_ft_total_g>35,105
2016,Valenciennes,static_ft_total_g>35,105
2016,Valenciennes,static_ft_total_g>35,105
2016,Ajaccio,static_ft_away_g<35,526
2016,Ajaccio GFCO,static_ft_away_g<35,526
2016,Amiens,static_ft_away_g<35,526
2016,Angers,static_ft_away_g<35,842
2016,Arles,static_ft_away_g<35,526
2016,Auxerre,static_ft_away_g<35,526
2016,Bastia,static_ft_away_g<35,789
2016,Bordeaux,static_ft_away_g<35,684
2016,Boulogne,static_ft_away_g<35,526
2016,Brest,static_ft_away_g<35,526
2016,Caen,static_ft_away_g<35,789
2016,Dijon,static_ft_away_g<35,631
2016,Evian Thonon Gaillard,static_ft_away_g<35,526
2016,Grenoble,static_ft_away_g<35,526
2016,Guingamp,static_ft_away_g<35,578
2016,Istres,static_ft_away_g<35,526
2016,Le Havre,static_ft_away_g<35,526
2016,Le Mans,static_ft_away_g<35,526
2016,Lens,static_ft_away_g<35,526
2016,Lille,static_ft_away_g<35,842
2016,Lorient,static_ft_away_g<35,526
2016,Lyon,static_ft_away_g<35,736
2016,Marseille,static_ft_away_g<35,578
2016,Metz,static_ft_away_g<35,736
2016,Monaco,static_ft_away_g<35,631
2016,Montpellier,static_ft_away_g<35,631
2016,Nancy,static_ft_away_g<35,842
2016,Nantes,static_ft_away_g<35,736
2016,Nice,static_ft_away_g<35,789
2016,Nimes,static_ft_away_g<35,526
2016,Paris SG,static_ft_away_g<35,631
2016,Reims,static_ft_away_g<35,526
2016,Rennes,static_ft_away_g<35,947
2016,Sedan,static_ft_away_g<35,526
2016,Sochaux,static_ft_away_g<35,526
2016,St Etienne,static_ft_away_g<35,842
2016,Strasbourg,static_ft_away_g<35,526
2016,Toulouse,static_ft_away_g<35,894
2016,Troyes,static_ft_away_g<35,526
2016,Valenciennes,static_ft_away_g<35,526
2016,Ajaccio,static_ht_away_g>25,52
2016,Ajaccio GFCO,static_ht_away_g>25,52
2016,Amiens,static_ht_away_g>25,52
