year,team,type_rating,value_rating
2007,Auxerre,static_ft_total_g>35,238.8
2008,Auxerre,static_ft_total_g>35,207.1
2009,Auxerre,static_ft_total_g>35,136.1
2010,Auxerre,static_ft_total_g>35,112.6
2011,Auxerre,static_ft_total_g>35,131.2
2012,Auxerre,static_ft_total_g>35,207.4
2013,Auxerre,static_ft_total_g>35,204.6
2014,Auxerre,static_ft_total_g>35,170.5
2015,Auxerre,static_ft_total_g>35,115.2
2016,Auxerre,static_ft_total_g>35,83.5
2017,Auxerre,static_ft_total_g>35,86.3
2018,Auxerre,static_ft_total_g>35,83.5
2019,Auxerre,static_ft_total_g>35,73.0
2020,Auxerre,static_ft_total_g>35,70.1
2007,Amiens,static_ft_total_g>35,88.6
2008,Amiens,static_ft_total_g>35,83.3
2009,Amiens,static_ft_total_g>35,67.6
2010,Amiens,static_ft_total_g>35,81.0
2011,Amiens,static_ft_total_g>35,80.9
2012,Amiens,static_ft_total_g>35,91.6
2013,Amiens,static_ft_total_g>35,120.4
2014,Amiens,static_ft_total_g>35,117.9
2015,Amiens,static_ft_total_g>35,94.2
2016,Amiens,static_ft_total_g>35,83.5
2017,Amiens,static_ft_total_g>35,86.3
2018,Amiens,static_ft_total_g>35,94.3
2019,Amiens,static_ft_total_g>35,144.3
2020,Amiens,static_ft_total_g>35,237.3
2007,Grenoble,static_ft_total_g>35,88.6
2008,Grenoble,static_ft_total_g>35,83.3
2009,Grenoble,static_ft_total_g>35,78.0
2010,Grenoble,static_ft_total_g>35,152.0
2011,Grenoble,static_ft_total_g>35,133.5
2012,Grenoble,static_ft_total_g>35,125.8
2013,Grenoble,static_ft_total_g>35,136.2
2014,Grenoble,static_ft_total_g>35,117.9
2015,Grenoble,static_ft_total_g>35,94.2
2016,Grenoble,static_ft_total_g>35,83.5
2017,Grenoble,static_ft_total_g>35,86.3
2018,Grenoble,static_ft_total_g>35,83.5
2019,Grenoble,static_ft_total_g>35,73.0
2020,Grenoble,static_ft_total_g>35,70.1
2007,Bastia,static_ft_total_g>35,104.4
2008,Bastia,static_ft_total_g>35,83.3
2009,Bastia,static_ft_total_g>35,67.6
2010,Bastia,static_ft_total_g>35,81.0
2011,Bastia,static_ft_total_g>35,80.9
2012,Bastia,static_ft_total_g>35,91.6
2013,Bastia,static_ft_total_g>35,226.0
2014,Bastia,static_ft_total_g>35,260.3
2015,Bastia,static_ft_total_g>35,226.0
2016,Bastia,static_ft_total_g>35,176.0
2017,Bastia,static_ft_total_g>35,136.4
2018,Bastia,static_ft_total_g>35,104.6
2019,Bastia,static_ft_total_g>35,80.9
2020,Bastia,static_ft_total_g>35,72.7
2007,Troyes,static_ft_total_g>35,162.6
2008,Troyes,static_ft_total_g>35,138.8
2009,Troyes,static_ft_total_g>35,104.6
2010,Troyes,static_ft_total_g>35,99.5
2011,Troyes,static_ft_total_g>35,80.9
2012,Troyes,static_ft_total_g>35,91.6
2013,Troyes,static_ft_total_g>35,194.4
2014,Troyes,static_ft_total_g>35,173.4
2015,Troyes,static_ft_total_g>35,131.2
2016,Troyes,static_ft_total_g>35,218.0
2017,Troyes,static_ft_total_g>35,173.3
2018,Troyes,static_ft_total_g>35,204.7
2019,Troyes,static_ft_total_g>35,149.4
2020,Troyes,static_ft_total_g>35,101.7
2007,Valenciennes,static_ft_total_g>35,141.4
2008,Valenciennes,static_ft_total_g>35,154.5
2009,Valenciennes,static_ft_total_g>35,180.9
2010,Valenciennes,static_ft_total_g>35,241.4
2011,Valenciennes,static_ft_total_g>35,204.6
2012,Valenciennes,static_ft_total_g>35,186.1
2013,Valenciennes,static_ft_total_g>35,230.8
2014,Valenciennes,static_ft_total_g>35,244.2
2015,Valenciennes,static_ft_total_g>35,178.4
2016,Valenciennes,static_ft_total_g>35,130.9
2017,Valenciennes,static_ft_total_g>35,102.1
2018,Valenciennes,static_ft_total_g>35,83.5
2019,Valenciennes,static_ft_total_g>35,73.0
2020,Valenciennes,static_ft_total_g>35,70.1
2007,Caen,static_ft_total_g>35,130.8
2008,Caen,static_ft_total_g>35,199.2
2009,Caen,static_ft_total_g>35,212.3
2010,Caen,static_ft_total_g>35,183.6
2011,Caen,static_ft_total_g>35,225.8
2012,Caen,static_ft_total_g>35,236.5
2013,Caen,static_ft_total_g>35,210.0
2014,Caen,static_ft_total_g>35,170.6
2015,Caen,static_ft_total_g>35,204.8
2016,Caen,static_ft_total_g>35,197.0
2017,Caen,static_ft_total_g>35,239.1
2018,Caen,static_ft_total_g>35,226.0
2019,Caen,static_ft_total_g>35,225.8
2020,Caen,static_ft_total_g>35,164.9
2007,Lille,static_ft_total_g>35,209.9
2008,Lille,static_ft_total_g>35,199.3
2009,Lille,static_ft_total_g>35,223.2
2010,Lille,static_ft_total_g>35,278.5
2011,Lille,static_ft_total_g>35,294.3
2012,Lille,static_ft_total_g>35,323.4
2013,Lille,static_ft_total_g>35,291.6
2014,Lille,static_ft_total_g>35,220.5
2015,Lille,static_ft_total_g>35,183.5
2016,Lille,static_ft_total_g>35,128.1
2017,Lille,static_ft_total_g>35,130.7
2018,Lille,static_ft_total_g>35,194.0
