Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2016-08-12,Bastia_Paris SG_2016,Bastia,1,1,1,1
2016-08-12,Monaco_Guingamp_2016,Guingamp,1,1,1,1
2016-08-12,Bastia_Paris SG_2016,Paris SG,1,1,1,1
2016-08-12,Monaco_Guingamp_2016,Monaco,1,1,1,1
2016-08-13,Dijon_Nantes_2016,Dijon,1,1,1,1
2016-08-13,Montpellier_Angers_2016,Montpellier,1,1,1,1
2016-08-13,Bordeaux_St Etienne_2016,Bordeaux,1,1,1,1
2016-08-13,Metz_Lille_2016,Lille,1,1,1,1
2016-08-13,Dijon_Nantes_2016,Nantes,1,1,1,1
2016-08-13,Metz_Lille_2016,Metz,1,1,1,1
2016-08-13,Montpellier_Angers_2016,Angers,1,1,1,1
2016-08-13,Caen_Lorient_2016,Caen,1,1,1,1
2016-08-13,Caen_Lorient_2016,Lorient,1,1,1,1
2016-08-13,Bordeaux_St Etienne_2016,St Etienne,1,1,1,1
2016-08-14,Marseille_Toulouse_2016,Toulouse,1,1,1,1
2016-08-14,Marseille_Toulouse_2016,Marseille,1,1,1,1
2016-08-14,Nice_Rennes_2016,Rennes,1,1,1,1
2016-08-14,Nancy_Lyon_2016,Nancy,1,1,1,1
2016-08-14,Nancy_Lyon_2016,Lyon,1,1,1,1
2016-08-14,Nice_Rennes_2016,Nice,1,1,1,1
2016-08-19,Lyon_Caen_2016,Caen,1,1,2,2
2016-08-19,Lyon_Caen_2016,Lyon,1,1,2,2
2016-08-20,Angers_Nice_2016,Angers,1,1,2,2
2016-08-20,Lorient_Bastia_2016,Bastia,1,1,2,2
2016-08-20,Toulouse_Bordeaux_2016,Toulouse,1,1,2,2
2016-08-20,Lorient_Bastia_2016,Lorient,1,1,2,2
2016-08-20,Angers_Nice_2016,Nice,1,1,2,2
2016-08-20,Rennes_Nancy_2016,Rennes,1,1,2,2
2016-08-20,Toulouse_Bordeaux_2016,Bordeaux,1,1,2,2
2016-08-20,Rennes_Nancy_2016,Nancy,1,1,2,2
2016-08-20,Nantes_Monaco_2016,Nantes,1,1,2,2
2016-08-20,Lille_Dijon_2016,Lille,1,1,2,2
2016-08-20,Lille_Dijon_2016,Dijon,1,1,2,2
2016-08-20,Nantes_Monaco_2016,Monaco,1,1,2,2
2016-08-21,St Etienne_Montpellier_2016,St Etienne,1,1,2,2
2016-08-21,Guingamp_Marseille_2016,Marseille,1,1,2,2
2016-08-21,Paris SG_Metz_2016,Metz,1,1,2,2
2016-08-21,Guingamp_Marseille_2016,Guingamp,1,1,2,2
2016-08-21,Paris SG_Metz_2016,Paris SG,1,1,2,2
2016-08-21,St Etienne_Montpellier_2016,Montpellier,1,1,2,2
2016-08-26,Marseille_Lorient_2016,Marseille,2,1,3,3
2016-08-26,Marseille_Lorient_2016,Lorient,1,2,3,3
2016-08-27,Nancy_Guingamp_2016,Nancy,2,1,3,3
2016-08-27,Dijon_Lyon_2016,Dijon,2,1,3,3
2016-08-27,Montpellier_Rennes_2016,Montpellier,2,1,3,3
2016-08-27,Metz_Angers_2016,Angers,1,2,3,3
2016-08-27,Dijon_Lyon_2016,Lyon,1,2,3,3
2016-08-27,Nancy_Guingamp_2016,Guingamp,1,2,3,3
2016-08-27,Montpellier_Rennes_2016,Rennes,1,2,3,3
2016-08-27,Nice_Lille_2016,Lille,1,2,3,3
2016-08-27,Metz_Angers_2016,Metz,2,1,3,3
2016-08-27,Caen_Bastia_2016,Caen,2,1,3,3
2016-08-27,Nice_Lille_2016,Nice,2,1,3,3
2016-08-27,Caen_Bastia_2016,Bastia,1,2,3,3
2016-08-28,St Etienne_Toulouse_2016,Toulouse,1,2,3,3
2016-08-28,Monaco_Paris SG_2016,Monaco,2,1,3,3
2016-08-28,Bordeaux_Nantes_2016,Nantes,1,2,3,3
2016-08-28,Bordeaux_Nantes_2016,Bordeaux,2,1,3,3
2016-08-28,St Etienne_Toulouse_2016,St Etienne,2,1,3,3
2016-08-28,Monaco_Paris SG_2016,Paris SG,1,2,3,3
2016-09-09,Paris SG_St Etienne_2016,Paris SG,2,2,4,5
2016-09-09,Paris SG_St Etienne_2016,St Etienne,2,2,4,5
2016-09-10,Angers_Dijon_2016,Angers,2,2,4,5
2016-09-10,Guingamp_Montpellier_2016,Guingamp,2,2,4,5
2016-09-10,Bastia_Toulouse_2016,Toulouse,1,3,4,5
2016-09-10,Lorient_Nancy_2016,Nancy,2,2,4,5
2016-09-10,Lyon_Bordeaux_2016,Bordeaux,2,2,4,5
2016-09-10,Lorient_Nancy_2016,Lorient,2,2,4,5
2016-09-10,Bastia_Toulouse_2016,Bastia,2,2,4,5
