year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2014,Paris SG,away,ft_away,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,567.8
2014,Paris SG,away,ft_away_g<15,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,257.4
2014,Paris SG,away,ft_away_g<25,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,483.7
2014,Paris SG,away,ft_away_g<35,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,725.9
2014,Paris SG,away,ft_away_g>15,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,741.6
2014,Paris SG,away,ft_away_g>25,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,515.3
2014,Paris SG,away,ft_away_g>35,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,273.1
2014,Paris SG,total,ft_total,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,641.5
2014,Paris SG,total,ft_total_g<15,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,220.6
2014,Paris SG,total,ft_total_g<15,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,220.6
2014,Paris SG,total,ft_total_g<25,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,460.1
2014,Paris SG,total,ft_total_g<25,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,460.1
2014,Paris SG,total,ft_total_g<35,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,678.6
2014,Paris SG,total,ft_total_g<35,0,Reims_Paris SG_2014,2014-08-08,1,1,1,1,678.6
2014,Paris SG,total,ft_total_g>15,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,778.4
2014,Paris SG,total,ft_total_g>15,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,778.4
2014,Paris SG,total,ft_total_g>25,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,539.2
2014,Paris SG,total,ft_total_g>25,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,539.2
2014,Paris SG,total,ft_total_g>35,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,320.4
2014,Paris SG,total,ft_total_g>35,1,Reims_Paris SG_2014,2014-08-08,1,1,1,1,320.4
