,AvgAHA,B365AHH,VCH,AHh,WHD,Max>2.5,B365A,B365>2.5,MaxA,AvgH,IWA,AvgAHH,PSD,IWH,PAHA,MaxAHH,Max<2.5,VCA,P<2.5,BWA,MaxAHA,PAHH,BWD,B365H,PSA,B365<2.5,MaxD,WHA,B365D,MaxH,AvgD,AvgA,Avg>2.5,IWD,VCD,BWH,P>2.5,WHH,B365AHA,PSH,Avg<2.5,HomeTeam,AwayTeam,idGame
0,1.89,1.95,1.5,-1.0,3.8,2.26,7.0,2.15,7.61,1.5,7.0,1.92,3.84,1.55,1.88,2.0,1.75,6.5,1.66,6.75,1.96,1.95,4.1,1.5,7.46,1.66,4.2,7.5,4.0,1.56,3.84,6.67,2.16,3.6,3.9,1.45,2.18,1.5,1.9,1.5,1.67,Aris,Lamia,Aris_Lamia_2020
1,1.81,2.02,1.22,-1.75,5.5,1.84,15.0,1.75,15.0,1.22,13.0,2.0,5.82,1.27,1.78,2.06,2.11,13.0,1.99,13.0,1.88,2.05,6.0,1.2,14.78,2.05,6.05,15.0,6.0,1.27,5.58,12.39,1.76,5.25,5.5,1.2,1.81,1.22,1.83,1.21,2.02,PAOK,Larisa,PAOK_Larisa_2020
2,1.81,,1.73,-0.75,3.4,2.16,4.5,2.05,5.06,1.74,4.8,1.97,,1.8,,2.03,1.77,4.8,,4.75,1.88,,3.4,1.72,,1.75,3.65,4.5,3.4,1.81,3.43,4.67,2.08,3.25,3.4,1.75,,1.73,,,1.71,OFI Crete,Panetolikos,OFI Crete_Panetolikos_2020
3,1.91,,1.62,-0.75,3.6,2.09,5.0,2.05,5.67,1.64,5.25,1.86,,1.67,,1.93,1.82,5.5,,5.0,2.03,,3.6,1.61,,1.75,3.81,5.0,3.6,1.71,3.64,5.06,2.01,3.5,3.6,1.67,,1.62,,,1.75,Atromitos,Volos NFC,Atromitos_Volos NFC_2020
4,1.83,,2.75,0.0,3.1,2.33,2.5,2.25,2.65,2.73,2.6,1.95,,2.8,,2.02,1.67,2.6,,2.6,1.9,,3.0,2.7,,1.62,3.24,2.45,3.1,2.85,3.09,2.54,2.23,2.9,3.0,2.75,,2.75,,,1.62,Asteras Tripolis,Panathinaikos,Asteras Tripolis_Panathinaikos_2020
5,2.07,1.8,1.44,-1.0,4.0,2.05,7.0,2.0,8.36,1.44,7.0,1.76,4.32,1.5,2.06,1.83,1.91,7.0,1.81,6.75,2.19,1.79,4.1,1.4,8.12,1.8,4.54,8.0,4.0,1.5,4.2,7.18,1.97,4.3,4.1,1.45,2.02,1.44,2.05,1.44,1.82,PAOK,Atromitos,PAOK_Atromitos_2020
6,1.88,1.98,1.2,-1.75,5.8,1.77,13.0,1.7,15.0,1.21,12.0,1.94,6.53,1.25,1.85,2.02,2.26,13.0,2.14,12.0,1.94,1.98,6.5,1.2,14.94,2.1,7.0,15.0,6.0,1.25,6.08,12.24,1.7,6.25,6.0,1.19,1.69,1.2,1.88,1.21,2.12,Olympiakos,Asteras Tripolis,Olympiakos_Asteras Tripolis_2020
7,2.04,1.77,6.0,1.0,3.6,2.24,1.53,2.2,1.63,6.06,1.6,1.76,3.67,6.25,2.05,1.82,1.72,1.55,1.65,1.53,2.11,1.75,3.7,7.0,1.58,1.65,3.9,1.57,3.75,7.0,3.63,1.57,2.17,3.55,3.7,6.25,2.17,6.5,2.02,6.37,1.66,Panetolikos,AEK,Panetolikos_AEK_2020
8,1.86,1.98,2.75,0.0,2.9,2.56,2.62,2.5,2.72,2.79,2.65,1.94,2.97,2.85,1.88,1.98,1.57,2.7,1.5,2.6,1.93,1.92,3.0,2.75,2.72,1.5,3.13,2.62,3.1,2.95,2.94,2.63,2.48,2.8,2.9,2.75,2.52,2.88,1.88,2.95,1.51,Lamia,OFI Crete,Lamia_OFI Crete_2020
9,1.84,2.0,3.6,0.25,3.1,2.3,2.1,2.3,2.25,3.52,2.25,1.95,3.0,3.6,1.87,2.04,1.7,2.1,1.64,2.05,1.9,1.93,3.1,3.75,2.25,1.6,3.34,2.15,3.1,3.75,3.0,2.17,2.21,2.9,3.0,3.7,2.22,3.5,1.8,3.74,1.63,Volos NFC,Aris,Volos NFC_Aris_2020
10,1.81,2.02,12.0,1.5,5.25,1.83,1.25,1.72,1.3,11.08,1.3,1.98,5.42,11.0,1.84,2.06,2.2,1.22,2.06,1.25,1.89,1.96,5.25,11.0,1.27,2.07,5.75,1.25,5.75,13.0,5.29,1.25,1.72,5.25,5.5,11.0,1.74,13.0,1.77,12.83,2.07,Volos NFC,PAOK,Volos NFC_PAOK_2020
11,1.84,2.0,1.25,-1.75,5.5,1.59,11.0,1.57,13.0,1.23,11.0,1.96,7.2,1.27,1.92,2.08,2.47,10.5,2.45,9.75,1.92,1.88,5.75,1.25,12.05,2.35,7.32,12.0,5.75,1.28,5.98,10.67,1.55,5.75,5.5,1.25,1.53,1.24,1.85,1.21,2.36,Olympiakos,Panetolikos,Olympiakos_Panetolikos_2020
12,1.8,2.05,1.53,-1.0,3.5,2.33,6.5,2.25,7.24,1.53,6.5,2.0,3.85,1.6,1.78,2.11,1.67,6.5,1.63,6.5,1.9,2.05,3.8,1.53,7.23,1.61,3.9,7.0,3.8,1.62,3.72,6.37,2.24,3.55,3.7,1.5,2.23,1.55,1.8,1.53,1.61,Aris,Giannina,Aris_Giannina_2020
13,1.84,1.98,2.25,-0.25,3.1,2.41,3.5,2.4,3.5,2.29,3.5,1.96,3.07,2.4,1.82,2.02,1.66,3.2,1.61,3.3,1.93,1.99,3.0,2.25,3.34,1.53,3.25,3.25,3.0,2.4,3.03,3.21,2.28,2.95,3.1,2.25,2.26,2.3,1.88,2.39,1.59,OFI Crete,Atromitos,OFI Crete_Atromitos_2020
14,1.97,1.88,1.25,-1.5,5.25,1.77,9.0,1.7,14.11,1.25,11.0,1.82,5.81,1.3,1.96,1.92,2.2,10.5,2.11,10.5,2.08,1.84,5.5,1.28,14.11,2.1,6.0,13.0,5.5,1.3,5.43,10.83,1.68,5.25,5.25,1.25,1.7,1.25,1.98,1.24,2.11,AEK,Lamia,AEK_Lamia_2020
15,1.9,1.93,3.3,0.25,3.1,2.39,2.2,2.3,2.35,3.22,2.35,1.89,3.24,3.8,1.94,1.98,1.64,2.2,1.61,2.2,1.94,1.85,3.1,3.4,2.31,1.6,3.3,2.25,3.2,3.8,3.17,2.22,2.26,3.2,3.13,3.3,2.28,3.25,1.93,3.3,1.59,Larisa,Panathinaikos,Larisa_Panathinaikos_2020
16,2.04,1.8,2.45,0.0,3.1,2.21,2.87,2.1,3.3,2.46,3.3,1.78,3.25,2.6,2.05,1.86,1.74,2.8,1.68,2.85,2.1,1.77,3.1,2.45,2.93,1.7,3.32,2.88,3.25,2.65,3.19,2.83,2.12,3.2,3.2,2.45,2.15,2.5,2.05,2.53,1.68,Panetolikos,Asteras Tripolis,Panetolikos_Asteras Tripolis_2020
17,1.81,2.0,1.95,-0.5,3.2,2.38,4.0,2.25,4.23,1.96,3.8,1.97,3.29,2.05,1.85,2.04,1.65,3.9,1.58,3.9,1.87,1.95,3.25,1.95,4.23,1.61,3.38,3.9,3.3,2.05,3.24,3.87,2.26,3.35,3.2,1.95,2.32,2.0,1.85,1.98,1.6,Panathinaikos,Aris,Panathinaikos_Aris_2020
18,2.01,,2.55,0.0,3.0,2.51,2.8,2.4,2.96,2.52,2.85,1.79,3.17,2.55,2.05,1.89,1.59,2.8,1.53,2.8,2.09,1.77,2.95,2.62,2.96,1.53,3.18,2.9,3.1,2.62,3.05,2.83,2.41,2.95,3.0,2.6,2.45,2.55,,2.56,1.54,Apollon,Larisa,Apollon_Larisa_2020
19,1.98,1.85,1.25,-1.5,5.8,1.77,12.0,1.72,13.71,1.23,11.0,1.82,6.4,1.3,1.97,1.88,2.18,11.0,2.11,11.0,2.04,1.83,5.75,1.25,13.71,2.07,6.5,13.0,5.5,1.3,5.67,11.1,1.69,5.25,5.25,1.22,1.7,1.22,2.0,1.22,2.09,PAOK,OFI Crete,PAOK_OFI Crete_2020
20,1.81,2.0,8.5,1.25,4.5,1.78,1.36,1.72,1.4,7.91,1.4,1.98,4.92,8.0,1.81,2.04,2.15,1.33,2.12,1.36,1.88,2.0,4.75,8.0,1.37,2.07,5.0,1.35,4.75,9.0,4.71,1.35,1.71,4.6,4.75,7.25,1.7,9.0,1.85,8.47,2.09,Giannina,Olympiakos,Giannina_Olympiakos_2020
21,1.79,2.05,3.7,0.25,3.1,2.56,2.0,2.3,2.2,3.55,2.2,1.98,3.14,3.9,1.84,2.09,1.6,2.05,1.5,2.0,1.84,1.97,3.2,3.75,2.2,1.6,3.4,2.15,3.4,3.75,3.13,2.1,2.42,3.05,3.13,3.7,2.53,3.6,1.75,3.7,1.53,Atromitos,AEK,Atromitos_AEK_2020
22,1.74,2.05,2.4,-0.25,3.1,2.34,3.0,2.25,3.7,2.37,3.7,2.07,,2.45,,2.12,1.67,2.9,,3.0,1.81,,3.0,2.4,,1.61,3.25,3.0,3.1,2.5,3.09,2.98,2.23,3.1,3.1,2.4,,2.45,1.75,,1.61,Lamia,Volos NFC,Lamia_Volos NFC_2020
23,1.86,1.95,2.2,-0.25,3.25,2.39,3.25,2.2,3.25,2.26,3.1,1.96,3.46,2.3,1.83,2.02,1.7,3.13,1.65,3.0,1.95,2.02,3.3,2.2,3.01,1.65,3.46,3.1,3.1,2.45,3.29,3.02,2.19,3.15,3.25,2.25,2.24,2.25,1.9,2.34,1.64,Volos NFC,Giannina,Volos NFC_Giannina_2020
24,2.05,,1.57,-0.75,3.7,2.28,5.75,2.2,6.0,1.57,6.0,1.78,3.96,1.6,2.07,1.82,1.7,6.0,1.65,6.0,2.09,1.79,3.7,1.55,5.65,1.65,4.01,6.0,3.6,1.63,3.79,5.65,2.19,3.7,3.6,1.55,2.2,1.57,,1.57,1.64,Aris,Apollon,Aris_Apollon_2020
25,1.91,1.95,1.29,-1.5,5.25,1.79,10.0,1.72,12.0,1.27,10.0,1.9,5.77,1.33,1.91,2.0,2.16,10.0,2.1,12.0,2.0,1.93,5.0,1.28,11.79,2.07,6.0,11.0,4.75,1.33,5.32,10.2,1.72,5.0,5.0,1.26,1.73,1.27,1.9,1.25,2.07,Olympiakos,Atromitos,Olympiakos_Atromitos_2020
26,1.92,1.9,3.13,0.25,3.1,2.27,2.2,2.2,2.3,3.2,2.25,1.89,3.33,3.35,1.89,2.0,1.7,2.25,1.66,2.3,2.02,1.94,3.25,3.0,2.2,1.65,3.34,2.25,3.25,3.38,3.22,2.2,2.2,3.1,3.2,3.0,2.23,3.25,1.95,3.38,1.64,OFI Crete,Panathinaikos,OFI Crete_Panathinaikos_2020
27,2.1,1.77,2.55,0.0,3.0,2.52,2.8,2.25,3.25,2.52,3.15,1.73,2.81,2.55,2.16,1.82,1.61,3.0,1.52,3.1,2.16,1.71,2.85,2.37,3.25,1.61,3.2,3.1,3.2,2.65,2.85,3.05,2.4,2.7,2.8,2.45,2.52,2.45,2.1,2.59,1.54,Larisa,Asteras Tripolis,Larisa_Asteras Tripolis_2020
28,1.83,2.0,2.8,0.0,3.2,2.1,2.45,2.05,2.69,2.77,2.6,1.98,3.05,2.8,1.86,2.04,1.83,2.6,1.79,2.6,1.91,1.98,2.95,2.87,2.69,1.75,3.4,2.5,3.0,2.87,3.05,2.57,2.01,2.95,3.0,2.8,2.05,2.8,1.85,2.86,1.76,AEK,PAOK,AEK_PAOK_2020
29,1.81,2.02,2.4,-0.25,3.1,2.41,3.3,2.25,3.58,2.33,3.4,1.99,2.8,2.4,1.83,2.07,1.66,3.13,1.6,3.4,1.86,2.01,2.9,2.3,3.58,1.61,3.22,3.1,3.1,2.45,2.9,3.27,2.26,2.8,2.9,2.25,2.34,2.38,1.83,2.42,1.6,Lamia,Panetolikos,Lamia_Panetolikos_2020
30,2.11,1.73,2.45,0.0,2.9,2.67,3.25,2.5,3.33,2.49,3.25,1.73,2.74,2.5,2.18,1.8,1.54,3.1,1.48,3.2,2.21,1.69,2.8,2.4,3.33,1.5,3.1,3.0,2.9,2.6,2.85,3.11,2.54,2.7,2.9,2.45,2.66,2.55,2.08,2.6,1.49,Apollon,Giannina,Apollon_Giannina_2020
31,1.89,1.98,1.53,-1.0,4.0,2.1,7.0,2.0,7.0,1.51,6.25,1.93,4.17,1.55,1.88,2.0,1.9,6.0,1.83,6.75,1.96,1.96,3.8,1.5,6.7,1.8,4.2,6.5,4.0,1.55,4.03,6.12,1.95,3.8,3.9,1.5,2.0,1.5,1.88,1.5,1.83,Panathinaikos,Volos NFC,Panathinaikos_Volos NFC_2020
32,2.01,1.85,2.1,-0.25,3.4,2.04,3.5,2.0,3.5,2.05,3.45,1.8,3.67,2.05,2.06,1.88,1.89,3.3,1.88,3.5,2.06,1.78,3.4,2.05,3.43,1.8,3.67,3.4,3.5,2.13,3.44,3.34,1.94,3.45,3.3,2.0,1.94,2.1,2.0,2.05,1.82,Asteras Tripolis,OFI Crete,Asteras Tripolis_OFI Crete_2020
33,1.93,1.9,4.8,0.75,3.5,2.06,1.66,2.0,1.78,4.72,1.73,1.87,3.69,4.9,1.98,1.96,1.87,1.7,1.84,1.67,2.03,1.86,3.5,5.5,1.74,1.8,3.75,1.73,3.5,5.5,3.59,1.7,1.98,3.5,3.6,5.0,1.99,4.8,1.95,4.81,1.8,Giannina,AEK,Giannina_AEK_2020
34,2.01,1.8,1.75,-0.5,3.4,2.26,4.2,2.15,4.6,1.78,4.9,1.8,3.65,1.83,2.07,1.84,1.71,4.5,1.66,4.1,2.07,1.78,3.4,1.85,4.57,1.66,3.65,4.5,3.5,1.85,3.47,4.34,2.18,3.45,3.4,1.83,2.22,1.8,2.05,1.78,1.65,Atromitos,Panetolikos,Atromitos_Panetolikos_2020
35,1.87,,1.15,-2.0,7.0,1.67,17.0,1.6,17.69,1.16,17.0,1.98,7.91,1.2,1.9,2.06,2.41,17.0,2.41,14.5,2.02,1.93,7.0,1.12,17.63,2.3,8.5,17.0,8.5,1.21,7.04,15.4,1.59,7.0,6.5,1.15,1.57,1.15,,1.15,2.3,Olympiakos,Apollon,Olympiakos_Apollon_2020
