,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
0,2,0,2020-09-11,6,26,G1,3,4,10,0,0,15,0,7,2,1,9,16:15:00,Lamia,A,H,Aris,1,Aris_Lamia_2020
1,1,1,2020-09-11,5,14,G1,1,4,15,0,0,21,3,9,4,0,8,18:30:00,Larisa,H,H,PAOK,0,PAOK_Larisa_2020
2,4,0,2020-09-12,8,28,G1,1,5,3,0,0,28,2,1,1,1,2,16:00:00,Panetolikos,A,D,OFI Crete,1,OFI Crete_Panetolikos_2020
3,5,0,2020-09-13,7,22,G1,0,3,5,0,1,13,2,2,5,0,2,16:30:00,Volos NFC,D,A,Atromitos,2,Atromitos_Volos NFC_2020
4,5,0,2020-09-13,8,18,G1,1,3,8,0,0,14,3,1,4,0,3,18:30:00,Panathinaikos,D,H,Asteras Tripolis,0,Asteras Tripolis_Panathinaikos_2020
5,1,0,2020-09-18,6,13,G1,1,0,10,0,0,26,3,7,4,0,5,17:00:00,Atromitos,D,D,PAOK,1,PAOK_Atromitos_2020
6,3,0,2020-09-18,8,11,G1,3,0,14,0,0,15,5,4,2,0,11,18:30:00,Asteras Tripolis,D,H,Olympiakos,0,Olympiakos_Asteras Tripolis_2020
7,5,0,2020-09-19,8,22,G1,0,1,2,0,0,16,7,1,6,0,0,18:30:00,AEK,D,A,Panetolikos,2,Panetolikos_AEK_2020
8,2,0,2020-09-20,4,17,G1,1,2,11,0,0,13,4,4,3,1,3,16:15:00,OFI Crete,A,A,Lamia,2,Lamia_OFI Crete_2020
9,5,0,2020-09-20,9,15,G1,0,5,4,0,0,19,6,2,3,1,1,18:30:00,Aris,A,A,Volos NFC,1,Volos NFC_Aris_2020
10,6,0,2020-09-26,12,17,G1,0,4,5,0,0,18,5,2,0,0,3,16:30:00,PAOK,D,D,Volos NFC,0,Volos NFC_PAOK_2020
11,2,0,2020-09-26,3,12,G1,2,1,10,0,0,15,5,8,1,0,4,18:30:00,Panetolikos,D,H,Olympiakos,0,Olympiakos_Panetolikos_2020
12,3,0,2020-09-27,6,25,G1,2,4,10,0,0,19,3,4,5,2,6,14:00:00,Giannina,A,D,Aris,2,Aris_Giannina_2020
