,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,2.87,2.2,3.0,-0.25,2.25,3.0,3.0,-0.25,3.1,3.1,2.2,3.1,3.0,2.25,1.83,1.8,2.2,2.25,3.0,2.05,1.83,3.2,1.8,2.3,3.0,2.075,1.825,1.9,-0.25,1.79,2.7,3.0,2.9,2.0,Reggina,Sampdoria,Reggina_Sampdoria_2003
1,2.87,2.2,2.875,0.0,2.25,3.0,3.0,-0.25,3.0,3.0,2.25,3.0,3.0,2.3,1.8,1.75,2.25,2.25,3.0,2.1,1.9,3.1,1.75,2.35,3.0,1.75,2.15,1.9,-0.25,1.79,2.8,3.0,2.9,2.1,Bologna,Parma,Bologna_Parma_2003
2,3.0,2.3,2.875,0.0,2.3,2.87,2.88,-0.25,2.87,2.875,2.25,3.0,3.0,2.375,1.72,1.75,2.25,2.3,3.0,2.1,2.0,3.0,1.77,2.35,3.0,1.75,2.15,1.9,-0.25,1.79,2.7,3.0,2.9,2.05,Brescia,Chievo,Brescia_Chievo_2003
3,4.5,1.3,10.0,-1.5,1.22,11.0,10.0,-1.5,10.0,10.0,1.25,11.0,5.0,1.25,1.9,1.95,1.25,1.22,5.0,1.9,1.8,8.0,1.95,1.25,4.8,1.925,1.975,1.65,-1.5,2.05,4.2,4.5,4.5,1.85,Inter,Modena,Inter_Modena_2003
4,5.0,1.25,10.0,-1.5,1.22,11.0,10.0,-1.5,11.0,13.0,1.25,11.0,5.0,1.222,2.0,2.0,1.2,1.22,5.0,1.85,1.72,9.0,1.95,1.25,4.8,1.875,2.025,1.55,-1.5,2.25,4.5,4.5,4.5,1.85,Juventus,Empoli,Juventus_Empoli_2003
5,3.6,1.35,9.0,-1.25,1.33,8.5,8.5,-1.5,9.0,10.0,1.333,7.7,4.0,1.333,1.9,1.8,1.36,1.33,4.0,2.05,1.8,7.0,2.0,1.4,4.0,1.9,2.0,1.6,-1.25,2.15,4.0,3.75,3.75,1.8,Lazio,Lecce,Lazio_Lecce_2003
6,3.1,1.7,5.5,-0.75,1.66,5.0,5.0,-0.75,5.0,5.5,1.667,5.25,3.2,1.667,1.8,2.0,1.66,1.67,3.2,1.85,1.9,4.4,2.0,1.67,3.2,1.9,2.0,1.9,-0.75,1.79,3.1,2.875,3.2,1.8,Perugia,Siena,Perugia_Siena_2003
7,2.9,2.5,2.625,0.0,2.6,2.6,2.6,0.0,2.62,2.5,2.4,2.65,3.2,2.6,1.8,1.95,2.5,2.6,2.88,1.9,1.9,2.5,2.0,2.55,2.87,1.9,2.0,1.75,0.0,1.95,3.0,3.0,3.0,1.8,Udinese,Roma,Udinese_Roma_2003
8,3.1,4.2,1.667,0.75,5.0,1.66,1.67,0.75,1.72,1.727,4.5,1.67,3.1,5.0,1.83,1.85,4.5,5.0,3.2,2.0,1.83,1.7,2.1,5.25,3.2,2.0,1.9,1.79,1.0,1.9,3.2,3.25,3.2,1.7,Ancona,Milan,Ancona_Milan_2003
9,3.75,1.35,8.0,-1.0,1.36,7.5,7.5,-1.25,8.0,8.5,1.364,8.5,4.33,1.33,1.9,1.85,1.36,1.36,4.0,2.0,1.8,7.5,1.8,1.36,4.0,1.8,2.1,1.75,-1.25,1.95,3.8,3.75,4.0,2.0,Milan,Bologna,Milan_Bologna_2003
10,2.9,3.1,2.25,0.25,3.0,2.25,2.25,0.25,2.37,2.25,2.875,2.3,3.0,3.1,1.72,2.0,2.8,3.0,3.0,1.85,2.0,2.2,2.0,3.0,3.0,1.9,2.0,1.9,0.25,1.79,2.8,3.0,3.0,1.8,Sampdoria,Lazio,Sampdoria_Lazio_2003
11,2.87,3.6,1.833,0.5,4.0,1.85,1.8,0.5,1.9,1.83,4.0,1.85,3.25,4.0,1.83,1.85,4.0,4.0,3.25,2.0,1.83,1.9,1.85,4.2,3.1,1.975,1.925,1.75,0.5,1.95,3.0,3.0,3.1,1.95,Chievo,Juventus,Chievo_Juventus_2003
12,2.87,1.9,3.2,-0.5,2.0,3.5,3.5,-0.5,3.6,3.75,2.1,3.7,3.0,2.0,1.72,1.75,2.0,2.0,3.0,2.1,2.0,4.0,1.77,2.05,3.0,2.05,1.85,2.05,-0.5,1.65,2.8,3.0,2.9,2.05,Empoli,Reggina,Empoli_Reggina_2003
