,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.2,4.2,1.667,0.75,5.0,1.72,3.25,0.75,1.7,1.727,4.5,1.7,3.2,4.5,1.85,1.9,4.5,1.65,1.94,5.35,1.95,1.75,1.8,5.0,3.1,1.95,1.95,1.79,0.75,1.9,3.1,3.25,3.2,2.0,Chievo,Inter,Chievo_Inter_2004
1,5.5,1.15,12.0,-1.75,1.16,13.0,6.0,-1.75,12.0,15.0,1.167,15.0,6.5,1.167,2.25,1.98,1.16,13.0,1.86,1.15,1.61,12.0,2.0,1.15,6.0,1.85,2.05,1.6,-1.75,2.15,6.0,5.5,6.0,1.8,Milan,Livorno,Milan_Livorno_2004
2,2.9,1.9,3.5,-0.5,2.05,3.6,3.1,-0.5,3.4,3.5,2.1,3.6,3.0,2.0,1.75,1.82,2.05,3.6,2.02,2.0,2.05,3.6,1.61,2.1,3.0,2.1,1.8,2.0,-0.5,1.71,3.0,2.75,2.9,2.1,Atalanta,Lecce,Atalanta_Lecce_2004
3,3.0,3.8,1.833,0.5,4.0,1.85,3.1,0.5,1.83,1.833,4.0,1.8,3.1,4.0,1.95,1.8,4.0,1.8,2.04,4.5,1.85,1.85,1.8,4.1,3.2,2.1,1.8,1.85,0.5,1.85,3.0,3.0,3.25,1.81,Brescia,Juventus,Brescia_Juventus_2004
4,2.9,2.2,3.0,-0.25,2.3,3.1,2.9,-0.25,2.9,2.875,2.25,3.15,2.875,2.375,1.8,1.78,2.3,3.1,2.06,2.3,2.0,3.0,1.77,2.25,2.9,2.125,1.775,1.95,-0.25,1.75,2.9,2.875,2.9,2.05,Cagliari,Bologna,Cagliari_Bologna_2004
5,3.1,1.8,4.333,-0.75,1.8,4.5,3.15,-0.75,4.5,4.5,1.727,5.2,3.2,1.727,1.8,1.88,1.72,5.5,1.96,1.66,2.0,4.0,1.85,1.7,3.1,2.05,1.85,1.85,-0.75,1.85,3.0,3.2,3.1,1.95,Palermo,Siena,Palermo_Siena_2004
6,3.4,1.55,7.0,-0.75,1.5,7.0,3.25,-0.75,6.0,6.0,1.444,6.1,3.4,1.533,2.0,2.04,1.5,6.5,1.8,1.55,1.8,5.0,2.0,1.55,3.4,1.85,2.05,1.75,-0.75,1.95,3.4,3.5,3.4,1.8,Parma,Messina,Parma_Messina_2004
7,2.8,2.6,2.625,0.0,2.7,2.6,2.9,0.0,2.6,2.6,2.5,2.63,2.875,2.6,1.7,1.88,2.6,2.55,1.96,2.7,2.1,2.6,2.63,2.75,2.87,1.95,1.95,2.0,0.5,1.71,2.8,2.875,2.8,1.39,Reggina,Udinese,Reggina_Udinese_2004
8,3.5,1.45,5.0,-0.75,1.61,5.5,3.5,-0.75,5.0,5.5,1.615,5.5,3.4,1.571,1.95,1.88,1.57,5.75,1.96,1.55,1.85,5.8,1.9,1.62,3.3,1.9,2.0,1.71,-0.75,2.0,3.6,3.25,3.3,1.9,Roma,Fiorentina,Roma_Fiorentina_2004
9,3.0,2.0,3.4,-0.5,2.05,3.4,3.05,-0.5,3.2,3.75,2.0,3.6,3.0,2.1,1.8,1.8,2.1,3.5,2.04,2.0,2.0,3.4,1.64,2.05,3.1,2.05,1.85,1.85,-0.5,1.85,2.9,3.0,3.0,2.05,Sampdoria,Lazio,Sampdoria_Lazio_2004
10,3.4,1.35,8.0,-1.25,1.33,8.5,4.0,-1.25,8.5,9.0,1.36,8.5,4.33,1.36,2.1,1.76,1.4,8.0,2.08,1.35,1.7,7.0,1.77,1.36,4.33,2.125,1.775,1.65,-1.25,2.05,4.0,3.75,4.1,2.05,Inter,Palermo,Inter_Palermo_2004
11,2.87,2.1,3.75,-0.25,2.1,3.25,3.25,-0.25,3.6,3.5,2.0,3.6,3.0,2.0,1.8,1.96,2.0,3.55,1.88,1.95,2.0,3.3,1.95,2.05,3.2,1.8,2.1,1.9,-0.25,1.79,2.8,2.8,3.0,1.85,Lecce,Brescia,Lecce_Brescia_2004
12,3.1,4.2,1.67,0.75,4.75,1.7,3.35,0.75,1.66,1.61,5.0,1.65,3.2,5.5,1.8,1.82,5.0,1.6,2.02,5.55,2.0,1.7,1.8,5.25,3.3,2.05,1.85,1.9,0.75,1.79,3.2,3.2,3.3,2.0,Bologna,Milan,Bologna_Milan_2004
13,3.0,1.6,5.0,-0.75,1.62,5.5,3.4,-0.75,6.0,5.5,1.62,5.5,3.4,1.57,1.85,1.92,1.6,6.1,1.92,1.55,1.95,4.8,2.0,1.63,3.4,1.875,2.025,1.9,-0.75,1.79,3.3,3.25,3.3,1.8,Fiorentina,Cagliari,Fiorentina_Cagliari_2004
14,5.0,1.2,11.0,-1.5,1.22,11.0,5.75,-1.5,11.0,12.0,1.2,11.5,5.0,1.2,2.15,1.84,1.2,9.0,2.0,1.2,1.66,10.0,1.95,1.22,5.25,1.85,2.05,1.71,-1.5,2.0,5.0,5.0,5.2,1.85,Juventus,Atalanta,Juventus_Atalanta_2004
15,3.25,1.55,6.0,-1.0,1.5,6.5,3.2,-0.75,6.0,6.5,1.5,6.6,3.4,1.5,1.85,2.06,1.53,6.5,1.78,1.57,1.95,5.0,2.05,1.57,3.6,2.1,1.8,1.9,-0.75,1.79,3.4,3.4,3.2,1.77,Lazio,Reggina,Lazio_Reggina_2004
16,2.9,2.3,3.2,-0.25,2.38,2.9,2.9,-0.25,2.9,3.0,2.25,3.25,2.75,2.37,1.7,1.84,2.3,3.1,2.0,2.3,2.1,2.9,1.8,2.3,3.0,2.1,1.8,1.85,-0.25,1.85,2.8,2.75,2.8,2.0,Livorno,Chievo,Livorno_Chievo_2004
17,2.9,3.3,1.83,0.25,4.0,1.91,3.05,0.25,1.95,2.1,4.0,2.0,3.0,3.25,1.66,1.84,3.75,1.95,2.0,3.8,2.15,2.0,12.0,3.7,3.1,2.0,1.9,1.9,0.5,1.79,3.0,3.0,3.0,1.66,Messina,Roma,Messina_Roma_2004
18,2.8,2.5,2.88,0.0,2.5,2.88,2.7,0.0,2.75,2.87,2.38,2.85,2.87,2.37,1.66,1.9,2.5,2.8,1.94,2.7,2.15,2.8,1.9,2.55,2.88,1.95,1.95,2.05,0.0,1.65,2.7,2.8,2.8,1.9,Siena,Sampdoria,Siena_Sampdoria_2004
19,2.87,2.2,3.2,-0.25,2.25,3.25,2.8,-0.25,3.25,3.4,2.2,3.4,3.0,2.25,1.7,1.88,2.15,3.45,1.96,2.2,2.1,3.1,1.85,2.2,2.88,1.975,1.925,1.95,-0.25,1.75,2.8,2.8,2.85,1.95,Udinese,Parma,Udinese_Parma_2004
20,3.0,4.0,1.8,0.75,4.33,1.8,3.3,0.75,1.72,1.8,4.5,1.75,3.2,4.0,1.85,2.06,4.8,1.7,1.78,4.75,1.95,1.8,2.0,4.65,3.2,1.775,2.125,1.75,0.75,1.95,3.0,2.88,3.2,1.8,Atalanta,Inter,Atalanta_Inter_2004
