,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.99,3.25,1.74,3.0,4.2,1.91,4.0,1.9,1.95,4.93,3.15,1.89,1.91,1.91,3.2,3.0,4.0,3.0,4.0,1.9,3.2,4.25,30.0,4.33,0.5,1.99,3.75,1.97,1.8,2.0,1.83,40.0,4.5,1.85,2.17,3.1,1.96,4.2,4.33,17.0,3.1,1.92,1.85,4.2,3.0,2.88,3.11,1.83,Sampdoria,Inter,Sampdoria_Inter_2008
1,4.25,3.18,1.81,2.88,2.0,3.75,2.1,3.4,4.0,2.15,3.0,3.69,3.5,3.8,3.0,3.0,1.91,3.0,2.0,3.6,3.1,2.06,30.0,2.1,0.0,2.75,2.05,1.5,3.4,1.92,3.6,40.0,2.1,3.6,2.0,3.0,2.57,2.1,2.1,17.0,3.0,1.45,3.5,2.0,3.0,3.0,3.01,1.92,Udinese,Palermo,Udinese_Palermo_2008
2,4.65,3.13,1.79,2.88,1.85,4.33,1.9,4.2,4.33,2.1,2.9,4.04,3.8,4.0,3.0,3.0,1.83,3.0,2.0,4.0,3.1,1.97,30.0,2.05,-0.5,1.87,1.95,2.1,3.85,1.95,4.2,38.0,2.0,4.0,2.05,3.0,1.82,2.0,2.0,17.0,3.0,2.06,3.5,1.83,3.1,2.88,3.0,1.88,Atalanta,Siena,Atalanta_Siena_2008
3,2.75,3.1,1.65,2.9,2.6,2.6,2.7,2.5,2.7,3.15,2.95,2.57,2.5,2.5,3.0,3.0,2.7,3.0,3.0,2.6,3.0,2.78,30.0,3.0,0.0,1.86,2.62,2.1,2.65,2.12,2.62,40.0,2.6,2.7,2.22,2.8,1.79,2.8,2.7,18.0,3.0,2.03,2.4,2.5,2.9,2.75,2.96,1.7,Cagliari,Lazio,Cagliari_Lazio_2008
4,3.5,3.07,1.65,2.88,2.3,3.0,2.3,3.0,3.4,2.52,2.9,3.11,3.0,3.2,3.0,3.0,2.3,2.9,2.3,3.0,3.0,2.34,29.0,2.4,0.0,2.31,2.25,1.7,3.35,2.12,2.88,38.0,2.2,3.0,2.25,3.0,2.21,2.3,2.4,17.0,3.0,1.64,3.0,2.3,2.9,2.8,2.95,1.7,Catania,Genoa,Catania_Genoa_2008
5,4.31,3.1,1.66,2.88,2.1,3.2,2.05,3.6,3.5,2.2,2.9,3.62,3.5,3.75,3.0,3.0,2.1,3.0,2.0,3.4,3.0,2.1,30.0,2.15,-0.25,2.13,2.05,1.84,3.6,2.1,3.25,41.0,2.1,3.4,2.2,3.0,2.06,2.25,2.15,17.0,3.0,1.81,3.5,2.1,2.9,3.0,2.98,1.75,Chievo,Reggina,Chievo_Reggina_2008
6,2.91,3.05,1.74,2.8,2.55,2.6,2.5,2.7,2.8,2.9,2.9,2.67,2.6,2.75,3.0,3.0,2.6,3.0,2.6,2.6,3.0,2.66,30.0,2.75,0.0,1.98,2.6,2.0,2.65,2.0,2.62,40.0,2.6,2.55,2.16,3.0,1.9,2.7,2.7,19.0,3.0,1.91,2.6,2.5,3.1,2.8,2.96,1.85,Fiorentina,Juventus,Fiorentina_Juventus_2008
7,12.7,4.95,1.96,4.2,1.3,9.0,1.3,9.0,10.0,1.36,4.95,10.13,8.5,12.0,4.6,4.75,1.3,4.5,1.3,10.0,4.75,1.31,30.0,1.3,-1.25,2.06,1.3,1.92,12.7,1.78,10.0,39.0,1.22,8.5,1.88,4.35,1.99,1.33,1.33,18.0,4.5,1.9,9.5,1.25,4.4,4.2,4.53,2.06,Milan,Bologna,Milan_Bologna_2008
8,7.5,3.75,1.98,3.3,1.5,6.5,1.57,6.0,6.0,1.63,3.5,6.44,6.0,6.5,3.25,3.4,1.5,3.4,1.5,6.0,3.6,1.56,30.0,1.57,-1.0,1.88,1.53,2.13,7.5,1.76,6.0,39.0,1.46,6.3,1.95,3.4,1.79,1.62,1.6,17.0,3.4,2.05,6.5,1.53,3.5,3.3,3.45,2.13,Roma,Napoli,Roma_Napoli_2008
9,6.71,3.25,1.69,3.0,1.85,4.33,1.8,4.5,5.0,1.85,3.0,4.89,4.2,5.25,3.25,3.1,1.8,3.2,1.75,4.5,3.1,1.78,27.0,1.8,-0.5,2.17,1.8,1.83,4.7,2.08,4.75,38.0,1.8,4.2,2.23,3.2,2.1,1.75,1.8,16.0,3.1,1.78,4.5,1.73,3.0,3.0,3.1,1.75,Torino,Lecce,Torino_Lecce_2008
10,18.72,5.82,2.01,4.8,1.22,11.0,1.25,10.0,13.0,1.28,5.25,12.24,10.0,15.0,5.25,5.0,1.2,5.0,1.22,11.0,5.0,1.24,30.0,1.25,-1.5,2.1,1.22,1.87,17.0,1.73,12.0,39.0,1.18,11.0,1.83,5.0,2.0,1.25,1.25,15.0,5.0,1.83,10.5,1.22,4.8,5.0,5.04,2.15,Inter,Catania,Inter_Catania_2008
