,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.15,3.33,1.66,3.25,2.0,3.0,3.75,2.1,3.3,3.71,3.6,3.75,3.2,3.25,2.15,3.32,2.1,3.3,3.9,3.2,4.13,2.05,31,2.05,-0.25,2.19,2.1,1.85,3.9,2.2,3.6,38,2.05,3.4,2.33,3.25,2.1,2.11,2.1,2.05,20,1.76,4.0,2.05,3.2,3.1,3.21,1.73,Fiorentina,Udinese,Fiorentina_Udinese_2012
1,12.27,5.4,2.04,4.8,1.35,8.0,11.0,1.35,5.0,10.26,10.0,10.5,5.0,5.0,1.3,5.28,1.33,5.0,11.0,5.0,12.27,1.3,31,1.3,-1.5,1.96,1.33,2.0,11.0,1.76,9.5,38,1.28,7.3,1.83,5.25,1.33,1.91,1.3,1.28,23,1.96,12.0,1.3,4.5,4.33,4.95,2.15,Juventus,Parma,Juventus_Parma_2012
2,3.33,3.25,1.62,3.2,2.6,2.5,3.0,2.6,3.2,2.94,2.88,3.0,3.2,3.2,2.5,3.19,2.45,3.2,2.95,3.2,3.33,2.42,31,2.4,-0.25,1.86,2.5,2.12,2.95,2.26,2.9,33,2.4,2.6,2.38,3.2,2.47,1.81,2.4,2.4,21,2.05,3.25,2.4,3.1,3.1,3.16,1.68,Atalanta,Lazio,Atalanta_Lazio_2012
3,4.03,3.2,1.57,3.2,2.2,3.1,3.5,2.25,3.15,3.59,3.6,3.6,3.13,3.2,2.1,3.16,2.2,3.15,3.6,3.2,3.92,2.14,31,2.1,-0.25,2.09,2.15,1.9,3.6,2.35,3.6,35,2.1,3.2,2.51,3.12,2.23,2.03,2.2,2.1,24,1.83,3.9,2.1,3.0,3.1,3.11,1.64,Chievo,Bologna,Chievo_Bologna_2012
4,4.34,3.3,1.71,3.25,2.0,3.2,3.75,2.1,3.25,3.84,3.6,4.0,3.25,3.25,2.0,3.31,2.05,3.25,3.8,3.3,4.37,2.01,31,1.95,-0.5,1.88,2.1,2.06,3.8,2.11,3.6,35,2.0,3.45,2.21,3.25,2.03,1.84,2.05,2.0,21,2.03,4.3,2.05,3.15,3.2,3.22,1.79,Genoa,Cagliari,Genoa_Cagliari_2012
5,9.35,4.67,1.99,4.4,1.45,7.0,8.5,1.46,4.1,8.21,8.5,8.0,4.33,4.5,1.36,4.69,1.44,4.1,7.75,4.5,9.34,1.4,31,1.4,-1.25,1.93,1.4,2.08,7.75,1.8,7.5,35,1.48,6.5,1.9,4.6,1.43,1.86,1.4,1.48,24,2.0,9.0,1.4,3.9,4.0,4.33,2.08,Milan,Sampdoria,Milan_Sampdoria_2012
6,2.5,3.35,1.84,3.3,2.7,2.3,2.38,3.24,3.4,2.39,2.5,2.38,3.25,3.2,2.62,3.34,3.1,3.4,2.4,3.25,2.5,2.97,34,3.0,0.25,2.11,2.8,1.86,2.4,1.95,2.4,35,3.0,2.4,2.02,3.3,3.12,2.05,3.0,3.0,23,1.8,2.5,2.9,3.2,3.2,3.22,1.94,Palermo,Napoli,Palermo_Napoli_2012
7,1.88,3.75,2.0,3.75,4.3,1.7,1.8,4.95,3.55,1.8,1.8,1.8,3.4,3.5,4.0,3.69,4.8,3.55,1.7,3.6,1.84,4.47,31,4.33,0.75,2.16,4.2,1.84,1.7,1.79,1.75,33,5.0,1.75,1.86,3.6,4.88,2.1,4.8,5.0,18,1.77,1.83,4.75,3.4,3.5,3.47,2.12,Pescara,Inter,Pescara_Inter_2012
8,9.45,4.9,2.27,4.5,1.5,6.0,8.0,1.45,4.75,7.92,7.0,8.0,4.5,4.5,1.4,4.94,1.4,4.75,8.25,4.5,9.59,1.4,31,1.4,-1.25,1.95,1.44,2.01,8.25,1.62,7.5,35,1.35,5.7,1.68,4.8,1.4,1.9,1.4,1.35,24,1.96,9.0,1.4,3.8,4.2,4.4,2.38,Roma,Catania,Roma_Catania_2012
9,3.64,3.25,1.58,3.2,2.2,3.1,3.25,2.38,3.15,3.3,3.3,3.4,3.2,3.2,2.1,3.12,2.3,3.15,3.25,3.1,3.62,2.26,27,2.25,-0.25,1.98,2.25,2.0,3.25,2.34,3.2,34,2.25,3.1,2.5,3.12,2.36,1.92,2.25,2.25,24,1.94,3.6,2.25,3.1,3.1,3.13,1.65,Siena,Torino,Siena_Torino_2012
10,2.15,3.4,1.71,3.3,3.2,2.05,2.05,4.05,3.25,2.08,2.0,2.1,3.25,3.2,3.75,3.34,3.9,3.25,2.0,3.2,2.15,3.69,30,3.6,0.25,1.87,3.75,2.14,2.0,2.12,2.1,39,3.8,2.1,2.25,3.3,3.9,1.81,3.75,3.8,21,2.07,2.15,3.6,3.2,3.25,3.25,1.79,Bologna,Milan,Bologna_Milan_2012
11,5.3,3.46,1.74,3.3,1.9,4.5,5.0,1.9,3.5,4.56,4.5,4.5,3.25,3.3,1.85,3.39,1.85,3.5,4.6,3.4,5.3,1.84,32,1.83,-0.5,2.11,1.85,1.87,4.6,2.08,4.5,39,1.83,3.7,2.22,3.4,1.86,2.05,1.8,1.83,20,1.82,5.25,1.83,3.3,3.3,3.32,1.81,Torino,Pescara,Torino_Pescara_2012
12,3.75,3.25,1.6,3.2,2.1,3.6,3.5,2.38,3.0,3.41,3.6,3.4,3.13,3.1,2.1,3.11,2.3,3.0,3.5,3.0,3.48,2.25,30,2.3,-0.25,1.93,2.1,2.02,3.5,2.31,3.25,35,2.2,3.3,2.46,3.12,2.38,1.9,2.2,2.2,22,1.97,3.6,2.25,3.1,3.25,3.09,1.66,Cagliari,Atalanta,Cagliari_Atalanta_2012
13,4.2,3.35,1.8,3.25,2.0,3.5,3.75,2.1,3.3,3.75,3.5,3.75,3.25,3.2,2.1,3.27,2.1,3.3,3.75,3.25,4.17,2.06,32,2.05,-0.25,2.23,2.1,1.8,3.75,2.01,3.75,35,2.0,3.3,2.12,3.25,2.07,2.12,2.05,2.0,20,1.76,4.1,2.05,3.3,3.25,3.22,1.85,Catania,Genoa,Catania_Genoa_2012
14,4.0,3.75,2.51,3.4,1.85,3.8,3.75,2.07,3.5,3.73,3.8,3.75,3.5,3.4,1.95,3.75,2.0,3.5,3.8,3.6,3.75,1.98,23,1.95,-0.5,1.89,1.95,2.07,3.8,1.5,3.75,35,2.0,3.9,1.58,3.7,2.05,1.86,1.95,2.0,19,2.02,3.9,1.95,3.3,3.5,3.46,2.74,Inter,Roma,Inter_Roma_2012
15,6.0,3.75,1.89,3.4,1.7,5.0,5.0,1.75,3.6,5.37,5.0,5.0,3.5,3.6,1.7,3.74,1.7,3.6,5.25,3.75,6.0,1.68,32,1.67,-0.75,2.04,1.75,1.92,5.25,1.92,5.4,35,1.67,4.6,1.99,3.7,1.7,1.99,1.73,1.67,22,1.88,5.75,1.67,3.4,3.6,3.56,1.99,Lazio,Palermo,Lazio_Palermo_2012
16,5.5,3.75,1.86,3.5,1.7,5.0,4.8,1.83,3.5,4.94,5.25,5.0,3.4,3.5,1.73,3.67,1.8,3.5,4.75,3.5,5.23,1.75,32,1.73,-0.75,1.86,1.7,2.09,4.75,1.95,4.75,35,1.75,4.4,2.04,3.6,1.8,1.83,1.8,1.75,22,2.04,5.25,1.73,3.5,3.5,3.47,1.91,Napoli,Fiorentina,Napoli_Fiorentina_2012
17,4.44,3.3,1.61,3.2,2.0,3.75,3.8,2.1,3.2,3.82,3.75,3.8,3.2,3.2,2.05,3.15,2.05,3.2,3.7,3.2,4.44,2.05,30,2.05,-0.25,2.2,2.05,1.8,3.7,2.28,3.75,35,2.05,3.4,2.44,3.12,2.1,2.12,2.05,2.05,19,1.77,4.33,2.05,3.2,3.2,3.18,1.66,Parma,Chievo,Parma_Chievo_2012
18,5.1,3.49,1.62,3.3,1.85,4.5,4.5,1.9,3.3,4.48,4.5,4.5,3.4,3.3,1.83,3.44,1.87,3.3,4.5,3.4,4.9,1.85,30,1.83,-0.5,2.08,1.85,1.9,4.5,2.26,4.5,35,1.83,3.9,2.43,3.4,1.9,2.03,1.83,1.83,19,1.85,4.8,1.83,3.3,3.4,3.34,1.68,Sampdoria,Siena,Sampdoria_Siena_2012
19,1.85,3.51,1.7,3.4,3.8,1.8,1.8,5.5,3.5,1.79,1.85,1.73,3.4,3.4,4.6,3.48,5.4,3.5,1.75,3.5,1.81,4.81,29,5.0,0.75,2.08,4.33,1.87,1.75,2.13,1.8,35,5.25,1.85,2.25,3.4,5.5,2.03,4.8,5.25,20,1.84,1.8,4.5,3.4,3.4,3.39,1.79,Udinese,Juventus,Udinese_Juventus_2012
20,9.0,4.33,1.91,4.0,1.45,6.5,7.5,1.53,4.1,7.28,7.0,7.0,4.33,4.2,1.4,4.3,1.5,4.1,8.25,4.0,7.9,1.48,35,1.5,-1.0,2.06,1.5,1.97,8.25,1.89,7.0,40,1.42,6.5,1.98,4.3,1.51,1.95,1.44,1.42,25,1.92,8.0,1.44,3.9,4.0,4.0,1.98,Milan,Atalanta,Milan_Atalanta_2012
21,3.62,3.4,1.73,3.3,2.2,3.2,3.4,2.3,3.3,3.33,3.3,3.4,3.2,3.25,2.0,3.31,2.25,3.3,3.3,3.2,3.55,2.22,33,2.2,-0.25,1.99,2.2,1.98,3.3,2.1,3.1,40,2.25,3.0,2.18,3.3,2.29,1.93,2.2,2.25,24,1.93,3.5,2.25,3.2,3.2,3.2,1.8,Palermo,Cagliari,Palermo_Cagliari_2012
22,2.65,3.3,1.64,3.2,2.7,2.2,2.5,3.1,3.2,2.49,2.5,2.6,3.2,3.2,2.88,3.18,3.0,3.2,2.45,3.1,2.65,2.91,33,2.8,0.0,1.81,2.9,2.16,2.45,2.23,2.38,40,2.85,2.5,2.38,3.2,3.04,1.77,2.88,2.85,24,2.1,2.62,3.0,3.05,3.1,3.12,1.69,Chievo,Lazio,Chievo_Lazio_2012
23,4.8,3.55,1.88,3.5,1.85,4.0,4.0,1.92,3.45,4.3,4.0,4.2,3.5,3.4,1.73,3.55,1.9,3.45,4.25,3.3,4.61,1.86,36,1.91,-0.5,2.05,1.91,1.92,4.25,1.92,4.33,40,1.83,3.9,2.0,3.5,1.92,2.01,1.91,1.83,21,1.87,4.6,1.83,3.3,3.4,3.39,1.97,Fiorentina,Catania,Fiorentina_Catania_2012
24,1.67,4.0,2.07,4.0,5.0,1.67,1.62,6.64,3.9,1.62,1.65,1.62,3.75,3.75,4.2,3.91,6.5,3.9,1.62,3.75,1.62,5.66,34,5.5,0.75,1.83,5.0,2.18,1.62,1.75,1.62,40,5.75,1.6,1.83,3.9,6.7,1.78,5.75,5.75,23,2.11,1.62,5.5,3.6,3.5,3.72,2.15,Genoa,Juventus,Genoa_Juventus_2012
25,7.82,4.14,1.94,4.0,1.55,5.5,7.0,1.57,3.85,6.68,5.5,6.5,3.75,4.0,1.44,4.15,1.53,3.85,6.9,3.8,7.45,1.53,36,1.55,-1.0,1.96,1.6,2.02,6.9,1.86,6.5,40,1.5,5.4,1.97,4.1,1.54,1.91,1.53,1.5,25,1.95,7.5,1.5,3.7,4.0,3.83,2.03,Napoli,Parma,Napoli_Parma_2012
26,2.67,3.3,1.71,3.2,2.65,2.4,2.5,3.02,3.1,2.52,2.5,2.6,3.2,3.2,2.6,3.2,3.0,3.1,2.5,3.1,2.67,2.85,34,2.8,0.0,1.87,2.88,2.1,2.5,2.12,2.4,40,2.85,2.55,2.3,3.2,3.0,1.81,2.88,2.85,24,2.04,2.62,2.88,3.05,3.1,3.15,1.76,Pescara,Sampdoria,Pescara_Sampdoria_2012
27,9.1,5.0,2.6,4.75,1.37,6.5,8.5,1.44,4.75,7.69,7.0,7.5,4.8,5.0,1.36,4.95,1.44,4.75,7.7,4.75,8.0,1.4,22,1.4,-1.25,1.94,1.4,2.02,7.7,1.45,8.5,40,1.37,7.2,1.53,4.8,1.44,1.9,1.36,1.37,24,1.97,8.0,1.33,4.2,4.2,4.61,2.84,Roma,Bologna,Roma_Bologna_2012
28,3.13,3.3,1.61,3.2,2.5,2.6,2.88,2.62,3.15,2.9,2.9,2.88,3.2,3.1,2.5,3.25,2.55,3.15,2.9,3.2,3.06,2.5,34,2.5,0.0,2.15,2.5,1.82,2.9,2.29,2.88,40,2.45,2.7,2.42,3.2,2.59,2.09,2.5,2.45,24,1.78,3.0,2.5,3.05,3.0,3.12,1.66,Siena,Udinese,Siena_Udinese_2012
29,2.37,3.45,1.85,3.3,3.2,2.05,2.25,3.4,3.4,2.28,2.3,2.3,3.25,3.2,3.0,3.43,3.25,3.4,2.2,3.3,2.36,3.19,35,3.1,0.25,2.04,3.1,1.91,2.2,1.95,2.25,40,3.3,2.1,2.04,3.3,3.27,1.99,3.25,3.3,24,1.88,2.3,3.2,3.2,3.3,3.23,1.97,Torino,Inter,Torino_Inter_2012
30,13.0,5.4,2.03,4.33,1.28,9.5,12.0,1.36,5.05,10.55,10.0,10.0,5.25,5.0,1.25,5.03,1.33,5.05,11.0,5.25,12.88,1.31,35,1.29,-1.5,1.95,1.36,2.08,11.0,1.77,11.0,39,1.28,9.0,1.84,5.0,1.34,1.86,1.27,1.28,22,2.01,13.0,1.29,5.0,4.5,4.89,2.12,Juventus,Chievo,Juventus_Chievo_2012
31,3.1,3.25,1.71,3.1,2.3,2.75,3.0,2.62,3.3,2.9,2.8,3.0,3.2,3.2,2.2,3.2,2.6,3.3,2.95,3.2,3.11,2.47,35,2.4,0.0,2.2,2.62,1.81,2.95,2.12,2.8,39,2.5,2.9,2.21,3.12,2.59,2.11,2.4,2.5,22,1.76,3.1,2.5,3.1,3.25,3.17,1.8,Parma,Fiorentina,Parma_Fiorentina_2012
32,5.0,3.6,1.77,3.2,1.85,3.5,4.5,1.87,3.6,4.39,4.8,4.5,3.4,3.6,1.9,3.59,1.83,3.6,4.5,3.4,5.03,1.83,35,1.83,-0.75,1.86,1.83,2.15,4.5,2.04,4.2,39,1.85,3.9,2.15,3.5,1.85,1.82,1.83,1.85,18,2.06,5.0,1.8,3.3,3.2,3.43,1.87,Atalanta,Palermo,Atalanta_Palermo_2012
33,5.4,3.7,1.83,3.2,1.7,4.33,5.0,1.81,3.65,4.84,5.0,5.0,3.5,3.5,1.67,3.68,1.75,3.65,5.05,3.5,5.13,1.75,35,1.73,-0.75,1.9,1.8,2.11,5.05,1.97,4.75,39,1.67,4.4,2.08,3.6,1.81,1.83,1.73,1.67,20,2.04,5.25,1.73,3.5,3.4,3.48,1.91,Bologna,Pescara,Bologna_Pescara_2012
