,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.55,4.33,1.8,4.0,5.5,1.53,1.44,8.1,4.0,1.5,1.5,1.45,3.8,4.02,6.0,7.5,4.0,1.55,6.96,30,8.0,1.0,1.88,7.0,2.09,1.48,2.0,32,7.25,1.55,2.08,4.0,7.94,1.83,7.5,19,2.04,1.55,4.0,4.0,3.98,1.9,Sampdoria,Juventus,Sampdoria_Juventus_2013
1,1.8,3.85,1.82,3.6,4.7,1.75,1.73,5.2,3.75,1.74,1.75,1.75,3.75,3.69,4.8,4.8,3.6,1.79,4.64,30,4.75,1.0,2.51,4.75,1.69,1.7,1.97,32,4.75,1.7,2.06,3.6,5.15,2.42,4.5,18,1.58,1.8,3.6,3.6,3.61,1.92,Verona,Milan,Verona_Milan_2013
2,3.25,3.25,1.6,3.0,2.3,3.0,2.88,2.56,3.1,2.99,3.0,3.0,3.13,3.18,2.37,2.55,3.0,3.18,2.41,30,2.5,0.0,2.21,2.5,1.78,3.0,2.31,32,2.45,3.0,2.42,3.2,2.56,2.14,2.4,16,1.72,3.1,3.2,3.2,3.15,1.69,Cagliari,Atalanta,Cagliari_Atalanta_2013
3,6.17,3.95,1.87,3.75,1.65,5.5,5.25,1.7,3.75,5.27,4.8,5.5,3.6,3.95,1.61,1.67,3.75,6.17,1.65,30,1.62,-1.0,1.78,1.7,2.26,5.75,1.93,32,1.6,4.9,2.02,3.9,1.65,1.73,1.62,19,2.14,5.75,3.7,3.75,3.74,1.95,Inter,Genoa,Inter_Genoa_2013
4,4.25,3.55,1.79,3.4,1.9,4.2,3.8,2.0,3.4,3.94,3.75,3.75,3.3,3.48,1.85,2.0,3.4,4.2,1.95,30,2.0,-0.5,1.94,2.0,2.0,3.9,2.01,32,1.95,3.8,2.12,3.4,2.0,1.91,1.95,16,1.96,4.1,3.45,3.5,3.35,1.89,Lazio,Udinese,Lazio_Udinese_2013
5,2.1,3.61,2.02,3.6,3.6,2.0,2.0,4.0,3.4,2.0,2.05,2.0,3.4,3.61,3.75,3.75,3.5,2.04,3.62,30,3.6,0.5,2.04,3.4,1.92,2.0,1.78,32,3.7,2.0,1.85,3.6,3.97,1.99,3.6,16,1.88,2.05,3.3,3.4,3.44,2.16,Livorno,Roma,Livorno_Roma_2013
6,9.83,5.0,2.12,4.5,1.4,7.5,7.5,1.4,5.0,8.1,8.0,8.5,4.5,4.95,1.4,1.4,4.75,9.83,1.38,30,1.36,-1.5,1.78,1.4,2.2,9.0,1.71,32,1.33,7.3,1.77,4.8,1.39,1.73,1.36,19,2.14,9.0,4.4,4.5,4.61,2.22,Napoli,Bologna,Napoli_Bologna_2013
7,4.85,3.57,1.67,3.4,1.9,4.0,4.33,1.92,3.4,4.36,4.4,4.2,3.3,3.6,1.9,1.9,3.5,4.85,1.85,30,1.85,-0.25,2.49,1.85,1.65,4.5,2.19,32,1.83,3.8,2.3,3.5,1.85,2.39,1.83,16,1.6,4.6,3.45,3.4,3.39,1.76,Parma,Chievo,Parma_Chievo_2013
8,4.1,3.41,1.67,3.25,2.0,4.0,3.75,2.07,3.3,3.78,3.8,3.8,3.25,3.41,1.9,2.05,3.3,4.04,2.0,30,2.0,-0.25,2.25,2.05,1.78,4.0,2.19,32,1.95,3.6,2.3,3.4,2.07,2.16,1.95,16,1.73,4.0,3.3,3.4,3.3,1.76,Torino,Sassuolo,Torino_Sassuolo_2013
9,8.09,4.5,2.01,4.2,1.45,6.0,6.5,1.53,4.2,6.69,6.5,7.5,4.0,4.5,1.53,1.5,4.2,8.09,1.48,30,1.44,-1.0,2.06,1.5,1.89,7.25,1.79,32,1.45,7.0,1.87,4.5,1.48,2.02,1.44,19,1.84,7.0,4.0,4.0,4.16,2.09,Fiorentina,Catania,Fiorentina_Catania_2013
10,1.85,3.6,1.71,3.4,4.5,1.76,1.73,5.5,3.5,1.76,1.83,1.75,3.4,3.54,4.8,5.0,3.5,1.84,4.78,33,4.75,0.5,1.84,4.5,2.11,1.75,2.12,35,4.75,1.75,2.25,3.6,5.15,1.81,4.5,18,2.07,1.83,3.5,3.5,3.44,1.81,Chievo,Napoli,Chievo_Napoli_2013
11,10.5,5.0,2.01,4.75,1.4,7.5,9.5,1.4,5.0,9.08,8.5,9.0,4.33,4.92,1.4,1.36,4.5,10.31,1.36,33,1.36,-1.5,1.84,1.36,2.2,8.25,1.79,35,1.35,7.3,1.87,4.8,1.37,1.79,1.36,21,2.09,10.5,4.4,4.5,4.59,2.1,Juventus,Lazio,Juventus_Lazio_2013
12,3.92,3.3,1.57,3.2,2.0,3.5,3.5,2.2,3.25,3.58,3.6,3.6,3.2,3.27,2.15,2.15,3.2,3.92,2.13,29,2.1,-0.5,1.8,2.15,2.19,3.6,2.35,34,2.1,3.6,2.44,3.25,2.18,1.76,2.1,18,2.13,3.8,3.3,3.2,3.2,1.65,Atalanta,Torino,Atalanta_Torino_2013
13,3.61,3.25,1.63,3.2,2.2,3.2,3.25,2.38,3.2,3.28,3.3,3.3,3.2,3.24,2.25,2.3,3.25,3.61,2.25,29,2.2,-0.5,1.71,2.25,2.3,3.25,2.24,34,2.25,3.2,2.38,3.25,2.3,1.68,2.2,18,2.25,3.5,3.2,3.2,3.18,1.7,Bologna,Sampdoria,Bologna_Sampdoria_2013
14,2.7,3.34,1.84,3.25,3.0,2.4,2.5,3.05,3.25,2.52,2.45,2.6,3.13,3.27,2.87,2.8,3.2,2.69,2.81,32,2.75,0.0,1.92,2.9,2.06,2.4,1.97,34,2.95,2.3,2.1,3.3,2.92,1.85,2.75,18,2.0,2.7,3.2,3.3,3.22,1.94,Catania,Inter,Catania_Inter_2013
15,2.1,3.6,1.81,3.5,3.3,2.0,1.95,4.22,3.4,1.96,1.91,1.95,3.3,3.59,3.5,4.0,3.3,1.97,3.88,32,4.0,0.5,2.03,4.0,1.92,1.91,1.98,34,4.0,2.1,2.05,3.5,4.27,1.99,3.8,18,1.88,1.95,3.3,3.4,3.37,1.9,Genoa,Fiorentina,Genoa_Fiorentina_2013
16,9.71,4.88,2.03,4.5,1.35,8.0,8.0,1.44,4.6,8.28,8.0,7.5,4.33,4.87,1.4,1.4,4.5,9.65,1.39,31,1.4,-1.5,1.79,1.4,2.22,8.75,1.78,34,1.36,7.6,1.85,4.8,1.41,1.74,1.36,20,2.13,9.5,4.8,4.5,4.48,2.14,Milan,Cagliari,Milan_Cagliari_2013
17,9.4,4.9,2.18,4.4,1.45,7.0,7.5,1.47,4.33,7.58,7.0,8.0,4.33,4.66,1.44,1.45,4.5,8.09,1.43,28,1.4,-1.0,2.32,1.44,1.76,7.75,1.67,34,1.42,7.0,1.75,4.6,1.47,2.17,1.4,20,1.72,7.5,4.0,4.33,4.34,2.29,Roma,Verona,Roma_Verona_2013
18,4.35,3.4,1.63,3.25,2.0,3.75,3.8,2.1,3.4,3.93,4.0,4.2,3.2,3.33,2.0,2.05,3.2,4.34,2.0,29,1.95,-0.5,1.91,2.0,2.05,3.9,2.25,34,1.95,3.6,2.39,3.3,2.04,1.87,1.95,18,2.0,4.2,3.3,3.3,3.25,1.73,Sassuolo,Livorno,Sassuolo_Livorno_2013
19,4.05,3.45,1.72,3.4,1.9,3.75,3.5,2.15,3.5,3.67,3.8,3.6,3.25,3.41,2.0,2.15,3.25,3.86,2.07,32,2.1,-0.5,1.83,2.0,2.14,3.8,2.11,34,1.95,3.8,2.2,3.4,2.14,1.79,2.05,18,2.1,3.75,3.45,3.4,3.28,1.8,Udinese,Parma,Udinese_Parma_2013
