,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,8.27,4.52,1.94,4.0,1.5,7.5,1.51,3.8,7.39,7.0,7.0,4.52,1.44,1.45,4.2,8.27,1.46,38,1.5,-1.25,1.86,1.5,2.12,7.0,1.84,40,1.5,6.1,1.94,4.5,1.48,1.8,25,2.04,8.0,4.0,4.33,4.27,2.01,Lazio,Bologna,Lazio_Bologna_2015
1,1.75,4.0,1.9,3.5,4.5,1.67,6.0,3.6,1.69,1.73,1.67,3.87,5.25,5.5,3.75,1.74,5.18,39,5.5,0.75,1.94,5.0,2.01,1.7,1.89,41,5.0,1.75,1.98,3.7,5.35,1.88,26,1.95,1.75,3.5,3.75,3.7,1.98,Verona,Roma,Verona_Roma_2015
2,4.0,3.4,1.57,3.1,2.3,3.75,2.3,3.1,3.57,3.5,3.6,3.28,2.1,2.2,3.25,3.83,2.15,36,2.15,-0.25,2.07,2.2,1.91,3.4,2.35,41,2.2,3.0,2.5,3.13,2.2,1.99,26,1.85,4.0,3.2,3.2,3.19,1.63,Empoli,Chievo,Empoli_Chievo_2015
3,3.8,3.5,1.88,3.1,2.3,3.4,2.3,3.1,3.46,3.5,3.5,3.44,2.15,2.15,3.4,3.66,2.14,39,2.15,-0.25,2.08,2.2,1.88,3.4,1.91,41,2.2,2.9,1.99,3.4,2.19,2.01,26,1.83,3.75,3.3,3.4,3.33,1.97,Fiorentina,Milan,Fiorentina_Milan_2015
4,2.3,3.4,1.57,3.1,2.9,2.2,3.79,3.1,2.17,2.25,2.2,3.32,3.4,3.75,3.25,2.2,3.51,36,3.5,0.25,1.9,3.4,2.07,2.2,2.34,41,3.4,2.3,2.48,3.13,3.79,1.86,26,1.98,2.25,3.3,3.2,3.2,1.62,Frosinone,Torino,Frosinone_Torino_2015
5,8.01,4.5,1.97,4.0,1.5,7.5,1.53,4.0,7.27,7.0,7.5,4.39,1.44,1.45,4.33,8.01,1.47,39,1.45,-1.25,1.83,1.5,2.15,6.5,1.81,41,1.5,6.1,1.9,4.4,1.5,1.78,26,2.08,8.0,4.0,4.33,4.22,2.04,Inter,Atalanta,Inter_Atalanta_2015
6,13.0,6.0,2.07,5.0,1.3,11.0,1.31,5.0,11.62,11.0,11.0,5.72,1.29,1.25,5.5,12.11,1.27,38,1.29,-1.5,2.05,1.3,1.92,10.0,1.73,41,1.3,9.0,1.81,5.75,1.31,1.99,27,1.85,13.0,5.0,5.25,5.49,2.16,Juventus,Udinese,Juventus_Udinese_2015
7,3.7,3.45,1.73,3.1,2.3,3.2,2.3,3.1,3.37,3.4,3.3,3.41,2.25,2.25,3.4,3.61,2.19,37,2.2,-0.25,2.04,2.25,1.93,3.3,2.08,41,2.25,2.9,2.2,3.25,2.22,1.96,26,1.88,3.7,3.3,3.3,3.28,1.79,Palermo,Genoa,Palermo_Genoa_2015
8,5.5,3.65,1.7,3.3,1.8,5.0,1.83,3.3,4.82,5.0,4.75,3.6,1.73,1.8,3.5,5.1,1.78,38,1.8,-0.75,1.88,1.8,2.09,5.0,2.12,41,1.75,4.2,2.19,3.5,1.83,1.83,26,2.01,5.5,3.5,3.6,3.47,1.77,Sampdoria,Carpi,Sampdoria_Carpi_2015
9,1.85,3.8,1.84,3.4,4.0,1.8,5.2,3.4,1.79,1.83,1.8,3.69,4.5,5.2,3.75,1.81,4.6,39,4.33,0.75,2.08,4.5,1.89,1.8,1.96,41,4.5,1.85,2.05,3.6,5.11,2.01,26,1.83,1.8,3.45,3.5,3.56,1.92,Sassuolo,Napoli,Sassuolo_Napoli_2015
10,3.59,3.38,1.63,3.0,2.3,3.25,2.38,3.0,3.35,3.5,3.3,3.38,2.25,2.3,3.3,3.59,2.21,34,2.25,-0.25,2.01,2.25,1.94,3.3,2.22,36,2.3,3.0,2.33,3.2,2.25,1.95,23,1.89,3.6,3.2,3.25,3.21,1.7,Bologna,Sassuolo,Bologna_Sassuolo_2015
11,8.0,4.43,1.92,4.0,1.45,7.5,1.57,4.1,6.81,6.5,7.0,4.43,1.44,1.5,4.2,7.31,1.49,35,1.5,-1.0,2.03,1.53,1.93,6.25,1.85,36,1.5,7.0,1.96,4.3,1.52,1.98,24,1.86,8.0,4.0,4.33,4.12,2.0,Milan,Empoli,Milan_Empoli_2015
12,5.5,3.7,1.67,3.3,1.8,5.0,1.8,3.4,4.99,5.0,5.25,3.7,1.75,1.75,3.5,5.43,1.74,34,1.75,-0.75,1.94,1.8,2.02,5.0,2.16,36,1.75,4.2,2.26,3.6,1.77,1.88,22,1.96,5.5,3.5,3.5,3.5,1.72,Atalanta,Frosinone,Atalanta_Frosinone_2015
13,1.85,3.75,1.76,3.6,4.5,1.7,5.25,3.4,1.8,1.75,1.85,3.62,5.25,5.0,3.5,1.85,4.6,34,4.5,0.5,1.86,4.75,2.1,1.85,2.02,36,4.2,1.75,2.12,3.5,4.87,1.81,24,2.03,1.85,3.5,3.6,3.47,1.85,Carpi,Inter,Carpi_Inter_2015
14,2.25,3.35,1.62,3.0,3.1,2.1,3.8,3.2,2.17,2.25,2.2,3.31,3.6,3.8,3.3,2.25,3.44,32,3.4,0.5,2.25,3.6,1.75,2.2,2.23,35,3.25,2.25,2.35,3.13,3.65,2.18,22,1.7,2.25,3.2,3.25,3.19,1.7,Chievo,Lazio,Chievo_Lazio_2015
15,4.2,3.55,1.83,3.1,2.0,3.8,2.1,3.3,3.7,3.8,3.8,3.55,1.95,2.05,3.5,3.99,2.02,35,2.0,-0.5,1.89,2.1,2.08,3.6,1.95,36,2.05,3.6,2.02,3.4,2.05,1.83,24,2.01,4.2,3.3,3.5,3.39,1.91,Genoa,Verona,Genoa_Verona_2015
16,9.0,4.58,2.11,4.0,1.55,7.0,1.55,4.1,7.15,7.0,7.5,4.58,1.44,1.44,4.5,7.84,1.45,34,1.44,-1.25,1.89,1.5,2.07,6.25,1.7,36,1.5,5.6,1.77,4.5,1.48,1.84,22,2.0,9.0,3.9,4.33,4.34,2.23,Napoli,Sampdoria,Napoli_Sampdoria_2015
17,3.0,3.27,1.6,2.9,2.6,2.8,2.75,3.3,2.8,2.9,2.8,3.27,2.6,2.7,3.2,2.92,2.61,32,2.6,0.0,2.05,2.7,1.91,2.85,2.29,36,2.65,2.6,2.4,3.1,2.69,1.98,23,1.85,3.0,3.2,3.2,3.11,1.65,Roma,Juventus,Roma_Juventus_2015
18,3.02,3.35,1.66,3.0,2.6,2.75,2.7,3.0,2.84,2.88,3.0,3.35,2.62,2.63,3.2,3.02,2.53,34,2.5,0.0,2.14,2.62,1.86,2.85,2.17,36,2.6,2.6,2.31,3.2,2.56,2.02,23,1.81,3.0,3.2,3.2,3.16,1.71,Torino,Fiorentina,Torino_Fiorentina_2015
19,3.9,3.4,1.64,3.1,2.1,3.75,2.25,3.2,3.53,3.5,3.6,3.4,2.05,2.2,3.3,3.77,2.12,32,2.15,-0.25,2.08,2.2,1.88,3.4,2.19,36,2.15,3.3,2.31,3.2,2.17,2.01,23,1.83,3.9,3.3,3.3,3.23,1.73,Udinese,Palermo,Udinese_Palermo_2015
20,6.25,4.0,1.93,3.8,1.65,5.5,1.7,3.7,5.47,5.0,5.5,4.0,1.62,1.65,3.75,5.82,1.65,33,1.67,-1.0,1.76,1.67,2.23,5.0,1.87,36,1.67,5.1,1.92,3.9,1.67,1.71,24,2.17,6.25,3.6,3.6,3.78,2.04,Fiorentina,Genoa,Fiorentina_Genoa_2015
21,1.44,4.85,1.98,4.5,7.0,1.4,9.76,4.5,1.38,1.4,1.36,4.7,8.5,10.0,4.75,1.42,8.97,32,9.5,1.5,2.23,8.0,1.76,1.42,1.81,35,8.0,1.45,1.9,4.75,9.76,2.17,23,1.71,1.4,4.0,4.2,4.53,2.06,Frosinone,Roma,Frosinone_Roma_2015
22,11.0,5.0,1.85,4.4,1.4,10.0,1.4,4.5,9.56,8.5,9.0,4.9,1.36,1.36,4.5,10.62,1.36,33,1.4,-1.25,2.05,1.4,1.93,9.0,1.95,36,1.4,7.3,2.01,4.8,1.38,1.99,24,1.86,11.5,4.4,4.5,4.71,1.91,Juventus,Chievo,Juventus_Chievo_2015
23,1.85,3.75,1.97,3.75,4.2,1.8,5.0,3.7,1.8,1.8,1.75,3.75,4.33,5.0,3.6,1.85,4.54,33,5.0,0.5,1.86,4.2,2.12,1.8,1.83,36,4.4,1.8,1.91,3.7,4.67,1.79,24,2.05,1.8,3.5,3.5,3.58,2.02,Empoli,Napoli,Empoli_Napoli_2015
24,3.71,3.41,1.75,3.3,2.5,3.5,2.3,3.3,3.48,3.3,3.4,3.41,2.15,2.25,3.3,3.71,2.18,32,2.2,-0.25,2.06,2.2,1.9,3.4,2.05,36,2.25,2.65,2.15,3.3,2.19,1.98,24,1.86,3.6,3.3,3.1,3.25,1.83,Inter,Milan,Inter_Milan_2015
25,6.94,4.0,1.8,4.0,1.65,6.5,1.63,3.75,6.17,5.5,6.0,3.99,1.57,1.62,3.75,6.94,1.59,33,1.62,-1.0,1.86,1.6,2.13,5.5,1.99,36,1.62,5.1,2.07,4.0,1.6,1.81,25,2.04,6.25,3.6,3.6,3.83,1.89,Lazio,Udinese,Lazio_Udinese_2015
26,7.5,4.2,1.82,3.8,1.5,6.5,1.61,3.9,6.56,6.0,7.0,4.02,1.55,1.55,4.0,7.1,1.55,33,1.53,-1.0,1.92,1.6,2.03,6.0,1.98,36,1.55,6.1,2.1,4.1,1.58,1.87,26,1.97,7.5,4.0,3.6,3.9,1.89,Palermo,Carpi,Palermo_Carpi_2015
27,3.78,3.35,1.66,3.1,2.2,3.5,2.25,3.1,3.49,3.4,3.4,3.31,2.15,2.25,3.3,3.7,2.18,31,2.2,-0.25,2.03,2.25,1.92,3.4,2.2,36,2.2,3.2,2.3,3.2,2.23,1.97,24,1.88,3.75,3.2,3.0,3.21,1.7,Sassuolo,Atalanta,Sassuolo_Atalanta_2015
28,2.48,3.4,1.82,3.4,2.75,2.38,3.3,3.2,2.38,2.38,2.3,3.39,3.0,3.3,3.3,2.48,3.05,33,3.2,0.25,2.11,2.9,1.87,2.35,1.97,36,3.0,2.4,2.05,3.3,3.1,2.02,24,1.83,2.4,3.3,3.1,3.25,1.89,Verona,Torino,Verona_Torino_2015
29,5.2,3.64,1.74,3.5,1.8,4.5,1.86,3.25,4.58,4.4,4.5,3.64,1.8,1.83,3.6,4.84,1.82,32,1.83,-0.5,2.09,1.83,1.85,4.6,2.07,36,1.83,4.2,2.18,3.5,1.85,2.03,25,1.82,5.25,3.5,3.3,3.49,1.8,Sampdoria,Bologna,Sampdoria_Bologna_2015
30,6.0,3.79,1.84,3.5,1.75,5.25,1.75,3.6,5.18,5.0,5.0,3.79,1.67,1.7,3.75,5.52,1.71,36,1.73,-0.75,1.99,1.75,1.98,5.5,1.95,40,1.73,4.5,2.03,3.7,1.74,1.94,24,1.92,6.0,3.5,3.6,3.62,1.91,Milan,Palermo,Milan_Palermo_2015
31,3.75,3.4,1.67,3.2,2.1,3.4,2.27,3.0,3.4,3.4,3.3,3.37,2.2,2.2,3.3,3.62,2.19,34,2.25,-0.25,2.03,2.2,1.93,3.5,2.19,40,2.2,3.3,2.28,3.25,2.24,1.98,24,1.88,3.75,3.3,3.2,3.26,1.72,Udinese,Empoli,Udinese_Empoli_2015
32,4.23,3.6,1.88,3.25,1.9,3.8,2.05,3.4,3.82,3.8,3.75,3.51,1.95,2.05,3.5,4.14,1.99,36,2.0,-0.5,1.92,2.05,2.04,3.5,1.92,40,2.05,3.8,2.0,3.4,2.02,1.86,25,2.0,4.2,3.45,3.3,3.4,1.94,Atalanta,Verona,Atalanta_Verona_2015
