,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,5.25,9.5,1.95,1.74,1.31,5.0,2.17,1.33,5.28,1.29,1.79,12.0,1.5,5.25,1.33,2.13,2.1,9.0,2.0,5.13,1.96,11.0,1.3,1.97,9.5,1.72,1.33,5.5,5.25,10.96,1.78,1.35,1.95,10.41,1.94,1.99,2.09,12.0,1.3,5.2,1.92,Parma,Juventus,Parma_Juventus_2019
1,3.6,4.5,1.92,1.78,1.76,3.6,2.11,1.72,3.71,1.75,1.85,5.0,0.75,3.75,1.77,2.05,2.0,4.75,2.03,3.67,1.99,4.8,1.75,2.0,4.6,1.8,1.77,3.85,3.7,5.12,1.85,1.81,1.92,4.73,1.9,2.03,2.04,5.12,1.75,3.8,1.88,Fiorentina,Napoli,Fiorentina_Napoli_2019
2,3.25,3.75,2.17,2.1,2.06,3.2,1.78,2.05,3.4,2.0,2.18,4.1,0.25,3.3,2.08,1.75,1.72,3.75,1.82,3.31,1.77,3.9,2.05,1.78,3.7,2.1,2.05,3.43,3.25,3.95,2.18,2.14,2.16,3.8,2.07,1.72,1.73,4.1,2.05,3.35,2.11,Udinese,Milan,Udinese_Milan_2019
3,3.6,1.8,2.14,1.99,4.45,3.5,1.89,4.33,3.77,4.5,2.06,1.8,-0.75,3.6,4.57,1.89,1.8,1.83,1.86,3.6,1.8,1.78,4.4,1.81,1.8,2.0,4.55,3.78,3.6,1.83,2.0,4.75,2.12,1.82,2.02,1.77,1.82,1.88,4.75,3.6,2.09,Cagliari,Brescia,Cagliari_Brescia_2019
4,4.0,1.5,1.87,1.75,7.13,4.25,2.16,8.0,4.11,7.5,1.81,1.5,-1.0,4.2,8.22,2.14,2.1,1.45,2.13,4.21,2.06,1.47,7.0,2.06,1.44,1.72,6.6,4.4,4.3,1.5,1.77,8.22,1.86,1.49,1.86,2.07,2.08,1.53,7.5,4.3,1.83,Roma,Genoa,Roma_Genoa_2019
5,3.25,3.45,2.11,1.89,2.13,3.3,1.98,2.05,3.37,2.1,1.94,3.7,0.25,3.4,2.15,1.97,1.9,3.5,1.87,3.35,1.83,3.6,2.1,1.84,3.4,1.9,2.1,3.47,3.3,3.75,1.93,2.2,2.08,3.53,2.08,1.85,1.91,3.75,2.15,3.45,2.05,Sampdoria,Lazio,Sampdoria_Lazio_2019
6,3.5,4.75,1.94,2.0,1.76,3.5,1.87,1.72,3.74,1.73,2.05,5.0,0.75,3.75,1.76,1.85,1.8,4.75,2.1,3.61,2.0,5.0,1.72,2.01,5.0,2.0,1.77,3.8,3.5,5.13,2.04,1.81,1.91,4.89,1.91,2.02,1.82,5.25,1.8,3.65,1.88,Spal,Atalanta,Spal_Atalanta_2019
7,3.4,1.87,1.94,1.99,4.32,3.5,1.88,4.33,3.52,4.4,2.07,1.9,-0.5,3.5,4.42,1.86,1.8,1.85,2.03,3.46,1.97,1.85,4.25,1.99,1.83,2.0,4.3,3.6,3.4,1.93,2.04,4.65,1.93,1.89,1.93,2.0,1.82,1.95,4.6,3.55,1.91,Torino,Sassuolo,Torino_Sassuolo_2019
8,3.2,3.35,1.98,2.23,2.27,3.2,1.71,2.25,3.3,2.2,2.33,3.5,0.25,3.2,2.26,1.69,1.66,3.4,1.98,3.18,1.94,3.4,2.25,1.94,3.2,2.2,2.3,3.3,3.1,3.51,2.28,2.34,1.98,3.39,1.96,1.97,1.65,3.65,2.3,3.2,1.93,Verona,Bologna,Verona_Bologna_2019
9,6.0,1.25,2.04,1.56,13.23,6.0,2.54,13.0,6.39,15.0,1.6,1.22,-1.75,6.25,15.59,2.53,2.37,1.22,1.97,6.1,1.94,1.22,12.5,1.97,1.22,1.57,11.5,6.6,6.25,1.23,1.57,16.0,1.95,1.23,1.97,1.96,2.41,1.25,15.0,6.0,1.94,Inter,Lecce,Inter_Lecce_2019
