,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,2,I1,Inter,D,1,2004-09-11,H,Chievo,2,2,Chievo_Inter_2004
1,1,I1,Livorno,D,1,2004-09-11,D,Milan,2,2,Milan_Livorno_2004
2,1,I1,Lecce,D,1,2004-09-12,D,Atalanta,2,2,Atalanta_Lecce_2004
3,0,I1,Juventus,A,2,2004-09-12,A,Brescia,0,3,Brescia_Juventus_2004
4,1,I1,Bologna,H,0,2004-09-12,H,Cagliari,1,0,Cagliari_Bologna_2004
5,1,I1,Siena,H,0,2004-09-12,H,Palermo,1,0,Palermo_Siena_2004
6,0,I1,Messina,D,0,2004-09-12,D,Parma,0,0,Parma_Messina_2004
7,0,I1,Udinese,D,0,2004-09-12,D,Reggina,0,0,Reggina_Udinese_2004
8,0,I1,Fiorentina,H,0,2004-09-12,D,Roma,1,0,Roma_Fiorentina_2004
9,0,I1,Lazio,A,1,2004-09-12,A,Sampdoria,0,1,Sampdoria_Lazio_2004
10,0,I1,Palermo,D,0,2004-09-18,D,Inter,1,1,Inter_Palermo_2004
11,1,I1,Brescia,H,1,2004-09-18,D,Lecce,4,1,Lecce_Brescia_2004
12,0,I1,Milan,A,0,2004-09-19,D,Bologna,0,2,Bologna_Milan_2004
13,1,I1,Cagliari,H,0,2004-09-19,H,Fiorentina,2,1,Fiorentina_Cagliari_2004
14,1,I1,Atalanta,H,0,2004-09-19,H,Juventus,2,0,Juventus_Atalanta_2004
15,1,I1,Reggina,D,1,2004-09-19,D,Lazio,1,1,Lazio_Reggina_2004
16,1,I1,Chievo,A,0,2004-09-19,H,Livorno,1,2,Livorno_Chievo_2004
17,1,I1,Roma,H,1,2004-09-19,D,Messina,4,3,Messina_Roma_2004
18,1,I1,Sampdoria,H,1,2004-09-19,D,Siena,2,1,Siena_Sampdoria_2004
19,1,I1,Parma,H,0,2004-09-19,H,Udinese,4,0,Udinese_Parma_2004
20,1,I1,Inter,A,0,2004-09-22,H,Atalanta,2,3,Atalanta_Inter_2004
21,0,I1,Lazio,A,2,2004-09-22,A,Brescia,0,2,Brescia_Lazio_2004
22,1,I1,Siena,H,0,2004-09-22,H,Cagliari,2,0,Cagliari_Siena_2004
23,0,I1,Udinese,D,0,2004-09-22,D,Chievo,0,0,Chievo_Udinese_2004
24,0,I1,Messina,A,0,2004-09-22,D,Milan,1,2,Milan_Messina_2004
25,0,I1,Fiorentina,D,0,2004-09-22,D,Palermo,0,0,Palermo_Fiorentina_2004
26,0,I1,Bologna,A,2,2004-09-22,A,Parma,1,2,Parma_Bologna_2004
27,1,I1,Livorno,H,1,2004-09-22,D,Reggina,2,1,Reggina_Livorno_2004
28,0,I1,Lecce,D,1,2004-09-22,A,Roma,2,2,Roma_Lecce_2004
29,0,I1,Juventus,A,1,2004-09-22,A,Sampdoria,0,3,Sampdoria_Juventus_2004
30,3,I1,Roma,H,0,2004-09-25,H,Bologna,3,1,Bologna_Roma_2004
31,0,I1,Palermo,D,1,2004-09-25,A,Juventus,1,1,Juventus_Palermo_2004
32,0,I1,Sampdoria,A,1,2004-09-26,A,Fiorentina,0,2,Fiorentina_Sampdoria_2004
33,0,I1,Parma,D,1,2004-09-26,A,Inter,2,2,Inter_Parma_2004
34,1,I1,Milan,A,0,2004-09-26,H,Lazio,1,2,Lazio_Milan_2004
35,0,I1,Cagliari,H,0,2004-09-26,D,Lecce,3,1,Lecce_Cagliari_2004
36,0,I1,Atalanta,D,0,2004-09-26,D,Livorno,1,1,Livorno_Atalanta_2004
37,0,I1,Chievo,D,0,2004-09-26,D,Messina,0,0,Messina_Chievo_2004
38,0,I1,Reggina,D,0,2004-09-26,D,Siena,0,0,Siena_Reggina_2004
39,0,I1,Brescia,A,1,2004-09-26,A,Udinese,1,2,Udinese_Brescia_2004
40,1,I1,Brescia,H,1,2004-10-02,D,Cagliari,2,1,Cagliari_Brescia_2004
41,0,I1,Lecce,H,0,2004-10-02,D,Chievo,2,1,Chievo_Lecce_2004
42,1,I1,Lazio,D,0,2004-10-03,H,Atalanta,1,1,Atalanta_Lazio_2004
43,2,I1,Siena,H,1,2004-10-03,H,Messina,4,1,Messina_Siena_2004
44,1,I1,Reggina,H,0,2004-10-03,H,Milan,3,1,Milan_Reggina_2004
45,1,I1,Bologna,H,0,2004-10-03,H,Palermo,1,0,Palermo_Bologna_2004
46,0,I1,Fiorentina,D,0,2004-10-03,D,Parma,0,0,Parma_Fiorentina_2004
47,1,I1,Inter,D,1,2004-10-03,D,Roma,3,3,Roma_Inter_2004
48,0,I1,Livorno,H,0,2004-10-03,D,Sampdoria,2,0,Sampdoria_Livorno_2004
49,0,I1,Juventus,A,0,2004-10-03,D,Udinese,0,1,Udinese_Juventus_2004
50,1,I1,Messina,H,0,2004-10-16,H,Juventus,2,1,Juventus_Messina_2004
51,0,I1,Roma,A,1,2004-10-16,A,Livorno,0,2,Livorno_Roma_2004
52,1,I1,Atalanta,H,1,2004-10-17,D,Bologna,2,1,Bologna_Atalanta_2004
53,2,I1,Parma,H,1,2004-10-17,H,Brescia,3,1,Brescia_Parma_2004
54,0,I1,Milan,A,1,2004-10-17,A,Cagliari,0,1,Cagliari_Milan_2004
55,0,I1,Siena,D,0,2004-10-17,D,Fiorentina,0,0,Fiorentina_Siena_2004
56,2,I1,Udinese,H,0,2004-10-17,H,Inter,3,1,Inter_Udinese_2004
57,0,I1,Chievo,A,0,2004-10-17,D,Lazio,0,1,Lazio_Chievo_2004
58,0,I1,Palermo,H,0,2004-10-17,D,Lecce,2,0,Lecce_Palermo_2004
59,0,I1,Sampdoria,A,1,2004-10-17,A,Reggina,0,1,Reggina_Sampdoria_2004
60,2,I1,Cagliari,D,2,2004-10-23,D,Atalanta,2,2,Atalanta_Cagliari_2004
61,0,I1,Juventus,A,0,2004-10-23,D,Siena,0,3,Siena_Juventus_2004
62,0,I1,Reggina,D,0,2004-10-24,D,Chievo,0,0,Chievo_Reggina_2004
63,0,I1,Bologna,H,0,2004-10-24,D,Livorno,1,0,Livorno_Bologna_2004
64,1,I1,Lecce,A,3,2004-10-24,A,Messina,1,4,Messina_Lecce_2004
65,0,I1,Inter,D,0,2004-10-24,D,Milan,0,0,Milan_Inter_2004
66,2,I1,Lazio,H,1,2004-10-24,H,Parma,3,1,Parma_Lazio_2004
67,0,I1,Palermo,D,1,2004-10-24,A,Roma,1,1,Roma_Palermo_2004
68,0,I1,Brescia,A,0,2004-10-24,D,Sampdoria,0,1,Sampdoria_Brescia_2004
69,1,I1,Fiorentina,D,1,2004-10-24,D,Udinese,2,2,Udinese_Fiorentina_2004
70,0,I1,Udinese,A,0,2004-10-27,D,Bologna,0,1,Bologna_Udinese_2004
71,0,I1,Siena,A,1,2004-10-27,A,Brescia,0,1,Brescia_Siena_2004
72,1,I1,Parma,H,0,2004-10-27,H,Cagliari,2,1,Cagliari_Parma_2004
73,0,I1,Sampdoria,A,2,2004-10-27,A,Chievo,0,2,Chievo_Sampdoria_2004
74,1,I1,Messina,H,0,2004-10-27,H,Lazio,2,0,Lazio_Messina_2004
75,1,I1,Inter,D,2,2004-10-27,A,Lecce,2,2,Lecce_Inter_2004
76,0,I1,Atalanta,H,0,2004-10-27,D,Milan,3,0,Milan_Atalanta_2004
77,1,I1,Livorno,A,1,2004-10-27,D,Palermo,1,2,Palermo_Livorno_2004
78,0,I1,Fiorentina,A,0,2004-10-27,D,Reggina,1,2,Reggina_Fiorentina_2004
79,1,I1,Roma,H,0,2004-10-28,H,Juventus,2,0,Juventus_Roma_2004
80,0,I1,Lazio,D,0,2004-10-30,D,Inter,1,1,Inter_Lazio_2004
81,0,I1,Milan,A,0,2004-10-30,D,Sampdoria,0,1,Sampdoria_Milan_2004
82,1,I1,Lecce,H,0,2004-10-31,H,Fiorentina,4,0,Fiorentina_Lecce_2004
83,1,I1,Chievo,H,0,2004-10-31,H,Juventus,3,0,Juventus_Chievo_2004
84,1,I1,Brescia,H,1,2004-10-31,D,Livorno,2,1,Livorno_Brescia_2004
85,0,I1,Reggina,H,1,2004-10-31,A,Messina,2,1,Messina_Reggina_2004
86,1,I1,Atalanta,D,1,2004-10-31,D,Parma,2,2,Parma_Atalanta_2004
87,2,I1,Cagliari,H,1,2004-10-31,H,Roma,5,1,Roma_Cagliari_2004
88,0,I1,Bologna,D,1,2004-10-31,A,Siena,1,1,Siena_Bologna_2004
89,0,I1,Palermo,H,0,2004-10-31,D,Udinese,1,0,Udinese_Palermo_2004
90,0,I1,Chievo,H,0,2004-11-06,D,Brescia,1,0,Brescia_Chievo_2004
91,2,I1,Juventus,H,1,2004-11-06,H,Reggina,2,1,Reggina_Juventus_2004
92,0,I1,Sampdoria,D,0,2004-11-07,D,Atalanta,0,0,Atalanta_Sampdoria_2004
