,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,3,Inter,26,2,0,3,0,R. Rosetti,0,2,1,24,A,9,2006-09-09,Fiorentina,I1,5,8,6,10,A,2,Fiorentina_Inter_2006
1,2,Livorno,19,2,0,0,1,D. Messina,0,0,2,17,H,6,2006-09-09,Roma,I1,3,7,8,11,H,6,Roma_Livorno_2006
2,1,Ascoli,24,3,0,1,3,M. Bergonzi,0,0,2,10,H,7,2006-09-10,Atalanta,I1,2,6,4,11,H,4,Atalanta_Ascoli_2006
3,0,Catania,16,0,0,1,0,G. Rocchi,1,0,5,17,A,9,2006-09-10,Cagliari,I1,5,7,3,16,D,5,Cagliari_Catania_2006
4,4,Siena,14,1,0,2,1,C. Brighi,1,0,1,26,A,7,2006-09-10,Chievo,I1,6,2,6,3,H,7,Chievo_Siena_2006
5,3,Udinese,16,1,0,0,0,P. Mazzoleni,0,0,1,18,H,12,2006-09-10,Messina,I1,4,5,4,9,D,4,Messina_Udinese_2006
6,3,Lazio,14,2,0,1,1,P. Bertini,0,0,3,14,H,10,2006-09-10,Milan,I1,6,6,4,8,H,3,Milan_Lazio_2006
7,4,Reggina,31,4,1,3,3,N. Ayroldi,0,1,4,23,H,13,2006-09-10,Palermo,I1,8,6,4,13,H,3,Palermo_Reggina_2006
8,3,Empoli,36,1,0,2,1,G. Gava,2,1,1,28,A,13,2006-09-10,Sampdoria,I1,7,4,7,13,D,6,Sampdoria_Empoli_2006
9,2,Parma,18,1,0,1,0,N. Stefanini,0,0,2,21,D,10,2006-09-10,Torino,I1,4,9,6,16,D,1,Torino_Parma_2006
10,3,Sampdoria,18,1,0,1,0,P. Tagliavento,0,0,2,12,D,3,2006-09-16,Inter,I1,1,5,8,11,D,4,Inter_Sampdoria_2006
11,3,Cagliari,20,2,0,1,0,O. Girardi,0,0,3,18,H,9,2006-09-16,Reggina,I1,1,8,9,14,D,2,Reggina_Cagliari_2006
12,3,Messina,12,1,1,1,0,L. Banti,0,0,4,14,D,4,2006-09-17,Ascoli,I1,2,4,8,13,D,2,Ascoli_Messina_2006
13,3,Atalanta,29,0,0,0,0,L. Palanca,0,0,6,24,D,6,2006-09-17,Catania,I1,2,5,8,10,D,1,Catania_Atalanta_2006
14,1,Chievo,24,1,1,1,0,F. Squillace,0,1,1,19,D,4,2006-09-17,Empoli,I1,1,2,6,11,A,6,Empoli_Chievo_2006
15,4,Palermo,23,1,0,2,0,N. Rizzoli,0,2,4,29,A,8,2006-09-17,Lazio,I1,5,12,14,16,A,3,Lazio_Palermo_2006
16,1,Fiorentina,24,1,1,0,0,S. Farina,0,0,2,23,H,16,2006-09-17,Livorno,I1,5,4,3,10,D,5,Livorno_Fiorentina_2006
17,2,Milan,16,0,0,2,0,M. Trefoloni,0,1,3,12,A,11,2006-09-17,Parma,I1,7,6,3,12,A,4,Parma_Milan_2006
18,1,Roma,12,1,0,3,0,A. De Marco,1,0,0,12,A,19,2006-09-17,Siena,I1,12,2,4,5,D,7,Siena_Roma_2006
19,4,Torino,16,2,0,0,1,O. Pantana,0,0,1,26,H,11,2006-09-17,Udinese,I1,4,6,3,14,H,6,Udinese_Torino_2006
20,3,Empoli,15,0,0,0,0,G. Lops,0,0,1,14,D,7,2006-09-20,Atalanta,I1,4,3,6,6,D,7,Atalanta_Empoli_2006
21,1,Livorno,17,2,0,2,1,L. Marelli,0,1,2,29,D,5,2006-09-20,Cagliari,I1,2,9,8,16,D,3,Cagliari_Livorno_2006
