,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Lazio,16,2,0,2,2,0,2,2,15,D,12,2011-09-09,Milan,I1,5,8,3,18,D,1,Milan_Lazio_2011
1,2,Napoli,14,1,0,3,1,1,1,3,12,A,18,2011-09-10,Cesena,I1,6,3,4,11,D,6,Cesena_Napoli_2011
2,2,Siena,14,0,0,0,0,0,0,4,25,D,4,2011-09-11,Catania,I1,2,1,4,9,D,4,Catania_Siena_2011
3,1,Novara,20,2,0,2,2,1,1,1,17,D,14,2011-09-11,Chievo,I1,4,4,0,11,H,6,Chievo_Novara_2011
4,1,Bologna,22,2,0,0,1,0,0,1,12,H,14,2011-09-11,Fiorentina,I1,2,7,12,15,H,1,Fiorentina_Bologna_2011
5,2,Atalanta,16,2,0,2,1,1,2,4,17,D,16,2011-09-11,Genoa,I1,5,4,7,15,A,3,Genoa_Atalanta_2011
6,0,Parma,15,4,0,1,1,1,0,2,12,H,2,2011-09-11,Juventus,I1,1,6,4,12,H,1,Juventus_Parma_2011
7,2,Udinese,19,0,0,2,0,0,2,1,11,A,15,2011-09-11,Lecce,I1,4,2,8,18,A,5,Lecce_Udinese_2011
8,2,Inter,10,4,0,3,0,0,1,3,20,H,18,2011-09-11,Palermo,I1,5,9,4,16,A,7,Palermo_Inter_2011
9,0,Cagliari,13,1,0,2,0,1,0,5,16,A,10,2011-09-11,Roma,I1,3,8,5,16,D,4,Roma_Cagliari_2011
10,2,Novara,23,2,0,1,1,0,0,3,18,H,7,2011-09-17,Cagliari,I1,4,5,4,17,H,5,Cagliari_Novara_2011
11,1,Roma,12,0,0,0,0,0,0,1,15,D,12,2011-09-17,Inter,I1,3,4,5,18,D,6,Inter_Roma_2011
12,4,Palermo,15,1,0,0,1,0,0,3,10,H,11,2011-09-18,Atalanta,I1,0,1,1,8,H,8,Atalanta_Palermo_2011
13,3,Lecce,14,0,0,2,0,0,1,2,14,A,17,2011-09-18,Bologna,I1,7,4,8,12,A,3,Bologna_Lecce_2011
14,4,Cesena,16,1,0,0,1,0,0,2,12,H,4,2011-09-18,Catania,I1,2,3,8,10,H,1,Catania_Cesena_2011
