,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,17:00:00,2,Juventus,12,0,0,1,0,0,1,3,14,A,9,2019-08-24,Parma,I1,4,4,5,5,A,8,Parma_Juventus_2019
1,19:45:00,2,Napoli,21,0,3,4,1,0,2,4,16,A,8,2019-08-24,Fiorentina,I1,6,6,4,10,A,5,Fiorentina_Napoli_2019
2,17:00:00,1,Milan,14,0,1,0,0,0,0,3,11,H,6,2019-08-25,Udinese,I1,0,6,9,11,D,4,Udinese_Milan_2019
3,19:45:00,2,Brescia,10,0,0,1,0,0,0,2,11,A,8,2019-08-25,Cagliari,I1,3,5,8,9,D,8,Cagliari_Brescia_2019
4,19:45:00,3,Genoa,15,0,3,3,2,0,2,1,13,D,6,2019-08-25,Roma,I1,4,9,5,17,D,1,Roma_Genoa_2019
5,19:45:00,2,Lazio,13,0,0,3,0,0,1,2,11,A,16,2019-08-25,Sampdoria,I1,10,8,5,12,A,9,Sampdoria_Lazio_2019
6,19:45:00,2,Atalanta,13,0,2,3,2,0,1,1,16,A,18,2019-08-25,Spal,I1,14,3,2,8,H,10,Spal_Atalanta_2019
7,19:45:00,4,Sassuolo,21,0,2,1,1,0,0,3,15,H,13,2019-08-25,Torino,I1,9,4,6,7,H,6,Torino_Sassuolo_2019
8,19:45:00,1,Bologna,12,0,1,1,1,1,1,3,13,D,14,2019-08-25,Verona,I1,5,2,1,5,D,6,Verona_Bologna_2019
9,19:45:00,1,Lecce,14,1,4,0,2,0,0,2,8,H,10,2019-08-26,Inter,I1,4,7,7,16,H,7,Inter_Lecce_2019
10,19:45:00,3,Spal,13,0,1,0,0,0,0,2,13,H,7,2019-08-30,Bologna,I1,1,9,11,18,D,2,Bologna_Spal_2019
11,17:00:00,3,Brescia,14,0,1,0,1,0,0,4,18,H,4,2019-08-31,Milan,I1,2,6,5,11,H,3,Milan_Brescia_2019
12,19:45:00,3,Napoli,13,0,4,3,2,0,0,3,13,H,12,2019-08-31,Juventus,I1,7,8,2,10,H,5,Juventus_Napoli_2019
13,17:00:00,4,Roma,15,0,1,1,0,0,1,3,13,D,8,2019-09-01,Lazio,I1,5,13,8,21,A,4,Lazio_Roma_2019
14,19:45:00,2,Torino,13,0,2,3,1,0,1,2,15,A,8,2019-09-01,Atalanta,I1,6,12,12,19,D,5,Atalanta_Torino_2019
15,19:45:00,5,Inter,12,0,1,2,0,0,1,3,11,A,9,2019-09-01,Cagliari,I1,8,3,5,7,A,5,Cagliari_Inter_2019
16,19:45:00,2,Fiorentina,17,0,2,1,1,0,0,0,15,H,15,2019-09-01,Genoa,I1,7,10,9,18,H,8,Genoa_Fiorentina_2019
17,19:45:00,2,Verona,14,0,0,1,0,0,0,3,14,A,11,2019-09-01,Lecce,I1,6,3,2,9,D,7,Lecce_Verona_2019
18,19:45:00,1,Sampdoria,9,1,4,1,3,0,0,3,10,H,8,2019-09-01,Sassuolo,I1,5,8,3,11,H,5,Sassuolo_Sampdoria_2019
19,19:45:00,1,Parma,11,0,1,3,1,0,1,3,11,A,6,2019-09-01,Udinese,I1,3,12,8,17,D,1,Udinese_Parma_2019
20,14:00:00,3,Juventus,12,0,0,0,0,0,0,3,18,D,5,2019-09-14,Fiorentina,I1,4,8,10,15,D,0,Fiorentina_Juventus_2019
21,17:00:00,2,Sampdoria,7,0,2,0,1,0,0,2,10,H,7,2019-09-14,Napoli,I1,2,9,8,19,H,7,Napoli_Sampdoria_2019
22,19:45:00,2,Udinese,9,1,1,0,1,0,0,1,10,H,6,2019-09-14,Inter,I1,4,10,8,15,H,3,Inter_Udinese_2019
23,11:30:00,3,Atalanta,12,0,1,2,0,0,0,3,14,A,11,2019-09-15,Genoa,I1,6,3,8,8,D,7,Genoa_Atalanta_2019
24,14:00:00,2,Bologna,14,0,3,4,3,1,1,6,17,A,17,2019-09-15,Brescia,I1,6,7,2,9,H,10,Brescia_Bologna_2019
25,14:00:00,0,Cagliari,12,0,1,3,0,0,2,5,16,A,6,2019-09-15,Parma,I1,4,8,12,14,A,3,Parma_Cagliari_2019
26,14:00:00,5,Lazio,9,0,2,1,0,0,1,3,11,H,11,2019-09-15,Spal,I1,7,4,8,9,A,5,Spal_Lazio_2019
27,17:00:00,1,Sassuolo,13,0,4,2,4,0,0,2,9,H,10,2019-09-15,Roma,I1,5,10,8,14,H,2,Roma_Sassuolo_2019
28,19:45:00,4,Milan,13,1,0,1,0,1,0,3,16,A,11,2019-09-15,Verona,I1,6,2,2,6,D,7,Verona_Milan_2019
29,19:45:00,1,Lecce,11,0,1,2,0,0,1,6,19,A,12,2019-09-16,Torino,I1,5,3,7,12,A,3,Torino_Lecce_2019
30,19:45:00,1,Genoa,12,0,3,1,0,0,0,1,8,H,7,2019-09-20,Cagliari,I1,2,4,4,8,D,3,Cagliari_Genoa_2019
31,14:00:00,4,Brescia,22,0,0,1,0,0,0,4,16,A,5,2019-09-21,Udinese,I1,3,3,3,6,D,9,Udinese_Brescia_2019
32,17:00:00,0,Verona,12,1,2,1,1,0,1,4,20,H,8,2019-09-21,Juventus,I1,8,3,2,12,D,5,Juventus_Verona_2019
33,19:45:00,2,Inter,15,0,0,2,0,0,0,1,22,A,11,2019-09-21,Milan,I1,9,3,2,7,D,6,Milan_Inter_2019
34,11:30:00,3,Spal,19,0,3,0,2,0,0,2,14,H,8,2019-09-22,Sassuolo,I1,3,8,7,17,H,9,Sassuolo_Spal_2019
35,14:00:00,3,Roma,13,1,1,2,0,0,0,6,16,A,14,2019-09-22,Bologna,I1,7,3,3,5,D,4,Bologna_Roma_2019
36,14:00:00,3,Napoli,12,0,1,4,0,0,2,3,9,A,12,2019-09-22,Lecce,I1,10,3,4,8,A,6,Lecce_Napoli_2019
37,14:00:00,2,Torino,19,0,1,0,0,0,0,1,13,H,6,2019-09-22,Sampdoria,I1,1,6,7,10,D,8,Sampdoria_Torino_2019
38,17:00:00,2,Fiorentina,14,0,2,2,0,0,1,5,11,D,6,2019-09-22,Atalanta,I1,3,5,9,15,A,1,Atalanta_Fiorentina_2019
39,19:45:00,1,Parma,7,0,2,0,1,0,0,3,9,H,3,2019-09-22,Lazio,I1,1,15,10,22,H,5,Lazio_Parma_2019
40,18:00:00,0,Udinese,7,0,0,0,0,0,0,4,18,D,5,2019-09-24,Verona,I1,3,4,6,8,D,6,Verona_Udinese_2019
41,20:00:00,1,Juventus,11,0,1,2,1,0,1,3,14,A,15,2019-09-24,Brescia,I1,7,3,4,13,D,3,Brescia_Juventus_2019
42,18:00:00,2,Atalanta,18,0,0,2,0,0,0,1,11,A,11,2019-09-25,Roma,I1,4,4,5,8,D,1,Roma_Atalanta_2019
43,20:00:00,4,Sampdoria,11,1,2,1,1,0,0,5,16,H,7,2019-09-25,Fiorentina,I1,4,8,3,12,H,1,Fiorentina_Sampdoria_2019
44,20:00:00,5,Bologna,16,0,0,0,0,0,0,4,11,D,14,2019-09-25,Genoa,I1,2,4,5,8,D,4,Genoa_Bologna_2019
45,20:00:00,2,Lazio,10,0,1,0,1,0,0,3,8,H,6,2019-09-25,Inter,I1,4,4,4,9,H,6,Inter_Lazio_2019
46,20:00:00,1,Cagliari,9,0,0,1,0,1,0,1,13,A,5,2019-09-25,Napoli,I1,1,8,13,17,D,1,Napoli_Cagliari_2019
47,20:00:00,3,Sassuolo,19,0,1,0,0,0,0,1,9,H,8,2019-09-25,Parma,I1,5,4,5,8,D,4,Parma_Sassuolo_2019
48,20:00:00,1,Lecce,13,0,1,3,1,0,1,2,11,A,9,2019-09-25,Spal,I1,5,7,10,14,D,1,Spal_Lecce_2019
49,20:00:00,4,Milan,15,1,2,1,0,0,1,5,20,H,16,2019-09-26,Torino,I1,4,5,3,11,A,5,Torino_Milan_2019
50,14:00:00,2,Spal,13,0,2,0,1,0,0,2,9,H,4,2019-09-28,Juventus,I1,1,10,13,17,H,2,Juventus_Spal_2019
51,17:00:00,2,Inter,11,1,1,3,0,0,2,4,13,A,11,2019-09-28,Sampdoria,I1,7,2,7,15,A,5,Sampdoria_Inter_2019
