year,team,type_rating,value_rating
2016,Ancona,static_ft_total_g>35,157
2016,Ancona,static_ft_total_g>35,157
2016,Ascoli,static_ft_total_g>35,157
2016,Ascoli,static_ft_total_g>35,157
2016,Atalanta,static_ft_total_g>35,263
2016,Atalanta,static_ft_total_g>35,263
2016,Bari,static_ft_total_g>35,157
2016,Bari,static_ft_total_g>35,157
2016,Benevento,static_ft_total_g>35,157
2016,Benevento,static_ft_total_g>35,157
2016,Bologna,static_ft_total_g>35,263
2016,Bologna,static_ft_total_g>35,263
2016,Brescia,static_ft_total_g>35,157
2016,Brescia,static_ft_total_g>35,157
2016,Cagliari,static_ft_total_g>35,421
2016,Cagliari,static_ft_total_g>35,421
2016,Carpi,static_ft_total_g>35,157
2016,Carpi,static_ft_total_g>35,157
2016,Catania,static_ft_total_g>35,157
2016,Catania,static_ft_total_g>35,157
2016,Cesena,static_ft_total_g>35,157
2016,Cesena,static_ft_total_g>35,157
2016,Chievo,static_ft_total_g>35,315
2016,Chievo,static_ft_total_g>35,315
2016,Crotone,static_ft_total_g>35,157
2016,Crotone,static_ft_total_g>35,157
2016,Empoli,static_ft_total_g>35,236
2016,Empoli,static_ft_total_g>35,236
2016,Fiorentina,static_ft_total_g>35,394
2016,Fiorentina,static_ft_total_g>35,394
2016,Frosinone,static_ft_total_g>35,157
2016,Frosinone,static_ft_total_g>35,157
2016,Genoa,static_ft_total_g>35,342
2016,Genoa,static_ft_total_g>35,342
2016,Inter,static_ft_total_g>35,289
2016,Inter,static_ft_total_g>35,289
2016,Juventus,static_ft_total_g>35,263
2016,Juventus,static_ft_total_g>35,263
2016,Lazio,static_ft_total_g>35,368
2016,Lazio,static_ft_total_g>35,368
2016,Lecce,static_ft_total_g>35,157
2016,Lecce,static_ft_total_g>35,157
2016,Livorno,static_ft_total_g>35,157
2016,Livorno,static_ft_total_g>35,157
2016,Messina,static_ft_total_g>35,157
2016,Messina,static_ft_total_g>35,157
2016,Milan,static_ft_total_g>35,289
