year,team,type_rating,value_rating
2007,Torino,static_ft_total_g>35,121.8
2008,Torino,static_ft_total_g>35,167.8
2009,Torino,static_ft_total_g>35,223.1
2010,Torino,static_ft_total_g>35,175.6
2011,Torino,static_ft_total_g>35,157.2
2012,Torino,static_ft_total_g>35,125.8
2013,Torino,static_ft_total_g>35,191.5
2014,Torino,static_ft_total_g>35,254.6
2015,Torino,static_ft_total_g>35,252.0
2016,Torino,static_ft_total_g>35,273.1
2017,Torino,static_ft_total_g>35,381.0
2018,Torino,static_ft_total_g>35,360.0
2019,Torino,static_ft_total_g>35,331.2
2020,Torino,static_ft_total_g>35,328.7
2007,Messina,static_ft_total_g>35,290.4
2008,Messina,static_ft_total_g>35,231.3
2009,Messina,static_ft_total_g>35,162.6
2010,Messina,static_ft_total_g>35,112.4
2011,Messina,static_ft_total_g>35,101.9
2012,Messina,static_ft_total_g>35,104.7
2013,Messina,static_ft_total_g>35,139.1
2014,Messina,static_ft_total_g>35,131.3
2015,Messina,static_ft_total_g>35,99.6
2016,Messina,static_ft_total_g>35,107.4
2017,Messina,static_ft_total_g>35,123.0
2018,Messina,static_ft_total_g>35,130.9
2019,Messina,static_ft_total_g>35,146.6
2020,Messina,static_ft_total_g>35,162.6
2007,Milan,static_ft_total_g>35,302.2
2008,Milan,static_ft_total_g>35,291.7
2009,Milan,static_ft_total_g>35,281.3
2010,Milan,static_ft_total_g>35,265.6
2011,Milan,static_ft_total_g>35,231.4
2012,Milan,static_ft_total_g>35,260.1
2013,Milan,static_ft_total_g>35,294.4
2014,Milan,static_ft_total_g>35,299.6
2015,Milan,static_ft_total_g>35,323.4
2016,Milan,static_ft_total_g>35,289.0
2017,Milan,static_ft_total_g>35,283.7
2018,Milan,static_ft_total_g>35,262.5
2019,Milan,static_ft_total_g>35,236.2
2020,Milan,static_ft_total_g>35,275.9
2007,Perugia,static_ft_total_g>35,148.3
2008,Perugia,static_ft_total_g>35,115.4
2009,Perugia,static_ft_total_g>35,99.4
2010,Perugia,static_ft_total_g>35,86.1
2011,Perugia,static_ft_total_g>35,101.9
2012,Perugia,static_ft_total_g>35,104.7
2013,Perugia,static_ft_total_g>35,139.1
2014,Perugia,static_ft_total_g>35,131.3
2015,Perugia,static_ft_total_g>35,99.6
2016,Perugia,static_ft_total_g>35,107.4
2017,Perugia,static_ft_total_g>35,123.0
2018,Perugia,static_ft_total_g>35,130.9
2019,Perugia,static_ft_total_g>35,146.6
2020,Perugia,static_ft_total_g>35,162.6
2007,Palermo,static_ft_total_g>35,258.6
2008,Palermo,static_ft_total_g>35,291.5
2009,Palermo,static_ft_total_g>35,315.4
2010,Palermo,static_ft_total_g>35,317.9
2011,Palermo,static_ft_total_g>35,383.6
2012,Palermo,static_ft_total_g>35,375.9
2013,Palermo,static_ft_total_g>35,312.7
2014,Palermo,static_ft_total_g>35,220.7
2015,Palermo,static_ft_total_g>35,223.3
2016,Palermo,static_ft_total_g>35,286.3
2017,Palermo,static_ft_total_g>35,323.3
2018,Palermo,static_ft_total_g>35,262.7
2019,Palermo,static_ft_total_g>35,209.9
2020,Palermo,static_ft_total_g>35,181.1
2007,Udinese,static_ft_total_g>35,248.9
2008,Udinese,static_ft_total_g>35,270.5
2009,Udinese,static_ft_total_g>35,304.9
2010,Udinese,static_ft_total_g>35,349.5
2011,Udinese,static_ft_total_g>35,320.7
2012,Udinese,static_ft_total_g>35,286.3
2013,Udinese,static_ft_total_g>35,310.0
2014,Udinese,static_ft_total_g>35,278.3
2015,Udinese,static_ft_total_g>35,273.2
2016,Udinese,static_ft_total_g>35,257.3
2017,Udinese,static_ft_total_g>35,262.6
2018,Udinese,static_ft_total_g>35,265.4
2019,Udinese,static_ft_total_g>35,254.7
2020,Udinese,static_ft_total_g>35,246.7
2007,Benevento,static_ft_total_g>35,121.8
2008,Benevento,static_ft_total_g>35,115.4
2009,Benevento,static_ft_total_g>35,99.4
2010,Benevento,static_ft_total_g>35,86.1
2011,Benevento,static_ft_total_g>35,101.9
2012,Benevento,static_ft_total_g>35,104.7
2013,Benevento,static_ft_total_g>35,139.1
2014,Benevento,static_ft_total_g>35,131.3
2015,Benevento,static_ft_total_g>35,99.6
2016,Benevento,static_ft_total_g>35,107.4
2017,Benevento,static_ft_total_g>35,123.0
2018,Benevento,static_ft_total_g>35,194.1
2019,Benevento,static_ft_total_g>35,194.0
2020,Benevento,static_ft_total_g>35,194.2
2007,Sassuolo,static_ft_total_g>35,121.8
2008,Sassuolo,static_ft_total_g>35,115.4
2009,Sassuolo,static_ft_total_g>35,99.4
2010,Sassuolo,static_ft_total_g>35,86.1
2011,Sassuolo,static_ft_total_g>35,101.9
2012,Sassuolo,static_ft_total_g>35,104.7
2013,Sassuolo,static_ft_total_g>35,139.1
2014,Sassuolo,static_ft_total_g>35,236.5
2015,Sassuolo,static_ft_total_g>35,304.9
2016,Sassuolo,static_ft_total_g>35,318.0
2017,Sassuolo,static_ft_total_g>35,344.3
2018,Sassuolo,static_ft_total_g>35,267.8
2019,Sassuolo,static_ft_total_g>35,296.8
2020,Sassuolo,static_ft_total_g>35,347.0
2007,Cagliari,static_ft_total_g>35,261.2
2008,Cagliari,static_ft_total_g>35,236.4
2009,Cagliari,static_ft_total_g>35,236.5
2010,Cagliari,static_ft_total_g>35,276.1
2011,Cagliari,static_ft_total_g>35,278.8
2012,Cagliari,static_ft_total_g>35,215.6
2013,Cagliari,static_ft_total_g>35,223.5
2014,Cagliari,static_ft_total_g>35,178.6
2015,Cagliari,static_ft_total_g>35,249.6
2016,Cagliari,static_ft_total_g>35,215.3
2017,Cagliari,static_ft_total_g>35,294.4
2018,Cagliari,static_ft_total_g>35,273.3
2019,Cagliari,static_ft_total_g>35,223.1
2020,Cagliari,static_ft_total_g>35,257.2
2007,Bari,static_ft_total_g>35,121.8
2008,Bari,static_ft_total_g>35,115.4
2009,Bari,static_ft_total_g>35,99.4
2010,Bari,static_ft_total_g>35,160.1
2011,Bari,static_ft_total_g>35,157.4
2012,Bari,static_ft_total_g>35,141.7
2013,Bari,static_ft_total_g>35,157.6
2014,Bari,static_ft_total_g>35,131.3
2015,Bari,static_ft_total_g>35,99.6
2016,Bari,static_ft_total_g>35,107.4
2017,Bari,static_ft_total_g>35,123.0
2018,Bari,static_ft_total_g>35,130.9
2019,Bari,static_ft_total_g>35,146.6
2020,Bari,static_ft_total_g>35,162.6
2007,Brescia,static_ft_total_g>35,172.2
2008,Brescia,static_ft_total_g>35,125.9
2009,Brescia,static_ft_total_g>35,99.4
2010,Brescia,static_ft_total_g>35,86.1
2011,Brescia,static_ft_total_g>35,112.3
2012,Brescia,static_ft_total_g>35,112.5
2013,Brescia,static_ft_total_g>35,144.3
2014,Brescia,static_ft_total_g>35,133.9
2015,Brescia,static_ft_total_g>35,99.6
2016,Brescia,static_ft_total_g>35,107.4
2017,Brescia,static_ft_total_g>35,123.0
2018,Brescia,static_ft_total_g>35,130.9
2019,Brescia,static_ft_total_g>35,146.6
2020,Brescia,static_ft_total_g>35,194.2
2007,Ancona,static_ft_total_g>35,136.5
2008,Ancona,static_ft_total_g>35,115.4
2009,Ancona,static_ft_total_g>35,99.4
2010,Ancona,static_ft_total_g>35,86.1
2011,Ancona,static_ft_total_g>35,101.9
2012,Ancona,static_ft_total_g>35,104.7
2013,Ancona,static_ft_total_g>35,139.1
2014,Ancona,static_ft_total_g>35,131.3
2015,Ancona,static_ft_total_g>35,99.6
2016,Ancona,static_ft_total_g>35,107.4
2017,Ancona,static_ft_total_g>35,123.0
2018,Ancona,static_ft_total_g>35,130.9
2019,Ancona,static_ft_total_g>35,146.6
2020,Ancona,static_ft_total_g>35,162.6
2007,Lecce,static_ft_total_g>35,231.8
2008,Lecce,static_ft_total_g>35,160.1
2009,Lecce,static_ft_total_g>35,162.6
2010,Lecce,static_ft_total_g>35,133.5
2011,Lecce,static_ft_total_g>35,228.3
2012,Lecce,static_ft_total_g>35,244.0
2013,Lecce,static_ft_total_g>35,225.8
2014,Lecce,static_ft_total_g>35,181.2
2015,Lecce,static_ft_total_g>35,112.7
