Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2010-08-28,Roma_Cesena_2010,Cesena,1,1,1,1
2010-08-28,Udinese_Genoa_2010,Genoa,1,1,1,1
2010-08-28,Udinese_Genoa_2010,Udinese,1,1,1,1
2010-08-28,Roma_Cesena_2010,Roma,1,1,1,1
2010-08-29,Milan_Lecce_2010,Milan,1,1,1,1
2010-08-29,Parma_Brescia_2010,Brescia,1,1,1,1
2010-08-29,Milan_Lecce_2010,Lecce,1,1,1,1
2010-08-29,Bari_Juventus_2010,Bari,1,1,1,1
2010-08-29,Fiorentina_Napoli_2010,Napoli,1,1,1,1
2010-08-29,Parma_Brescia_2010,Parma,1,1,1,1
2010-08-29,Palermo_Cagliari_2010,Cagliari,1,1,1,1
2010-08-29,Bari_Juventus_2010,Juventus,1,1,1,1
2010-08-29,Fiorentina_Napoli_2010,Fiorentina,1,1,1,1
2010-08-29,Chievo_Catania_2010,Chievo,1,1,1,1
2010-08-29,Sampdoria_Lazio_2010,Lazio,1,1,1,1
2010-08-29,Chievo_Catania_2010,Catania,1,1,1,1
2010-08-29,Palermo_Cagliari_2010,Palermo,1,1,1,1
2010-08-29,Sampdoria_Lazio_2010,Sampdoria,1,1,1,1
2010-08-30,Bologna_Inter_2010,Bologna,1,1,1,1
2010-08-30,Bologna_Inter_2010,Inter,1,1,1,1
2010-09-11,Cagliari_Roma_2010,Cagliari,1,1,2,3
2010-09-11,Cagliari_Roma_2010,Roma,1,1,2,3
2010-09-11,Inter_Udinese_2010,Udinese,1,1,2,3
2010-09-11,Cesena_Milan_2010,Milan,1,1,2,3
2010-09-11,Inter_Udinese_2010,Inter,1,1,2,3
2010-09-11,Cesena_Milan_2010,Cesena,1,1,2,3
2010-09-12,Genoa_Chievo_2010,Chievo,1,1,2,3
2010-09-12,Lazio_Bologna_2010,Bologna,1,1,2,3
2010-09-12,Napoli_Bari_2010,Napoli,1,1,2,3
2010-09-12,Catania_Parma_2010,Catania,1,1,2,3
2010-09-12,Lazio_Bologna_2010,Lazio,1,1,2,3
2010-09-12,Genoa_Chievo_2010,Genoa,1,1,2,3
2010-09-12,Brescia_Palermo_2010,Brescia,1,1,2,3
2010-09-12,Lecce_Fiorentina_2010,Lecce,1,1,2,3
2010-09-12,Juventus_Sampdoria_2010,Sampdoria,1,1,2,3
2010-09-12,Catania_Parma_2010,Parma,1,1,2,3
2010-09-12,Juventus_Sampdoria_2010,Juventus,1,1,2,3
2010-09-12,Brescia_Palermo_2010,Palermo,1,1,2,3
2010-09-12,Napoli_Bari_2010,Bari,1,1,2,3
2010-09-12,Lecce_Fiorentina_2010,Fiorentina,1,1,2,3
2010-09-18,Fiorentina_Lazio_2010,Fiorentina,2,1,3,4
2010-09-18,Milan_Catania_2010,Milan,2,1,3,4
2010-09-18,Fiorentina_Lazio_2010,Lazio,1,2,3,4
2010-09-18,Milan_Catania_2010,Catania,1,2,3,4
2010-09-19,Chievo_Brescia_2010,Chievo,2,1,3,4
2010-09-19,Roma_Bologna_2010,Bologna,1,2,3,4
2010-09-19,Parma_Genoa_2010,Parma,2,1,3,4
2010-09-19,Bari_Cagliari_2010,Bari,2,1,3,4
2010-09-19,Sampdoria_Napoli_2010,Sampdoria,2,1,3,4
2010-09-19,Chievo_Brescia_2010,Brescia,1,2,3,4
2010-09-19,Cesena_Lecce_2010,Lecce,1,2,3,4
