year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2019,Fiorentina,home,ft_home,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,394.5
2019,Fiorentina,home,ft_home_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,320.8
2019,Fiorentina,home,ft_home_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,562.9
2019,Fiorentina,home,ft_home_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,783.9
2019,Fiorentina,home,ft_home_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,678.2
2019,Fiorentina,home,ft_home_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,436.1
2019,Fiorentina,home,ft_home_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,215.1
2019,Fiorentina,total,ft_total,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,341.8
2019,Fiorentina,total,ft_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,296.7
2019,Fiorentina,total,ft_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,296.7
2019,Fiorentina,total,ft_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,520.8
2019,Fiorentina,total,ft_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,520.8
2019,Fiorentina,total,ft_total_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,741.7
2019,Fiorentina,total,ft_total_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,741.7
2019,Fiorentina,total,ft_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,702.3
2019,Fiorentina,total,ft_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,702.3
2019,Fiorentina,total,ft_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,478.6
2019,Fiorentina,total,ft_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,478.6
2019,Fiorentina,total,ft_total_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,257.3
2019,Fiorentina,total,ft_total_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,257.3
2019,Fiorentina,home,ht_home,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,320.6
2019,Fiorentina,home,ht_home_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,725.9
2019,Fiorentina,home,ht_home_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,931.1
2019,Fiorentina,home,ht_home_g<35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,962.9
2019,Fiorentina,home,ht_home_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,273.1
2019,Fiorentina,home,ht_home_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,67.9
2019,Fiorentina,home,ht_home_g>35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,67.9
2019,Fiorentina,total,ht_total,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,265.5
2019,Fiorentina,total,ht_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,686.4
2019,Fiorentina,total,ht_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,686.4
2019,Fiorentina,total,ht_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,891.8
2019,Fiorentina,total,ht_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,891.8
2019,Fiorentina,total,ht_total_g<35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,965.6
2019,Fiorentina,total,ht_total_g<35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,965.6
2019,Fiorentina,total,ht_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,312.6
2019,Fiorentina,total,ht_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,312.6
2019,Fiorentina,total,ht_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,107.2
2019,Fiorentina,total,ht_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,107.2
2019,Fiorentina,total,ht_total_g>35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,44.2
2019,Fiorentina,total,ht_total_g>35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,44.2
2019,Juventus,away,ft_away,3,Parma_Juventus_2019,2019-08-24,1,1,1,1,678.4
2019,Juventus,away,ft_away_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,194.2
2019,Juventus,away,ft_away_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,510.2
2019,Juventus,away,ft_away_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,762.4
2019,Juventus,away,ft_away_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,804.8
2019,Juventus,away,ft_away_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,488.8
2019,Juventus,away,ft_away_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,236.6
2019,Juventus,total,ft_total,3,Parma_Juventus_2019,2019-08-24,1,1,1,1,760.0
2019,Juventus,total,ft_total_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,196.8
2019,Juventus,total,ft_total_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,196.8
2019,Juventus,total,ft_total_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,468.3
2019,Juventus,total,ft_total_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,468.3
2019,Juventus,total,ft_total_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,757.4
2019,Juventus,total,ft_total_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,757.4
2019,Juventus,total,ft_total_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,802.2
2019,Juventus,total,ft_total_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,802.2
2019,Juventus,total,ft_total_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,531.2
2019,Juventus,total,ft_total_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,531.2
2019,Juventus,total,ft_total_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,241.6
2019,Juventus,total,ft_total_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,241.6
2019,Juventus,away,ht_away,3,Parma_Juventus_2019,2019-08-24,1,1,1,1,425.8
2019,Juventus,away,ht_away_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,725.5
2019,Juventus,away,ht_away_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,910.3
2019,Juventus,away,ht_away_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,978.8
2019,Juventus,away,ht_away_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,273.5
2019,Juventus,away,ht_away_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,109.9
2019,Juventus,away,ht_away_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,52.0
2019,Juventus,total,ht_total,3,Parma_Juventus_2019,2019-08-24,1,1,1,1,504.8
2019,Juventus,total,ht_total_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,670.2
2019,Juventus,total,ht_total_g<15,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,670.2
2019,Juventus,total,ht_total_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,910.0
2019,Juventus,total,ht_total_g<25,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,910.0
2019,Juventus,total,ht_total_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,976.0
2019,Juventus,total,ht_total_g<35,1,Parma_Juventus_2019,2019-08-24,1,1,1,1,976.0
2019,Juventus,total,ht_total_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,328.8
2019,Juventus,total,ht_total_g>15,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,328.8
2019,Juventus,total,ht_total_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,89.0
2019,Juventus,total,ht_total_g>25,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,89.0
2019,Juventus,total,ht_total_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,33.8
2019,Juventus,total,ht_total_g>35,0,Parma_Juventus_2019,2019-08-24,1,1,1,1,33.8
2019,Napoli,away,ft_away,3,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,636.1
2019,Napoli,away,ft_away_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,273.2
2019,Napoli,away,ft_away_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,383.4
2019,Napoli,away,ft_away_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,647.1
2019,Napoli,away,ft_away_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,725.8
2019,Napoli,away,ft_away_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,615.6
2019,Napoli,away,ft_away_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,351.9
2019,Napoli,total,ft_total,3,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,675.7
2019,Napoli,total,ft_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,225.8
2019,Napoli,total,ft_total_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,225.8
2019,Napoli,total,ft_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,368.1
2019,Napoli,total,ft_total_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,368.1
2019,Napoli,total,ft_total_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,631.2
2019,Napoli,total,ft_total_g<35,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,631.2
2019,Napoli,total,ft_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,773.2
2019,Napoli,total,ft_total_g>15,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,773.2
2019,Napoli,total,ft_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,630.9
2019,Napoli,total,ft_total_g>25,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,630.9
2019,Napoli,total,ft_total_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,367.8
2019,Napoli,total,ft_total_g>35,1,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,367.8
2019,Napoli,away,ht_away,3,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,410.0
2019,Napoli,away,ht_away_g<15,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,614.9
2019,Napoli,away,ht_away_g<25,0,Fiorentina_Napoli_2019,2019-08-24,1,1,1,1,920.8
