,WHD,IWH,SBH,SBA,SOA,WHA,B365A,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.6,4.0,3.6,1.8,,1.66,1.833,1.7,3.5,3.4,4.0,,,1.7,,4.2,3.5,1.55,,2.25,3.3,3.4,,Roda JC,PSV Eindhoven,Roda JC_PSV Eindhoven_2003
1,3.3,1.55,1.72,4.2,,4.1,3.6,4.0,3.4,1.8,1.7,,,4.6,,1.75,3.4,1.65,,2.05,3.6,3.4,,Twente,Roosendaal,Twente_Roosendaal_2003
2,3.5,1.65,1.61,5.0,,4.1,5.0,5.25,3.5,1.571,1.65,,,4.2,,1.55,3.4,1.6,,2.15,3.4,3.6,,Waalwijk,Den Haag,Waalwijk_Den Haag_2003
3,3.3,1.75,1.9,3.5,,3.4,3.25,3.8,3.4,1.909,1.85,,,3.8,,1.8,3.25,1.6,,2.15,3.3,3.35,,Willem II,AZ Alkmaar,Willem II_AZ Alkmaar_2003
4,4.5,1.25,1.33,8.0,,8.0,8.0,7.5,4.0,1.333,1.28,,,9.0,,1.35,4.2,1.5,,2.35,4.5,4.2,,Feyenoord,Nijmegen,Feyenoord_Nijmegen_2003
5,3.3,2.2,2.4,2.5,,2.55,2.4,2.5,3.4,2.4,2.25,,,2.8,,2.45,3.3,1.71,,2.0,3.1,3.25,,Groningen,NAC Breda,Groningen_NAC Breda_2003
6,3.55,1.55,1.44,6.5,,4.75,5.5,5.5,3.4,1.533,1.55,,,4.8,,1.5,3.75,1.55,,2.25,3.5,3.7,,Utrecht,Zwolle,Utrecht_Zwolle_2003
7,3.75,4.8,4.5,1.66,,1.57,1.727,1.65,3.4,4.0,4.5,,,1.55,,4.25,3.4,1.55,,2.25,3.5,3.6,,Vitesse,Ajax,Vitesse_Ajax_2003
8,3.25,3.1,3.5,1.9,,2.0,1.8,1.7,3.4,3.6,3.05,,,2.0,,4.25,3.25,1.6,,2.15,3.2,3.4,,Volendam,Heerenveen,Volendam_Heerenveen_2003
9,3.3,2.1,1.9,3.4,,3.4,3.25,3.5,3.4,1.909,1.85,,,2.9,,1.9,3.25,1.71,,2.0,3.2,3.3,,AZ Alkmaar,Twente,AZ Alkmaar_Twente_2003
10,3.3,2.3,2.4,2.4,,2.45,2.375,2.6,3.5,2.375,2.35,,,2.5,,2.4,3.4,1.71,,2.0,3.2,3.2,,Den Haag,Utrecht,Den Haag_Utrecht_2003
11,3.3,2.4,2.6,2.3,,2.2,2.25,2.35,3.4,2.6,2.7,,,2.4,,2.55,3.25,1.6,,2.15,3.2,3.3,,Heerenveen,Feyenoord,Heerenveen_Feyenoord_2003
12,3.3,1.9,1.75,4.0,,3.6,4.333,3.9,3.4,1.667,1.8,,,3.4,,1.8,3.3,1.75,,2.0,3.2,3.3,,NAC Breda,Vitesse,NAC Breda_Vitesse_2003
13,6.0,1.2,1.16,11.0,,10.0,11.0,13.0,5.5,1.167,1.16,,,10.0,,1.15,5.5,1.45,,2.5,5.0,6.0,,PSV Eindhoven,Willem II,PSV Eindhoven_Willem II_2003
14,4.0,6.0,6.0,1.44,,1.36,1.444,1.4,3.75,6.0,7.0,,,1.4,,6.7,3.75,1.6,,2.15,3.9,3.7,,Roosendaal,Ajax,Roosendaal_Ajax_2003
15,3.3,2.1,2.2,2.75,,2.8,2.625,2.95,3.4,2.2,2.1,,,2.9,,2.15,3.25,1.6,,2.15,3.2,3.2,,Nijmegen,Roda JC,Nijmegen_Roda JC_2003
16,3.25,2.3,2.37,2.5,,2.55,2.6,2.85,3.4,2.25,2.3,,,2.5,,2.2,3.25,1.71,,2.0,3.2,3.2,,Volendam,Groningen,Volendam_Groningen_2003
17,3.25,2.3,2.4,2.4,,2.55,2.375,2.6,3.5,2.375,2.3,,,2.5,,2.4,3.4,1.75,,1.95,3.2,3.2,,Zwolle,Waalwijk,Zwolle_Waalwijk_2003
18,3.3,2.0,2.0,3.25,,3.4,3.0,3.2,3.4,2.0,1.85,,,3.0,,2.0,3.25,1.79,,1.9,3.3,3.3,,Vitesse,AZ Alkmaar,Vitesse_AZ Alkmaar_2003
19,3.3,2.4,2.37,2.6,,2.5,2.5,2.55,3.25,2.375,2.3,,,2.4,,2.4,3.2,1.75,,1.95,3.2,3.25,,Willem II,Heerenveen,Willem II_Heerenveen_2003
20,4.0,1.3,1.36,7.5,,6.8,7.0,8.0,3.75,1.4,1.35,,,8.0,,1.32,4.0,1.65,,2.05,4.2,4.35,,Roda JC,Roosendaal,Roda JC_Roosendaal_2003
21,3.6,4.6,5.5,1.57,,1.53,1.533,1.55,3.6,5.0,5.0,,,1.6,,4.8,3.4,1.6,,2.15,3.4,3.6,,Twente,PSV Eindhoven,Twente_PSV Eindhoven_2003
